,o_chunk,h_chunk,l_chunk,c_chunk
0,"[np.float64(55000.59986053228), np.float64(54996.36861738086), np.float64(54994.52827096105), np.float64(54988.13263741255), np.float64(54981.65885520101), np.float64(54980.98935045719), np.float64(54975.96214523435), np.float64(54982.48348738074), np.float64(54978.45661624193), np.float64(54975.127841962574), np.float64(54969.802189959286), np.float64(54969.7034356308), np.float64(54969.636237139704), np.float64(54971.168996037246), np.float64(54960.547344846724), np.float64(54960.89020065784), np.float64(54954.79120445967), np.float64(54958.544024927614), np.float64(54951.866791017055)]","[np.float64(55008.676673317495), np.float64(54998.9277748202), np.float64(54998.115207479226), np.float64(54988.889831755296), np.float64(54982.240187284566), np.float64(54981.00726472349), np.float64(54982.50454225602), np.float64(54997.51392307039), np.float64(54978.47118260003), np.float64(54983.17388316342), np.float64(54976.0442419803), np.float64(54969.71818991223), np.float64(54971.17782094286), np.float64(54976.653531780255), np.float64(54969.65081017273), np.float64(54964.32023812307), np.float64(54970.34672423775), np.float64(54961.154810156295), np.float64(54951.88038450569)]","[np.float64(54995.51027705287), np.float64(54991.169614155726), np.float64(54977.62220218991), np.float64(54979.680571419085), np.float64(54976.49239898444), np.float64(54970.474891112724), np.float64(54974.20245017778), np.float64(54977.773883590955), np.float64(54974.58475878339), np.float64(54965.56198987785), np.float64(54969.478815419585), np.float64(54966.626241913626), np.float64(54965.250479478804), np.float64(54955.897347751736), np.float64(54956.104697969975), np.float64(54948.39669675297), np.float64(54941.238353614586), np.float64(54943.55326951041), np.float64(54933.63773141141)]","[np.float64(54996.36861738086), np.float64(54994.52827096105), np.float64(54988.13263741255), np.float64(54981.65885520101), np.float64(54980.98935045719), np.float64(54975.96214523435), np.float64(54982.48348738074), np.float64(54978.45661624193), np.float64(54975.127841962574), np.float64(54969.802189959286), np.float64(54969.7034356308), np.float64(54969.636237139704), np.float64(54971.168996037246), np.float64(54960.547344846724), np.float64(54960.89020065784), np.float64(54954.79120445967), np.float64(54958.544024927614), np.float64(54951.866791017055), np.float64(54945.40583080173)]"
1,"[np.float64(54997.483865876195), np.float64(54997.43485527754), np.float64(54989.94453210354), np.float64(54994.68913865805), np.float64(54987.0274811697), np.float64(54993.43730938554), np.float64(54991.29169962525), np.float64(54983.30340880275), np.float64(54975.19371457815), np.float64(54975.322402496335), np.float64(54969.08311306954), np.float64(54966.10282567263), np.float64(54965.93662327647), np.float64(54951.69520712614), np.float64(54955.28432096362), np.float64(54949.7426136446), np.float64(54945.88648407578), np.float64(54932.934349281786), np.float64(54927.16828822613)]","[np.float64(54997.49120015196), np.float64(54997.43485527754), np.float64(54998.873976724135), np.float64(55006.59337879067), np.float64(54996.51443757958), np.float64(54993.43730938554), np.float64(54998.45490629888), np.float64(55000.3311171353), np.float64(54975.60995970485), np.float64(54992.44032199093), np.float64(54969.104110140186), np.float64(54967.03964262757), np.float64(54965.93662327647), np.float64(54955.28432096362), np.float64(54987.14330281732), np.float64(54954.78713504632), np.float64(54945.88648407578), np.float64(54932.934349281786), np.float64(54930.36228525064)]","[np.float64(54985.409817814754), np.float64(54989.94453210354), np.float64(54984.382937939525), np.float64(54987.0274811697), np.float64(54986.47751046798), np.float64(54991.29169962525), np.float64(54983.30340880275), np.float64(54975.19371457815), np.float64(54963.10149022426), np.float64(54956.70330618171), np.float64(54966.081516060905), np.float64(54964.85374266669), np.float64(54936.48561251187), np.float64(54951.674458471745), np.float64(54934.82785185961), np.float64(54945.88648407578), np.float64(54920.16139973816), np.float64(54907.348424983735), np.float64(54924.426290628544)]","[np.float64(54997.43485527754), np.float64(54989.94453210354), np.float64(54994.68913865805), np.float64(54987.0274811697), np.float64(54993.43730938554), np.float64(54991.29169962525), np.float64(54983.30340880275), np.float64(54975.19371457815), np.float64(54975.322402496335), np.float64(54969.08311306954), np.float64(54966.10282567263), np.float64(54965.93662327647), np.float64(54951.69520712614), np.float64(54955.28432096362), np.float64(54949.7426136446), np.float64(54945.88648407578), np.float64(54932.934349281786), np.float64(54927.16828822613), np.float64(54924.444877512455)]"
2,"[np.float64(55006.63459076404), np.float64(54987.126422680616), np.float64(55009.797318632605), np.float64(54981.1278810513), np.float64(54989.7006022048), np.float64(54986.03363607645), np.float64(54965.79374069095), np.float64(54988.47401136279), np.float64(54967.38092287898), np.float64(54973.028949816224), np.float64(54950.1386136663), np.float64(54980.63286152601), np.float64(54943.55851183653), np.float64(54972.016292889115), np.float64(54937.250698043106), np.float64(54952.109114266634), np.float64(54924.33902585029), np.float64(54950.34493549585), np.float64(54909.54369010448)]","[np.float64(55006.63459076404), np.float64(55009.797318632605), np.float64(55031.32686460953), np.float64(54989.7006022048), np.float64(54993.55196704639), np.float64(54986.03363607645), np.float64(54993.05997012856), np.float64(54988.47401136279), np.float64(54975.10919990085), np.float64(54973.028949816224), np.float64(54985.6288618342), np.float64(54980.63286152601), np.float64(54972.016292889115), np.float64(54972.016292889115), np.float64(54952.109114266634), np.float64(54952.109114266634), np.float64(54977.16326805873), np.float64(54950.34493549585), np.float64(54914.30043231964)]","[np.float64(54987.126422680616), np.float64(54987.126422680616), np.float64(54973.44343393497), np.float64(54981.1278810513), np.float64(54986.03363607645), np.float64(54965.79374069095), np.float64(54965.79374069095), np.float64(54964.315983274755), np.float64(54967.38092287898), np.float64(54919.73728344151), np.float64(54950.1386136663), np.float64(54943.55851183653), np.float64(54919.82444660665), np.float64(54937.250698043106), np.float64(54924.35204667066), np.float64(54924.33902585029), np.float64(54909.09624092421), np.float64(54909.51974508373), np.float64(54909.53547425244)]","[np.float64(54987.126422680616), np.float64(55009.797318632605), np.float64(54981.1278810513), np.float64(54989.7006022048), np.float64(54986.03363607645), np.float64(54965.79374069095), np.float64(54988.47401136279), np.float64(54967.38092287898), np.float64(54973.028949816224), np.float64(54950.1386136663), np.float64(54980.63286152601), np.float64(54943.55851183653), np.float64(54972.016292889115), np.float64(54937.250698043106), np.float64(54952.109114266634), np.float64(54924.33902585029), np.float64(54950.34493549585), np.float64(54909.54369010448), np.float64(54914.30043231964)]"
3,"[np.float64(54988.85154271841), np.float64(54999.45775135875), np.float64(54984.98020457745), np.float64(54983.59416550517), np.float64(54983.574823321105), np.float64(54979.28223112941), np.float64(54982.27972371101), np.float64(54973.05894580007), np.float64(54967.07776534081), np.float64(54966.301816190484), np.float64(54964.16314777851), np.float64(54962.309885771276), np.float64(54958.47273962021), np.float64(54948.60301583529), np.float64(54956.819263656136), np.float64(54953.95407785296), np.float64(54949.36462993145), np.float64(54940.20950625658), np.float64(54939.86290679693)]","[np.float64(54999.666061307486), np.float64(54999.45775135875), np.float64(54987.7985493054), np.float64(54983.59416550517), np.float64(54983.574823321105), np.float64(54982.27972371101), np.float64(54982.27972371101), np.float64(54973.05894580007), np.float64(54967.07776534081), np.float64(54966.301816190484), np.float64(54971.076887063944), np.float64(54962.32290782247), np.float64(54958.47273962021), np.float64(54956.83226576937), np.float64(54956.839633356554), np.float64(54956.70949786816), np.float64(54967.76357140068), np.float64(54940.20950625658), np.float64(54954.23783478153)]","[np.float64(54983.96792156172), np.float64(54984.98020457745), np.float64(54983.59416550517), np.float64(54983.556255137024), np.float64(54979.28223112941), np.float64(54978.70448608191), np.float64(54973.03887668367), np.float64(54967.07776534081), np.float64(54966.301816190484), np.float64(54939.6864622243), np.float64(54962.309885771276), np.float64(54958.47273962021), np.float64(54937.126055785004), np.float64(54948.60301583529), np.float64(54945.43114959361), np.float64(54930.521428658794), np.float64(54940.20950625658), np.float64(54939.84270180382), np.float64(54932.06319466484)]","[np.float64(54999.45775135875), np.float64(54984.98020457745), np.float64(54983.59416550517), np.float64(54983.574823321105), np.float64(54979.28223112941), np.float64(54982.27972371101), np.float64(54973.05894580007), np.float64(54967.07776534081), np.float64(54966.301816190484), np.float64(54964.16314777851), np.float64(54962.309885771276), np.float64(54958.47273962021), np.float64(54948.60301583529), np.float64(54956.819263656136), np.float64(54953.95407785296), np.float64(54949.36462993145), np.float64(54940.20950625658), np.float64(54939.86290679693), np.float64(54954.082812566754)]"
4,"[np.float64(54999.36922966957), np.float64(55001.490942473414), np.float64(54998.09395579815), np.float64(54993.45270514012), np.float64(54988.10406089544), np.float64(54981.265662915706), np.float64(54984.421324647665), np.float64(54986.23853843928), np.float64(54973.18449841261), np.float64(54975.45099682331), np.float64(54960.961127198934), np.float64(54963.16220535159), np.float64(54962.30030827045), np.float64(54949.896025241615), np.float64(54950.30620433211), np.float64(54947.10499487638), np.float64(54942.884436721804), np.float64(54938.29828009129), np.float64(54930.4091959548)]","[np.float64(55004.37313218155), np.float64(55001.490942473414), np.float64(55011.03316197658), np.float64(54998.60266010326), np.float64(54999.27869488425), np.float64(54984.43495978658), np.float64(54988.852143958284), np.float64(54986.26696995585), np.float64(54978.773325822745), np.float64(54983.37632098419), np.float64(54963.16220535159), np.float64(54978.20739386173), np.float64(54966.58895862267), np.float64(54956.04650320446), np.float64(54954.77714425943), np.float64(54954.18131862849), np.float64(54951.22170312533), np.float64(54948.994534871556), np.float64(54934.70889155832)]","[np.float64(54992.469855051335), np.float64(54991.75950031764), np.float64(54984.6595110859), np.float64(54980.782097923904), np.float64(54978.79504705645), np.float64(54977.52227455358), np.float64(54979.764090956254), np.float64(54973.082560061135), np.float64(54967.15267459341), np.float64(54954.5768426223), np.float64(54960.94241914056), np.float64(54962.27385488574), np.float64(54942.70202551341), np.float64(54949.87593238163), np.float64(54940.14649957771), np.float64(54937.40311008876), np.float64(54926.69229691267), np.float64(54911.25387579607), np.float64(54910.37192631493)]","[np.float64(55001.490942473414), np.float64(54998.09395579815), np.float64(54993.45270514012), np.float64(54988.10406089544), np.float64(54981.265662915706), np.float64(54984.421324647665), np.float64(54986.23853843928), np.float64(54973.18449841261), np.float64(54975.45099682331), np.float64(54960.961127198934), np.float64(54963.16220535159), np.float64(54962.30030827045), np.float64(54949.896025241615), np.float64(54950.30620433211), np.float64(54947.10499487638), np.float64(54942.884436721804), np.float64(54938.29828009129), np.float64(54930.4091959548), np.float64(54926.63756365299)]"
5,"[np.float64(55000.18543864012), np.float64(55002.83779802442), np.float64(54992.86924191833), np.float64(54988.9550390017), np.float64(54986.850515784026), np.float64(54983.526935817004), np.float64(54981.07674905181), np.float64(54983.38943472624), np.float64(54974.11977100492), np.float64(54971.440847314596), np.float64(54972.639142413136), np.float64(54968.016142041684), np.float64(54963.873280192616), np.float64(54956.199471445085), np.float64(54956.203932626246), np.float64(54956.77154773593), np.float64(54956.641253168586), np.float64(54943.218370170594), np.float64(54934.80617354631)]","[np.float64(55014.00963732875), np.float64(55002.83779802442), np.float64(55008.14528065017), np.float64(54988.9550390017), np.float64(55004.3334890662), np.float64(54983.526935817004), np.float64(54983.40814762685), np.float64(55009.73038111064), np.float64(54986.10294945708), np.float64(54972.657922554215), np.float64(54974.294671805925), np.float64(54980.40820722916), np.float64(54964.45709971161), np.float64(54980.84295457604), np.float64(54956.77154773593), np.float64(54972.55707714224), np.float64(54972.753036719485), np.float64(54943.22657116778), np.float64(54944.18624439793)]","[np.float64(55000.18543864012), np.float64(54982.564273568285), np.float64(54964.25779855683), np.float64(54986.82933386969), np.float64(54971.20552972647), np.float64(54961.48232199812), np.float64(54981.07674905181), np.float64(54974.09964384176), np.float64(54955.84457996878), np.float64(54971.440847314596), np.float64(54960.46675065766), np.float64(54963.873280192616), np.float64(54933.14963843872), np.float64(54943.73046309712), np.float64(54941.29654793076), np.float64(54951.138244815505), np.float64(54943.20595873185), np.float64(54889.318404025726), np.float64(54921.05291575525)]","[np.float64(55002.83779802442), np.float64(54992.86924191833), np.float64(54988.9550390017), np.float64(54986.850515784026), np.float64(54983.526935817004), np.float64(54981.07674905181), np.float64(54983.38943472624), np.float64(54974.11977100492), np.float64(54971.440847314596), np.float64(54972.639142413136), np.float64(54968.016142041684), np.float64(54963.873280192616), np.float64(54956.199471445085), np.float64(54956.203932626246), np.float64(54956.77154773593), np.float64(54956.641253168586), np.float64(54943.218370170594), np.float64(54934.80617354631), np.float64(54934.3055697453)]"
6,"[np.float64(55004.083824641704), np.float64(55006.91497444033), np.float64(54989.904131896496), np.float64(54995.370888252255), np.float64(54992.31719414711), np.float64(54979.67894868374), np.float64(54994.894025422334), np.float64(54970.64856649756), np.float64(54979.43600149274), np.float64(54965.50515218496), np.float64(54981.71153145552), np.float64(54968.31029922485), np.float64(54965.87633493662), np.float64(54957.29767074108), np.float64(54958.822895545956), np.float64(54945.29163392305), np.float64(54954.0211203587), np.float64(54935.05216245174), np.float64(54947.711933894156)]","[np.float64(55007.03977015775), np.float64(55006.91497444033), np.float64(54995.39191200724), np.float64(55039.04657077842), np.float64(54992.31719414711), np.float64(54994.894025422334), np.float64(54994.905151687715), np.float64(54979.43600149274), np.float64(54991.426105356964), np.float64(54981.71153145552), np.float64(54985.37398219566), np.float64(54976.11426399714), np.float64(54965.88477625196), np.float64(54958.822895545956), np.float64(54962.66596880452), np.float64(54954.0211203587), np.float64(54956.06343162383), np.float64(54962.97218920004), np.float64(54947.72255373717)]","[np.float64(54965.07760240842), np.float64(54989.904131896496), np.float64(54989.31574387555), np.float64(54992.31719414711), np.float64(54973.817490156376), np.float64(54976.291230453055), np.float64(54944.4005317396), np.float64(54970.63571728015), np.float64(54943.781916726526), np.float64(54965.50515218496), np.float64(54968.301019379905), np.float64(54963.78925177844), np.float64(54955.372329170925), np.float64(54951.44191990415), np.float64(54945.27178976516), np.float64(54934.47234286925), np.float64(54923.031524381295), np.float64(54920.90941184835), np.float64(54938.37207676291)]","[np.float64(55006.91497444033), np.float64(54989.904131896496), np.float64(54995.370888252255), np.float64(54992.31719414711), np.float64(54979.67894868374), np.float64(54994.894025422334), np.float64(54970.64856649756), np.float64(54979.43600149274), np.float64(54965.50515218496), np.float64(54981.71153145552), np.float64(54968.31029922485), np.float64(54965.87633493662), np.float64(54957.29767074108), np.float64(54958.822895545956), np.float64(54945.29163392305), np.float64(54954.0211203587), np.float64(54935.05216245174), np.float64(54947.711933894156), np.float64(54938.37207676291)]"
7,"[np.float64(54991.86957857132), np.float64(54995.48701934933), np.float64(54992.763187475204), np.float64(54983.797492415906), np.float64(54977.29022014856), np.float64(54976.79011550069), np.float64(54976.8047781241), np.float64(54974.59313976288), np.float64(54972.94169160843), np.float64(54967.68269214749), np.float64(54960.0716675055), np.float64(54952.40425415754), np.float64(54943.90403499723), np.float64(54946.01314418435), np.float64(54950.61794106483), np.float64(54955.16274597764), np.float64(54950.13295139789), np.float64(54947.44209482789), np.float64(54940.21735231995)]","[np.float64(54995.48701934933), np.float64(54995.48701934933), np.float64(54992.763187475204), np.float64(54983.797492415906), np.float64(54977.565962440895), np.float64(54976.8047781241), np.float64(54982.66638819302), np.float64(54982.22911343271), np.float64(54972.94169160843), np.float64(54967.695631030314), np.float64(54960.0716675055), np.float64(54953.374266310755), np.float64(54946.033088207536), np.float64(54950.61794106483), np.float64(54962.49545265591), np.float64(54955.16274597764), np.float64(54950.13295139789), np.float64(54950.966635401746), np.float64(54940.2255887061)]","[np.float64(54991.86957857132), np.float64(54992.763187475204), np.float64(54983.78462081911), np.float64(54958.082779582044), np.float64(54976.78212068392), np.float64(54976.775460164405), np.float64(54969.135764011306), np.float64(54972.94169160843), np.float64(54967.09811101672), np.float64(54957.44630964015), np.float64(54948.1870011304), np.float64(54939.623599841674), np.float64(54943.90403499723), np.float64(54946.01314418435), np.float64(54950.61794106483), np.float64(54934.87185870246), np.float64(54945.041903431076), np.float64(54936.44755246152), np.float64(54937.79321510911)]","[np.float64(54995.48701934933), np.float64(54992.763187475204), np.float64(54983.797492415906), np.float64(54977.29022014856), np.float64(54976.79011550069), np.float64(54976.8047781241), np.float64(54974.59313976288), np.float64(54972.94169160843), np.float64(54967.68269214749), np.float64(54960.0716675055), np.float64(54952.40425415754), np.float64(54943.90403499723), np.float64(54946.01314418435), np.float64(54950.61794106483), np.float64(54955.16274597764), np.float64(54950.13295139789), np.float64(54947.44209482789), np.float64(54940.21735231995), np.float64(54937.79321510911)]"
8,"[np.float64(55005.60904944658), np.float64(55001.459402234555), np.float64(55003.44322398424), np.float64(54991.612670691015), np.float64(54992.560437710286), np.float64(54983.68746034622), np.float64(54983.75556355238), np.float64(54983.80713231087), np.float64(54977.96994193315), np.float64(54977.298253394365), np.float64(54975.722395743134), np.float64(54968.04632520795), np.float64(54966.47915594101), np.float64(54965.72810205341), np.float64(54960.91720172286), np.float64(54959.85845112324), np.float64(54953.26070734978), np.float64(54954.37470796228), np.float64(54944.40710336685)]","[np.float64(55013.18749204589), np.float64(55006.91259770357), np.float64(55006.073133491984), np.float64(54994.13301491715), np.float64(54999.87907773592), np.float64(54983.8998756834), np.float64(54989.73227697339), np.float64(54987.5739463891), np.float64(54985.91565945202), np.float64(54990.72539966142), np.float64(54978.767676766125), np.float64(54971.74532631291), np.float64(54966.4977910461), np.float64(54976.59323314421), np.float64(54968.07817892668), np.float64(54968.419537315225), np.float64(54969.92835654022), np.float64(54963.0864949664), np.float64(54944.680820106674)]","[np.float64(54995.55318872319), np.float64(54967.88656550603), np.float64(54991.58355231883), np.float64(54981.90270349149), np.float64(54983.68746034622), np.float64(54975.09023818818), np.float64(54976.10346586522), np.float64(54977.96994193315), np.float64(54972.999550739565), np.float64(54968.633366948765), np.float64(54961.21162393818), np.float64(54958.96700809102), np.float64(54945.68111563015), np.float64(54950.65217180226), np.float64(54951.930064984896), np.float64(54945.14359326864), np.float64(54949.597829011494), np.float64(54944.38742344836), np.float64(54925.88635404096)]","[np.float64(55001.459402234555), np.float64(55003.44322398424), np.float64(54991.612670691015), np.float64(54992.560437710286), np.float64(54983.68746034622), np.float64(54983.75556355238), np.float64(54983.80713231087), np.float64(54977.96994193315), np.float64(54977.298253394365), np.float64(54975.722395743134), np.float64(54968.04632520795), np.float64(54966.47915594101), np.float64(54965.72810205341), np.float64(54960.91720172286), np.float64(54959.85845112324), np.float64(54953.26070734978), np.float64(54954.37470796228), np.float64(54944.40710336685), np.float64(54935.39664051056)]"
9,"[np.float64(55008.26994122982), np.float64(55000.889291359184), np.float64(54999.394811267855), np.float64(54996.50838025928), np.float64(54994.74245445251), np.float64(54993.122780514954), np.float64(54976.39456783652), np.float64(54985.19452845574), np.float64(54968.394110156296), np.float64(54966.98670109033), np.float64(54966.51865143299), np.float64(54961.604566789865), np.float64(54956.96579629898), np.float64(54951.09690969706), np.float64(54946.872732682226), np.float64(54946.97309365988), np.float64(54940.28032360792), np.float64(54934.39373266816), np.float64(54916.65057787716)]","[np.float64(55008.28979859973), np.float64(55000.889291359184), np.float64(54999.415759973584), np.float64(54996.50838025928), np.float64(54994.74245445251), np.float64(55011.597892335136), np.float64(54985.19452845574), np.float64(54991.42086339746), np.float64(54968.394110156296), np.float64(54975.460104049635), np.float64(54966.51865143299), np.float64(54961.604566789865), np.float64(54958.580370596945), np.float64(54951.117104762554), np.float64(54946.97309365988), np.float64(54970.429727487586), np.float64(54940.28032360792), np.float64(54959.30333849023), np.float64(54932.059598522115)]","[np.float64(54996.51551461372), np.float64(54999.394811267855), np.float64(54991.58120584486), np.float64(54994.74245445251), np.float64(54980.361831625196), np.float64(54976.39456783652), np.float64(54957.54743365925), np.float64(54960.086300984636), np.float64(54947.353355848114), np.float64(54966.51865143299), np.float64(54961.58659680279), np.float64(54950.065030854006), np.float64(54951.09690969706), np.float64(54941.39948885702), np.float64(54921.70373277172), np.float64(54940.26198728808), np.float64(54907.30987761422), np.float64(54905.236636862486), np.float64(54916.65057787716)]","[np.float64(55000.889291359184), np.float64(54999.394811267855), np.float64(54996.50838025928), np.float64(54994.74245445251), np.float64(54993.122780514954), np.float64(54976.39456783652), np.float64(54985.19452845574), np.float64(54968.394110156296), np.float64(54966.98670109033), np.float64(54966.51865143299), np.float64(54961.604566789865), np.float64(54956.96579629898), np.float64(54951.09690969706), np.float64(54946.872732682226), np.float64(54946.97309365988), np.float64(54940.28032360792), np.float64(54934.39373266816), np.float64(54916.65057787716), np.float64(54926.642867155075)]"
