,o_chunk,h_chunk,l_chunk,c_chunk
0,"[np.float64(55005.99725895047), np.float64(55006.01666903317), np.float64(54999.404448883535), np.float64(54989.718846266864), np.float64(54989.96730965018), np.float64(54975.4262211287), np.float64(54982.35327138722), np.float64(54968.307806077006), np.float64(54984.97108273983), np.float64(54965.65022912323), np.float64(54979.560726315976), np.float64(54961.42725406825), np.float64(54981.976558210255), np.float64(54952.4805094999), np.float64(54950.16843201816)]","[np.float64(55006.01666903317), np.float64(55006.01666903317), np.float64(55006.869391442815), np.float64(54996.720678055026), np.float64(54989.96730965018), np.float64(54988.64437947464), np.float64(54987.40716684048), np.float64(54984.991991498435), np.float64(54988.01477012706), np.float64(54979.560726315976), np.float64(54992.72396509248), np.float64(54997.23042331293), np.float64(54981.976558210255), np.float64(54955.86003069101), np.float64(54966.544648332325)]","[np.float64(55005.98262632612), np.float64(54995.598256268895), np.float64(54989.718846266864), np.float64(54984.597813877845), np.float64(54968.95015898707), np.float64(54975.4262211287), np.float64(54960.433671620434), np.float64(54968.28611440572), np.float64(54965.64168525889), np.float64(54940.007165526506), np.float64(54961.41433136161), np.float64(54957.406289693405), np.float64(54951.514930940444), np.float64(54940.562083750345), np.float64(54935.97774747844)]","[np.float64(55006.01666903317), np.float64(54999.404448883535), np.float64(54989.718846266864), np.float64(54989.96730965018), np.float64(54975.4262211287), np.float64(54982.35327138722), np.float64(54968.307806077006), np.float64(54984.97108273983), np.float64(54965.65022912323), np.float64(54979.560726315976), np.float64(54961.42725406825), np.float64(54981.976558210255), np.float64(54952.4805094999), np.float64(54950.16843201816), np.float64(54940.817363251146)]"
1,"[np.float64(54997.44627952218), np.float64(54992.844356623886), np.float64(54993.82352725327), np.float64(54994.97045543134), np.float64(54983.637345049974), np.float64(54987.13570089221), np.float64(54982.175758660436), np.float64(54980.4362571311), np.float64(54976.46127274156), np.float64(54973.52149753749), np.float64(54965.39821319342), np.float64(54955.30020003736), np.float64(54970.472295306325), np.float64(54954.82837029278), np.float64(54948.05140079915)]","[np.float64(55001.579544176486), np.float64(54994.313174308474), np.float64(54995.02197724834), np.float64(54994.98212983366), np.float64(54987.18727025198), np.float64(54988.11443094906), np.float64(54986.37464628638), np.float64(54980.4546780501), np.float64(54980.190784442246), np.float64(54973.52149753749), np.float64(54968.49683546988), np.float64(54970.472295306325), np.float64(54975.661905822584), np.float64(54954.82837029278), np.float64(54951.50191544633)]","[np.float64(54986.60417390948), np.float64(54992.844356623886), np.float64(54989.48389994278), np.float64(54983.637345049974), np.float64(54975.95835008604), np.float64(54982.175758660436), np.float64(54980.38845842461), np.float64(54976.44308950865), np.float64(54973.52149753749), np.float64(54965.39821319342), np.float64(54955.281305374134), np.float64(54948.63661800926), np.float64(54954.82837029278), np.float64(54928.123426255974), np.float64(54948.04282764184)]","[np.float64(54992.844356623886), np.float64(54993.82352725327), np.float64(54994.97045543134), np.float64(54983.637345049974), np.float64(54987.13570089221), np.float64(54982.175758660436), np.float64(54980.4362571311), np.float64(54976.46127274156), np.float64(54973.52149753749), np.float64(54965.39821319342), np.float64(54955.30020003736), np.float64(54970.472295306325), np.float64(54954.82837029278), np.float64(54948.05140079915), np.float64(54950.10727951407)]"
2,"[np.float64(55001.65438545108), np.float64(54995.605200947524), np.float64(55003.605191873314), np.float64(54992.9350038588), np.float64(54989.709778678414), np.float64(54983.13223883152), np.float64(54962.865376461144), np.float64(54985.36058794916), np.float64(54978.743869817255), np.float64(54976.81108397365), np.float64(54983.6901748544), np.float64(54958.735927922724), np.float64(54953.47320272565), np.float64(54932.16193465829), np.float64(54950.46898031711)]","[np.float64(55001.65438545108), np.float64(55005.66516374106), np.float64(55003.605191873314), np.float64(54995.16764486489), np.float64(54989.709778678414), np.float64(54983.152681168154), np.float64(54985.36058794916), np.float64(54985.36058794916), np.float64(54978.743869817255), np.float64(54986.146558293774), np.float64(54983.6901748544), np.float64(54958.74410598834), np.float64(54965.73976669831), np.float64(54950.46898031711), np.float64(54950.46898031711)]","[np.float64(54995.51527176746), np.float64(54995.605200947524), np.float64(54992.91598042912), np.float64(54989.709778678414), np.float64(54980.688688988324), np.float64(54957.13201794049), np.float64(54957.357938298024), np.float64(54978.743869817255), np.float64(54962.19401925258), np.float64(54976.81108397365), np.float64(54958.717206362926), np.float64(54934.59950890239), np.float64(54932.16193465829), np.float64(54922.2239024565), np.float64(54920.1335278976)]","[np.float64(54995.605200947524), np.float64(55003.605191873314), np.float64(54992.9350038588), np.float64(54989.709778678414), np.float64(54983.13223883152), np.float64(54962.865376461144), np.float64(54985.36058794916), np.float64(54978.743869817255), np.float64(54976.81108397365), np.float64(54983.6901748544), np.float64(54958.735927922724), np.float64(54953.47320272565), np.float64(54932.16193465829), np.float64(54950.46898031711), np.float64(54920.1335278976)]"
3,"[np.float64(54997.5324574244), np.float64(55000.61651185572), np.float64(54990.474521611926), np.float64(54989.578764201404), np.float64(54983.163867955205), np.float64(54983.950986201766), np.float64(54979.359133626815), np.float64(54978.76380991697), np.float64(54971.669159682395), np.float64(54961.34368327677), np.float64(54958.95503982306), np.float64(54959.83875009), np.float64(54958.93797900498), np.float64(54954.96591687143), np.float64(54949.259925549624)]","[np.float64(55006.60338120176), np.float64(55002.69555108848), np.float64(54992.029724761305), np.float64(54997.181968341945), np.float64(55001.837071212365), np.float64(54987.08960471162), np.float64(55005.647595191855), np.float64(54978.78276857732), np.float64(54983.37824182577), np.float64(54967.44755140052), np.float64(54959.83875009), np.float64(54969.88800588034), np.float64(54963.248245397655), np.float64(54963.15137309462), np.float64(54953.630652128006)]","[np.float64(54995.20301222254), np.float64(54984.240740208224), np.float64(54989.56585680099), np.float64(54972.25286284912), np.float64(54977.380449271834), np.float64(54976.61686136609), np.float64(54972.680421738696), np.float64(54971.625500257185), np.float64(54961.34368327677), np.float64(54957.143627454374), np.float64(54953.814047302614), np.float64(54951.05920276921), np.float64(54954.96591687143), np.float64(54943.02440357131), np.float64(54932.8135601169)]","[np.float64(55000.61651185572), np.float64(54990.474521611926), np.float64(54989.578764201404), np.float64(54983.163867955205), np.float64(54983.950986201766), np.float64(54979.359133626815), np.float64(54978.76380991697), np.float64(54971.669159682395), np.float64(54961.34368327677), np.float64(54958.95503982306), np.float64(54959.83875009), np.float64(54958.93797900498), np.float64(54954.96591687143), np.float64(54949.259925549624), np.float64(54944.04450079024)]"
4,"[np.float64(55000.00167778969), np.float64(54996.02579093874), np.float64(54992.510359953645), np.float64(54995.74728848279), np.float64(54984.901564561726), np.float64(54975.13574315309), np.float64(54984.087243549824), np.float64(54973.72591220915), np.float64(54985.824252566694), np.float64(54971.41364850521), np.float64(54968.391076048014), np.float64(54956.7753663224), np.float64(54965.875070937276), np.float64(54949.1416744554), np.float64(54949.83848926186)]","[np.float64(55007.988662770906), np.float64(55002.211647732554), np.float64(54998.32995862385), np.float64(54995.74728848279), np.float64(54988.77897049189), np.float64(54984.14151673293), np.float64(54984.10314893308), np.float64(55000.455120334445), np.float64(54985.824252566694), np.float64(54972.97434672606), np.float64(54968.391076048014), np.float64(54975.50593849727), np.float64(54967.49332617284), np.float64(54949.83848926186), np.float64(54968.21751638932)]","[np.float64(54996.02579093874), np.float64(54988.40502129708), np.float64(54992.510359953645), np.float64(54976.0954542202), np.float64(54965.71356440201), np.float64(54965.112736278694), np.float64(54954.28948405045), np.float64(54965.766089153825), np.float64(54971.41364850521), np.float64(54960.7227399873), np.float64(54953.644116683034), np.float64(54943.16646821637), np.float64(54943.99262815509), np.float64(54931.968756766735), np.float64(54931.927761837236)]","[np.float64(54996.02579093874), np.float64(54992.510359953645), np.float64(54995.74728848279), np.float64(54984.901564561726), np.float64(54975.13574315309), np.float64(54984.087243549824), np.float64(54973.72591220915), np.float64(54985.824252566694), np.float64(54971.41364850521), np.float64(54968.391076048014), np.float64(54956.7753663224), np.float64(54965.875070937276), np.float64(54949.1416744554), np.float64(54949.83848926186), np.float64(54935.40439971656)]"
5,"[np.float64(55003.118407053946), np.float64(55003.5098031348), np.float64(55005.46996364117), np.float64(54992.344049208165), np.float64(54988.50850226879), np.float64(54987.34722065687), np.float64(54974.617601380945), np.float64(54983.51218940973), np.float64(54983.59845326066), np.float64(54956.2598173362), np.float64(54968.540712744594), np.float64(54949.38071213067), np.float64(54967.62167755961), np.float64(54945.72800673782), np.float64(54947.77236832619)]","[np.float64(55003.5098031348), np.float64(55015.88178995141), np.float64(55008.913143732076), np.float64(54992.344049208165), np.float64(54998.789545627), np.float64(54987.34722065687), np.float64(54989.792042831476), np.float64(54983.59845326066), np.float64(54983.59845326066), np.float64(54974.78634828652), np.float64(54968.540712744594), np.float64(54985.969169910415), np.float64(54967.62167755961), np.float64(54947.77236832619), np.float64(54947.77236832619)]","[np.float64(55003.118407053946), np.float64(54988.4136575274), np.float64(54992.344049208165), np.float64(54986.911114784445), np.float64(54987.34722065687), np.float64(54974.01963224206), np.float64(54946.83182293104), np.float64(54983.51218940973), np.float64(54934.74212591044), np.float64(54956.2598173362), np.float64(54949.38071213067), np.float64(54948.583806586954), np.float64(54934.24994849536), np.float64(54945.72800673782), np.float64(54943.860613534445)]","[np.float64(55003.5098031348), np.float64(55005.46996364117), np.float64(54992.344049208165), np.float64(54988.50850226879), np.float64(54987.34722065687), np.float64(54974.617601380945), np.float64(54983.51218940973), np.float64(54983.59845326066), np.float64(54956.2598173362), np.float64(54968.540712744594), np.float64(54949.38071213067), np.float64(54967.62167755961), np.float64(54945.72800673782), np.float64(54947.77236832619), np.float64(54943.860613534445)]"
6,"[np.float64(54989.262043220995), np.float64(54985.93860731959), np.float64(54991.706223863366), np.float64(54983.52225973308), np.float64(54978.75881056726), np.float64(54978.70032247305), np.float64(54973.52255757153), np.float64(54971.93952566087), np.float64(54978.09783637106), np.float64(54965.93818593681), np.float64(54960.03944031775), np.float64(54973.04442492187), np.float64(54952.624931975006), np.float64(54951.82480682433), np.float64(54945.233271663186)]","[np.float64(54989.262043220995), np.float64(54997.580678194085), np.float64(54996.604762094), np.float64(54983.52225973308), np.float64(54978.78373467822), np.float64(54982.5066031534), np.float64(54973.52255757153), np.float64(54978.09783637106), np.float64(54983.512138363076), np.float64(54967.74018210082), np.float64(54973.04442492187), np.float64(54973.06520279326), np.float64(54952.624931975006), np.float64(54968.14285436463), np.float64(54949.685909699256)]","[np.float64(54985.93860731959), np.float64(54984.651705115655), np.float64(54983.50114209669), np.float64(54978.75881056726), np.float64(54978.70032247305), np.float64(54946.55086107762), np.float64(54971.91711705729), np.float64(54971.91900058595), np.float64(54959.74838098157), np.float64(54960.02457529543), np.float64(54939.2390099977), np.float64(54940.20147048913), np.float64(54951.82480682433), np.float64(54939.06545192951), np.float64(54937.99937222498)]","[np.float64(54985.93860731959), np.float64(54991.706223863366), np.float64(54983.52225973308), np.float64(54978.75881056726), np.float64(54978.70032247305), np.float64(54973.52255757153), np.float64(54971.93952566087), np.float64(54978.09783637106), np.float64(54965.93818593681), np.float64(54960.03944031775), np.float64(54973.04442492187), np.float64(54952.624931975006), np.float64(54951.82480682433), np.float64(54945.233271663186), np.float64(54942.42038539827)]"
7,"[np.float64(54996.60103130102), np.float64(54988.05261600912), np.float64(54995.9336109519), np.float64(54984.15063072026), np.float64(54984.3556040585), np.float64(54978.71719706893), np.float64(54978.05391658247), np.float64(54967.3827831322), np.float64(54967.86623027682), np.float64(54966.637206760046), np.float64(54963.486198287006), np.float64(54962.434744796155), np.float64(54943.538943341075), np.float64(54955.01273026645), np.float64(54954.47914637685)]","[np.float64(54998.21129107689), np.float64(55007.08718823428), np.float64(54995.95300446153), np.float64(54984.3556040585), np.float64(54985.68397339946), np.float64(54985.83411070396), np.float64(54978.05391658247), np.float64(54969.72728860496), np.float64(54967.86623027682), np.float64(54966.637206760046), np.float64(54976.0230834903), np.float64(54962.434744796155), np.float64(54955.01273026645), np.float64(54955.01273026645), np.float64(54954.47914637685)]","[np.float64(54983.73189439556), np.float64(54988.05261600912), np.float64(54981.08200505588), np.float64(54984.15063072026), np.float64(54965.510729289366), np.float64(54973.74220578933), np.float64(54967.374552171306), np.float64(54952.20999361804), np.float64(54966.637206760046), np.float64(54963.486198287006), np.float64(54962.434744796155), np.float64(54908.55215402496), np.float64(54943.538943341075), np.float64(54945.497445640045), np.float64(54932.57077453305)]","[np.float64(54988.05261600912), np.float64(54995.9336109519), np.float64(54984.15063072026), np.float64(54984.3556040585), np.float64(54978.71719706893), np.float64(54978.05391658247), np.float64(54967.3827831322), np.float64(54967.86623027682), np.float64(54966.637206760046), np.float64(54963.486198287006), np.float64(54962.434744796155), np.float64(54943.538943341075), np.float64(54955.01273026645), np.float64(54954.47914637685), np.float64(54937.75410124421)]"
8,"[np.float64(55003.02939284444), np.float64(55012.50646957636), np.float64(54998.67144967199), np.float64(54989.200675845146), np.float64(54986.95644054174), np.float64(54993.42451038718), np.float64(54985.00084964156), np.float64(54977.545114569664), np.float64(54979.252371009585), np.float64(54986.040757356284), np.float64(54980.49516064405), np.float64(54977.18550518512), np.float64(54967.445124593374), np.float64(54961.29873210371), np.float64(54948.970464633705)]","[np.float64(55079.34489830492), np.float64(55014.88819301954), np.float64(55015.75399019016), np.float64(54989.200675845146), np.float64(55019.43307801952), np.float64(54999.71977129597), np.float64(54988.566663035745), np.float64(54979.27503908572), np.float64(55019.94818046395), np.float64(54986.040757356284), np.float64(54986.67899795019), np.float64(54979.026577143784), np.float64(54967.445124593374), np.float64(54968.94193765453), np.float64(54966.72420859217)]","[np.float64(55003.01653374835), np.float64(54986.94194441856), np.float64(54979.25952511901), np.float64(54980.12160450625), np.float64(54977.95349378186), np.float64(54981.41190898122), np.float64(54968.51235092235), np.float64(54977.454478023195), np.float64(54925.33318412268), np.float64(54977.56165571315), np.float64(54944.006880480076), np.float64(54959.08418735149), np.float64(54950.02575379282), np.float64(54942.7470697696), np.float64(54914.67190053864)]","[np.float64(55012.50646957636), np.float64(54998.67144967199), np.float64(54989.200675845146), np.float64(54986.95644054174), np.float64(54993.42451038718), np.float64(54985.00084964156), np.float64(54977.545114569664), np.float64(54979.252371009585), np.float64(54986.040757356284), np.float64(54980.49516064405), np.float64(54977.18550518512), np.float64(54967.445124593374), np.float64(54961.29873210371), np.float64(54948.970464633705), np.float64(54951.734875828624)]"
9,"[np.float64(54996.00265641212), np.float64(54998.88566249609), np.float64(54996.28221890211), np.float64(54987.44872607827), np.float64(54980.92135162592), np.float64(54983.844524405), np.float64(54982.56802855313), np.float64(54978.92675433814), np.float64(54979.014135522244), np.float64(54985.84837550342), np.float64(54971.211926893), np.float64(54974.73934772253), np.float64(54957.467998291846), np.float64(54957.83191943645), np.float64(54968.71028954088)]","[np.float64(54998.903657077164), np.float64(54998.90570974269), np.float64(54996.28221890211), np.float64(54987.44872607827), np.float64(54983.86325160281), np.float64(54990.311762514415), np.float64(54986.53508420822), np.float64(54979.014135522244), np.float64(54987.66237270507), np.float64(54988.64349506562), np.float64(54976.431736676575), np.float64(54974.760260525545), np.float64(54957.85791678377), np.float64(54973.47594016399), np.float64(54968.71028954088)]","[np.float64(54989.09091666325), np.float64(54996.28221890211), np.float64(54987.428138554955), np.float64(54948.41081155821), np.float64(54980.92135162592), np.float64(54979.1387051947), np.float64(54978.92675433814), np.float64(54977.766130063), np.float64(54979.014135522244), np.float64(54969.47718796732), np.float64(54965.07527434819), np.float64(54957.467998291846), np.float64(54948.93442231473), np.float64(54957.83191943645), np.float64(54944.722127256704)]","[np.float64(54998.88566249609), np.float64(54996.28221890211), np.float64(54987.44872607827), np.float64(54980.92135162592), np.float64(54983.844524405), np.float64(54982.56802855313), np.float64(54978.92675433814), np.float64(54979.014135522244), np.float64(54985.84837550342), np.float64(54971.211926893), np.float64(54974.73934772253), np.float64(54957.467998291846), np.float64(54957.83191943645), np.float64(54968.71028954088), np.float64(54952.92191340267)]"
