,o_chunk,h_chunk,l_chunk,c_chunk
0,"[np.float64(55076.892524492745), np.float64(55035.718259277346), np.float64(55085.356265823844), np.float64(55024.390903193955), np.float64(55015.73824596405), np.float64(54981.2498264432), np.float64(55002.857710156444), np.float64(54992.6047408104), np.float64(55004.849375658036)]","[np.float64(55086.434633980614), np.float64(55085.356265823844), np.float64(55101.1923818361), np.float64(55024.390903193955), np.float64(55046.24510214518), np.float64(55002.857710156444), np.float64(55016.80351055913), np.float64(55004.849375658036), np.float64(55004.861248370864)]","[np.float64(55035.708417916314), np.float64(55023.96175805622), np.float64(55023.17696227643), np.float64(55006.49871337128), np.float64(54981.2498264432), np.float64(54968.93791547405), np.float64(54992.6047408104), np.float64(54986.62573315164), np.float64(54921.55232195991)]","[np.float64(55035.718259277346), np.float64(55085.356265823844), np.float64(55024.390903193955), np.float64(55015.73824596405), np.float64(54981.2498264432), np.float64(55002.857710156444), np.float64(54992.6047408104), np.float64(55004.849375658036), np.float64(54924.44666610718)]"
1,"[np.float64(55010.88657146692), np.float64(54997.250887172224), np.float64(55020.25381242037), np.float64(54986.03749875784), np.float64(54955.48424763203), np.float64(55002.100243682864), np.float64(54957.12035976171), np.float64(54961.273805217745), np.float64(54944.651781663895)]","[np.float64(55026.91542242901), np.float64(55020.25381242037), np.float64(55040.198036966285), np.float64(54986.03749875784), np.float64(55029.52892794017), np.float64(55002.100243682864), np.float64(54978.27098782997), np.float64(54961.273805217745), np.float64(54953.16121528714)]","[np.float64(54997.250887172224), np.float64(54991.636194724946), np.float64(54985.86016773759), np.float64(54942.404505239), np.float64(54947.256080383704), np.float64(54950.35222609171), np.float64(54952.12288316754), np.float64(54944.651781663895), np.float64(54892.99887045968)]","[np.float64(54997.250887172224), np.float64(55020.25381242037), np.float64(54986.03749875784), np.float64(54955.48424763203), np.float64(55002.100243682864), np.float64(54957.12035976171), np.float64(54961.273805217745), np.float64(54944.651781663895), np.float64(54909.60743171692)]"
2,"[np.float64(54998.418894808296), np.float64(55001.18103326321), np.float64(54994.68848188639), np.float64(54992.96776324988), np.float64(54950.95412937165), np.float64(54960.15795227766), np.float64(54953.45948643446), np.float64(54967.770219905375), np.float64(54957.64358082294)]","[np.float64(55001.18103326321), np.float64(55016.51578438522), np.float64(54994.70247888495), np.float64(54992.97929183245), np.float64(54963.49122833884), np.float64(54962.73182337053), np.float64(54967.77907350599), np.float64(54985.01705863526), np.float64(54957.8986325293)]","[np.float64(54998.418894808296), np.float64(54986.20156825988), np.float64(54987.34005869715), np.float64(54950.95412937165), np.float64(54934.7227590751), np.float64(54953.45798988229), np.float64(54906.06545123746), np.float64(54957.637827509585), np.float64(54931.569533770264)]","[np.float64(55001.18103326321), np.float64(54994.68848188639), np.float64(54992.96776324988), np.float64(54950.95412937165), np.float64(54960.15795227766), np.float64(54953.45948643446), np.float64(54967.770219905375), np.float64(54957.64358082294), np.float64(54935.61884587288)]"
3,"[np.float64(54996.88490286112), np.float64(54989.00645311832), np.float64(54976.06552088499), np.float64(54969.91435740709), np.float64(54957.72368013382), np.float64(54940.24631956578), np.float64(54934.332363371854), np.float64(54935.92778196096), np.float64(54932.9930822897)]","[np.float64(55003.334979971085), np.float64(54989.014250539476), np.float64(54982.00541534732), np.float64(54979.59466442458), np.float64(54958.66284255412), np.float64(54940.7591818501), np.float64(54935.94020000801), np.float64(54947.403353594724), np.float64(54932.9930822897)]","[np.float64(54989.00645311832), np.float64(54970.214031409945), np.float64(54969.91435740709), np.float64(54957.72368013382), np.float64(54936.564497682055), np.float64(54920.20956086882), np.float64(54917.43364800676), np.float64(54925.35905829236), np.float64(54918.01328332541)]","[np.float64(54989.00645311832), np.float64(54976.06552088499), np.float64(54969.91435740709), np.float64(54957.72368013382), np.float64(54940.24631956578), np.float64(54934.332363371854), np.float64(54935.92778196096), np.float64(54932.9930822897), np.float64(54932.094347417355)]"
4,"[np.float64(55065.974035470485), np.float64(55056.33777930737), np.float64(55038.996020948885), np.float64(55037.34638723135), np.float64(55045.65314936638), np.float64(55004.43934960366), np.float64(55031.724754889015), np.float64(55024.63802630902), np.float64(54981.590184125904)]","[np.float64(55080.83274704344), np.float64(55056.33777930737), np.float64(55042.55360906686), np.float64(55045.66366140028), np.float64(55051.694928079305), np.float64(55045.35069807224), np.float64(55031.724754889015), np.float64(55051.664669049926), np.float64(54988.179833381175)]","[np.float64(55030.24277948965), np.float64(55031.49710033747), np.float64(55017.402827779035), np.float64(55029.0120526998), np.float64(54989.7593898439), np.float64(54999.948052531305), np.float64(54963.66800985334), np.float64(54959.956780512446), np.float64(54965.80981057032)]","[np.float64(55056.33777930737), np.float64(55038.996020948885), np.float64(55037.34638723135), np.float64(55045.65314936638), np.float64(55004.43934960366), np.float64(55031.724754889015), np.float64(55024.63802630902), np.float64(54981.590184125904), np.float64(54988.179833381175)]"
5,"[np.float64(55025.36407118798), np.float64(55015.37754151106), np.float64(55003.98360770464), np.float64(55004.99476492167), np.float64(55009.83484948635), np.float64(54974.47744258642), np.float64(54986.368584494594), np.float64(54947.37528701067), np.float64(54953.81349448204)]","[np.float64(55025.37738429005), np.float64(55059.0801281117), np.float64(55005.022605415244), np.float64(55028.43365650503), np.float64(55011.45080838009), np.float64(54986.38404977641), np.float64(54992.8323256515), np.float64(54964.34987011939), np.float64(54972.75532668591)]","[np.float64(55015.37754151106), np.float64(54974.25042244252), np.float64(54990.58385400281), np.float64(55001.870690999276), np.float64(54974.47744258642), np.float64(54959.63212132356), np.float64(54945.632242464235), np.float64(54920.4505185632), np.float64(54945.44866763187)]","[np.float64(55015.37754151106), np.float64(55003.98360770464), np.float64(55004.99476492167), np.float64(55009.83484948635), np.float64(54974.47744258642), np.float64(54986.368584494594), np.float64(54947.37528701067), np.float64(54953.81349448204), np.float64(54951.341748223305)]"
6,"[np.float64(55011.01740892649), np.float64(55073.85918161869), np.float64(54957.328077106475), np.float64(55075.12866555214), np.float64(54927.3678441906), np.float64(54997.38430017233), np.float64(54971.20637732029), np.float64(54942.10920804024), np.float64(54960.44087540627)]","[np.float64(55159.70524214138), np.float64(55076.69932769253), np.float64(55112.51212195451), np.float64(55081.18293426334), np.float64(54997.38430017233), np.float64(55006.9576949102), np.float64(54971.20637732029), np.float64(54972.252689951274), np.float64(54984.23267856999)]","[np.float64(55006.61072513199), np.float64(54957.315394103396), np.float64(54928.223803582754), np.float64(54901.130185601185), np.float64(54923.677554382746), np.float64(54969.77157900668), np.float64(54903.852591147), np.float64(54929.746123661236), np.float64(54902.97180466488)]","[np.float64(55073.85918161869), np.float64(54957.328077106475), np.float64(55075.12866555214), np.float64(54927.3678441906), np.float64(54997.38430017233), np.float64(54971.20637732029), np.float64(54942.10920804024), np.float64(54960.44087540627), np.float64(54903.598051745896)]"
7,"[np.float64(55030.561640779975), np.float64(55037.182582852845), np.float64(55017.58220421553), np.float64(55008.85369731665), np.float64(54980.40723835469), np.float64(54964.92965624094), np.float64(54970.16251073837), np.float64(54988.391671590805), np.float64(54965.26254485607)]","[np.float64(55059.83465133873), np.float64(55047.98414027017), np.float64(55018.62006579698), np.float64(55012.47632700094), np.float64(54980.421126837544), np.float64(54979.54413768562), np.float64(54991.92051056737), np.float64(54988.40009885073), np.float64(54974.78433366293)]","[np.float64(55030.561640779975), np.float64(55003.28310952973), np.float64(55008.85369731665), np.float64(54964.6157796908), np.float64(54964.92965624094), np.float64(54916.43178081294), np.float64(54969.122887894824), np.float64(54935.00003327939), np.float64(54913.12032677483)]","[np.float64(55037.182582852845), np.float64(55017.58220421553), np.float64(55008.85369731665), np.float64(54980.40723835469), np.float64(54964.92965624094), np.float64(54970.16251073837), np.float64(54988.391671590805), np.float64(54965.26254485607), np.float64(54915.889175100325)]"
8,"[np.float64(55004.48815609694), np.float64(54956.69990276814), np.float64(55041.916555147174), np.float64(54985.624124500755), np.float64(55000.895405817035), np.float64(54971.82566604376), np.float64(55010.098327283864), np.float64(54994.5560991025), np.float64(55043.59709535122)]","[np.float64(55037.03750113839), np.float64(55041.916555147174), np.float64(55043.608666909866), np.float64(55005.28757071972), np.float64(55000.895405817035), np.float64(55028.72362949422), np.float64(55014.59556169175), np.float64(55059.52084935695), np.float64(55077.87288289741)]","[np.float64(54948.728850432766), np.float64(54949.8450423337), np.float64(54985.60950320607), np.float64(54970.177753040145), np.float64(54971.8167998239), np.float64(54946.71649356188), np.float64(54994.5560991025), np.float64(54975.99655227941), np.float64(55025.95638069523)]","[np.float64(54956.69990276814), np.float64(55041.916555147174), np.float64(54985.624124500755), np.float64(55000.895405817035), np.float64(54971.82566604376), np.float64(55010.098327283864), np.float64(54994.5560991025), np.float64(55043.59709535122), np.float64(55058.63129816055)]"
9,"[np.float64(55056.460761368275), np.float64(55038.19322496176), np.float64(55032.87421863318), np.float64(55015.00589101076), np.float64(55003.20180237293), np.float64(55005.93432211161), np.float64(55017.37165377617), np.float64(54986.9296660018), np.float64(54981.30249624729)]","[np.float64(55056.460761368275), np.float64(55049.74624781955), np.float64(55040.160847109386), np.float64(55020.71491849361), np.float64(55019.7437957104), np.float64(55020.87469971561), np.float64(55017.37980505374), np.float64(54999.762431691815), np.float64(54981.318828193616)]","[np.float64(55021.74947820118), np.float64(55032.87421863318), np.float64(55014.99698535205), np.float64(54978.709157537676), np.float64(55003.19341179903), np.float64(54991.96026230899), np.float64(54983.346420342525), np.float64(54957.636861654915), np.float64(54966.46236041784)]","[np.float64(55038.19322496176), np.float64(55032.87421863318), np.float64(55015.00589101076), np.float64(55003.20180237293), np.float64(55005.93432211161), np.float64(55017.37165377617), np.float64(54986.9296660018), np.float64(54981.30249624729), np.float64(54966.46236041784)]"
