,o_chunk,h_chunk,l_chunk,c_chunk
0,"[np.float64(54983.375449739106), np.float64(54984.98509751112), np.float64(54977.446938040855), np.float64(54998.424972111294), np.float64(54998.169392649834), np.float64(54992.439635779265), np.float64(55015.773686921006), np.float64(54995.50250555665), np.float64(55021.05560090542), np.float64(54998.71889630437), np.float64(55021.732091743055), np.float64(55016.872140259155), np.float64(55039.9847734803), np.float64(55012.91957895905), np.float64(55045.51463917256), np.float64(55017.7050000459), np.float64(55046.29907621801), np.float64(55027.14073012948), np.float64(55052.65890400291)]","[np.float64(54985.00355136335), np.float64(54986.686205633974), np.float64(54998.424972111294), np.float64(54998.424972111294), np.float64(54998.51562125568), np.float64(55026.66016072309), np.float64(55015.786582385204), np.float64(55021.05560090542), np.float64(55021.05560090542), np.float64(55021.732091743055), np.float64(55043.14830487149), np.float64(55039.9847734803), np.float64(55045.910190241215), np.float64(55045.51463917256), np.float64(55074.490596103045), np.float64(55046.29907621801), np.float64(55046.29907621801), np.float64(55058.58367066295), np.float64(55052.65890400291)]","[np.float64(54970.88795759304), np.float64(54977.446938040855), np.float64(54977.446938040855), np.float64(54998.169392649834), np.float64(54983.34229489963), np.float64(54992.439635779265), np.float64(54987.47491245565), np.float64(54995.50250555665), np.float64(54998.670636049676), np.float64(54992.56409666944), np.float64(55016.872140259155), np.float64(55016.26849083533), np.float64(55012.91957895905), np.float64(55011.79636051446), np.float64(55011.571514591174), np.float64(55017.7050000459), np.float64(55027.14073012948), np.float64(54997.28333812487), np.float64(55045.52892878175)]","[np.float64(54984.98509751112), np.float64(54977.446938040855), np.float64(54998.424972111294), np.float64(54998.169392649834), np.float64(54992.439635779265), np.float64(55015.773686921006), np.float64(54995.50250555665), np.float64(55021.05560090542), np.float64(54998.71889630437), np.float64(55021.732091743055), np.float64(55016.872140259155), np.float64(55039.9847734803), np.float64(55012.91957895905), np.float64(55045.51463917256), np.float64(55017.7050000459), np.float64(55046.29907621801), np.float64(55027.14073012948), np.float64(55052.65890400291), np.float64(55045.52892878175)]"
1,"[np.float64(54985.44862203598), np.float64(54994.12520597786), np.float64(54979.77430487186), np.float64(54998.19856135011), np.float64(55000.30097336919), np.float64(55001.490057772404), np.float64(55016.41394948006), np.float64(55003.054777081314), np.float64(55016.59840759636), np.float64(55009.77760497332), np.float64(55014.839116650524), np.float64(55025.71412713767), np.float64(55042.362118432524), np.float64(55014.15940141798), np.float64(55040.85756178737), np.float64(55026.48312401891), np.float64(55054.79610965789), np.float64(55026.379162140496), np.float64(55062.12226161123)]","[np.float64(54994.12520597786), np.float64(54994.12520597786), np.float64(54998.217964418494), np.float64(55000.30097336919), np.float64(55007.88410273961), np.float64(55016.41394948006), np.float64(55016.41394948006), np.float64(55077.88912688075), np.float64(55016.59840759636), np.float64(55014.8508026822), np.float64(55025.71412713767), np.float64(55057.023427638196), np.float64(55042.381554764615), np.float64(55040.8714126481), np.float64(55040.87626823271), np.float64(55056.17581221206), np.float64(55054.79610965789), np.float64(55062.12226161123), np.float64(55062.13615747083)]","[np.float64(54985.44862203598), np.float64(54979.7562351562), np.float64(54979.77430487186), np.float64(54998.1826606054), np.float64(55000.30097336919), np.float64(55001.47548090457), np.float64(55003.054777081314), np.float64(54998.681665049924), np.float64(55009.77760497332), np.float64(55009.77760497332), np.float64(54989.59921525547), np.float64(55025.71412713767), np.float64(55014.13962601414), np.float64(55014.15940141798), np.float64(55022.6359878776), np.float64(55026.48312401891), np.float64(55026.379162140496), np.float64(55026.379162140496), np.float64(55051.5313852777)]","[np.float64(54994.12520597786), np.float64(54979.77430487186), np.float64(54998.19856135011), np.float64(55000.30097336919), np.float64(55001.490057772404), np.float64(55016.41394948006), np.float64(55003.054777081314), np.float64(55016.59840759636), np.float64(55009.77760497332), np.float64(55014.839116650524), np.float64(55025.71412713767), np.float64(55042.362118432524), np.float64(55014.15940141798), np.float64(55040.85756178737), np.float64(55026.48312401891), np.float64(55054.79610965789), np.float64(55026.379162140496), np.float64(55062.12226161123), np.float64(55052.022434014085)]"
2,"[np.float64(54985.23103929878), np.float64(54984.62162865938), np.float64(54984.086549555665), np.float64(54996.53988715053), np.float64(55002.22595133931), np.float64(55006.07406781197), np.float64(55000.16092525602), np.float64(55012.649908749765), np.float64(55014.30475486816), np.float64(55017.448014350535), np.float64(55012.92515417934), np.float64(55022.7732446006), np.float64(55020.818011294905), np.float64(55026.48738533378), np.float64(55026.90928391457), np.float64(55037.76317958653), np.float64(55016.44774170697), np.float64(55031.564173824794), np.float64(55038.36430907071)]","[np.float64(54992.4232953126), np.float64(54984.62162865938), np.float64(54996.5433858624), np.float64(55002.22595133931), np.float64(55015.12399417403), np.float64(55006.07406781197), np.float64(55012.67092395916), np.float64(55014.30475486816), np.float64(55017.97023496114), np.float64(55017.448014350535), np.float64(55022.7732446006), np.float64(55022.79244272061), np.float64(55026.48738533378), np.float64(55026.90928391457), np.float64(55037.76317958653), np.float64(55038.49552444146), np.float64(55031.58263631123), np.float64(55038.36430907071), np.float64(55059.23938900678)]","[np.float64(54952.47981711547), np.float64(54984.086549555665), np.float64(54984.086549555665), np.float64(54994.27210818421), np.float64(55002.22595133931), np.float64(55000.16092525602), np.float64(54972.312580574435), np.float64(55012.649908749765), np.float64(55014.30475486816), np.float64(55012.92515417934), np.float64(55012.92515417934), np.float64(55020.818011294905), np.float64(55006.90878120017), np.float64(55026.48738533378), np.float64(55026.88815217132), np.float64(55016.44774170697), np.float64(55016.44774170697), np.float64(55031.564173824794), np.float64(55038.36430907071)]","[np.float64(54984.62162865938), np.float64(54984.086549555665), np.float64(54996.53988715053), np.float64(55002.22595133931), np.float64(55006.07406781197), np.float64(55000.16092525602), np.float64(55012.649908749765), np.float64(55014.30475486816), np.float64(55017.448014350535), np.float64(55012.92515417934), np.float64(55022.7732446006), np.float64(55020.818011294905), np.float64(55026.48738533378), np.float64(55026.90928391457), np.float64(55037.76317958653), np.float64(55016.44774170697), np.float64(55031.564173824794), np.float64(55038.36430907071), np.float64(55058.427531167275)]"
3,"[np.float64(54985.56815191806), np.float64(54989.25864945591), np.float64(54995.60964211464), np.float64(54995.140059420475), np.float64(54996.64193143726), np.float64(55000.30349464715), np.float64(55006.75551597924), np.float64(55005.52316502572), np.float64(55010.102231940036), np.float64(55006.618209311964), np.float64(55006.474993621414), np.float64(55017.230090708144), np.float64(55019.300280084615), np.float64(55018.21722429753), np.float64(55015.05109575868), np.float64(55029.8012820679), np.float64(55025.94021830023), np.float64(55029.16880351067), np.float64(55031.1423604703)]","[np.float64(55004.56381705222), np.float64(54995.60964211464), np.float64(54996.26607623806), np.float64(55000.254744080325), np.float64(55000.30349464715), np.float64(55006.796440891674), np.float64(55006.79065919755), np.float64(55012.33459566148), np.float64(55018.3894277378), np.float64(55018.79836153519), np.float64(55017.230090708144), np.float64(55029.426503086586), np.float64(55027.274124058626), np.float64(55028.00666033935), np.float64(55031.5647561064), np.float64(55030.71228846378), np.float64(55033.68496992512), np.float64(55031.1423604703), np.float64(55055.5590052666)]","[np.float64(54985.54910021105), np.float64(54989.25065792154), np.float64(54995.12196859878), np.float64(54995.140059420475), np.float64(54996.64193143726), np.float64(54981.88950351482), np.float64(55005.52316502572), np.float64(55005.50852351366), np.float64(55006.618209311964), np.float64(55006.474993621414), np.float64(55002.951325596274), np.float64(55017.230090708144), np.float64(55018.19629006883), np.float64(55008.07763087448), np.float64(55015.05109575868), np.float64(55011.998937081684), np.float64(55018.28744633892), np.float64(55029.16880351067), np.float64(55028.5335110813)]","[np.float64(54989.25864945591), np.float64(54995.60964211464), np.float64(54995.140059420475), np.float64(54996.64193143726), np.float64(55000.30349464715), np.float64(55006.75551597924), np.float64(55005.52316502572), np.float64(55010.102231940036), np.float64(55006.618209311964), np.float64(55006.474993621414), np.float64(55017.230090708144), np.float64(55019.300280084615), np.float64(55018.21722429753), np.float64(55015.05109575868), np.float64(55029.8012820679), np.float64(55025.94021830023), np.float64(55029.16880351067), np.float64(55031.1423604703), np.float64(55042.65515485168)]"
4,"[np.float64(54988.66976414979), np.float64(54989.30332224012), np.float64(54993.11329994471), np.float64(54997.83773451359), np.float64(54996.85435088129), np.float64(54998.67213547588), np.float64(55009.7610994804), np.float64(55002.57649420262), np.float64(55005.54805110455), np.float64(55003.66933680952), np.float64(55003.125671156355), np.float64(55013.87738759995), np.float64(55031.60205691397), np.float64(55022.99018103838), np.float64(55029.30617409766), np.float64(55023.70584046186), np.float64(55032.52076799095), np.float64(55036.919481855635), np.float64(55050.05306734741)]","[np.float64(54992.07862764044), np.float64(55001.41583610996), np.float64(54998.340201874635), np.float64(55014.39878097543), np.float64(55001.50434644248), np.float64(55009.7610994804), np.float64(55012.762091036406), np.float64(55013.067929143304), np.float64(55014.03485118704), np.float64(55010.590774098884), np.float64(55018.322406603664), np.float64(55070.00531729712), np.float64(55036.39403568471), np.float64(55029.31149368113), np.float64(55038.84854405943), np.float64(55037.160841815166), np.float64(55066.56380107141), np.float64(55058.42407344381), np.float64(55066.90414595927)]","[np.float64(54980.96798288944), np.float64(54977.390997042225), np.float64(54989.11641815801), np.float64(54980.96653880377), np.float64(54993.49906566641), np.float64(54985.07944042898), np.float64(55000.03783861116), np.float64(54992.37616280066), np.float64(55003.656809160006), np.float64(54995.95645091822), np.float64(55003.125671156355), np.float64(55011.6565395906), np.float64(55022.9697084885), np.float64(55017.375480212984), np.float64(55023.689917908516), np.float64(55006.39953764256), np.float64(55032.52076799095), np.float64(55018.05944720527), np.float64(55041.51626327743)]","[np.float64(54989.30332224012), np.float64(54993.11329994471), np.float64(54997.83773451359), np.float64(54996.85435088129), np.float64(54998.67213547588), np.float64(55009.7610994804), np.float64(55002.57649420262), np.float64(55005.54805110455), np.float64(55003.66933680952), np.float64(55003.125671156355), np.float64(55013.87738759995), np.float64(55031.60205691397), np.float64(55022.99018103838), np.float64(55029.30617409766), np.float64(55023.70584046186), np.float64(55032.52076799095), np.float64(55036.919481855635), np.float64(55050.05306734741), np.float64(55055.48935456515)]"
5,"[np.float64(54983.75604907663), np.float64(54989.867136810426), np.float64(54974.73813381374), np.float64(54990.475219340035), np.float64(54994.87109232814), np.float64(54998.35059086025), np.float64(54999.56746613861), np.float64(55010.258217370814), np.float64(55000.61648112208), np.float64(54999.13971535207), np.float64(55020.835120474105), np.float64(55013.06295800001), np.float64(55029.43939700485), np.float64(54988.014061426526), np.float64(55033.90880608321), np.float64(55016.27820529491), np.float64(55031.50998410404), np.float64(55022.784870888), np.float64(55051.6502791822)]","[np.float64(54998.3880086975), np.float64(54989.88008425243), np.float64(54990.475219340035), np.float64(54994.87109232814), np.float64(55002.70760709653), np.float64(54999.56746613861), np.float64(55024.35119013857), np.float64(55010.279179863726), np.float64(55000.61648112208), np.float64(55077.7213762761), np.float64(55037.398063751876), np.float64(55029.43939700485), np.float64(55029.43939700485), np.float64(55033.90880608321), np.float64(55033.90880608321), np.float64(55031.52506467509), np.float64(55031.52799943713), np.float64(55051.67182511995), np.float64(55054.50853660075)]","[np.float64(54982.970932610384), np.float64(54960.7211971692), np.float64(54974.73813381374), np.float64(54990.475219340035), np.float64(54994.87109232814), np.float64(54998.35059086025), np.float64(54995.89031244135), np.float64(54998.26652098516), np.float64(54999.13971535207), np.float64(54995.771218559516), np.float64(55013.06295800001), np.float64(55013.06295800001), np.float64(54955.51017160683), np.float64(54988.014061426526), np.float64(54923.813163181876), np.float64(55016.27820529491), np.float64(55022.784870888), np.float64(55019.07225765113), np.float64(55036.58704247833)]","[np.float64(54989.867136810426), np.float64(54974.73813381374), np.float64(54990.475219340035), np.float64(54994.87109232814), np.float64(54998.35059086025), np.float64(54999.56746613861), np.float64(55010.258217370814), np.float64(55000.61648112208), np.float64(54999.13971535207), np.float64(55020.835120474105), np.float64(55013.06295800001), np.float64(55029.43939700485), np.float64(54988.014061426526), np.float64(55033.90880608321), np.float64(55016.27820529491), np.float64(55031.50998410404), np.float64(55022.784870888), np.float64(55051.6502791822), np.float64(55036.58704247833)]"
6,"[np.float64(54986.67238644005), np.float64(54985.54634108812), np.float64(54998.13942850412), np.float64(54991.43030073941), np.float64(55003.195805296906), np.float64(55005.09011600435), np.float64(55001.47313325018), np.float64(55021.82635202796), np.float64(55013.17884445787), np.float64(55011.21082720757), np.float64(55023.09897950918), np.float64(55025.87421053291), np.float64(55032.31747486294), np.float64(55040.99878176213), np.float64(55043.056059354545), np.float64(55041.72553480864), np.float64(55044.53308790565), np.float64(55063.294478309756), np.float64(55052.11138185978)]","[np.float64(54986.67238644005), np.float64(54998.157518339955), np.float64(54998.13942850412), np.float64(55011.56495306713), np.float64(55005.103043211784), np.float64(55017.20599981948), np.float64(55095.93259762244), np.float64(55021.82635202796), np.float64(55013.17884445787), np.float64(55030.592804189684), np.float64(55038.84423975703), np.float64(55037.13134895114), np.float64(55040.99878176213), np.float64(55066.35814092283), np.float64(55047.609241816055), np.float64(55053.58592049104), np.float64(55080.50016876619), np.float64(55077.980939227935), np.float64(55059.74913536072)]","[np.float64(54985.54634108812), np.float64(54985.54634108812), np.float64(54982.570645381704), np.float64(54987.11971972743), np.float64(55003.195805296906), np.float64(55001.47313325018), np.float64(55001.4595152552), np.float64(55011.64485210073), np.float64(54972.97549906984), np.float64(55011.21082720757), np.float64(55023.09897950918), np.float64(55025.87421053291), np.float64(55032.301672750466), np.float64(55038.697072605486), np.float64(55040.39308205353), np.float64(55041.72553480864), np.float64(55044.53308790565), np.float64(55037.29938182678), np.float64(55052.11138185978)]","[np.float64(54985.54634108812), np.float64(54998.13942850412), np.float64(54991.43030073941), np.float64(55003.195805296906), np.float64(55005.09011600435), np.float64(55001.47313325018), np.float64(55021.82635202796), np.float64(55013.17884445787), np.float64(55011.21082720757), np.float64(55023.09897950918), np.float64(55025.87421053291), np.float64(55032.31747486294), np.float64(55040.99878176213), np.float64(55043.056059354545), np.float64(55041.72553480864), np.float64(55044.53308790565), np.float64(55063.294478309756), np.float64(55052.11138185978), np.float64(55059.74913536072)]"
7,"[np.float64(54986.1634149921), np.float64(54995.38580944896), np.float64(54985.76006733537), np.float64(55008.18563455582), np.float64(55006.22503909559), np.float64(55011.698804577594), np.float64(55013.069115599996), np.float64(55026.9100083381), np.float64(55014.71999159337), np.float64(55032.78511155665), np.float64(55024.06859199226), np.float64(55021.53953002632), np.float64(55043.610641075975), np.float64(55044.61614093244), np.float64(55037.42027157903), np.float64(55037.679529975656), np.float64(55050.00855081141), np.float64(55062.25679132164), np.float64(55061.49083417833)]","[np.float64(54995.38580944896), np.float64(54998.10132877514), np.float64(55008.19865092915), np.float64(55008.18563455582), np.float64(55011.698804577594), np.float64(55016.0911538337), np.float64(55047.02717017397), np.float64(55042.17785648307), np.float64(55032.79907485259), np.float64(55115.92055557979), np.float64(55024.06859199226), np.float64(55052.14584279861), np.float64(55044.61614093244), np.float64(55071.10541471177), np.float64(55037.69884867151), np.float64(55050.00855081141), np.float64(55073.70208744612), np.float64(55062.29522379283), np.float64(55061.60052042306)]","[np.float64(54975.91075201814), np.float64(54962.12712318688), np.float64(54985.76006733537), np.float64(55006.22503909559), np.float64(55001.97194236333), np.float64(55011.698804577594), np.float64(55012.8274196115), np.float64(55010.56381876086), np.float64(55009.62929908786), np.float64(55006.75126057524), np.float64(55021.53953002632), np.float64(55013.25605614706), np.float64(55041.6839505722), np.float64(55029.27204359793), np.float64(55028.337595199744), np.float64(55037.679529975656), np.float64(55050.00855081141), np.float64(55061.49083417833), np.float64(55061.49083417833)]","[np.float64(54995.38580944896), np.float64(54985.76006733537), np.float64(55008.18563455582), np.float64(55006.22503909559), np.float64(55011.698804577594), np.float64(55013.069115599996), np.float64(55026.9100083381), np.float64(55014.71999159337), np.float64(55032.78511155665), np.float64(55024.06859199226), np.float64(55021.53953002632), np.float64(55043.610641075975), np.float64(55044.61614093244), np.float64(55037.42027157903), np.float64(55037.679529975656), np.float64(55050.00855081141), np.float64(55062.25679132164), np.float64(55061.49083417833), np.float64(55061.60052042306)]"
8,"[np.float64(54982.276385612495), np.float64(54985.87396517963), np.float64(54988.09133326948), np.float64(55003.87172085703), np.float64(54996.64535469354), np.float64(55000.128482445485), np.float64(55012.27494855226), np.float64(55007.801320772174), np.float64(55008.85671352357), np.float64(55006.02376298994), np.float64(55020.41925165385), np.float64(55019.33265897543), np.float64(55042.06509058178), np.float64(55025.29006949068), np.float64(55038.587815035586), np.float64(55036.677694849976), np.float64(55050.85808654368), np.float64(55050.32103303075), np.float64(55075.520275895)]","[np.float64(54985.87396517963), np.float64(54988.78896924405), np.float64(55003.87172085703), np.float64(55003.88988831498), np.float64(55019.40955044214), np.float64(55012.29376282086), np.float64(55032.34735116433), np.float64(55016.491214925154), np.float64(55008.85671352357), np.float64(55092.66873963249), np.float64(55020.41925165385), np.float64(55057.940045185875), np.float64(55042.06509058178), np.float64(55059.66753746472), np.float64(55038.587815035586), np.float64(55053.30050198016), np.float64(55095.55090231166), np.float64(55075.53975270037), np.float64(55087.24181534559)]","[np.float64(54981.76284028503), np.float64(54940.25484562642), np.float64(54988.09133326948), np.float64(54996.61850591201), np.float64(54996.08163118855), np.float64(55000.10744982063), np.float64(55007.801320772174), np.float64(54994.64516443169), np.float64(54996.41762933562), np.float64(55002.50872664817), np.float64(55019.33265897543), np.float64(55019.33265897543), np.float64(54998.2750106052), np.float64(55018.572149100866), np.float64(55036.677694849976), np.float64(55006.894121864796), np.float64(55050.32103303075), np.float64(55023.2573227181), np.float64(55044.6064818563)]","[np.float64(54985.87396517963), np.float64(54988.09133326948), np.float64(55003.87172085703), np.float64(54996.64535469354), np.float64(55000.128482445485), np.float64(55012.27494855226), np.float64(55007.801320772174), np.float64(55008.85671352357), np.float64(55006.02376298994), np.float64(55020.41925165385), np.float64(55019.33265897543), np.float64(55042.06509058178), np.float64(55025.29006949068), np.float64(55038.587815035586), np.float64(55036.677694849976), np.float64(55050.85808654368), np.float64(55050.32103303075), np.float64(55075.520275895), np.float64(55060.005041522985)]"
9,"[np.float64(54986.339265252354), np.float64(54987.927151909775), np.float64(54996.17570097745), np.float64(54989.764076910324), np.float64(55007.89094332606), np.float64(54988.943809309014), np.float64(55012.27193722308), np.float64(55007.17957362623), np.float64(54999.668338563744), np.float64(55007.17110071183), np.float64(55028.97788240016), np.float64(55027.128926287296), np.float64(55021.42446032048), np.float64(55033.63714726031), np.float64(55010.960943703656), np.float64(55036.93726574302), np.float64(55011.65599256755), np.float64(55039.13420082808), np.float64(55035.0307250619)]","[np.float64(54987.94538850996), np.float64(54996.188547774385), np.float64(54996.17570097745), np.float64(55010.92430721796), np.float64(55009.65806837185), np.float64(55012.280029885536), np.float64(55017.1498162542), np.float64(55018.76376416455), np.float64(55007.190609220015), np.float64(55028.99880504921), np.float64(55042.15551510502), np.float64(55027.128926287296), np.float64(55083.258900308065), np.float64(55051.16827316887), np.float64(55036.93726574302), np.float64(55043.109526770924), np.float64(55039.13420082808), np.float64(55039.13420082808), np.float64(55049.59560099185)]","[np.float64(54986.339265252354), np.float64(54975.603720242216), np.float64(54969.955460501005), np.float64(54989.764076910324), np.float64(54983.156564209086), np.float64(54982.152097943865), np.float64(55003.697352880336), np.float64(54999.668338563744), np.float64(54999.668338563744), np.float64(55007.17110071183), np.float64(55021.81090166212), np.float64(55008.95309980014), np.float64(55011.17178119392), np.float64(55005.768882971075), np.float64(55010.960943703656), np.float64(55010.19513380299), np.float64(55002.47319681684), np.float64(55035.0307250619), np.float64(55023.058162669)]","[np.float64(54987.927151909775), np.float64(54996.17570097745), np.float64(54989.764076910324), np.float64(55007.89094332606), np.float64(54988.943809309014), np.float64(55012.27193722308), np.float64(55007.17957362623), np.float64(54999.668338563744), np.float64(55007.17110071183), np.float64(55028.97788240016), np.float64(55027.128926287296), np.float64(55021.42446032048), np.float64(55033.63714726031), np.float64(55010.960943703656), np.float64(55036.93726574302), np.float64(55011.65599256755), np.float64(55039.13420082808), np.float64(55035.0307250619), np.float64(55049.59560099185)]"
