,o_chunk,h_chunk,l_chunk,c_chunk
0,"[np.float64(55198.953812993466), np.float64(55203.81495077103), np.float64(55219.02606279195), np.float64(55240.3384623611), np.float64(55261.7190237546), np.float64(55231.623936256176), np.float64(55269.30348445118), np.float64(55260.53895960391), np.float64(55330.412470116615)]","[np.float64(55203.82347500683), np.float64(55232.940018234774), np.float64(55240.3384623611), np.float64(55262.98120274219), np.float64(55264.454722535134), np.float64(55275.32751197485), np.float64(55277.1648755775), np.float64(55335.95750392436), np.float64(55351.94776240691)]","[np.float64(55198.953812993466), np.float64(55202.15985829378), np.float64(55210.23141496996), np.float64(55240.3384623611), np.float64(55231.623936256176), np.float64(55231.60581979947), np.float64(55232.11919214046), np.float64(55258.073737236), np.float64(55330.412470116615)]","[np.float64(55203.81495077103), np.float64(55219.02606279195), np.float64(55240.3384623611), np.float64(55261.7190237546), np.float64(55231.623936256176), np.float64(55269.30348445118), np.float64(55260.53895960391), np.float64(55330.412470116615), np.float64(55350.395345487595)]"
1,"[np.float64(55231.99963055939), np.float64(55203.45044921577), np.float64(55207.23001232237), np.float64(55229.672343254984), np.float64(55252.797398301365), np.float64(55278.936620157365), np.float64(55284.572537373904), np.float64(55290.17058691025), np.float64(55350.104199996)]","[np.float64(55247.85177747759), np.float64(55207.23001232237), np.float64(55246.84194310842), np.float64(55265.1902985395), np.float64(55278.936620157365), np.float64(55284.58218009685), np.float64(55312.122080867295), np.float64(55383.543789169926), np.float64(55350.104199996)]","[np.float64(55200.487064908986), np.float64(55196.998379658085), np.float64(55207.23001232237), np.float64(55219.404880664275), np.float64(55252.797398301365), np.float64(55278.9259869246), np.float64(55284.22313351384), np.float64(55290.17058691025), np.float64(55260.52302800374)]","[np.float64(55203.45044921577), np.float64(55207.23001232237), np.float64(55229.672343254984), np.float64(55252.797398301365), np.float64(55278.936620157365), np.float64(55284.572537373904), np.float64(55290.17058691025), np.float64(55350.104199996), np.float64(55264.49636676252)]"
2,"[np.float64(55210.12249988705), np.float64(55202.4440067032), np.float64(55225.19192646384), np.float64(55223.152701618674), np.float64(55248.12419145346), np.float64(55253.07145307005), np.float64(55270.00842650473), np.float64(55289.81295515537), np.float64(55303.37146129251)]","[np.float64(55216.00511333341), np.float64(55225.206227371134), np.float64(55225.95361710443), np.float64(55269.18732767613), np.float64(55258.92043425916), np.float64(55270.00842650473), np.float64(55303.72777672725), np.float64(55305.03425629754), np.float64(55330.89789817335)]","[np.float64(55179.813365290334), np.float64(55199.82783477231), np.float64(55220.04390399771), np.float64(55213.0921410001), np.float64(55248.12419145346), np.float64(55243.39702622359), np.float64(55261.51642162284), np.float64(55273.06464839577), np.float64(55303.37146129251)]","[np.float64(55202.4440067032), np.float64(55225.19192646384), np.float64(55223.152701618674), np.float64(55248.12419145346), np.float64(55253.07145307005), np.float64(55270.00842650473), np.float64(55289.81295515537), np.float64(55303.37146129251), np.float64(55328.70695001424)]"
3,"[np.float64(55219.90697226912), np.float64(55228.57444861919), np.float64(55217.228319808244), np.float64(55268.79954270363), np.float64(55271.04606796444), np.float64(55353.608334373836), np.float64(55298.12212952614), np.float64(55363.68656612277), np.float64(55353.9333932215)]","[np.float64(55240.8162223862), np.float64(55266.77482212049), np.float64(55268.80928340871), np.float64(55305.715672340455), np.float64(55363.71368593449), np.float64(55368.94115674683), np.float64(55363.766634080406), np.float64(55366.213185119246), np.float64(55364.18424241294)]","[np.float64(55197.51229686296), np.float64(55212.87412706897), np.float64(55205.41043149308), np.float64(55268.79954270363), np.float64(55252.53360963039), np.float64(55284.76333966029), np.float64(55281.20653755177), np.float64(55353.9333932215), np.float64(55347.54752652738)]","[np.float64(55228.57444861919), np.float64(55217.228319808244), np.float64(55268.79954270363), np.float64(55271.04606796444), np.float64(55353.608334373836), np.float64(55298.12212952614), np.float64(55363.68656612277), np.float64(55353.9333932215), np.float64(55356.36550362647)]"
4,"[np.float64(55207.1541429171), np.float64(55180.21266242057), np.float64(55242.217235478165), np.float64(55239.239160254), np.float64(55261.14316692591), np.float64(55254.98065437615), np.float64(55294.634013512135), np.float64(55276.67219990432), np.float64(55319.553896065954)]","[np.float64(55211.876195069395), np.float64(55260.59425207082), np.float64(55242.225442165065), np.float64(55279.58581009628), np.float64(55267.24326395101), np.float64(55294.642046215034), np.float64(55301.35978959436), np.float64(55319.553896065954), np.float64(55330.63348299777)]","[np.float64(55172.27143101697), np.float64(55176.322412531), np.float64(55237.43655940403), np.float64(55229.578785447135), np.float64(55254.98065437615), np.float64(55245.415686293425), np.float64(55264.01498632995), np.float64(55272.308569617715), np.float64(55300.85114935279)]","[np.float64(55180.21266242057), np.float64(55242.217235478165), np.float64(55239.239160254), np.float64(55261.14316692591), np.float64(55254.98065437615), np.float64(55294.634013512135), np.float64(55276.67219990432), np.float64(55319.553896065954), np.float64(55300.85114935279)]"
5,"[np.float64(55216.52337775469), np.float64(55242.41374528051), np.float64(55254.8695981884), np.float64(55276.69592584908), np.float64(55305.15834664047), np.float64(55320.441005119086), np.float64(55340.82346829415), np.float64(55371.46746959925), np.float64(55389.324527128934)]","[np.float64(55261.242030813504), np.float64(55265.50914552676), np.float64(55276.69592584908), np.float64(55305.43931192555), np.float64(55336.32459422566), np.float64(55373.70828779812), np.float64(55371.46746959925), np.float64(55419.14538324066), np.float64(55449.4514060058)]","[np.float64(55200.68225601323), np.float64(55242.41374528051), np.float64(55235.958360215176), np.float64(55249.633983778294), np.float64(55305.14630018921), np.float64(55312.81477447317), np.float64(55340.82346829415), np.float64(55350.1369952254), np.float64(55382.40767568588)]","[np.float64(55242.41374528051), np.float64(55254.8695981884), np.float64(55276.69592584908), np.float64(55305.15834664047), np.float64(55320.441005119086), np.float64(55340.82346829415), np.float64(55371.46746959925), np.float64(55389.324527128934), np.float64(55442.25463005245)]"
6,"[np.float64(55209.695633948744), np.float64(55212.34596942753), np.float64(55221.99425220579), np.float64(55288.82511137069), np.float64(55280.9188089037), np.float64(55264.43282948673), np.float64(55356.29667157769), np.float64(55353.70786270142), np.float64(55327.150085690024)]","[np.float64(55212.34596942753), np.float64(55242.10526480509), np.float64(55294.63366290809), np.float64(55288.82511137069), np.float64(55295.34539313002), np.float64(55356.29667157769), np.float64(55377.70776306134), np.float64(55353.70786270142), np.float64(55327.158096591455)]","[np.float64(55206.632653149645), np.float64(55207.966462422206), np.float64(55221.99425220579), np.float64(55269.01082311166), np.float64(55252.03377418753), np.float64(55246.986076285), np.float64(55345.79060125192), np.float64(55323.776181824745), np.float64(55304.05993060048)]","[np.float64(55212.34596942753), np.float64(55221.99425220579), np.float64(55288.82511137069), np.float64(55280.9188089037), np.float64(55264.43282948673), np.float64(55356.29667157769), np.float64(55353.70786270142), np.float64(55327.150085690024), np.float64(55324.81267799676)]"
7,"[np.float64(55210.63481943995), np.float64(55207.856068960726), np.float64(55224.824375387434), np.float64(55277.66587464154), np.float64(55278.226316308384), np.float64(55271.46777317465), np.float64(55288.089338993435), np.float64(55319.1288397336), np.float64(55324.659129580265)]","[np.float64(55220.43653550909), np.float64(55224.824375387434), np.float64(55305.710791886406), np.float64(55296.19998539601), np.float64(55302.746313766045), np.float64(55288.089338993435), np.float64(55345.67584966756), np.float64(55330.931676321576), np.float64(55383.131485499194)]","[np.float64(55194.05470168023), np.float64(55201.64683766), np.float64(55224.824375387434), np.float64(55274.236724076734), np.float64(55258.25340873595), np.float64(55268.68852026125), np.float64(55279.68581912696), np.float64(55310.76419736393), np.float64(55320.46670246202)]","[np.float64(55207.856068960726), np.float64(55224.824375387434), np.float64(55277.66587464154), np.float64(55278.226316308384), np.float64(55271.46777317465), np.float64(55288.089338993435), np.float64(55319.1288397336), np.float64(55324.659129580265), np.float64(55376.42491862715)]"
8,"[np.float64(55228.82638598174), np.float64(55194.87600001633), np.float64(55243.62068543077), np.float64(55211.45560978592), np.float64(55256.202071374064), np.float64(55251.792865928415), np.float64(55274.19143120587), np.float64(55360.461848309045), np.float64(55318.272829093934)]","[np.float64(55228.82638598174), np.float64(55261.80991957864), np.float64(55253.43571953099), np.float64(55256.202071374064), np.float64(55264.23802631189), np.float64(55287.85429745408), np.float64(55365.82789287632), np.float64(55377.8678456584), np.float64(55377.855998089304)]","[np.float64(55194.867237915765), np.float64(55190.38031250762), np.float64(55208.14495812941), np.float64(55135.68036018108), np.float64(55251.78176279896), np.float64(55251.792865928415), np.float64(55266.66278308044), np.float64(55308.08230905402), np.float64(55292.2138252249)]","[np.float64(55194.87600001633), np.float64(55243.62068543077), np.float64(55211.45560978592), np.float64(55256.202071374064), np.float64(55251.792865928415), np.float64(55274.19143120587), np.float64(55360.461848309045), np.float64(55318.272829093934), np.float64(55369.733062824016)]"
9,"[np.float64(55212.68054546208), np.float64(55222.7808275947), np.float64(55198.62510142267), np.float64(55221.289779309336), np.float64(55238.274573256975), np.float64(55243.91598631382), np.float64(55266.67090991974), np.float64(55222.132754083876), np.float64(55343.440426596404)]","[np.float64(55234.19236331635), np.float64(55227.391157556405), np.float64(55221.289779309336), np.float64(55238.280309026246), np.float64(55243.92823580581), np.float64(55277.722270349754), np.float64(55271.62690937126), np.float64(55344.633175749506), np.float64(55343.44835808218)]","[np.float64(55212.68054546208), np.float64(55189.92902178554), np.float64(55198.6126710344), np.float64(55209.89801360165), np.float64(55238.274573256975), np.float64(55234.50745471685), np.float64(55213.545807300514), np.float64(55222.132754083876), np.float64(55302.572725052705)]","[np.float64(55222.7808275947), np.float64(55198.62510142267), np.float64(55221.289779309336), np.float64(55238.274573256975), np.float64(55243.91598631382), np.float64(55266.67090991974), np.float64(55222.132754083876), np.float64(55343.440426596404), np.float64(55302.58012731016)]"
