,o_chunk,h_chunk,l_chunk,c_chunk
0,"[np.float64(54908.146315572565), np.float64(54931.46114466578), np.float64(54916.17516857624), np.float64(54929.49668335557), np.float64(54942.3589436011), np.float64(54952.08244231582), np.float64(54929.744934483766), np.float64(55011.2304853493), np.float64(55053.91098013759), np.float64(55026.504464421574), np.float64(55060.60343914271), np.float64(54968.67042989076), np.float64(54954.37923440874), np.float64(55019.288124492174), np.float64(55014.62058104068)]","[np.float64(54934.99205342855), np.float64(54939.51601010954), np.float64(54977.73239501469), np.float64(54951.63754510143), np.float64(54969.943319532074), np.float64(54952.08244231582), np.float64(55018.69844626463), np.float64(55053.91098013759), np.float64(55063.448274290924), np.float64(55060.60343914271), np.float64(55065.7507856408), np.float64(55072.18077602567), np.float64(55019.29720148247), np.float64(55062.12656399932), np.float64(55065.24270891154)]","[np.float64(54877.581233409706), np.float64(54916.17516857624), np.float64(54916.17516857624), np.float64(54929.49668335557), np.float64(54922.804386320255), np.float64(54929.744934483766), np.float64(54921.60731722544), np.float64(54992.391904723896), np.float64(55026.504464421574), np.float64(55022.13190030003), np.float64(54968.66247495184), np.float64(54934.15702755723), np.float64(54919.22245993189), np.float64(55014.62058104068), np.float64(54990.14779613401)]","[np.float64(54931.46114466578), np.float64(54916.17516857624), np.float64(54929.49668335557), np.float64(54942.3589436011), np.float64(54952.08244231582), np.float64(54929.744934483766), np.float64(55011.2304853493), np.float64(55053.91098013759), np.float64(55026.504464421574), np.float64(55060.60343914271), np.float64(54968.67042989076), np.float64(54954.37923440874), np.float64(55019.288124492174), np.float64(55014.62058104068), np.float64(55050.98189831913)]"
1,"[np.float64(54870.62333180398), np.float64(54953.58696211219), np.float64(54837.436247684214), np.float64(54911.516371553545), np.float64(54896.32012175933), np.float64(54947.172344643775), np.float64(54953.4373345086), np.float64(54943.939517114464), np.float64(54934.9860727565), np.float64(54995.97708216697), np.float64(54997.68655659348), np.float64(55012.62378140182), np.float64(55038.97308510482), np.float64(55030.901706361175), np.float64(55038.2984036842)]","[np.float64(54987.952120225505), np.float64(54958.35883360817), np.float64(54931.1244236669), np.float64(54911.516371553545), np.float64(54948.11131106523), np.float64(54967.58314010973), np.float64(54958.900058840794), np.float64(54943.95287917352), np.float64(55026.00972326554), np.float64(54997.69903683638), np.float64(55030.936610827055), np.float64(55045.37022823487), np.float64(55065.017339778205), np.float64(55059.56654883481), np.float64(55162.67897436848)]","[np.float64(54834.452566970765), np.float64(54835.025973664546), np.float64(54824.630079969604), np.float64(54864.463185219654), np.float64(54883.97544473122), np.float64(54947.172344643775), np.float64(54943.92860674657), np.float64(54934.05970786159), np.float64(54928.931522390056), np.float64(54995.97708216697), np.float64(54977.724163833744), np.float64(54982.896315089354), np.float64(55023.111808687456), np.float64(55030.901706361175), np.float64(55008.727503679394)]","[np.float64(54953.58696211219), np.float64(54837.436247684214), np.float64(54911.516371553545), np.float64(54896.32012175933), np.float64(54947.172344643775), np.float64(54953.4373345086), np.float64(54943.939517114464), np.float64(54934.9860727565), np.float64(54995.97708216697), np.float64(54997.68655659348), np.float64(55012.62378140182), np.float64(55038.97308510482), np.float64(55030.901706361175), np.float64(55038.2984036842), np.float64(55137.66108530104)]"
2,"[np.float64(54887.04971151367), np.float64(54905.74335993022), np.float64(54918.50423197538), np.float64(54933.829148104196), np.float64(54954.099047086536), np.float64(54948.47978494704), np.float64(54958.76709320635), np.float64(54985.36987578809), np.float64(55010.446523835664), np.float64(55026.712368039196), np.float64(54998.32779381514), np.float64(54999.00790405363), np.float64(55014.29347800851), np.float64(55044.89016146898), np.float64(55103.83690259546)]","[np.float64(54905.76208683228), np.float64(54940.16926710536), np.float64(54937.06057994716), np.float64(54980.18569525243), np.float64(54963.11184231555), np.float64(54975.110015066), np.float64(55016.76042634994), np.float64(55016.44596946017), np.float64(55074.478540719065), np.float64(55034.712872235745), np.float64(55043.145439669766), np.float64(55018.21301980519), np.float64(55057.15698391361), np.float64(55121.68609232967), np.float64(55114.262601627364)]","[np.float64(54860.7543892651), np.float64(54897.393947069846), np.float64(54918.48440869792), np.float64(54916.279702894986), np.float64(54934.283928619334), np.float64(54923.98725864295), np.float64(54947.100168510646), np.float64(54958.863043659214), np.float64(54999.22804473939), np.float64(54979.98815257604), np.float64(54992.818386675535), np.float64(54999.00790405363), np.float64(55006.95453182772), np.float64(55009.76893926602), np.float64(55092.65814947327)]","[np.float64(54905.74335993022), np.float64(54918.50423197538), np.float64(54933.829148104196), np.float64(54954.099047086536), np.float64(54948.47978494704), np.float64(54958.76709320635), np.float64(54985.36987578809), np.float64(55010.446523835664), np.float64(55026.712368039196), np.float64(54998.32779381514), np.float64(54999.00790405363), np.float64(55014.29347800851), np.float64(55044.89016146898), np.float64(55103.83690259546), np.float64(55111.48004144073)]"
3,"[np.float64(54895.09325918794), np.float64(54895.00314751357), np.float64(54911.62173083365), np.float64(54903.33108816833), np.float64(54904.59568437502), np.float64(54931.42981167376), np.float64(54920.26159393728), np.float64(54946.39652635694), np.float64(54970.50416392625), np.float64(54985.35060683578), np.float64(54999.11215746343), np.float64(55005.18063752592), np.float64(54987.48034548998), np.float64(55040.35502085328), np.float64(55045.81349615246)]","[np.float64(54913.04782568567), np.float64(54923.6482719687), np.float64(54919.4289790449), np.float64(54909.8990038142), np.float64(54943.80240922034), np.float64(54931.42981167376), np.float64(54960.21631068919), np.float64(54972.69774114339), np.float64(54992.89129047341), np.float64(55018.49468014368), np.float64(55017.78845922476), np.float64(55019.962202328315), np.float64(55044.622466275265), np.float64(55067.2160291391), np.float64(55096.238204691384)]","[np.float64(54882.81204341094), np.float64(54891.93707670089), np.float64(54889.52354773377), np.float64(54894.99587644317), np.float64(54875.82002039076), np.float64(54880.224046695876), np.float64(54920.252480120085), np.float64(54934.34307581485), np.float64(54945.399283185565), np.float64(54971.25030972747), np.float64(54983.088075304855), np.float64(54974.032810782795), np.float64(54955.21925110193), np.float64(55026.226882157636), np.float64(55036.18792184378)]","[np.float64(54895.00314751357), np.float64(54911.62173083365), np.float64(54903.33108816833), np.float64(54904.59568437502), np.float64(54931.42981167376), np.float64(54920.26159393728), np.float64(54946.39652635694), np.float64(54970.50416392625), np.float64(54985.35060683578), np.float64(54999.11215746343), np.float64(55005.18063752592), np.float64(54987.48034548998), np.float64(55040.35502085328), np.float64(55045.81349615246), np.float64(55078.13470057786)]"
4,"[np.float64(54894.269218253496), np.float64(54888.352108378116), np.float64(54892.558436889354), np.float64(54910.89091811717), np.float64(54925.18070612788), np.float64(54939.610235931876), np.float64(54956.769020141066), np.float64(54971.47361005038), np.float64(54972.25076878608), np.float64(54979.5119132185), np.float64(55007.20605574787), np.float64(55022.223439397814), np.float64(55023.81314471901), np.float64(55043.48620884806), np.float64(55041.92750140667)]","[np.float64(54920.217437628125), np.float64(54892.5717523155), np.float64(54910.89091811717), np.float64(54928.402656680315), np.float64(54962.91090206285), np.float64(54958.95049208444), np.float64(54977.25990240832), np.float64(54977.782363628095), np.float64(54985.27655603453), np.float64(55025.69049732607), np.float64(55034.08317368124), np.float64(55043.15053095664), np.float64(55054.76947765023), np.float64(55052.21479649981), np.float64(55049.46077439997)]","[np.float64(54888.33119768978), np.float64(54882.12259789494), np.float64(54892.558436889354), np.float64(54900.774017485644), np.float64(54916.147562773454), np.float64(54939.610235931876), np.float64(54949.86792433656), np.float64(54963.71050676537), np.float64(54950.60213077692), np.float64(54963.312775289996), np.float64(54996.818067523796), np.float64(55022.21502602441), np.float64(55023.802054667605), np.float64(55026.84001451242), np.float64(55041.81637819648)]","[np.float64(54888.352108378116), np.float64(54892.558436889354), np.float64(54910.89091811717), np.float64(54925.18070612788), np.float64(54939.610235931876), np.float64(54956.769020141066), np.float64(54971.47361005038), np.float64(54972.25076878608), np.float64(54979.5119132185), np.float64(55007.20605574787), np.float64(55022.223439397814), np.float64(55023.81314471901), np.float64(55043.48620884806), np.float64(55041.92750140667), np.float64(55041.81637819648)]"
5,"[np.float64(54915.512953329984), np.float64(54898.804291846754), np.float64(54928.76868558169), np.float64(54909.46129590065), np.float64(54933.33814168811), np.float64(54952.198558698), np.float64(54959.44147302598), np.float64(54946.426418366435), np.float64(54977.87602943421), np.float64(54987.14251886696), np.float64(54988.80507758349), np.float64(55013.87066692799), np.float64(54980.078386905196), np.float64(55052.30056488157), np.float64(55067.89527985394)]","[np.float64(54931.02337940438), np.float64(54928.777617230124), np.float64(54928.77766332948), np.float64(54933.33814168811), np.float64(54961.21814783552), np.float64(54983.31290669933), np.float64(54961.43220087385), np.float64(54985.16718221236), np.float64(54995.462014049845), np.float64(54988.81821621527), np.float64(55013.87066692799), np.float64(55026.19280736807), np.float64(55052.30056488157), np.float64(55078.78466625492), np.float64(55115.19756274577)]","[np.float64(54898.790350644), np.float64(54893.64065988237), np.float64(54909.46129590065), np.float64(54891.83195186264), np.float64(54933.33814168811), np.float64(54928.59469664055), np.float64(54946.426418366435), np.float64(54894.65726851459), np.float64(54977.87602943421), np.float64(54975.57199958897), np.float64(54972.576197562325), np.float64(54964.921030865014), np.float64(54980.070038324586), np.float64(55052.30056488157), np.float64(55067.89527985394)]","[np.float64(54898.804291846754), np.float64(54928.76868558169), np.float64(54909.46129590065), np.float64(54933.33814168811), np.float64(54952.198558698), np.float64(54959.44147302598), np.float64(54946.426418366435), np.float64(54977.87602943421), np.float64(54987.14251886696), np.float64(54988.80507758349), np.float64(55013.87066692799), np.float64(54980.078386905196), np.float64(55052.30056488157), np.float64(55067.89527985394), np.float64(55086.56575526089)]"
6,"[np.float64(54900.773076104524), np.float64(54913.26341205925), np.float64(54903.75341333613), np.float64(54948.55233674139), np.float64(54957.62476269096), np.float64(54932.44915600658), np.float64(54943.31124873549), np.float64(54989.5731882894), np.float64(54947.75458536014), np.float64(54911.95764731705), np.float64(54956.49007273406), np.float64(54995.660702725654), np.float64(55078.214792397026), np.float64(55097.433678942325), np.float64(55033.97230606765)]","[np.float64(54913.37688361114), np.float64(54913.26341205925), np.float64(54990.693235472005), np.float64(54961.84053859967), np.float64(54972.974711037765), np.float64(54953.818835457256), np.float64(54992.105407663665), np.float64(55005.48586525527), np.float64(54964.031562955926), np.float64(54967.344757407496), np.float64(54995.660702725654), np.float64(55078.214792397026), np.float64(55117.246904029096), np.float64(55152.39100352846), np.float64(55061.170717098714)]","[np.float64(54900.773076104524), np.float64(54896.29042630035), np.float64(54903.75341333613), np.float64(54947.72992249445), np.float64(54932.32792999974), np.float64(54922.38247652218), np.float64(54943.31124873549), np.float64(54932.20665851715), np.float64(54855.65239279634), np.float64(54898.12725652747), np.float64(54925.64872776993), np.float64(54972.53405122831), np.float64(55078.214792397026), np.float64(55033.31405797197), np.float64(55033.97230606765)]","[np.float64(54913.26341205925), np.float64(54903.75341333613), np.float64(54948.55233674139), np.float64(54957.62476269096), np.float64(54932.44915600658), np.float64(54943.31124873549), np.float64(54989.5731882894), np.float64(54947.75458536014), np.float64(54911.95764731705), np.float64(54956.49007273406), np.float64(54995.660702725654), np.float64(55078.214792397026), np.float64(55097.433678942325), np.float64(55033.97230606765), np.float64(55061.170717098714)]"
7,"[np.float64(54863.52429790512), np.float64(54870.36532891035), np.float64(54936.477137797476), np.float64(54922.700909254854), np.float64(54941.92859249577), np.float64(54903.79987664461), np.float64(54973.7116904834), np.float64(54973.03087650925), np.float64(54950.79279647112), np.float64(54947.1404587166), np.float64(55009.577443819646), np.float64(55008.81901785672), np.float64(55029.7938253814), np.float64(55004.583300004306), np.float64(55043.83083824903)]","[np.float64(54873.20185104385), np.float64(54954.34954317636), np.float64(55012.708247920906), np.float64(54950.28087034855), np.float64(54941.92859249577), np.float64(55006.37713162642), np.float64(55002.35409673791), np.float64(54973.03087650925), np.float64(54985.80311424215), np.float64(55009.577443819646), np.float64(55030.36091511659), np.float64(55049.32584018226), np.float64(55029.7938253814), np.float64(55051.33179093713), np.float64(55058.241558371265)]","[np.float64(54863.52429790512), np.float64(54864.87910693296), np.float64(54922.700909254854), np.float64(54909.65023045006), np.float64(54887.604497845954), np.float64(54895.42999006604), np.float64(54973.02550827839), np.float64(54914.531816798706), np.float64(54927.86933790445), np.float64(54944.70248992952), np.float64(54984.38940170244), np.float64(55002.432656558056), np.float64(55004.583300004306), np.float64(54884.1366346908), np.float64(54988.59696800022)]","[np.float64(54870.36532891035), np.float64(54936.477137797476), np.float64(54922.700909254854), np.float64(54941.92859249577), np.float64(54903.79987664461), np.float64(54973.7116904834), np.float64(54973.03087650925), np.float64(54950.79279647112), np.float64(54947.1404587166), np.float64(55009.577443819646), np.float64(55008.81901785672), np.float64(55029.7938253814), np.float64(55004.583300004306), np.float64(55043.83083824903), np.float64(55000.68313001186)]"
8,"[np.float64(54866.93000982568), np.float64(54885.932732237285), np.float64(54884.99994738937), np.float64(54949.09830156058), np.float64(54963.82467376381), np.float64(54956.0642121324), np.float64(54953.8141011709), np.float64(54987.44871089697), np.float64(54937.91600911111), np.float64(54953.595205872654), np.float64(55005.23787469209), np.float64(55041.46115924955), np.float64(55030.23932355881), np.float64(55038.925800771416), np.float64(55013.868220608834)]","[np.float64(54940.88054213097), np.float64(54885.94582722566), np.float64(54966.76185809614), np.float64(54963.95643194672), np.float64(54967.52165734824), np.float64(54974.97532253458), np.float64(54987.44871089697), np.float64(55004.950550085676), np.float64(54989.752171460204), np.float64(55005.23787469209), np.float64(55042.22309433784), np.float64(55052.19707747969), np.float64(55043.92918648442), np.float64(55038.93932307564), np.float64(55046.704203979854)]","[np.float64(54846.64563315577), np.float64(54884.98877454118), np.float64(54884.99994738937), np.float64(54944.25257701907), np.float64(54949.41916781496), np.float64(54953.801249570606), np.float64(54953.8141011709), np.float64(54922.24449854001), np.float64(54930.3488933242), np.float64(54953.595205872654), np.float64(54983.727482536764), np.float64(55030.23932355881), np.float64(55024.52595967477), np.float64(54987.71163644495), np.float64(55013.868220608834)]","[np.float64(54885.932732237285), np.float64(54884.99994738937), np.float64(54949.09830156058), np.float64(54963.82467376381), np.float64(54956.0642121324), np.float64(54953.8141011709), np.float64(54987.44871089697), np.float64(54937.91600911111), np.float64(54953.595205872654), np.float64(55005.23787469209), np.float64(55041.46115924955), np.float64(55030.23932355881), np.float64(55038.925800771416), np.float64(55013.868220608834), np.float64(55024.108345068395)]"
9,"[np.float64(54874.257288653556), np.float64(54880.823577910065), np.float64(54938.90515983343), np.float64(54897.71576359734), np.float64(54841.960999821276), np.float64(54887.363493835335), np.float64(54943.89179713518), np.float64(55007.97316111714), np.float64(54980.42955099434), np.float64(54867.25237102002), np.float64(54951.46727682442), np.float64(54978.16375678122), np.float64(55018.588644767704), np.float64(55018.5905213961), np.float64(55007.63895370603)]","[np.float64(54880.823577910065), np.float64(54942.39096884127), np.float64(54938.90515983343), np.float64(54902.46355627829), np.float64(54887.9620081422), np.float64(54947.22659692917), np.float64(55019.662840033474), np.float64(55023.94026406033), np.float64(54980.43872400306), np.float64(54982.099379985746), np.float64(54992.37607132053), np.float64(55026.10761266184), np.float64(55018.5905213961), np.float64(55018.5905213961), np.float64(55097.12364670477)]","[np.float64(54874.257288653556), np.float64(54880.81511473204), np.float64(54890.19403202818), np.float64(54841.960999821276), np.float64(54841.960999821276), np.float64(54887.349353520935), np.float64(54938.43421847476), np.float64(54975.285267652216), np.float64(54862.37700014351), np.float64(54867.25237102002), np.float64(54945.946902521246), np.float64(54978.16375678122), np.float64(55003.8200073721), np.float64(55007.63895370603), np.float64(55007.61503899259)]","[np.float64(54880.823577910065), np.float64(54938.90515983343), np.float64(54897.71576359734), np.float64(54841.960999821276), np.float64(54887.363493835335), np.float64(54943.89179713518), np.float64(55007.97316111714), np.float64(54980.42955099434), np.float64(54867.25237102002), np.float64(54951.46727682442), np.float64(54978.16375678122), np.float64(55018.588644767704), np.float64(55018.5905213961), np.float64(55007.63895370603), np.float64(55097.09699170083)]"
