,o_chunk,h_chunk,l_chunk,c_chunk
0,"[np.float64(55000.0), np.float64(54999.17375401274), np.float64(54999.64966467032), np.float64(55001.00660080425), np.float64(54998.5091241783), np.float64(54998.05277901848), np.float64(54999.19633890926), np.float64(54998.164354823806), np.float64(54999.499399535416), np.float64(55000.31507483433), np.float64(54997.0859117348), np.float64(54997.44999460182), np.float64(54998.54524942502), np.float64(54997.46048170176), np.float64(54997.62745291917), np.float64(54998.151372667), np.float64(54996.16063893469), np.float64(54997.26227322484), np.float64(54995.777900235)]","[np.float64(55000.50395602706), np.float64(55000.118606138196), np.float64(55001.483400634555), np.float64(55001.52085789506), np.float64(54999.01331101444), np.float64(54999.69509851646), np.float64(54999.73008853222), np.float64(54999.97557907418), np.float64(55000.82451329389), np.float64(55000.812270531445), np.float64(54997.89856512918), np.float64(54999.05475949505), np.float64(54999.018636774534), np.float64(54998.10761479678), np.float64(54998.63688588299), np.float64(54998.63129949842), np.float64(54997.78512774984), np.float64(54997.7427433639), np.float64(54996.27138504672)]","[np.float64(54998.66979798568), np.float64(54998.70481254487), np.float64(54999.17286484002), np.float64(54997.99486708749), np.float64(54997.54859218234), np.float64(54997.554019411284), np.float64(54997.63060520085), np.float64(54997.688175285046), np.float64(54998.98996107586), np.float64(54996.58871603769), np.float64(54996.63734120744), np.float64(54996.94048453179), np.float64(54996.98709435225), np.float64(54996.98031982415), np.float64(54997.141939703186), np.float64(54995.680712103276), np.float64(54995.63778440969), np.float64(54995.29743009594), np.float64(54993.67990176357)]","[np.float64(54999.17375401274), np.float64(54999.64966467032), np.float64(55001.00660080425), np.float64(54998.5091241783), np.float64(54998.05277901848), np.float64(54999.19633890926), np.float64(54998.164354823806), np.float64(54999.499399535416), np.float64(55000.31507483433), np.float64(54997.0859117348), np.float64(54997.44999460182), np.float64(54998.54524942502), np.float64(54997.46048170176), np.float64(54997.62745291917), np.float64(54998.151372667), np.float64(54996.16063893469), np.float64(54997.26227322484), np.float64(54995.777900235), np.float64(54994.17338657529)]"
1,"[np.float64(55000.0), np.float64(55000.11086495578), np.float64(55000.05733570295), np.float64(55000.204042298705), np.float64(54997.677260871875), np.float64(54997.05903399807), np.float64(54998.14116904527), np.float64(54998.68786928451), np.float64(54998.94356207522), np.float64(54999.823359153124), np.float64(54997.747994342375), np.float64(54999.04475212748), np.float64(54997.18601783704), np.float64(54996.81877485522), np.float64(54997.901090475905), np.float64(54996.14063921665), np.float64(54996.92376317973), np.float64(54996.94297872895), np.float64(54997.85550418644)]","[np.float64(55000.603979662585), np.float64(55000.58820612837), np.float64(55000.70357543197), np.float64(55000.69841998038), np.float64(54998.16637343631), np.float64(54998.66436870546), np.float64(54999.2221775847), np.float64(54999.46376217156), np.float64(55000.30794366287), np.float64(55000.30684949497), np.float64(54999.52928367134), np.float64(54999.5372840845), np.float64(54997.71928099473), np.float64(54998.3792447464), np.float64(54998.4315315861), np.float64(54997.41616922018), np.float64(54997.411683438), np.float64(54998.32748244533), np.float64(54998.37624080451)]","[np.float64(54999.506885293195), np.float64(54999.57999453036), np.float64(54999.55780256968), np.float64(54997.1828831902), np.float64(54996.569921433635), np.float64(54996.53583433788), np.float64(54997.60686074509), np.float64(54998.16766918817), np.float64(54998.458977565475), np.float64(54997.26450400053), np.float64(54997.26346279851), np.float64(54996.693485880016), np.float64(54996.28551169753), np.float64(54996.34062058473), np.float64(54995.61019810645), np.float64(54995.648233176194), np.float64(54996.45505847068), np.float64(54996.471000470054), np.float64(54995.684780213065)]","[np.float64(55000.11086495578), np.float64(55000.05733570295), np.float64(55000.204042298705), np.float64(54997.677260871875), np.float64(54997.05903399807), np.float64(54998.14116904527), np.float64(54998.68786928451), np.float64(54998.94356207522), np.float64(54999.823359153124), np.float64(54997.747994342375), np.float64(54999.04475212748), np.float64(54997.18601783704), np.float64(54996.81877485522), np.float64(54997.901090475905), np.float64(54996.14063921665), np.float64(54996.92376317973), np.float64(54996.94297872895), np.float64(54997.85550418644), np.float64(54996.205516831134)]"
2,"[np.float64(55000.0), np.float64(54999.51265205488), np.float64(55000.747001491065), np.float64(55000.02693712758), np.float64(54997.09175506458), np.float64(54997.48414372008), np.float64(54999.72459737727), np.float64(54998.10784101629), np.float64(54998.12908333254), np.float64(54997.24790149159), np.float64(54995.50445293763), np.float64(54996.58713993296), np.float64(54995.53172975278), np.float64(54996.843131434354), np.float64(54995.600559213315), np.float64(54995.93201951007), np.float64(54994.463718127), np.float64(54994.44692834835), np.float64(54993.02177958548)]","[np.float64(55000.511549416864), np.float64(55001.23080947449), np.float64(55001.252397993536), np.float64(55000.53574702608), np.float64(54997.99832162307), np.float64(55000.23593472358), np.float64(55000.263970612985), np.float64(54998.60350991339), np.float64(54998.63544792232), np.float64(54997.75938770651), np.float64(54997.095545719065), np.float64(54997.08784108472), np.float64(54997.32077154064), np.float64(54997.33920330783), np.float64(54996.39347069442), np.float64(54996.44286992819), np.float64(54994.97565855418), np.float64(54994.91485165777), np.float64(54995.3731002427)]","[np.float64(54999.001102638016), np.float64(54999.02884407146), np.float64(54999.52154062511), np.float64(54996.58294516608), np.float64(54996.577577161595), np.float64(54996.97280637377), np.float64(54997.56846778058), np.float64(54997.63341443544), np.float64(54996.741536901805), np.float64(54994.99296672271), np.float64(54994.99604715153), np.float64(54995.03102860102), np.float64(54995.054089646495), np.float64(54995.10448733984), np.float64(54995.13910802897), np.float64(54993.95286770888), np.float64(54993.934987921166), np.float64(54992.553856276056), np.float64(54992.53815912484)]","[np.float64(54999.51265205488), np.float64(55000.747001491065), np.float64(55000.02693712758), np.float64(54997.09175506458), np.float64(54997.48414372008), np.float64(54999.72459737727), np.float64(54998.10784101629), np.float64(54998.12908333254), np.float64(54997.24790149159), np.float64(54995.50445293763), np.float64(54996.58713993296), np.float64(54995.53172975278), np.float64(54996.843131434354), np.float64(54995.600559213315), np.float64(54995.93201951007), np.float64(54994.463718127), np.float64(54994.44692834835), np.float64(54993.02177958548), np.float64(54994.88947978206)]"
3,"[np.float64(55000.0), np.float64(55000.464042954685), np.float64(55000.21294288338), np.float64(54999.53546246625), np.float64(55000.92865503466), np.float64(54998.00952098826), np.float64(54998.872981703586), np.float64(54997.202866975436), np.float64(55000.4872925373), np.float64(54998.044406805544), np.float64(55000.88975053022), np.float64(55001.206210656295), np.float64(54998.03933347392), np.float64(54998.44877397744), np.float64(54999.1270301112), np.float64(54998.2141170919), np.float64(54997.753003060345), np.float64(54996.069522130965), np.float64(54998.59232637174)]","[np.float64(55001.01725761314), np.float64(55001.0064079029), np.float64(55000.74487602771), np.float64(55001.43767243578), np.float64(55001.40137403883), np.float64(54999.33976718439), np.float64(54999.366595522915), np.float64(55000.99510419085), np.float64(55000.981967166925), np.float64(55001.386313078576), np.float64(55001.709640323366), np.float64(55001.73938506481), np.float64(54998.9326359979), np.float64(54999.61678715931), np.float64(54999.64659746577), np.float64(54998.73729504752), np.float64(54998.25743515707), np.float64(54999.0947211779), np.float64(54999.08004353954)]","[np.float64(54999.44678534155), np.float64(54999.67057793516), np.float64(54999.00352932192), np.float64(54999.02644506513), np.float64(54997.53680198408), np.float64(54997.54273550745), np.float64(54996.70925315611), np.float64(54996.695055321885), np.float64(54997.54973217592), np.float64(54997.54784425719), np.float64(55000.38632086315), np.float64(54997.50615906541), np.float64(54997.55547145346), np.float64(54997.95901692933), np.float64(54997.69454973733), np.float64(54997.229825104725), np.float64(54995.56509003424), np.float64(54995.56712732481), np.float64(54996.693295238685)]","[np.float64(55000.464042954685), np.float64(55000.21294288338), np.float64(54999.53546246625), np.float64(55000.92865503466), np.float64(54998.00952098826), np.float64(54998.872981703586), np.float64(54997.202866975436), np.float64(55000.4872925373), np.float64(54998.044406805544), np.float64(55000.88975053022), np.float64(55001.206210656295), np.float64(54998.03933347392), np.float64(54998.44877397744), np.float64(54999.1270301112), np.float64(54998.2141170919), np.float64(54997.753003060345), np.float64(54996.069522130965), np.float64(54998.59232637174), np.float64(54997.18101240649)]"
4,"[np.float64(55000.0), np.float64(55001.94101280375), np.float64(55000.37514166136), np.float64(55001.89333495519), np.float64(54999.914750123826), np.float64(54998.40428934985), np.float64(55000.10781872801), np.float64(55000.75583250429), np.float64(54998.23713916647), np.float64(54999.888125015736), np.float64(54997.94672090342), np.float64(55000.68605318485), np.float64(54998.31886390232), np.float64(54997.41613176137), np.float64(54999.15247225126), np.float64(54999.92358215129), np.float64(54997.081313224684), np.float64(54998.13300441269), np.float64(54998.14736383081)]","[np.float64(55002.44998297126), np.float64(55002.45652706984), np.float64(55002.37176945782), np.float64(55002.39028365155), np.float64(55000.42545405957), np.float64(55000.624501434344), np.float64(55001.25308381459), np.float64(55001.277748305874), np.float64(55000.35988252514), np.float64(55000.38382971501), np.float64(55001.17247548243), np.float64(55001.16540124125), np.float64(54998.77676008325), np.float64(54999.66766331958), np.float64(55000.400098431775), np.float64(55000.41645179768), np.float64(54998.64894203297), np.float64(54998.67430114979), np.float64(54998.62443777721)]","[np.float64(54999.49102983249), np.float64(54999.85962739527), np.float64(54999.896707158725), np.float64(54999.417801427466), np.float64(54997.8935854141), np.float64(54997.88760664351), np.float64(54999.61056741771), np.float64(54997.71522336489), np.float64(54997.76538165707), np.float64(54997.45101620415), np.float64(54997.46029860584), np.float64(54997.839515845924), np.float64(54996.95823558044), np.float64(54996.90094069305), np.float64(54998.67595597078), np.float64(54996.588443578294), np.float64(54996.565375604405), np.float64(54997.60606709371), np.float64(54997.13159530937)]","[np.float64(55001.94101280375), np.float64(55000.37514166136), np.float64(55001.89333495519), np.float64(54999.914750123826), np.float64(54998.40428934985), np.float64(55000.10781872801), np.float64(55000.75583250429), np.float64(54998.23713916647), np.float64(54999.888125015736), np.float64(54997.94672090342), np.float64(55000.68605318485), np.float64(54998.31886390232), np.float64(54997.41613176137), np.float64(54999.15247225126), np.float64(54999.92358215129), np.float64(54997.081313224684), np.float64(54998.13300441269), np.float64(54998.14736383081), np.float64(54997.60866925577)]"
5,"[np.float64(55000.0), np.float64(55000.65542415338), np.float64(54998.77673535703), np.float64(54998.90519046786), np.float64(54998.38590010486), np.float64(54997.55017044762), np.float64(54999.30597791253), np.float64(54998.293255953504), np.float64(54996.759622271114), np.float64(54998.41741882775), np.float64(54996.71534673226), np.float64(54996.3468905548), np.float64(54995.227251565804), np.float64(54995.87070461004), np.float64(54994.435492302764), np.float64(54995.5789919767), np.float64(54992.157808989694), np.float64(54995.843855511775), np.float64(54995.33382621288)]","[np.float64(55001.16067548184), np.float64(55001.19986518573), np.float64(54999.392584850655), np.float64(54999.40271709367), np.float64(54998.913052262076), np.float64(54999.80911231948), np.float64(54999.79869997696), np.float64(54998.783950390345), np.float64(54998.90975038497), np.float64(54998.89567009723), np.float64(54997.2089384704), np.float64(54996.820020164916), np.float64(54996.37257005007), np.float64(54996.38818251985), np.float64(54996.10609276059), np.float64(54996.096985748634), np.float64(54996.35721127339), np.float64(54996.35168101909), np.float64(54995.86782762931)]","[np.float64(54999.49474867154), np.float64(54998.23229432468), np.float64(54998.28934097424), np.float64(54997.88837347906), np.float64(54997.023018290405), np.float64(54997.04703604067), np.float64(54997.80053388908), np.float64(54996.26892783427), np.float64(54996.26729071389), np.float64(54996.23709546278), np.float64(54995.853298816655), np.float64(54994.75412195569), np.float64(54994.72538612577), np.float64(54993.918014392955), np.float64(54993.908391518875), np.float64(54991.63981521776), np.float64(54991.64445322808), np.float64(54994.826000705565), np.float64(54992.79473250678)]","[np.float64(55000.65542415338), np.float64(54998.77673535703), np.float64(54998.90519046786), np.float64(54998.38590010486), np.float64(54997.55017044762), np.float64(54999.30597791253), np.float64(54998.293255953504), np.float64(54996.759622271114), np.float64(54998.41741882775), np.float64(54996.71534673226), np.float64(54996.3468905548), np.float64(54995.227251565804), np.float64(54995.87070461004), np.float64(54994.435492302764), np.float64(54995.5789919767), np.float64(54992.157808989694), np.float64(54995.843855511775), np.float64(54995.33382621288), np.float64(54993.328733923205)]"
6,"[np.float64(55000.0), np.float64(55000.809319457134), np.float64(55000.07312582668), np.float64(54998.67389617993), np.float64(55000.330424769265), np.float64(54999.930447601655), np.float64(55000.12203616631), np.float64(54998.903345031074), np.float64(54998.977922677106), np.float64(54998.09666880105), np.float64(55000.267241331465), np.float64(54999.04295182055), np.float64(54998.723732500424), np.float64(54998.55038246594), np.float64(54998.716965843), np.float64(54997.463628705154), np.float64(54999.38225745643), np.float64(54998.06135981664), np.float64(54996.1322848967)]","[np.float64(55001.32876916486), np.float64(55001.32773830048), np.float64(55000.61309709469), np.float64(55000.825873149675), np.float64(55000.84875035049), np.float64(55000.63966624559), np.float64(55000.60286183054), np.float64(54999.45928919654), np.float64(54999.44883213241), np.float64(55000.77956863542), np.float64(55000.762651408324), np.float64(54999.58356620193), np.float64(54999.23113208262), np.float64(54999.227377242394), np.float64(54999.20658478321), np.float64(54999.8970718507), np.float64(54999.93529632239), np.float64(54998.572979586075), np.float64(54997.934763596815)]","[np.float64(54999.480550292275), np.float64(54999.554706983334), np.float64(54998.13392491192), np.float64(54998.17844779952), np.float64(54999.41212202043), np.float64(54999.412817522374), np.float64(54998.42251936684), np.float64(54998.421978511644), np.float64(54997.62575934575), np.float64(54997.584341497095), np.float64(54998.54754174369), np.float64(54998.18311811904), np.float64(54998.042982883744), np.float64(54998.039971066544), np.float64(54996.97400976494), np.float64(54996.94881431089), np.float64(54997.508320950685), np.float64(54995.620665127266), np.float64(54995.62028737676)]","[np.float64(55000.809319457134), np.float64(55000.07312582668), np.float64(54998.67389617993), np.float64(55000.330424769265), np.float64(54999.930447601655), np.float64(55000.12203616631), np.float64(54998.903345031074), np.float64(54998.977922677106), np.float64(54998.09666880105), np.float64(55000.267241331465), np.float64(54999.04295182055), np.float64(54998.723732500424), np.float64(54998.55038246594), np.float64(54998.716965843), np.float64(54997.463628705154), np.float64(54999.38225745643), np.float64(54998.06135981664), np.float64(54996.1322848967), np.float64(54997.422766076874)]"
7,"[np.float64(55000.0), np.float64(55001.030447233265), np.float64(54999.330055397346), np.float64(54998.43230707344), np.float64(54999.88074624949), np.float64(54999.087716133836), np.float64(54998.43885263348), np.float64(54999.2048432911), np.float64(54995.80969264109), np.float64(54994.85664090693), np.float64(54996.987586728916), np.float64(54997.23134905448), np.float64(54994.520344293116), np.float64(54996.00051643992), np.float64(54995.83371017993), np.float64(54996.16700453134), np.float64(54995.58132872607), np.float64(54995.88781594367), np.float64(54993.10645078953)]","[np.float64(55001.5496057216), np.float64(55001.545677171365), np.float64(54999.854335100776), np.float64(55000.397004757826), np.float64(55000.4054176589), np.float64(54999.562467221935), np.float64(54999.71700276254), np.float64(54999.69676528194), np.float64(54996.28897285446), np.float64(54997.47420086941), np.float64(54997.72300760363), np.float64(54997.72173708691), np.float64(54996.503193210505), np.float64(54996.48436615515), np.float64(54996.66382057011), np.float64(54996.64853256497), np.float64(54996.38056502559), np.float64(54996.39186436549), np.float64(54995.81501033)]","[np.float64(54999.480841511664), np.float64(54998.814825459245), np.float64(54997.90802737001), np.float64(54997.9160485651), np.float64(54998.563044724426), np.float64(54997.96410154538), np.float64(54997.926693162044), np.float64(54995.317770650254), np.float64(54994.37736069356), np.float64(54994.37002676644), np.float64(54996.495928179764), np.float64(54994.02995626068), np.float64(54994.01766752253), np.float64(54995.3498604647), np.float64(54995.33689414116), np.float64(54995.099800692435), np.float64(54995.08857964415), np.float64(54992.60240236771), np.float64(54992.59938205224)]","[np.float64(55001.030447233265), np.float64(54999.330055397346), np.float64(54998.43230707344), np.float64(54999.88074624949), np.float64(54999.087716133836), np.float64(54998.43885263348), np.float64(54999.2048432911), np.float64(54995.80969264109), np.float64(54994.85664090693), np.float64(54996.987586728916), np.float64(54997.23134905448), np.float64(54994.520344293116), np.float64(54996.00051643992), np.float64(54995.83371017993), np.float64(54996.16700453134), np.float64(54995.58132872607), np.float64(54995.88781594367), np.float64(54993.10645078953), np.float64(54995.30794159271)]"
8,"[np.float64(55000.0), np.float64(54999.569654380866), np.float64(55001.38342447699), np.float64(54999.15611289409), np.float64(54997.93663711106), np.float64(54997.62679327648), np.float64(54999.88819014389), np.float64(54998.853179827536), np.float64(54997.19070633845), np.float64(54997.358716290815), np.float64(54997.14051819253), np.float64(54996.58927279241), np.float64(54995.682684059), np.float64(54995.357229743786), np.float64(54997.203985932036), np.float64(54993.23810949226), np.float64(54995.03970941048), np.float64(54994.43591526983), np.float64(54994.48157153104)]","[np.float64(55000.48952793891), np.float64(55001.89769799149), np.float64(55001.879672257244), np.float64(54999.63021632811), np.float64(54998.43679226576), np.float64(55000.38031922415), np.float64(55000.375931984025), np.float64(54999.323181794185), np.float64(54997.876366101686), np.float64(54997.892800667505), np.float64(54997.6168738915), np.float64(54997.07610445033), np.float64(54996.19558421567), np.float64(54997.71714662528), np.float64(54997.68219830519), np.float64(54995.56531528607), np.float64(54995.555207995865), np.float64(54994.971819180326), np.float64(54994.97369156004)]","[np.float64(54999.08012644196), np.float64(54999.05538086637), np.float64(54998.659865113834), np.float64(54997.46253367704), np.float64(54997.12663812178), np.float64(54997.13466419622), np.float64(54998.3654379874), np.float64(54996.7207043718), np.float64(54996.67305652758), np.float64(54996.60643381584), np.float64(54996.11291709344), np.float64(54995.19585240108), np.float64(54994.84432958712), np.float64(54994.844069050545), np.float64(54992.759897119104), np.float64(54992.71250361667), np.float64(54993.92041668444), np.float64(54993.945667620545), np.float64(54991.8550110401)]","[np.float64(54999.569654380866), np.float64(55001.38342447699), np.float64(54999.15611289409), np.float64(54997.93663711106), np.float64(54997.62679327648), np.float64(54999.88819014389), np.float64(54998.853179827536), np.float64(54997.19070633845), np.float64(54997.358716290815), np.float64(54997.14051819253), np.float64(54996.58927279241), np.float64(54995.682684059), np.float64(54995.357229743786), np.float64(54997.203985932036), np.float64(54993.23810949226), np.float64(54995.03970941048), np.float64(54994.43591526983), np.float64(54994.48157153104), np.float64(54992.347131069095)]"
9,"[np.float64(55000.0), np.float64(55001.00836179368), np.float64(55000.18375811404), np.float64(54999.315050263765), np.float64(54998.512685127076), np.float64(54999.38389907486), np.float64(55000.062011693895), np.float64(54998.54139368255), np.float64(54998.17344854352), np.float64(54998.80769573542), np.float64(54997.584984732544), np.float64(54996.44559454857), np.float64(54997.3927097114), np.float64(54998.93277605739), np.float64(54997.09031045394), np.float64(54998.4065341055), np.float64(54996.34089527954), np.float64(54997.18111346447), np.float64(54995.6487953638)]","[np.float64(55001.50079910786), np.float64(55001.513434689754), np.float64(55000.6694659271), np.float64(54999.81394214931), np.float64(54999.86136511293), np.float64(55000.57485406823), np.float64(55000.5557750828), np.float64(54999.053695305935), np.float64(54999.28346411477), np.float64(54999.314126073004), np.float64(54998.10337687567), np.float64(54997.880294785595), np.float64(54999.470081132), np.float64(54999.38904485583), np.float64(54998.888995145324), np.float64(54998.88927303146), np.float64(54997.67682649836), np.float64(54997.67061697545), np.float64(54996.89073376796)]","[np.float64(54999.50756268582), np.float64(54999.67868521797), np.float64(54998.82934245071), np.float64(54998.01379324153), np.float64(54998.03521908901), np.float64(54998.871056700526), np.float64(54998.047630293644), np.float64(54997.66114692014), np.float64(54997.69768016417), np.float64(54997.07855439496), np.float64(54995.927202405444), np.float64(54995.95800947437), np.float64(54996.855404636786), np.float64(54996.634041655496), np.float64(54996.60784941412), np.float64(54995.858156353584), np.float64(54995.84518224565), np.float64(54995.15929185282), np.float64(54995.154333030834)]","[np.float64(55001.00836179368), np.float64(55000.18375811404), np.float64(54999.315050263765), np.float64(54998.512685127076), np.float64(54999.38389907486), np.float64(55000.062011693895), np.float64(54998.54139368255), np.float64(54998.17344854352), np.float64(54998.80769573542), np.float64(54997.584984732544), np.float64(54996.44559454857), np.float64(54997.3927097114), np.float64(54998.93277605739), np.float64(54997.09031045394), np.float64(54998.4065341055), np.float64(54996.34089527954), np.float64(54997.18111346447), np.float64(54995.6487953638), np.float64(54996.396271435)]"
