,o_chunk,h_chunk,l_chunk,c_chunk
0,"[np.float64(55000.0), np.float64(55001.26236298083), np.float64(54996.49528112241), np.float64(54991.214238517445), np.float64(54987.5935245244), np.float64(54983.97095558606), np.float64(54978.45653322653), np.float64(54975.20489271071), np.float64(54970.56408620214), np.float64(54966.40229404951), np.float64(54963.20073936051), np.float64(54959.80086916826), np.float64(54955.8340495487), np.float64(54950.09312142305), np.float64(54946.94790419609), np.float64(54942.93015573205), np.float64(54938.172568775444), np.float64(54933.21076486075), np.float64(54930.584777053875)]","[np.float64(55001.75708600284), np.float64(55001.77546643275), np.float64(54996.994775877574), np.float64(54991.7098929332), np.float64(54988.12360284466), np.float64(54984.42483595506), np.float64(54978.974573042084), np.float64(54975.71396612307), np.float64(54971.03231134068), np.float64(54966.915801196774), np.float64(54963.74280426581), np.float64(54960.303202678275), np.float64(54956.32447075973), np.float64(54950.612631115626), np.float64(54947.47832565595), np.float64(54943.41571166905), np.float64(54938.642501818555), np.float64(54933.711661240006), np.float64(54931.11496766681)]","[np.float64(54999.50527697799), np.float64(54995.982177670485), np.float64(54990.71474376228), np.float64(54987.09787010865), np.float64(54983.440877265806), np.float64(54978.002652857525), np.float64(54974.68685289515), np.float64(54970.05501278978), np.float64(54965.934068910974), np.float64(54962.68723221325), np.float64(54959.258804262965), np.float64(54955.33171603869), np.float64(54949.60270021202), np.float64(54946.42839450351), np.float64(54942.399734272185), np.float64(54937.68701283845), np.float64(54932.74083181764), np.float64(54930.08388067462), np.float64(54925.72164340198)]","[np.float64(55001.26236298083), np.float64(54996.49528112241), np.float64(54991.214238517445), np.float64(54987.5935245244), np.float64(54983.97095558606), np.float64(54978.45653322653), np.float64(54975.20489271071), np.float64(54970.56408620214), np.float64(54966.40229404951), np.float64(54963.20073936051), np.float64(54959.80086916826), np.float64(54955.8340495487), np.float64(54950.09312142305), np.float64(54946.94790419609), np.float64(54942.93015573205), np.float64(54938.172568775444), np.float64(54933.21076486075), np.float64(54930.584777053875), np.float64(54926.25183401491)]"
1,"[np.float64(55000.0), np.float64(55000.64195912814), np.float64(54993.257746256124), np.float64(54985.84404584917), np.float64(54979.05229871083), np.float64(54972.5333840518), np.float64(54964.471887851956), np.float64(54957.23223751606), np.float64(54950.69320499865), np.float64(54942.56675023676), np.float64(54936.62566166804), np.float64(54929.90555379753), np.float64(54923.30375328585), np.float64(54915.37215794911), np.float64(54907.86944761776), np.float64(54899.617834491095), np.float64(54893.72530565467), np.float64(54886.526578856545), np.float64(54880.15541832541)]","[np.float64(55001.119758597415), np.float64(55001.156856579946), np.float64(54993.76245425109), np.float64(54986.340036780624), np.float64(54979.52680166189), np.float64(54973.048918925226), np.float64(54964.96736529695), np.float64(54957.73449041674), np.float64(54951.202111180064), np.float64(54943.05360618226), np.float64(54937.1327284777), np.float64(54930.41666746113), np.float64(54923.80341218378), np.float64(54915.86059454202), np.float64(54908.37762377437), np.float64(54900.08539709227), np.float64(54894.24226090775), np.float64(54887.02436896962), np.float64(54880.661297498715)]","[np.float64(54999.52220053072), np.float64(54992.742848804315), np.float64(54985.3393378542), np.float64(54978.55630777937), np.float64(54972.05888110074), np.float64(54963.95635297853), np.float64(54956.736760071064), np.float64(54950.19095209797), np.float64(54942.05784405534), np.float64(54936.13880572254), np.float64(54929.39848698787), np.float64(54922.79263962225), np.float64(54914.872499051184), np.float64(54907.38101102485), np.float64(54899.109658334484), np.float64(54893.257743053495), np.float64(54886.009623603466), np.float64(54879.657628212335), np.float64(54872.715386958596)]","[np.float64(55000.64195912814), np.float64(54993.257746256124), np.float64(54985.84404584917), np.float64(54979.05229871083), np.float64(54972.5333840518), np.float64(54964.471887851956), np.float64(54957.23223751606), np.float64(54950.69320499865), np.float64(54942.56675023676), np.float64(54936.62566166804), np.float64(54929.90555379753), np.float64(54923.30375328585), np.float64(54915.37215794911), np.float64(54907.86944761776), np.float64(54899.617834491095), np.float64(54893.72530565467), np.float64(54886.526578856545), np.float64(54880.15541832541), np.float64(54873.2212661319)]"
2,"[np.float64(55000.0), np.float64(54999.38061733257), np.float64(54984.41878876167), np.float64(54966.64186101398), np.float64(54949.5940097971), np.float64(54934.28560026278), np.float64(54916.79597439559), np.float64(54900.23765939315), np.float64(54884.92316345345), np.float64(54868.28832792414), np.float64(54851.8031592726), np.float64(54834.540610848904), np.float64(54818.38075302236), np.float64(54802.24768065305), np.float64(54784.24793980696), np.float64(54769.825401122944), np.float64(54752.68428533207), np.float64(54736.230150710006), np.float64(54719.22881341119)]","[np.float64(55000.49231688632), np.float64(54999.88374500466), np.float64(54984.90878148375), np.float64(54967.138186773846), np.float64(54950.06785404903), np.float64(54934.790615051534), np.float64(54917.29386279332), np.float64(54900.738364344325), np.float64(54885.414376079534), np.float64(54868.77747312334), np.float64(54852.30630177666), np.float64(54835.05013518612), np.float64(54818.88155432155), np.float64(54802.749972181664), np.float64(54784.718310542434), np.float64(54770.349115546305), np.float64(54753.21332483706), np.float64(54736.74768283144), np.float64(54719.70126771436)]","[np.float64(54998.888300446255), np.float64(54983.91566108958), np.float64(54966.151868291905), np.float64(54949.09768403724), np.float64(54933.81175601085), np.float64(54916.290959606835), np.float64(54899.73977099542), np.float64(54884.422458502275), np.float64(54867.79711529806), np.float64(54851.3140140734), np.float64(54834.03746834484), np.float64(54817.871228685144), np.float64(54801.74687935385), np.float64(54783.745648278345), np.float64(54769.35503038747), np.float64(54752.16057090871), np.float64(54735.70111120502), np.float64(54718.711281289754), np.float64(54703.215684339804)]","[np.float64(54999.38061733257), np.float64(54984.41878876167), np.float64(54966.64186101398), np.float64(54949.5940097971), np.float64(54934.28560026278), np.float64(54916.79597439559), np.float64(54900.23765939315), np.float64(54884.92316345345), np.float64(54868.28832792414), np.float64(54851.8031592726), np.float64(54834.540610848904), np.float64(54818.38075302236), np.float64(54802.24768065305), np.float64(54784.24793980696), np.float64(54769.825401122944), np.float64(54752.68428533207), np.float64(54736.230150710006), np.float64(54719.22881341119), np.float64(54703.688138642974)]"
3,"[np.float64(55000.0), np.float64(54999.615759027925), np.float64(54993.84211842211), np.float64(54985.336414405945), np.float64(54979.001363487034), np.float64(54971.443676803836), np.float64(54963.945067893146), np.float64(54957.25304931738), np.float64(54950.179708142925), np.float64(54943.1488776302), np.float64(54935.26168885002), np.float64(54928.30557378573), np.float64(54921.38563561114), np.float64(54913.75557561117), np.float64(54906.90603070383), np.float64(54899.534339364865), np.float64(54893.35180372905), np.float64(54885.53049458869), np.float64(54877.449847892574)]","[np.float64(55000.47279650869), np.float64(55000.12639079597), np.float64(54994.32410505625), np.float64(54985.86293687669), np.float64(54979.51825433839), np.float64(54971.93261310382), np.float64(54964.42273212037), np.float64(54957.75138252655), np.float64(54950.66140551012), np.float64(54943.63570084143), np.float64(54935.76517710923), np.float64(54928.828091750256), np.float64(54921.863649717976), np.float64(54914.27062619807), np.float64(54907.39691797487), np.float64(54900.02369157827), np.float64(54893.8646691846), np.float64(54886.005154058315), np.float64(54877.963102140166)]","[np.float64(54999.14296251923), np.float64(54993.33148665406), np.float64(54984.8544277718), np.float64(54978.47484101629), np.float64(54970.92678595248), np.float64(54963.456131593164), np.float64(54956.77538509016), np.float64(54949.68137493376), np.float64(54942.667180263), np.float64(54934.77486563879), np.float64(54927.80208552652), np.float64(54920.863117646615), np.float64(54913.277561504336), np.float64(54906.39098011693), np.float64(54899.04345209383), np.float64(54892.86245151564), np.float64(54885.01762913314), np.float64(54876.97518842295), np.float64(54870.89102491445)]","[np.float64(54999.615759027925), np.float64(54993.84211842211), np.float64(54985.336414405945), np.float64(54979.001363487034), np.float64(54971.443676803836), np.float64(54963.945067893146), np.float64(54957.25304931738), np.float64(54950.179708142925), np.float64(54943.1488776302), np.float64(54935.26168885002), np.float64(54928.30557378573), np.float64(54921.38563561114), np.float64(54913.75557561117), np.float64(54906.90603070383), np.float64(54899.534339364865), np.float64(54893.35180372905), np.float64(54885.53049458869), np.float64(54877.449847892574), np.float64(54871.40427916204)]"
4,"[np.float64(55000.0), np.float64(55000.351686962546), np.float64(54974.55630442263), np.float64(54950.65341003998), np.float64(54925.681417610744), np.float64(54900.56359850566), np.float64(54874.97330975862), np.float64(54850.55126613667), np.float64(54825.998773070925), np.float64(54801.17374253554), np.float64(54775.76953387225), np.float64(54750.61545283853), np.float64(54725.651655349975), np.float64(54700.958740601294), np.float64(54675.80020915797), np.float64(54650.98084229527), np.float64(54625.54656666891), np.float64(54601.55139114336), np.float64(54577.24572042945)]","[np.float64(55000.854418359224), np.float64(55000.84905137989), np.float64(54975.04753351073), np.float64(54951.16657938514), np.float64(54926.15060824185), np.float64(54901.06473606384), np.float64(54875.48835289823), np.float64(54851.06131731446), np.float64(54826.5185405451), np.float64(54801.67784457457), np.float64(54776.260727493995), np.float64(54751.07616596014), np.float64(54726.16883850816), np.float64(54701.45714083154), np.float64(54676.32909008787), np.float64(54651.450781029256), np.float64(54626.05945677136), np.float64(54602.05090885558), np.float64(54577.788407885055)]","[np.float64(54999.49726860332), np.float64(54974.058940005285), np.float64(54950.16218095188), np.float64(54925.16824826558), np.float64(54900.09440787455), np.float64(54874.47217220044), np.float64(54850.036222997056), np.float64(54825.48872189313), np.float64(54800.65397506137), np.float64(54775.26543183321), np.float64(54750.124259216784), np.float64(54725.190942228364), np.float64(54700.44155744311), np.float64(54675.301808927725), np.float64(54650.45196136537), np.float64(54625.07662793493), np.float64(54601.03850104091), np.float64(54576.74620271723), np.float64(54550.70405727128)]","[np.float64(55000.351686962546), np.float64(54974.55630442263), np.float64(54950.65341003998), np.float64(54925.681417610744), np.float64(54900.56359850566), np.float64(54874.97330975862), np.float64(54850.55126613667), np.float64(54825.998773070925), np.float64(54801.17374253554), np.float64(54775.76953387225), np.float64(54750.61545283853), np.float64(54725.651655349975), np.float64(54700.958740601294), np.float64(54675.80020915797), np.float64(54650.98084229527), np.float64(54625.54656666891), np.float64(54601.55139114336), np.float64(54577.24572042945), np.float64(54551.24674472689)]"
5,"[np.float64(55000.0), np.float64(54999.59321511261), np.float64(54995.84920214652), np.float64(54991.59975640791), np.float64(54987.62367257808), np.float64(54983.8873496615), np.float64(54979.54804903829), np.float64(54975.64592688918), np.float64(54972.49317379118), np.float64(54968.38746545555), np.float64(54963.73583154521), np.float64(54960.56587597755), np.float64(54957.14677642816), np.float64(54952.31842870721), np.float64(54948.286028130824), np.float64(54944.477484252704), np.float64(54940.36510660998), np.float64(54936.49356739357), np.float64(54931.414650933744)]","[np.float64(55000.50573437523), np.float64(55000.05617211975), np.float64(54996.29951054917), np.float64(54992.1346820388), np.float64(54988.086523434125), np.float64(54984.39213634998), np.float64(54980.028506726), np.float64(54976.11796575947), np.float64(54972.994303813975), np.float64(54968.89407083212), np.float64(54964.261121992626), np.float64(54961.037383555675), np.float64(54957.66130212128), np.float64(54952.8195105152), np.float64(54948.79271461634), np.float64(54944.973825680485), np.float64(54940.848641386765), np.float64(54937.00590619302), np.float64(54931.899572973794)]","[np.float64(54999.087480737384), np.float64(54995.38624513938), np.float64(54991.14944800526), np.float64(54987.088746947185), np.float64(54983.42449880545), np.float64(54979.043262349805), np.float64(54975.16546920147), np.float64(54972.02113492089), np.float64(54967.886335432755), np.float64(54963.22922616864), np.float64(54960.04058553013), np.float64(54956.675268850035), np.float64(54951.803903014086), np.float64(54947.784946322834), np.float64(54943.970797767186), np.float64(54939.8687651822), np.float64(54936.01003261678), np.float64(54930.90231213429), np.float64(54928.1117373117)]","[np.float64(54999.59321511261), np.float64(54995.84920214652), np.float64(54991.59975640791), np.float64(54987.62367257808), np.float64(54983.8873496615), np.float64(54979.54804903829), np.float64(54975.64592688918), np.float64(54972.49317379118), np.float64(54968.38746545555), np.float64(54963.73583154521), np.float64(54960.56587597755), np.float64(54957.14677642816), np.float64(54952.31842870721), np.float64(54948.286028130824), np.float64(54944.477484252704), np.float64(54940.36510660998), np.float64(54936.49356739357), np.float64(54931.414650933744), np.float64(54928.59665935175)]"
6,"[np.float64(55000.0), np.float64(55000.43343252487), np.float64(54981.30150842528), np.float64(54962.75526033257), np.float64(54942.52882500913), np.float64(54924.65631457467), np.float64(54905.84200567212), np.float64(54887.14348859783), np.float64(54868.09186606046), np.float64(54849.530851127805), np.float64(54829.980462972824), np.float64(54811.41990131538), np.float64(54792.81647295108), np.float64(54773.90751537722), np.float64(54754.78770368381), np.float64(54735.7534477724), np.float64(54717.566682380435), np.float64(54698.3661495383), np.float64(54679.62197748229)]","[np.float64(55000.92534855704), np.float64(55000.925703550005), np.float64(54981.820211917235), np.float64(54963.253660616254), np.float64(54943.04035839188), np.float64(54925.14634786194), np.float64(54906.30975289552), np.float64(54887.67153929331), np.float64(54868.61817736613), np.float64(54850.015741502866), np.float64(54830.470669421025), np.float64(54811.9153343314), np.float64(54793.3593836445), np.float64(54774.39159302661), np.float64(54755.24480982983), np.float64(54736.27829750846), np.float64(54718.07152987966), np.float64(54698.82908759665), np.float64(54680.16488210593)]","[np.float64(54999.508083967834), np.float64(54980.80923740014), np.float64(54962.23655684061), np.float64(54942.030424725446), np.float64(54924.14478119192), np.float64(54905.35197238485), np.float64(54886.675741374434), np.float64(54867.56381536498), np.float64(54849.004539822134), np.float64(54829.49557259776), np.float64(54810.929694867176), np.float64(54792.32103993506), np.float64(54773.364604683804), np.float64(54754.30362603442), np.float64(54735.29634162638), np.float64(54717.04183264437), np.float64(54697.86130203908), np.float64(54679.15903942394), np.float64(54659.466433210175)]","[np.float64(55000.43343252487), np.float64(54981.30150842528), np.float64(54962.75526033257), np.float64(54942.52882500913), np.float64(54924.65631457467), np.float64(54905.84200567212), np.float64(54887.14348859783), np.float64(54868.09186606046), np.float64(54849.530851127805), np.float64(54829.980462972824), np.float64(54811.41990131538), np.float64(54792.81647295108), np.float64(54773.90751537722), np.float64(54754.78770368381), np.float64(54735.7534477724), np.float64(54717.566682380435), np.float64(54698.3661495383), np.float64(54679.62197748229), np.float64(54660.00933783381)]"
7,"[np.float64(55000.0), np.float64(54999.642366984546), np.float64(54979.883171474634), np.float64(54959.90196070363), np.float64(54940.040488351464), np.float64(54919.750516987515), np.float64(54899.602978461306), np.float64(54878.604058768426), np.float64(54859.05845005943), np.float64(54839.75752525683), np.float64(54819.80827119779), np.float64(54799.59570597706), np.float64(54778.97497342968), np.float64(54759.490990406506), np.float64(54738.315073011945), np.float64(54717.81970732779), np.float64(54698.12297956449), np.float64(54678.46693689224), np.float64(54658.357921174305)]","[np.float64(55000.47676432351), np.float64(55000.14360147405), np.float64(54980.40186156661), np.float64(54960.40864068433), np.float64(54940.54723310052), np.float64(54920.27555001209), np.float64(54900.09184598602), np.float64(54879.12502000563), np.float64(54859.55106222952), np.float64(54840.23349766137), np.float64(54820.30685061313), np.float64(54800.08051354124), np.float64(54779.46912547398), np.float64(54759.99405669366), np.float64(54738.86248611707), np.float64(54718.29427769661), np.float64(54698.63401088769), np.float64(54678.96631275695), np.float64(54658.86984374506)]","[np.float64(54999.165602661036), np.float64(54979.38193698513), np.float64(54959.38327061166), np.float64(54939.53380837077), np.float64(54919.24377223846), np.float64(54899.07794543673), np.float64(54878.11519124371), np.float64(54858.53748882222), np.float64(54839.264913086736), np.float64(54819.33229879325), np.float64(54799.09712656172), np.float64(54778.4901658655), np.float64(54758.9968383622), np.float64(54737.812006724795), np.float64(54717.27229422267), np.float64(54697.64840919567), np.float64(54677.95590556904), np.float64(54657.858545309595), np.float64(54636.95571484131)]","[np.float64(54999.642366984546), np.float64(54979.883171474634), np.float64(54959.90196070363), np.float64(54940.040488351464), np.float64(54919.750516987515), np.float64(54899.602978461306), np.float64(54878.604058768426), np.float64(54859.05845005943), np.float64(54839.75752525683), np.float64(54819.80827119779), np.float64(54799.59570597706), np.float64(54778.97497342968), np.float64(54759.490990406506), np.float64(54738.315073011945), np.float64(54717.81970732779), np.float64(54698.12297956449), np.float64(54678.46693689224), np.float64(54658.357921174305), np.float64(54637.46763741206)]"
8,"[np.float64(55000.0), np.float64(54999.79046950472), np.float64(54974.51017853884), np.float64(54949.0720974049), np.float64(54923.14216476429), np.float64(54897.43516092482), np.float64(54872.10551513511), np.float64(54846.656595124645), np.float64(54820.54305689291), np.float64(54795.37125780589), np.float64(54768.96066172353), np.float64(54743.284482342075), np.float64(54717.05560328971), np.float64(54692.83881955818), np.float64(54666.516956480606), np.float64(54641.034031320836), np.float64(54615.30411416175), np.float64(54589.88127708041), np.float64(54563.83159612444)]","[np.float64(55000.47800942625), np.float64(55000.30106416631), np.float64(54974.99540022645), np.float64(54949.54536610408), np.float64(54923.6225441133), np.float64(54897.89524652121), np.float64(54872.61219815052), np.float64(54847.137502687954), np.float64(54821.04021041664), np.float64(54795.84222794111), np.float64(54769.48450520258), np.float64(54743.77670898576), np.float64(54717.561051633085), np.float64(54693.343405261854), np.float64(54667.0263554929), np.float64(54641.525007696924), np.float64(54615.798851882195), np.float64(54590.36680522011), np.float64(54564.32657280177)]","[np.float64(54999.312460078465), np.float64(54973.999583877245), np.float64(54948.586875717294), np.float64(54922.668896065115), np.float64(54896.95478157581), np.float64(54871.645429538716), np.float64(54846.149912109235), np.float64(54820.0621493296), np.float64(54794.87410428216), np.float64(54768.489691588315), np.float64(54742.76063886303), np.float64(54716.56337664602), np.float64(54692.3333712148), np.float64(54666.01237077693), np.float64(54640.524632308545), np.float64(54614.81313778566), np.float64(54589.38653935996), np.float64(54563.346067984734), np.float64(54537.24642044655)]","[np.float64(54999.79046950472), np.float64(54974.51017853884), np.float64(54949.0720974049), np.float64(54923.14216476429), np.float64(54897.43516092482), np.float64(54872.10551513511), np.float64(54846.656595124645), np.float64(54820.54305689291), np.float64(54795.37125780589), np.float64(54768.96066172353), np.float64(54743.284482342075), np.float64(54717.05560328971), np.float64(54692.83881955818), np.float64(54666.516956480606), np.float64(54641.034031320836), np.float64(54615.30411416175), np.float64(54589.88127708041), np.float64(54563.83159612444), np.float64(54537.741397123886)]"
9,"[np.float64(55000.0), np.float64(54999.67404381915), np.float64(54989.576001648944), np.float64(54982.63468564264), np.float64(54973.11977944264), np.float64(54963.133937893734), np.float64(54955.020219373924), np.float64(54945.441456387955), np.float64(54935.57751805019), np.float64(54927.13490394722), np.float64(54918.067004657925), np.float64(54907.85974975307), np.float64(54899.27855595696), np.float64(54890.61466741252), np.float64(54880.584388069765), np.float64(54871.53246938993), np.float64(54862.665671359624), np.float64(54853.45816664224), np.float64(54844.369953167785)]","[np.float64(55000.52375279852), np.float64(55000.18883525348), np.float64(54990.044005808384), np.float64(54983.1647540583), np.float64(54973.65615058039), np.float64(54963.63643916322), np.float64(54955.53635732324), np.float64(54945.944644578994), np.float64(54936.090611106636), np.float64(54927.64793784137), np.float64(54918.55389364201), np.float64(54908.35551180221), np.float64(54899.75040733083), np.float64(54891.097970234194), np.float64(54881.07332378057), np.float64(54872.027568711266), np.float64(54863.171241398675), np.float64(54853.954307053275), np.float64(54844.85923750679)]","[np.float64(54999.150291020625), np.float64(54989.06121021461), np.float64(54982.1666814832), np.float64(54972.58971102698), np.float64(54962.59756675598), np.float64(54954.517718104435), np.float64(54944.92531843864), np.float64(54935.07432985915), np.float64(54926.62181089077), np.float64(54917.55397076377), np.float64(54907.372860768985), np.float64(54898.78279390782), np.float64(54890.14281603865), np.float64(54880.10108524809), np.float64(54871.04353367913), np.float64(54862.17057203829), np.float64(54852.95259660319), np.float64(54843.87381275675), np.float64(54833.53288162685)]","[np.float64(54999.67404381915), np.float64(54989.576001648944), np.float64(54982.63468564264), np.float64(54973.11977944264), np.float64(54963.133937893734), np.float64(54955.020219373924), np.float64(54945.441456387955), np.float64(54935.57751805019), np.float64(54927.13490394722), np.float64(54918.067004657925), np.float64(54907.85974975307), np.float64(54899.27855595696), np.float64(54890.61466741252), np.float64(54880.584388069765), np.float64(54871.53246938993), np.float64(54862.665671359624), np.float64(54853.45816664224), np.float64(54844.369953167785), np.float64(54834.02216596586)]"
