,o_chunk,h_chunk,l_chunk,c_chunk
0,"[np.float64(55000.0), np.float64(54999.1944782865), np.float64(55000.4538141614), np.float64(55000.478325222466), np.float64(55001.074710811685), np.float64(55000.50562420017), np.float64(55002.44739036288), np.float64(55002.34992201028), np.float64(55002.87893197638), np.float64(55002.98594655225), np.float64(55002.700294747876), np.float64(55003.63950544646), np.float64(55003.24541288456), np.float64(55003.81733325635), np.float64(55004.93945378775), np.float64(55005.297015674616), np.float64(55005.448331308755), np.float64(55005.854438352486), np.float64(55005.71242715266)]","[np.float64(55000.482699318156), np.float64(55000.97338677608), np.float64(55000.987509383915), np.float64(55001.59531401834), np.float64(55001.56688098791), np.float64(55002.9478435881), np.float64(55002.930344088054), np.float64(55003.35192456441), np.float64(55003.46893537264), np.float64(55003.49021337378), np.float64(55004.15966352733), np.float64(55004.14194992366), np.float64(55004.27665247365), np.float64(55005.45397740425), np.float64(55005.785909696046), np.float64(55005.93423817724), np.float64(55006.34711156545), np.float64(55006.32315824896), np.float64(55006.69105073378)]","[np.float64(54998.71177896835), np.float64(54998.674905671825), np.float64(54999.944629999954), np.float64(54999.95772201581), np.float64(55000.01345402394), np.float64(55000.005170974946), np.float64(55001.86696828511), np.float64(55001.87692942225), np.float64(55002.39594315599), np.float64(55002.19602792635), np.float64(55002.180136667004), np.float64(55002.74296840736), np.float64(55002.78609366726), np.float64(55003.302809639856), np.float64(55004.45055976632), np.float64(55004.811108806134), np.float64(55004.955658095794), np.float64(55005.24370725619), np.float64(55005.2443983319)]","[np.float64(54999.1944782865), np.float64(55000.4538141614), np.float64(55000.478325222466), np.float64(55001.074710811685), np.float64(55000.50562420017), np.float64(55002.44739036288), np.float64(55002.34992201028), np.float64(55002.87893197638), np.float64(55002.98594655225), np.float64(55002.700294747876), np.float64(55003.63950544646), np.float64(55003.24541288456), np.float64(55003.81733325635), np.float64(55004.93945378775), np.float64(55005.297015674616), np.float64(55005.448331308755), np.float64(55005.854438352486), np.float64(55005.71242715266), np.float64(55006.22302191302)]"
1,"[np.float64(55000.0), np.float64(54999.63737739505), np.float64(55000.20453412205), np.float64(55000.80862005206), np.float64(55001.22755085025), np.float64(55001.79327380474), np.float64(55001.22710111079), np.float64(55001.506773329565), np.float64(55001.76226216093), np.float64(55002.153726601864), np.float64(55002.02845944105), np.float64(55002.14718155166), np.float64(55002.41028289082), np.float64(55002.619874057295), np.float64(55002.75003248089), np.float64(55004.17281736944), np.float64(55003.93110123963), np.float64(55003.559923174325), np.float64(55004.592763683264)]","[np.float64(55000.49904423349), np.float64(55000.71328508278), np.float64(55001.31422038292), np.float64(55001.72029638585), np.float64(55002.30441470337), np.float64(55002.30786310472), np.float64(55002.01426588388), np.float64(55002.2757142994), np.float64(55002.64283966101), np.float64(55002.65563974358), np.float64(55002.608135883806), np.float64(55002.88839376202), np.float64(55003.069469091526), np.float64(55003.25906442969), np.float64(55004.68491657109), np.float64(55004.682757414324), np.float64(55004.39627415272), np.float64(55005.10215909739), np.float64(55005.22558474964)]","[np.float64(54999.13833316156), np.float64(54999.12862643432), np.float64(54999.698933791195), np.float64(55000.31587451646), np.float64(55000.716409951616), np.float64(55000.71251181081), np.float64(55000.71960855647), np.float64(55000.9933211911), np.float64(55001.273149101784), np.float64(55001.526546299334), np.float64(55001.567505108906), np.float64(55001.669070680466), np.float64(55001.96068785659), np.float64(55002.1108421085), np.float64(55002.23793327925), np.float64(55003.42116119475), np.float64(55003.09475026123), np.float64(55003.0505277602), np.float64(55004.11632768625)]","[np.float64(54999.63737739505), np.float64(55000.20453412205), np.float64(55000.80862005206), np.float64(55001.22755085025), np.float64(55001.79327380474), np.float64(55001.22710111079), np.float64(55001.506773329565), np.float64(55001.76226216093), np.float64(55002.153726601864), np.float64(55002.02845944105), np.float64(55002.14718155166), np.float64(55002.41028289082), np.float64(55002.619874057295), np.float64(55002.75003248089), np.float64(55004.17281736944), np.float64(55003.93110123963), np.float64(55003.559923174325), np.float64(55004.592763683264), np.float64(55004.74914875263)]"
2,"[np.float64(55000.0), np.float64(54999.572962101236), np.float64(55000.452090879255), np.float64(54999.97990754296), np.float64(55000.64540781374), np.float64(55000.383278166235), np.float64(55001.37519201474), np.float64(55001.158232469774), np.float64(55000.751509053865), np.float64(55000.72477927671), np.float64(55000.89292260113), np.float64(55001.04548373667), np.float64(55002.13511904727), np.float64(55001.59083078721), np.float64(55002.712704926416), np.float64(55000.89949563308), np.float64(55001.82269034969), np.float64(55001.977360978606), np.float64(55001.507459311695)]","[np.float64(55000.49539713593), np.float64(55000.96772400711), np.float64(55000.95972245991), np.float64(55001.128461808556), np.float64(55001.13522759366), np.float64(55001.91894368344), np.float64(55001.85952414927), np.float64(55001.64693982997), np.float64(55001.23708008778), np.float64(55001.38639548667), np.float64(55001.56888765925), np.float64(55002.63148030987), np.float64(55002.64841510426), np.float64(55003.2157600066), np.float64(55003.237501156975), np.float64(55002.29416154185), np.float64(55002.48135595362), np.float64(55002.49505252628), np.float64(55002.529289861806)]","[np.float64(54999.07756496531), np.float64(54999.05732897338), np.float64(54999.472275962304), np.float64(54999.496853548146), np.float64(54999.893458386316), np.float64(54999.83952649753), np.float64(55000.67390033524), np.float64(55000.26280169367), np.float64(55000.23920824279), np.float64(55000.23130639117), np.float64(55000.369518678555), np.float64(55000.54912247407), np.float64(55001.07753473022), np.float64(55001.08777570703), np.float64(55000.37469940252), np.float64(55000.42802444092), np.float64(55001.31869537468), np.float64(55000.98976776402), np.float64(55001.00327591444)]","[np.float64(54999.572962101236), np.float64(55000.452090879255), np.float64(54999.97990754296), np.float64(55000.64540781374), np.float64(55000.383278166235), np.float64(55001.37519201474), np.float64(55001.158232469774), np.float64(55000.751509053865), np.float64(55000.72477927671), np.float64(55000.89292260113), np.float64(55001.04548373667), np.float64(55002.13511904727), np.float64(55001.59083078721), np.float64(55002.712704926416), np.float64(55000.89949563308), np.float64(55001.82269034969), np.float64(55001.977360978606), np.float64(55001.507459311695), np.float64(55002.02510646455)]"
3,"[np.float64(55000.0), np.float64(55000.23670857814), np.float64(55000.069696310944), np.float64(55001.4335948373), np.float64(55001.30536040909), np.float64(55002.40220246425), np.float64(55001.95423788538), np.float64(55001.82505027444), np.float64(55003.07779965776), np.float64(55002.85163659338), np.float64(55003.494487928896), np.float64(55002.93574209626), np.float64(55002.66569994328), np.float64(55004.355477398036), np.float64(55003.7468688972), np.float64(55004.59390823794), np.float64(55004.84474158224), np.float64(55005.88554580463), np.float64(55006.408710226555)]","[np.float64(55000.70316096459), np.float64(55000.71685426466), np.float64(55001.93369033588), np.float64(55001.94044818691), np.float64(55002.91605749683), np.float64(55002.88912390395), np.float64(55002.47739065792), np.float64(55003.60606051546), np.float64(55003.57534567722), np.float64(55003.98359202233), np.float64(55004.02322103724), np.float64(55003.42062670162), np.float64(55004.87479953313), np.float64(55004.838305930345), np.float64(55005.07425297248), np.float64(55005.345783296856), np.float64(55006.38726905094), np.float64(55006.914263471976), np.float64(55006.8909839693)]","[np.float64(54999.533547613544), np.float64(54999.58955062442), np.float64(54999.56960081236), np.float64(55000.79850705947), np.float64(55000.79150537651), np.float64(55001.467316445676), np.float64(55001.3018975019), np.float64(55001.29678941674), np.float64(55002.35409057392), np.float64(55002.36253249995), np.float64(55002.40700898792), np.float64(55002.180815337924), np.float64(55002.14637780819), np.float64(55003.26404036489), np.float64(55003.26652416266), np.float64(55004.09286652332), np.float64(55004.34301833593), np.float64(55005.37999255921), np.float64(55005.55351766145)]","[np.float64(55000.23670857814), np.float64(55000.069696310944), np.float64(55001.4335948373), np.float64(55001.30536040909), np.float64(55002.40220246425), np.float64(55001.95423788538), np.float64(55001.82505027444), np.float64(55003.07779965776), np.float64(55002.85163659338), np.float64(55003.494487928896), np.float64(55002.93574209626), np.float64(55002.66569994328), np.float64(55004.355477398036), np.float64(55003.7468688972), np.float64(55004.59390823794), np.float64(55004.84474158224), np.float64(55005.88554580463), np.float64(55006.408710226555), np.float64(55006.035791404196)]"
4,"[np.float64(55000.0), np.float64(55000.788029578944), np.float64(54999.80904933792), np.float64(55000.114886225725), np.float64(55001.06915944067), np.float64(54999.53915156884), np.float64(54999.05204483332), np.float64(55000.68341888693), np.float64(55000.981329966), np.float64(55000.91509459479), np.float64(55001.20578840782), np.float64(55001.660404221635), np.float64(55001.23188420673), np.float64(55001.4349305073), np.float64(55001.512545818594), np.float64(55001.73941536429), np.float64(55002.429949961166), np.float64(55001.72725881055), np.float64(55001.364589409226)]","[np.float64(55001.28012813987), np.float64(55001.31249431698), np.float64(55000.611318717536), np.float64(55001.56701769485), np.float64(55001.56674548326), np.float64(55000.0586509815), np.float64(55001.20804997702), np.float64(55001.487532878564), np.float64(55001.49253046689), np.float64(55001.69109930088), np.float64(55002.144434316135), np.float64(55002.15482670666), np.float64(55001.93849076267), np.float64(55002.004094102595), np.float64(55002.23142912204), np.float64(55002.948961848575), np.float64(55002.9312945195), np.float64(55002.224726982175), np.float64(55003.23287543022)]","[np.float64(54999.50790143907), np.float64(54999.28458459988), np.float64(54999.31261684611), np.float64(54999.617027971544), np.float64(54999.04156552625), np.float64(54998.53254542066), np.float64(54998.52741374323), np.float64(55000.17721597437), np.float64(55000.403894093906), np.float64(55000.42978370173), np.float64(55000.72175831332), np.float64(55000.73746172171), np.float64(55000.728323951356), np.float64(55000.9433822233), np.float64(55001.020532060844), np.float64(55001.22040347688), np.float64(55001.225914252216), np.float64(55000.8671212376), np.float64(55000.85768537242)]","[np.float64(55000.788029578944), np.float64(54999.80904933792), np.float64(55000.114886225725), np.float64(55001.06915944067), np.float64(54999.53915156884), np.float64(54999.05204483332), np.float64(55000.68341888693), np.float64(55000.981329966), np.float64(55000.91509459479), np.float64(55001.20578840782), np.float64(55001.660404221635), np.float64(55001.23188420673), np.float64(55001.4349305073), np.float64(55001.512545818594), np.float64(55001.73941536429), np.float64(55002.429949961166), np.float64(55001.72725881055), np.float64(55001.364589409226), np.float64(55002.72597139342)]"
5,"[np.float64(55000.0), np.float64(54999.39473673482), np.float64(55000.421660494496), np.float64(54999.91668024087), np.float64(55000.923371433964), np.float64(54999.66202935633), np.float64(55001.32510746275), np.float64(55001.44867427563), np.float64(55001.135452040384), np.float64(55001.18808611059), np.float64(55000.420437429515), np.float64(55001.38094298747), np.float64(55002.10019770105), np.float64(55002.48278978688), np.float64(55001.679980604014), np.float64(55002.21255984946), np.float64(55002.42281643006), np.float64(55002.84617917152), np.float64(55002.607526654436)]","[np.float64(55000.47777014382), np.float64(55000.91950536919), np.float64(55000.95576355501), np.float64(55001.42804695173), np.float64(55001.45523907989), np.float64(55001.81501054812), np.float64(55001.94440003815), np.float64(55001.941100201024), np.float64(55001.676485873446), np.float64(55001.7053413588), np.float64(55001.869390855056), np.float64(55002.589346112116), np.float64(55002.9667168161), np.float64(55002.975526488015), np.float64(55002.71465208509), np.float64(55002.925762154955), np.float64(55003.353076970896), np.float64(55003.33119514407), np.float64(55003.66977714399)]","[np.float64(54998.916966591), np.float64(54998.89689186013), np.float64(54999.38257718036), np.float64(54999.412004723104), np.float64(54999.1301617104), np.float64(54999.17212627096), np.float64(55000.82938170023), np.float64(55000.64302611499), np.float64(55000.64705227753), np.float64(54999.903182181304), np.float64(54999.93198956193), np.float64(55000.891794576404), np.float64(55001.61627067183), np.float64(55001.18724390288), np.float64(55001.17788836839), np.float64(55001.709614124564), np.float64(55001.915918630686), np.float64(55002.12251068189), np.float64(55002.109068432685)]","[np.float64(54999.39473673482), np.float64(55000.421660494496), np.float64(54999.91668024087), np.float64(55000.923371433964), np.float64(54999.66202935633), np.float64(55001.32510746275), np.float64(55001.44867427563), np.float64(55001.135452040384), np.float64(55001.18808611059), np.float64(55000.420437429515), np.float64(55001.38094298747), np.float64(55002.10019770105), np.float64(55002.48278978688), np.float64(55001.679980604014), np.float64(55002.21255984946), np.float64(55002.42281643006), np.float64(55002.84617917152), np.float64(55002.607526654436), np.float64(55003.171318922236)]"
6,"[np.float64(55000.0), np.float64(55000.04635896766), np.float64(55000.14989515287), np.float64(54999.95715738772), np.float64(55001.1664310976), np.float64(55001.30433345084), np.float64(55001.382559018384), np.float64(55000.74041286221), np.float64(55000.87593209008), np.float64(55001.26542194682), np.float64(55001.439572423675), np.float64(55001.41327433121), np.float64(55001.51951233452), np.float64(55000.62940443812), np.float64(55001.76277646721), np.float64(55001.93954666429), np.float64(55002.51669177494), np.float64(55002.717726951734), np.float64(55002.59814218844)]","[np.float64(55000.56364010519), np.float64(55000.64172428421), np.float64(55000.65353701329), np.float64(55001.67241081281), np.float64(55001.80296522904), np.float64(55001.87723577191), np.float64(55001.887369536315), np.float64(55001.372410330114), np.float64(55001.76565864685), np.float64(55001.95785402399), np.float64(55001.97784583506), np.float64(55002.018684584764), np.float64(55002.03456679888), np.float64(55002.282733234504), np.float64(55002.40717004559), np.float64(55003.0331956055), np.float64(55003.20555644557), np.float64(55003.24124377626), np.float64(55003.09026788508)]","[np.float64(54999.48271886247), np.float64(54999.55452983632), np.float64(54999.4535155273), np.float64(54999.451177672505), np.float64(55000.667799319395), np.float64(55000.80965669731), np.float64(55000.23560234428), np.float64(55000.24393462217), np.float64(55000.375695390045), np.float64(55000.7471403465), np.float64(55000.87500091982), np.float64(55000.91410208096), np.float64(55000.11434997376), np.float64(55000.109447670824), np.float64(55001.295153085906), np.float64(55001.423042833725), np.float64(55002.0288622811), np.float64(55002.074625363915), np.float64(55001.95863804331)]","[np.float64(55000.04635896766), np.float64(55000.14989515287), np.float64(54999.95715738772), np.float64(55001.1664310976), np.float64(55001.30433345084), np.float64(55001.382559018384), np.float64(55000.74041286221), np.float64(55000.87593209008), np.float64(55001.26542194682), np.float64(55001.439572423675), np.float64(55001.41327433121), np.float64(55001.51951233452), np.float64(55000.62940443812), np.float64(55001.76277646721), np.float64(55001.93954666429), np.float64(55002.51669177494), np.float64(55002.717726951734), np.float64(55002.59814218844), np.float64(55002.45076373995)]"
7,"[np.float64(55000.0), np.float64(54998.91715922237), np.float64(55001.22604902325), np.float64(54999.77419970096), np.float64(55001.02188677108), np.float64(55001.674409273786), np.float64(55002.264967744115), np.float64(55001.437330929555), np.float64(55001.421856351815), np.float64(55002.713882201766), np.float64(55002.20437820943), np.float64(55002.837656365016), np.float64(55003.06412362599), np.float64(55004.44590257559), np.float64(55003.73897752862), np.float64(55003.509637782976), np.float64(55003.45538553255), np.float64(55005.053228058525), np.float64(55004.47603698757)]","[np.float64(55000.481037485726), np.float64(55001.68450245131), np.float64(55001.742887971945), np.float64(55001.55207588901), np.float64(55002.17044969211), np.float64(55002.74959007191), np.float64(55002.77130589041), np.float64(55001.9255322179), np.float64(55003.23813065426), np.float64(55003.249313076376), np.float64(55003.335925282656), np.float64(55003.5689261192), np.float64(55004.96716249133), np.float64(55004.96163991914), np.float64(55004.236787424066), np.float64(55003.996245772105), np.float64(55005.51207134944), np.float64(55005.564791005265), np.float64(55005.191752768034)]","[np.float64(54998.436121736646), np.float64(54998.45870579431), np.float64(54999.257360752265), np.float64(54999.244010583025), np.float64(55000.52584635276), np.float64(55001.18978694599), np.float64(55000.93099278326), np.float64(55000.93365506347), np.float64(55000.89760789932), np.float64(55001.66894733482), np.float64(55001.706109291794), np.float64(55002.332853871805), np.float64(55002.54286371025), np.float64(55003.22324018507), np.float64(55003.01182788753), np.float64(55002.96877754342), np.float64(55002.996542241635), np.float64(55003.96447404083), np.float64(55003.95746778593)]","[np.float64(54998.91715922237), np.float64(55001.22604902325), np.float64(54999.77419970096), np.float64(55001.02188677108), np.float64(55001.674409273786), np.float64(55002.264967744115), np.float64(55001.437330929555), np.float64(55001.421856351815), np.float64(55002.713882201766), np.float64(55002.20437820943), np.float64(55002.837656365016), np.float64(55003.06412362599), np.float64(55004.44590257559), np.float64(55003.73897752862), np.float64(55003.509637782976), np.float64(55003.45538553255), np.float64(55005.053228058525), np.float64(55004.47603698757), np.float64(55004.67318356639)]"
8,"[np.float64(55000.0), np.float64(54999.430101647675), np.float64(54999.5478859858), np.float64(55000.51706879904), np.float64(55000.14166996917), np.float64(54999.81167455661), np.float64(55000.07420385674), np.float64(55001.23004575065), np.float64(55000.73558697717), np.float64(55001.11577447813), np.float64(55001.24999201517), np.float64(55001.2359416712), np.float64(55001.55327020804), np.float64(55001.484158479056), np.float64(55002.139039478236), np.float64(55002.019705623505), np.float64(55002.07358896585), np.float64(55001.236721210975), np.float64(55001.78395326643)]","[np.float64(55000.46726887562), np.float64(55000.05785485166), np.float64(55001.01828547033), np.float64(55001.01364721545), np.float64(55000.60662070419), np.float64(55000.57751847791), np.float64(55001.72637544452), np.float64(55001.73245611774), np.float64(55001.59453247717), np.float64(55001.763013052434), np.float64(55001.76293658958), np.float64(55002.050742440726), np.float64(55002.08843364063), np.float64(55002.63514833293), np.float64(55002.61776115001), np.float64(55002.57125345023), np.float64(55002.558699864494), np.float64(55002.2766157939), np.float64(55002.94498915917)]","[np.float64(54998.96283277206), np.float64(54998.920132781815), np.float64(54999.046669314506), np.float64(54999.64509155276), np.float64(54999.34672382159), np.float64(54999.308359935436), np.float64(54999.57787416287), np.float64(55000.23317661008), np.float64(55000.256828978134), np.float64(55000.602753440864), np.float64(55000.72299709679), np.float64(55000.73846943851), np.float64(55000.94899504646), np.float64(55000.988049624364), np.float64(55001.54098395173), np.float64(55001.52204113913), np.float64(55000.751610312334), np.float64(55000.74405868351), np.float64(55001.27835055134)]","[np.float64(54999.430101647675), np.float64(54999.5478859858), np.float64(55000.51706879904), np.float64(55000.14166996917), np.float64(54999.81167455661), np.float64(55000.07420385674), np.float64(55001.23004575065), np.float64(55000.73558697717), np.float64(55001.11577447813), np.float64(55001.24999201517), np.float64(55001.2359416712), np.float64(55001.55327020804), np.float64(55001.484158479056), np.float64(55002.139039478236), np.float64(55002.019705623505), np.float64(55002.07358896585), np.float64(55001.236721210975), np.float64(55001.78395326643), np.float64(55002.439386444086)]"
9,"[np.float64(55000.0), np.float64(55000.51693366088), np.float64(55000.09343000734), np.float64(55000.54029729167), np.float64(55000.70884074994), np.float64(55001.21257347212), np.float64(55000.997919561225), np.float64(55001.5474476551), np.float64(55001.33663038193), np.float64(55002.46176941271), np.float64(55002.076574857485), np.float64(55001.34488571589), np.float64(55002.19669289988), np.float64(55003.112159236516), np.float64(55003.16290017532), np.float64(55003.102829126794), np.float64(55003.47356707917), np.float64(55003.79761530775), np.float64(55004.16430177579)]","[np.float64(55000.990950265004), np.float64(55000.99514052716), np.float64(55001.02760293123), np.float64(55001.18902537875), np.float64(55001.69975624363), np.float64(55001.70444583995), np.float64(55002.05994866802), np.float64(55002.06315793206), np.float64(55002.9924812322), np.float64(55003.007005044754), np.float64(55002.56424423446), np.float64(55002.69037323917), np.float64(55003.60514796105), np.float64(55003.68146716578), np.float64(55003.68026152355), np.float64(55003.975337941934), np.float64(55004.30121993168), np.float64(55004.68158962005), np.float64(55004.97608123711)]","[np.float64(54999.52598339588), np.float64(54999.61522314107), np.float64(54999.60612436778), np.float64(55000.06011266286), np.float64(55000.22165797843), np.float64(55000.5060471934), np.float64(55000.485418548305), np.float64(55000.82092010497), np.float64(55000.80591856244), np.float64(55001.53133922544), np.float64(55000.85721633891), np.float64(55000.851205376595), np.float64(55001.70370417535), np.float64(55002.593592246056), np.float64(55002.58546777856), np.float64(55002.60105826403), np.float64(55002.96996245524), np.float64(55003.280327463486), np.float64(55003.64267271301)]","[np.float64(55000.51693366088), np.float64(55000.09343000734), np.float64(55000.54029729167), np.float64(55000.70884074994), np.float64(55001.21257347212), np.float64(55000.997919561225), np.float64(55001.5474476551), np.float64(55001.33663038193), np.float64(55002.46176941271), np.float64(55002.076574857485), np.float64(55001.34488571589), np.float64(55002.19669289988), np.float64(55003.112159236516), np.float64(55003.16290017532), np.float64(55003.102829126794), np.float64(55003.47356707917), np.float64(55003.79761530775), np.float64(55004.16430177579), np.float64(55004.45445217433)]"
