,o_chunk,h_chunk,l_chunk,c_chunk
0,"[np.float64(55000.0), np.float64(54999.975716074456), np.float64(55017.48635569548), np.float64(55035.05785384159), np.float64(55051.97827594454), np.float64(55068.848191112986), np.float64(55085.52678049484), np.float64(55103.486933787884), np.float64(55119.34968968879), np.float64(55137.20108292223), np.float64(55154.180947723835), np.float64(55171.93140601635), np.float64(55188.079937643284), np.float64(55206.0284741447), np.float64(55222.156196616386), np.float64(55240.503705300136), np.float64(55257.88130376675), np.float64(55274.615576614844), np.float64(55291.33422249773)]","[np.float64(55000.483309736956), np.float64(55017.977904851956), np.float64(55035.5228854824), np.float64(55052.47183780973), np.float64(55069.39398002675), np.float64(55086.04593468063), np.float64(55103.99188794342), np.float64(55119.8681015252), np.float64(55137.731841773035), np.float64(55154.66312002106), np.float64(55172.44719734754), np.float64(55188.57798204041), np.float64(55206.513344414874), np.float64(55222.67571137477), np.float64(55240.9876699871), np.float64(55258.36401652198), np.float64(55275.11190534676), np.float64(55291.812124471435), np.float64(55309.14243549179)]","[np.float64(54999.4924063375), np.float64(54999.48416691798), np.float64(55017.021324054665), np.float64(55034.56429197639), np.float64(55051.432487030776), np.float64(55068.32903692719), np.float64(55085.0218263393), np.float64(55102.96852195147), np.float64(55118.81893083798), np.float64(55136.718910625), np.float64(55153.66515639265), np.float64(55171.43336161922), np.float64(55187.59506737311), np.float64(55205.508959386316), np.float64(55221.67223192942), np.float64(55240.02099254491), np.float64(55257.38497503483), np.float64(55274.13767464114), np.float64(55290.83297646307)]","[np.float64(54999.975716074456), np.float64(55017.48635569548), np.float64(55035.05785384159), np.float64(55051.97827594454), np.float64(55068.848191112986), np.float64(55085.52678049484), np.float64(55103.486933787884), np.float64(55119.34968968879), np.float64(55137.20108292223), np.float64(55154.180947723835), np.float64(55171.93140601635), np.float64(55188.079937643284), np.float64(55206.0284741447), np.float64(55222.156196616386), np.float64(55240.503705300136), np.float64(55257.88130376675), np.float64(55274.615576614844), np.float64(55291.33422249773), np.float64(55308.64118945713)]"
1,"[np.float64(55000.0), np.float64(55000.012669983946), np.float64(55013.752093332536), np.float64(55027.91132744045), np.float64(55042.214883711764), np.float64(55056.4668353161), np.float64(55070.882395121276), np.float64(55083.24899004132), np.float64(55098.829848230904), np.float64(55112.774896145536), np.float64(55126.685403315765), np.float64(55140.07126374292), np.float64(55155.04981161196), np.float64(55168.60057678189), np.float64(55182.20626014702), np.float64(55196.0968926753), np.float64(55210.91464228134), np.float64(55224.188822423566), np.float64(55238.71008704408)]","[np.float64(55000.49086717916), np.float64(55014.256708637135), np.float64(55028.420160412796), np.float64(55042.70372379382), np.float64(55056.935101015355), np.float64(55071.35685657854), np.float64(55083.74590861372), np.float64(55099.332597419445), np.float64(55113.26269446763), np.float64(55127.19800577254), np.float64(55140.56039094544), np.float64(55155.55316711919), np.float64(55169.10668014157), np.float64(55182.679521421844), np.float64(55196.6229230022), np.float64(55211.41610802884), np.float64(55224.68297681681), np.float64(55239.22429496607), np.float64(55253.433269261914)]","[np.float64(54999.52180280478), np.float64(54999.50805467935), np.float64(55013.24326036019), np.float64(55027.422487358395), np.float64(55041.74661801251), np.float64(55055.99237385884), np.float64(55070.38547654888), np.float64(55082.74624085278), np.float64(55098.34204990881), np.float64(55112.262293688764), np.float64(55126.196276113245), np.float64(55139.56790823569), np.float64(55154.543708252284), np.float64(55168.12731550707), np.float64(55181.680229820115), np.float64(55195.5954269278), np.float64(55210.4204878881), np.float64(55223.67461450157), np.float64(55238.17807448648)]","[np.float64(55000.012669983946), np.float64(55013.752093332536), np.float64(55027.91132744045), np.float64(55042.214883711764), np.float64(55056.4668353161), np.float64(55070.882395121276), np.float64(55083.24899004132), np.float64(55098.829848230904), np.float64(55112.774896145536), np.float64(55126.685403315765), np.float64(55140.07126374292), np.float64(55155.04981161196), np.float64(55168.60057678189), np.float64(55182.20626014702), np.float64(55196.0968926753), np.float64(55210.91464228134), np.float64(55224.188822423566), np.float64(55238.71008704408), np.float64(55252.90125670432)]"
2,"[np.float64(55000.0), np.float64(54999.711198694145), np.float64(55003.30944529181), np.float64(55006.931365284596), np.float64(55010.00831684942), np.float64(55013.594239627135), np.float64(55017.90085751441), np.float64(55019.17157262357), np.float64(55023.070047976194), np.float64(55025.99715923528), np.float64(55029.21167676887), np.float64(55033.85158029664), np.float64(55036.89835033856), np.float64(55040.399392313666), np.float64(55043.63087224292), np.float64(55047.16902901536), np.float64(55050.0242900736), np.float64(55053.53866499172), np.float64(55057.902435314805)]","[np.float64(55000.48888180043), np.float64(55003.82708775536), np.float64(55007.4312596562), np.float64(55010.512038516295), np.float64(55014.11589444956), np.float64(55018.3826893976), np.float64(55019.66663500229), np.float64(55023.59795840376), np.float64(55026.51063798688), np.float64(55029.73059375442), np.float64(55034.367592751645), np.float64(55037.39692928494), np.float64(55040.895223645886), np.float64(55044.15510587574), np.float64(55047.660710756594), np.float64(55050.54597913254), np.float64(55054.02909351702), np.float64(55058.40138831212), np.float64(55061.0115117023)]","[np.float64(54999.22231689371), np.float64(54999.193556230595), np.float64(55002.8095509202), np.float64(55006.42764361772), np.float64(55009.48666202699), np.float64(55013.112407743945), np.float64(55017.40579513569), np.float64(55018.643662196), np.float64(55022.556569224595), np.float64(55025.47824224973), np.float64(55028.69566431387), np.float64(55033.35300135026), np.float64(55036.40251900634), np.float64(55039.87515868084), np.float64(55043.13919050168), np.float64(55046.64733995641), np.float64(55049.5338615483), np.float64(55053.0397119944), np.float64(55057.40812437856)]","[np.float64(54999.711198694145), np.float64(55003.30944529181), np.float64(55006.931365284596), np.float64(55010.00831684942), np.float64(55013.594239627135), np.float64(55017.90085751441), np.float64(55019.17157262357), np.float64(55023.070047976194), np.float64(55025.99715923528), np.float64(55029.21167676887), np.float64(55033.85158029664), np.float64(55036.89835033856), np.float64(55040.399392313666), np.float64(55043.63087224292), np.float64(55047.16902901536), np.float64(55050.0242900736), np.float64(55053.53866499172), np.float64(55057.902435314805), np.float64(55060.51720076606)]"
3,"[np.float64(55000.0), np.float64(54999.71537546673), np.float64(55010.33302573683), np.float64(55020.72537572015), np.float64(55029.50913292206), np.float64(55040.20282436571), np.float64(55048.99441638392), np.float64(55058.744661993), np.float64(55068.114449488356), np.float64(55078.617052061454), np.float64(55088.551122131), np.float64(55098.06922528534), np.float64(55107.30254404727), np.float64(55117.86212571472), np.float64(55127.07081236187), np.float64(55137.670503737165), np.float64(55146.81151829888), np.float64(55155.75926817757), np.float64(55167.58717567458)]","[np.float64(55000.48598171747), np.float64(55010.83829860195), np.float64(55021.21993380083), np.float64(55029.997385713046), np.float64(55040.669425054344), np.float64(55049.51411771526), np.float64(55059.274506957125), np.float64(55068.62599640359), np.float64(55079.10503415632), np.float64(55089.034379672856), np.float64(55098.565916215295), np.float64(55107.8152757008), np.float64(55118.37512389429), np.float64(55127.563727729466), np.float64(55138.15113573383), np.float64(55147.318239930195), np.float64(55156.24281170794), np.float64(55168.073892385226), np.float64(55176.68548546682)]","[np.float64(54999.22939374926), np.float64(54999.21010260161), np.float64(55009.83846765615), np.float64(55020.23712292916), np.float64(55029.04253223343), np.float64(55039.68312303437), np.float64(55048.46457141979), np.float64(55058.23311507776), np.float64(55067.62646739349), np.float64(55078.1337945196), np.float64(55088.054431201046), np.float64(55097.55649363181), np.float64(55106.789545867694), np.float64(55117.36921034712), np.float64(55126.5901803652), np.float64(55137.16378210585), np.float64(55146.32797476851), np.float64(55155.27255146692), np.float64(55167.08142550063)]","[np.float64(54999.71537546673), np.float64(55010.33302573683), np.float64(55020.72537572015), np.float64(55029.50913292206), np.float64(55040.20282436571), np.float64(55048.99441638392), np.float64(55058.744661993), np.float64(55068.114449488356), np.float64(55078.617052061454), np.float64(55088.551122131), np.float64(55098.06922528534), np.float64(55107.30254404727), np.float64(55117.86212571472), np.float64(55127.07081236187), np.float64(55137.670503737165), np.float64(55146.81151829888), np.float64(55155.75926817757), np.float64(55167.58717567458), np.float64(55176.17973529288)]"
4,"[np.float64(55000.0), np.float64(54999.648537745205), np.float64(55012.466747042265), np.float64(55025.79083862504), np.float64(55039.802345950826), np.float64(55052.288548133), np.float64(55065.98160521191), np.float64(55078.6364071695), np.float64(55091.560104693155), np.float64(55103.74404900522), np.float64(55117.7222733306), np.float64(55131.37734697854), np.float64(55143.31475300538), np.float64(55156.94425048899), np.float64(55169.273613185105), np.float64(55183.600726803605), np.float64(55195.824208790764), np.float64(55208.490492224715), np.float64(55222.59246170624)]","[np.float64(55000.46345088397), np.float64(55012.95165667597), np.float64(55026.32856290994), np.float64(55040.34056275199), np.float64(55052.82728565504), np.float64(55066.461511962945), np.float64(55079.10519627336), np.float64(55092.057629788564), np.float64(55104.23461755142), np.float64(55118.201759864125), np.float64(55131.90964658185), np.float64(55143.85295186061), np.float64(55157.46334934493), np.float64(55169.74049090743), np.float64(55184.11010976547), np.float64(55196.274244611006), np.float64(55208.98588055853), np.float64(55223.10962481267), np.float64(55235.364094525576)]","[np.float64(54999.18508686123), np.float64(54999.1636281115), np.float64(55011.929022757366), np.float64(55025.25262182388), np.float64(55039.26360842879), np.float64(55051.80864138197), np.float64(55065.51281610805), np.float64(55078.13888207409), np.float64(55091.069536146955), np.float64(55103.26456247169), np.float64(55117.18997372728), np.float64(55130.83914812331), np.float64(55142.79565414944), np.float64(55156.47737276666), np.float64(55168.76423022324), np.float64(55183.15069098336), np.float64(55195.32882045695), np.float64(55207.973329118286), np.float64(55222.11864011412)]","[np.float64(54999.648537745205), np.float64(55012.466747042265), np.float64(55025.79083862504), np.float64(55039.802345950826), np.float64(55052.288548133), np.float64(55065.98160521191), np.float64(55078.6364071695), np.float64(55091.560104693155), np.float64(55103.74404900522), np.float64(55117.7222733306), np.float64(55131.37734697854), np.float64(55143.31475300538), np.float64(55156.94425048899), np.float64(55169.273613185105), np.float64(55183.600726803605), np.float64(55195.824208790764), np.float64(55208.490492224715), np.float64(55222.59246170624), np.float64(55234.89027293345)]"
5,"[np.float64(55000.0), np.float64(55001.06359953376), np.float64(55011.13066423178), np.float64(55019.728456617486), np.float64(55030.50622673594), np.float64(55040.83451973016), np.float64(55051.0904468707), np.float64(55061.624092422724), np.float64(55070.8147457587), np.float64(55081.42947631494), np.float64(55091.65356646464), np.float64(55102.30683006579), np.float64(55111.81149100316), np.float64(55122.08217615875), np.float64(55131.433014466485), np.float64(55142.29386875627), np.float64(55152.34980827821), np.float64(55162.12333972306), np.float64(55173.37663305649)]","[np.float64(55001.573278034964), np.float64(55011.602308176196), np.float64(55020.230306022524), np.float64(55031.012827778104), np.float64(55041.384661075645), np.float64(55051.57087469077), np.float64(55062.093602117915), np.float64(55071.33432924241), np.float64(55081.92767052909), np.float64(55092.13327460359), np.float64(55102.81947933391), np.float64(55112.30189831297), np.float64(55122.55456073212), np.float64(55131.94981165542), np.float64(55142.78860025191), np.float64(55152.85620865215), np.float64(55162.62603958877), np.float64(55173.88103768033), np.float64(55183.556226736095)]","[np.float64(54999.49032149879), np.float64(55000.59195558934), np.float64(55010.62881482674), np.float64(55019.22185557532), np.float64(55029.956085390455), np.float64(55040.35409191009), np.float64(55050.62093717551), np.float64(55061.10450893901), np.float64(55070.31655154454), np.float64(55080.94976817599), np.float64(55091.14091719652), np.float64(55101.816422755976), np.float64(55111.33910642979), np.float64(55121.56537896982), np.float64(55130.93828297085), np.float64(55141.78746838233), np.float64(55151.8471084125), np.float64(55161.61893509922), np.float64(55172.874904124044)]","[np.float64(55001.06359953376), np.float64(55011.13066423178), np.float64(55019.728456617486), np.float64(55030.50622673594), np.float64(55040.83451973016), np.float64(55051.0904468707), np.float64(55061.624092422724), np.float64(55070.8147457587), np.float64(55081.42947631494), np.float64(55091.65356646464), np.float64(55102.30683006579), np.float64(55111.81149100316), np.float64(55122.08217615875), np.float64(55131.433014466485), np.float64(55142.29386875627), np.float64(55152.34980827821), np.float64(55162.12333972306), np.float64(55173.37663305649), np.float64(55183.05449780365)]"
6,"[np.float64(55000.0), np.float64(54999.764796478026), np.float64(55006.32567681651), np.float64(55012.83985919727), np.float64(55020.028274133154), np.float64(55025.75490605726), np.float64(55033.106007621136), np.float64(55040.483851414), np.float64(55047.261238864856), np.float64(55053.85649936249), np.float64(55059.77236147337), np.float64(55067.352061248755), np.float64(55073.71195352968), np.float64(55081.058419603316), np.float64(55087.459310306884), np.float64(55095.365147652235), np.float64(55100.448295908885), np.float64(55106.66382610352), np.float64(55115.3366520888)]","[np.float64(55000.498898148326), np.float64(55006.84326939481), np.float64(55013.33438629628), np.float64(55020.53862742097), np.float64(55026.2598339029), np.float64(55033.59247513965), np.float64(55040.9716432814), np.float64(55047.732529604415), np.float64(55054.3500197392), np.float64(55060.29059478557), np.float64(55067.81744420855), np.float64(55074.21554340579), np.float64(55081.55590083918), np.float64(55087.95433453178), np.float64(55095.857013050285), np.float64(55100.97410553619), np.float64(55107.168211285694), np.float64(55115.81274700338), np.float64(55121.12995924322)]","[np.float64(54999.2658983297), np.float64(54999.24720389972), np.float64(55005.8311497175), np.float64(55012.32950590946), np.float64(55019.52334628751), np.float64(55025.26843853874), np.float64(55032.61821575373), np.float64(55040.01256067444), np.float64(55046.76771848815), np.float64(55053.33826605029), np.float64(55059.306978513574), np.float64(55066.84847137264), np.float64(55073.21447229382), np.float64(55080.56339537842), np.float64(55086.967444908834), np.float64(55094.83933802493), np.float64(55099.94391072671), np.float64(55106.18773118894), np.float64(55114.84517558769)]","[np.float64(54999.764796478026), np.float64(55006.32567681651), np.float64(55012.83985919727), np.float64(55020.028274133154), np.float64(55025.75490605726), np.float64(55033.106007621136), np.float64(55040.483851414), np.float64(55047.261238864856), np.float64(55053.85649936249), np.float64(55059.77236147337), np.float64(55067.352061248755), np.float64(55073.71195352968), np.float64(55081.058419603316), np.float64(55087.459310306884), np.float64(55095.365147652235), np.float64(55100.448295908885), np.float64(55106.66382610352), np.float64(55115.3366520888), np.float64(55120.638482742106)]"
7,"[np.float64(55000.0), np.float64(55000.53734626818), np.float64(55011.08412140215), np.float64(55021.528313066556), np.float64(55033.00889235904), np.float64(55042.15995675803), np.float64(55053.300516593685), np.float64(55063.63724238699), np.float64(55073.04040684869), np.float64(55084.98396851759), np.float64(55095.71702665714), np.float64(55107.34586729447), np.float64(55116.911244551935), np.float64(55128.872039621114), np.float64(55138.626855257084), np.float64(55149.33066686784), np.float64(55159.87403544306), np.float64(55170.82007698234), np.float64(55181.33320115237)]","[np.float64(55001.039299613854), np.float64(55011.55962817227), np.float64(55022.05132104455), np.float64(55033.53225652063), np.float64(55042.64833164671), np.float64(55053.78573979624), np.float64(55064.17434126089), np.float64(55073.523688725996), np.float64(55085.47384419337), np.float64(55096.19670501102), np.float64(55107.862466611834), np.float64(55117.43148485153), np.float64(55129.36371347239), np.float64(55139.09533469032), np.float64(55149.79920677227), np.float64(55160.37573144742), np.float64(55171.32995335285), np.float64(55181.81258345726), np.float64(55192.66604582126)]","[np.float64(54999.49804665433), np.float64(55000.06183949806), np.float64(55010.561113424155), np.float64(55021.00494890496), np.float64(55032.52051747035), np.float64(55041.67473355547), np.float64(55052.76341771978), np.float64(55063.153960509684), np.float64(55072.55053117291), np.float64(55084.50429016371), np.float64(55095.200427339776), np.float64(55106.825626994876), np.float64(55116.41957070066), np.float64(55128.40356018788), np.float64(55138.15831535265), np.float64(55148.828970863484), np.float64(55159.36415907255), np.float64(55170.34069467745), np.float64(55180.86247350952)]","[np.float64(55000.53734626818), np.float64(55011.08412140215), np.float64(55021.528313066556), np.float64(55033.00889235904), np.float64(55042.15995675803), np.float64(55053.300516593685), np.float64(55063.63724238699), np.float64(55073.04040684869), np.float64(55084.98396851759), np.float64(55095.71702665714), np.float64(55107.34586729447), np.float64(55116.911244551935), np.float64(55128.872039621114), np.float64(55138.626855257084), np.float64(55149.33066686784), np.float64(55159.87403544306), np.float64(55170.82007698234), np.float64(55181.33320115237), np.float64(55192.19531817841)]"
8,"[np.float64(55000.0), np.float64(55000.39444556875), np.float64(55002.80063361001), np.float64(55005.67093853908), np.float64(55008.778342877384), np.float64(55011.392708917694), np.float64(55012.68068443305), np.float64(55016.98487094867), np.float64(55019.237318624044), np.float64(55022.67952329496), np.float64(55024.74862947788), np.float64(55026.477040555525), np.float64(55030.33492465314), np.float64(55033.83466616517), np.float64(55036.34459739683), np.float64(55038.24220450496), np.float64(55042.5039801579), np.float64(55044.037323981036), np.float64(55046.18535471425)]","[np.float64(55000.9034190528), np.float64(55003.2922396972), np.float64(55006.19005573021), np.float64(55009.2897709987), np.float64(55011.86184558508), np.float64(55013.16676931903), np.float64(55017.47724750092), np.float64(55019.73931960813), np.float64(55023.1590439848), np.float64(55025.239195754875), np.float64(55026.947648936264), np.float64(55030.84512336772), np.float64(55034.34173831848), np.float64(55036.820356258555), np.float64(55038.72552029637), np.float64(55042.99080028196), np.float64(55044.561664774636), np.float64(55046.6802847576), np.float64(55050.88937386243)]","[np.float64(54999.491026515956), np.float64(54999.90283948156), np.float64(55002.28151641888), np.float64(55005.15951041776), np.float64(55008.30920621), np.float64(55010.90662403171), np.float64(55012.188307880795), np.float64(55016.48286996458), np.float64(55018.7577979342), np.float64(55022.18895701796), np.float64(55024.27802109714), np.float64(55025.96684184095), np.float64(55029.82785249983), np.float64(55033.35890730344), np.float64(55035.861281605416), np.float64(55037.7553843809), np.float64(55041.9796393643), np.float64(55043.54239393769), np.float64(55045.64891195973)]","[np.float64(55000.39444556875), np.float64(55002.80063361001), np.float64(55005.67093853908), np.float64(55008.778342877384), np.float64(55011.392708917694), np.float64(55012.68068443305), np.float64(55016.98487094867), np.float64(55019.237318624044), np.float64(55022.67952329496), np.float64(55024.74862947788), np.float64(55026.477040555525), np.float64(55030.33492465314), np.float64(55033.83466616517), np.float64(55036.34459739683), np.float64(55038.24220450496), np.float64(55042.5039801579), np.float64(55044.037323981036), np.float64(55046.18535471425), np.float64(55050.35293110791)]"
9,"[np.float64(55000.0), np.float64(55000.380879318705), np.float64(55017.887507001695), np.float64(55035.414493691496), np.float64(55053.952505440415), np.float64(55071.55377641757), np.float64(55089.839984609054), np.float64(55109.00642319546), np.float64(55125.985126477484), np.float64(55143.96154236899), np.float64(55161.74664236692), np.float64(55180.11638087369), np.float64(55198.39005258182), np.float64(55216.4567506841), np.float64(55233.23904990168), np.float64(55252.396011479905), np.float64(55270.19160409005), np.float64(55287.29538843398), np.float64(55306.21292336122)]","[np.float64(55000.89226585721), np.float64(55018.37830406656), np.float64(55035.931697375665), np.float64(55054.489208984414), np.float64(55072.03979933853), np.float64(55090.32449132696), np.float64(55109.48798247626), np.float64(55126.48946641797), np.float64(55144.44986388776), np.float64(55162.21946045631), np.float64(55180.63345021171), np.float64(55198.87869271139), np.float64(55216.98038409815), np.float64(55233.74468763744), np.float64(55252.91563456437), np.float64(55270.70892789971), np.float64(55287.79664241346), np.float64(55306.71311386383), np.float64(55324.79974810092)]","[np.float64(54999.48861346149), np.float64(54999.89008225384), np.float64(55017.370303317526), np.float64(55034.8777901475), np.float64(55053.466482519456), np.float64(55071.06926969966), np.float64(55089.35842532825), np.float64(55108.50208325498), np.float64(55125.49680495871), np.float64(55143.488724279596), np.float64(55161.2295730289), np.float64(55179.627740744116), np.float64(55197.86641916777), np.float64(55215.951112948336), np.float64(55232.71942681721), np.float64(55251.87868767024), np.float64(55269.69035011057), np.float64(55286.79519793137), np.float64(55305.70601960544)]","[np.float64(55000.380879318705), np.float64(55017.887507001695), np.float64(55035.414493691496), np.float64(55053.952505440415), np.float64(55071.55377641757), np.float64(55089.839984609054), np.float64(55109.00642319546), np.float64(55125.985126477484), np.float64(55143.96154236899), np.float64(55161.74664236692), np.float64(55180.11638087369), np.float64(55198.39005258182), np.float64(55216.4567506841), np.float64(55233.23904990168), np.float64(55252.396011479905), np.float64(55270.19160409005), np.float64(55287.29538843398), np.float64(55306.21292336122), np.float64(55324.29284434514)]"
