,o_chunk,h_chunk,l_chunk,c_chunk
0,"[np.float64(55000.0), np.float64(55001.440631466416), np.float64(55000.32489606753), np.float64(55000.81763730138), np.float64(55000.794624978225), np.float64(54999.981710458494), np.float64(55000.501957998575), np.float64(55000.34895215207), np.float64(55000.08389717892), np.float64(54997.25484478747), np.float64(54999.764173894466), np.float64(55000.49937054442), np.float64(55000.065100729655), np.float64(54998.95835480458), np.float64(55001.19490270783), np.float64(54999.686829514736), np.float64(55001.401342729114), np.float64(55000.35945924882), np.float64(54998.597145486456)]","[np.float64(55001.94654276312), np.float64(55001.92223300113), np.float64(55001.326252208964), np.float64(55001.326990981506), np.float64(55001.27725927729), np.float64(55000.9920186449), np.float64(55000.97876866663), np.float64(55000.86764536046), np.float64(55000.565708709364), np.float64(55000.26979155129), np.float64(55001.029272308195), np.float64(55000.99408117158), np.float64(55000.54495830428), np.float64(55001.6965863255), np.float64(55001.7172719161), np.float64(55001.89416417519), np.float64(55001.90328888054), np.float64(55000.852615017415), np.float64(55000.85813365601)]","[np.float64(54999.49408870329), np.float64(54999.84329453281), np.float64(54999.81628115994), np.float64(55000.2852712981), np.float64(54999.49907615943), np.float64(54999.49164981217), np.float64(54999.87214148401), np.float64(54999.56520397053), np.float64(54996.77303325703), np.float64(54996.74922713065), np.float64(54999.23427213069), np.float64(54999.5703901025), np.float64(54998.47849722995), np.float64(54998.456671186905), np.float64(54999.16446030646), np.float64(54999.19400806866), np.float64(54999.8575130974), np.float64(54998.10398971786), np.float64(54998.06537833431)]","[np.float64(55001.440631466416), np.float64(55000.32489606753), np.float64(55000.81763730138), np.float64(55000.794624978225), np.float64(54999.981710458494), np.float64(55000.501957998575), np.float64(55000.34895215207), np.float64(55000.08389717892), np.float64(54997.25484478747), np.float64(54999.764173894466), np.float64(55000.49937054442), np.float64(55000.065100729655), np.float64(54998.95835480458), np.float64(55001.19490270783), np.float64(54999.686829514736), np.float64(55001.401342729114), np.float64(55000.35945924882), np.float64(54998.597145486456), np.float64(55000.32636650386)]"
1,"[np.float64(55000.0), np.float64(54998.9575934715), np.float64(55000.8032697842), np.float64(55000.74657989954), np.float64(54998.87015927821), np.float64(55000.433829030924), np.float64(54998.63758492604), np.float64(54999.28871955957), np.float64(55000.697711451896), np.float64(54999.824837111606), np.float64(54999.88469294855), np.float64(54998.656922282105), np.float64(55000.07669951203), np.float64(54999.659634652126), np.float64(54998.34245919066), np.float64(54998.78944136312), np.float64(54998.61276592146), np.float64(54999.889506470296), np.float64(54999.567241931756)]","[np.float64(55000.502720085075), np.float64(55001.330789133026), np.float64(55001.29307790049), np.float64(55001.25152590712), np.float64(55000.91476827355), np.float64(55000.95565411648), np.float64(54999.755946736055), np.float64(55001.19784547724), np.float64(55001.19015392576), np.float64(55000.38803407467), np.float64(55000.381380285304), np.float64(55000.570561189576), np.float64(55000.60558739188), np.float64(55000.156343508665), np.float64(54999.24101433607), np.float64(54999.259312579816), np.float64(55000.39039917017), np.float64(55000.393198511185), np.float64(55000.048579177994)]","[np.float64(54998.45487338643), np.float64(54998.430074122676), np.float64(55000.25677178325), np.float64(54998.36521327063), np.float64(54998.389220035584), np.float64(54998.11575984048), np.float64(54998.17035774955), np.float64(54998.788585534225), np.float64(54999.33239463774), np.float64(54999.32149598549), np.float64(54998.16023494535), np.float64(54998.16306060456), np.float64(54999.13074677227), np.float64(54997.84575033412), np.float64(54997.89088621771), np.float64(54998.14289470477), np.float64(54998.111873221584), np.float64(54999.06354989087), np.float64(54998.9601196946)]","[np.float64(54998.9575934715), np.float64(55000.8032697842), np.float64(55000.74657989954), np.float64(54998.87015927821), np.float64(55000.433829030924), np.float64(54998.63758492604), np.float64(54999.28871955957), np.float64(55000.697711451896), np.float64(54999.824837111606), np.float64(54999.88469294855), np.float64(54998.656922282105), np.float64(55000.07669951203), np.float64(54999.659634652126), np.float64(54998.34245919066), np.float64(54998.78944136312), np.float64(54998.61276592146), np.float64(54999.889506470296), np.float64(54999.567241931756), np.float64(54999.44145694084)]"
2,"[np.float64(55000.0), np.float64(55000.796893232335), np.float64(54999.4731444653), np.float64(54998.98516058896), np.float64(55002.14260336082), np.float64(55000.45552040091), np.float64(55001.44621242303), np.float64(55000.42877485802), np.float64(54999.28579612607), np.float64(55001.8305367445), np.float64(55001.39049332692), np.float64(54999.87300947668), np.float64(55001.6089120637), np.float64(55000.424611351336), np.float64(54999.759970011204), np.float64(54999.91921150678), np.float64(55001.21895382259), np.float64(55002.365818330196), np.float64(55002.07681386624)]","[np.float64(55001.28632978727), np.float64(55001.32659986287), np.float64(54999.98251186283), np.float64(55002.64307347271), np.float64(55002.6584522498), np.float64(55001.95288030805), np.float64(55001.98222167797), np.float64(55000.92213558995), np.float64(55002.3278488024), np.float64(55002.29690142154), np.float64(55001.89319644768), np.float64(55002.1341006674), np.float64(55002.096809699564), np.float64(55000.95535646237), np.float64(55000.431455137914), np.float64(55001.70029868474), np.float64(55002.85463119347), np.float64(55002.85060202149), np.float64(55002.567136131496)]","[np.float64(54999.51056344507), np.float64(54998.943437834765), np.float64(54998.475793191436), np.float64(54998.484690477075), np.float64(54999.93967151193), np.float64(54999.94885251589), np.float64(54999.89276560307), np.float64(54998.792435394134), np.float64(54998.788484068165), np.float64(55000.92412864988), np.float64(54999.37030635592), np.float64(54999.34782087298), np.float64(54999.93671371547), np.float64(54999.22922490017), np.float64(54999.24772638007), np.float64(54999.43786664463), np.float64(55000.73014095931), np.float64(55001.59203017494), np.float64(54999.599600068614)]","[np.float64(55000.796893232335), np.float64(54999.4731444653), np.float64(54998.98516058896), np.float64(55002.14260336082), np.float64(55000.45552040091), np.float64(55001.44621242303), np.float64(55000.42877485802), np.float64(54999.28579612607), np.float64(55001.8305367445), np.float64(55001.39049332692), np.float64(54999.87300947668), np.float64(55001.6089120637), np.float64(55000.424611351336), np.float64(54999.759970011204), np.float64(54999.91921150678), np.float64(55001.21895382259), np.float64(55002.365818330196), np.float64(55002.07681386624), np.float64(55000.08992233387)]"
3,"[np.float64(55000.0), np.float64(54999.81442936419), np.float64(54999.76110433524), np.float64(55001.460323773645), np.float64(55000.01517023011), np.float64(55001.22001616987), np.float64(55000.98224094552), np.float64(54999.90689198523), np.float64(55001.56700367451), np.float64(54998.162450791286), np.float64(54999.18762270488), np.float64(54997.78476519011), np.float64(55001.313712932744), np.float64(55001.26077466476), np.float64(55000.835689759944), np.float64(55001.71457986947), np.float64(55001.58095467238), np.float64(55001.833796357874), np.float64(55000.606865469745)]","[np.float64(55000.45871112705), np.float64(55000.29260019766), np.float64(55001.94333739919), np.float64(55001.94805425595), np.float64(55001.746251013275), np.float64(55001.751955765474), np.float64(55001.455645864895), np.float64(55002.04277568451), np.float64(55002.04724513184), np.float64(54999.66172996089), np.float64(54999.67199501949), np.float64(55001.80624401891), np.float64(55001.78479917143), np.float64(55001.7350351831), np.float64(55002.21776314047), np.float64(55002.228930257894), np.float64(55002.33919983712), np.float64(55002.28078078394), np.float64(55001.08190175544)]","[np.float64(54999.35571823714), np.float64(54999.28293350177), np.float64(54999.27809070969), np.float64(54999.527439747806), np.float64(54999.488935386704), np.float64(55000.45030134992), np.float64(54999.43348706586), np.float64(54999.43111997523), np.float64(54997.68220933395), np.float64(54997.68834353527), np.float64(54997.3003928755), np.float64(54997.292234103945), np.float64(55000.78968842608), np.float64(55000.36142924161), np.float64(55000.33250648894), np.float64(55001.06660428396), np.float64(55001.075551193135), np.float64(55000.15988104368), np.float64(54999.81840617357)]","[np.float64(54999.81442936419), np.float64(54999.76110433524), np.float64(55001.460323773645), np.float64(55000.01517023011), np.float64(55001.22001616987), np.float64(55000.98224094552), np.float64(54999.90689198523), np.float64(55001.56700367451), np.float64(54998.162450791286), np.float64(54999.18762270488), np.float64(54997.78476519011), np.float64(55001.313712932744), np.float64(55001.26077466476), np.float64(55000.835689759944), np.float64(55001.71457986947), np.float64(55001.58095467238), np.float64(55001.833796357874), np.float64(55000.606865469745), np.float64(55000.29344245926)]"
4,"[np.float64(55000.0), np.float64(54998.79039792462), np.float64(55001.72648949618), np.float64(55000.04382337949), np.float64(54999.60571306671), np.float64(55001.01986959095), np.float64(55000.67105683745), np.float64(55000.73232231068), np.float64(54999.606530893914), np.float64(55000.04895472563), np.float64(55000.249002396034), np.float64(55000.122471012735), np.float64(54997.78503399421), np.float64(55000.82970070635), np.float64(54997.685622188415), np.float64(54998.5768896796), np.float64(54999.82527134089), np.float64(55000.02914796725), np.float64(54999.20126745812)]","[np.float64(55000.51251997803), np.float64(55002.215028361294), np.float64(55002.267930074115), np.float64(55000.55867403877), np.float64(55001.4913140894), np.float64(55001.51685735275), np.float64(55001.229964185266), np.float64(55001.25199758308), np.float64(55000.51963762842), np.float64(55000.73331846209), np.float64(55000.75588500931), np.float64(55000.616207852814), np.float64(55001.298577297865), np.float64(55001.323687459815), np.float64(54999.08877817325), np.float64(55000.327503800916), np.float64(55000.4813509914), np.float64(55000.532073932394), np.float64(54999.81785084993)]","[np.float64(54998.27787794659), np.float64(54998.3018590595), np.float64(54999.502382801555), np.float64(54999.09086240743), np.float64(54999.13426856826), np.float64(55000.17406907565), np.float64(55000.17341496286), np.float64(54999.086855621514), np.float64(54999.13584799112), np.float64(54999.564638659576), np.float64(54999.61558839946), np.float64(54997.29129715413), np.float64(54997.316157402696), np.float64(54997.19163543495), np.float64(54997.17373369476), np.float64(54998.07465721957), np.float64(54999.37306831674), np.float64(54998.69834149298), np.float64(54998.71400792554)]","[np.float64(54998.79039792462), np.float64(55001.72648949618), np.float64(55000.04382337949), np.float64(54999.60571306671), np.float64(55001.01986959095), np.float64(55000.67105683745), np.float64(55000.73232231068), np.float64(54999.606530893914), np.float64(55000.04895472563), np.float64(55000.249002396034), np.float64(55000.122471012735), np.float64(54997.78503399421), np.float64(55000.82970070635), np.float64(54997.685622188415), np.float64(54998.5768896796), np.float64(54999.82527134089), np.float64(55000.02914796725), np.float64(54999.20126745812), np.float64(54999.33059131735)]"
5,"[np.float64(55000.0), np.float64(54999.97718926557), np.float64(54999.21373320463), np.float64(54999.83660690299), np.float64(55000.93386624444), np.float64(54999.50510124044), np.float64(55001.59134991473), np.float64(54999.021123914164), np.float64(55000.971507943126), np.float64(54999.66889933919), np.float64(54999.65449134022), np.float64(54998.715403649854), np.float64(54998.08859856413), np.float64(55000.21887977932), np.float64(55000.73359585474), np.float64(55000.10774975703), np.float64(55000.10076120351), np.float64(55000.382927463026), np.float64(55000.84735123621)]","[np.float64(55000.49806311447), np.float64(55000.499055770655), np.float64(55000.33005025949), np.float64(55001.43957215124), np.float64(55001.39299259732), np.float64(55002.10363479423), np.float64(55002.10698218392), np.float64(55001.445702624835), np.float64(55001.47203730414), np.float64(55000.154566281126), np.float64(55000.14667339975), np.float64(54999.18791714861), np.float64(55000.74386332114), np.float64(55001.229122062716), np.float64(55001.19124968638), np.float64(55000.62192218658), np.float64(55000.877813786225), np.float64(55001.36117562129), np.float64(55001.46815588096)]","[np.float64(54999.4791261511), np.float64(54998.69186669955), np.float64(54998.720289848134), np.float64(54999.33090099619), np.float64(54999.04597488756), np.float64(54998.99281636094), np.float64(54998.50549164497), np.float64(54998.546929232456), np.float64(54999.16836997817), np.float64(54999.16882439828), np.float64(54998.22322159032), np.float64(54997.616085065376), np.float64(54997.56361502231), np.float64(54999.723353571346), np.float64(54999.65009592539), np.float64(54999.58658877396), np.float64(54999.60587488031), np.float64(54999.869103077945), np.float64(55000.380761377855)]","[np.float64(54999.97718926557), np.float64(54999.21373320463), np.float64(54999.83660690299), np.float64(55000.93386624444), np.float64(54999.50510124044), np.float64(55001.59134991473), np.float64(54999.021123914164), np.float64(55000.971507943126), np.float64(54999.66889933919), np.float64(54999.65449134022), np.float64(54998.715403649854), np.float64(54998.08859856413), np.float64(55000.21887977932), np.float64(55000.73359585474), np.float64(55000.10774975703), np.float64(55000.10076120351), np.float64(55000.382927463026), np.float64(55000.84735123621), np.float64(55001.001566022605)]"
6,"[np.float64(55000.0), np.float64(54997.87573163925), np.float64(54999.08606640927), np.float64(54997.98405611025), np.float64(54999.59378664731), np.float64(54997.81001898168), np.float64(54999.19443580652), np.float64(55000.24328898686), np.float64(54998.40813892518), np.float64(54998.284701663346), np.float64(55000.57251111871), np.float64(54999.87417511555), np.float64(54999.98913779318), np.float64(54999.06890338148), np.float64(54999.78444765676), np.float64(54999.30116318615), np.float64(55001.18873414749), np.float64(54998.301988242834), np.float64(55000.92647107318)]","[np.float64(55000.451992245675), np.float64(54999.586139641346), np.float64(54999.56963757041), np.float64(55000.0928877114), np.float64(55000.107851369685), np.float64(54999.66373882421), np.float64(55000.74414080573), np.float64(55000.71972281334), np.float64(54998.91340873742), np.float64(55001.07586326269), np.float64(55001.094566642154), np.float64(55000.47190190289), np.float64(55000.4882309143), np.float64(55000.259762116424), np.float64(55000.303544422), np.float64(55001.67577219044), np.float64(55001.66990270684), np.float64(55001.47842247678), np.float64(55001.69871277221)]","[np.float64(54997.42373939358), np.float64(54997.375658407174), np.float64(54997.50048494911), np.float64(54997.48495504616), np.float64(54997.29595425931), np.float64(54997.340715964), np.float64(54998.69358398765), np.float64(54997.9317050987), np.float64(54997.77943185111), np.float64(54997.78134951937), np.float64(54999.352119592106), np.float64(54999.39141100583), np.float64(54998.56981026036), np.float64(54998.593588921816), np.float64(54998.782066420914), np.float64(54998.814125143195), np.float64(54997.82081968348), np.float64(54997.750036839236), np.float64(55000.40940397504)]","[np.float64(54997.87573163925), np.float64(54999.08606640927), np.float64(54997.98405611025), np.float64(54999.59378664731), np.float64(54997.81001898168), np.float64(54999.19443580652), np.float64(55000.24328898686), np.float64(54998.40813892518), np.float64(54998.284701663346), np.float64(55000.57251111871), np.float64(54999.87417511555), np.float64(54999.98913779318), np.float64(54999.06890338148), np.float64(54999.78444765676), np.float64(54999.30116318615), np.float64(55001.18873414749), np.float64(54998.301988242834), np.float64(55000.92647107318), np.float64(55001.18164567407)]"
7,"[np.float64(55000.0), np.float64(55000.64538716797), np.float64(55001.11658608844), np.float64(54999.79990758753), np.float64(55000.537094518644), np.float64(55001.582565315555), np.float64(55000.36624616572), np.float64(55002.025472183755), np.float64(55000.49157032825), np.float64(55001.32460020789), np.float64(55000.74480061528), np.float64(55000.02305137096), np.float64(55000.88601952176), np.float64(55000.84763033721), np.float64(55000.83434882497), np.float64(54999.89460195681), np.float64(55002.7137640879), np.float64(55000.17766686049), np.float64(55001.644576683444)]","[np.float64(55001.19401170623), np.float64(55001.62400442373), np.float64(55001.55739377174), np.float64(55001.059245368815), np.float64(55002.09593564687), np.float64(55002.02976001423), np.float64(55002.49921375746), np.float64(55002.53804328079), np.float64(55001.844428428754), np.float64(55001.825386684824), np.float64(55001.27677492269), np.float64(55001.39778951276), np.float64(55001.42745318941), np.float64(55001.32110699958), np.float64(55001.343593843405), np.float64(55003.2087506693), np.float64(55003.19821379934), np.float64(55002.112044305635), np.float64(55002.142608722315)]","[np.float64(54999.45137546174), np.float64(55000.137968832685), np.float64(54999.35909990423), np.float64(54999.277756737356), np.float64(55000.02372418733), np.float64(54999.91905146705), np.float64(54999.89250459202), np.float64(54999.97899923122), np.float64(54999.97174210739), np.float64(55000.24401413834), np.float64(54999.49107706355), np.float64(54999.51128137996), np.float64(55000.30619666955), np.float64(55000.36087216259), np.float64(54999.38535693837), np.float64(54999.39961537541), np.float64(54999.69321714905), np.float64(54999.710199238296), np.float64(54998.70536637557)]","[np.float64(55000.64538716797), np.float64(55001.11658608844), np.float64(54999.79990758753), np.float64(55000.537094518644), np.float64(55001.582565315555), np.float64(55000.36624616572), np.float64(55002.025472183755), np.float64(55000.49157032825), np.float64(55001.32460020789), np.float64(55000.74480061528), np.float64(55000.02305137096), np.float64(55000.88601952176), np.float64(55000.84763033721), np.float64(55000.83434882497), np.float64(54999.89460195681), np.float64(55002.7137640879), np.float64(55000.17766686049), np.float64(55001.644576683444), np.float64(54999.203398414444)]"
8,"[np.float64(55000.0), np.float64(55000.698320224714), np.float64(55001.10426467247), np.float64(55001.39417901959), np.float64(55001.106130785505), np.float64(54999.745350220095), np.float64(55000.56651545692), np.float64(54999.946631117586), np.float64(54999.52841070033), np.float64(54998.93608299304), np.float64(54999.9619134596), np.float64(55000.520565860395), np.float64(55001.01900099568), np.float64(55000.09409541038), np.float64(55001.26422796351), np.float64(55001.521071552204), np.float64(55000.34454352429), np.float64(55002.7005707028), np.float64(55001.074722559155)]","[np.float64(55001.17007866829), np.float64(55001.598371163185), np.float64(55001.85887116984), np.float64(55001.87853435672), np.float64(55001.62695242075), np.float64(55001.053987091065), np.float64(55001.06905281246), np.float64(55000.46323013791), np.float64(55000.0266303318), np.float64(55000.47456295295), np.float64(55001.01440601023), np.float64(55001.5341885688), np.float64(55001.52512604618), np.float64(55001.74280553635), np.float64(55002.02358496788), np.float64(55002.035835718074), np.float64(55003.21586066007), np.float64(55003.21814445028), np.float64(55002.08792032361)]","[np.float64(54999.52824155642), np.float64(55000.204213733996), np.float64(55000.63957252222), np.float64(55000.62177544837), np.float64(54999.22452858485), np.float64(54999.25787858595), np.float64(54999.444093762046), np.float64(54999.01181168001), np.float64(54998.43786336157), np.float64(54998.42343349969), np.float64(54999.46807330976), np.float64(55000.00537828727), np.float64(54999.58797035988), np.float64(54999.61551783754), np.float64(55000.761714547836), np.float64(54999.82977935842), np.float64(54999.82925356702), np.float64(55000.55714881168), np.float64(55000.57986814195)]","[np.float64(55000.698320224714), np.float64(55001.10426467247), np.float64(55001.39417901959), np.float64(55001.106130785505), np.float64(54999.745350220095), np.float64(55000.56651545692), np.float64(54999.946631117586), np.float64(54999.52841070033), np.float64(54998.93608299304), np.float64(54999.9619134596), np.float64(55000.520565860395), np.float64(55001.01900099568), np.float64(55000.09409541038), np.float64(55001.26422796351), np.float64(55001.521071552204), np.float64(55000.34454352429), np.float64(55002.7005707028), np.float64(55001.074722559155), np.float64(55001.5930659064)]"
9,"[np.float64(55000.0), np.float64(54998.09822025098), np.float64(54999.661812046215), np.float64(54999.53110203157), np.float64(54999.35968462326), np.float64(55001.089785959986), np.float64(55001.95619849553), np.float64(54999.119779682886), np.float64(55001.735091315946), np.float64(54998.95434158019), np.float64(54999.82244999958), np.float64(54999.54317713322), np.float64(54998.472279204725), np.float64(55000.08914862615), np.float64(54997.65282924397), np.float64(54999.96961187297), np.float64(54999.27899046338), np.float64(54998.06692183976), np.float64(54998.71059568302)]","[np.float64(55000.49860433819), np.float64(55000.11778891835), np.float64(55000.14840808108), np.float64(55000.0054720649), np.float64(55001.55141308724), np.float64(55002.43449792226), np.float64(55002.4899424163), np.float64(55002.20674330181), np.float64(55002.25838565137), np.float64(55000.337331073366), np.float64(55000.308054464), np.float64(55000.03028163461), np.float64(55000.60418470328), np.float64(55000.560146004085), np.float64(55000.48226682303), np.float64(55000.499533599075), np.float64(54999.76053701182), np.float64(54999.202084816374), np.float64(55000.0775029541)]","[np.float64(54997.59961591279), np.float64(54997.64224337884), np.float64(54999.04450599671), np.float64(54998.885314589934), np.float64(54998.89805749601), np.float64(55000.61148653326), np.float64(54998.58603576211), np.float64(54998.64812769702), np.float64(54998.43104724477), np.float64(54998.4394605064), np.float64(54999.0575726688), np.float64(54997.98517470334), np.float64(54997.957243127596), np.float64(54997.18183186604), np.float64(54997.140174293905), np.float64(54998.74906873728), np.float64(54997.585375291324), np.float64(54997.575432706406), np.float64(54998.24111396125)]","[np.float64(54998.09822025098), np.float64(54999.661812046215), np.float64(54999.53110203157), np.float64(54999.35968462326), np.float64(55001.089785959986), np.float64(55001.95619849553), np.float64(54999.119779682886), np.float64(55001.735091315946), np.float64(54998.95434158019), np.float64(54999.82244999958), np.float64(54999.54317713322), np.float64(54998.472279204725), np.float64(55000.08914862615), np.float64(54997.65282924397), np.float64(54999.96961187297), np.float64(54999.27899046338), np.float64(54998.06692183976), np.float64(54998.71059568302), np.float64(54999.60802123233)]"
