,o_chunk,h_chunk,l_chunk,c_chunk
0,"[np.float64(54996.86301296473), np.float64(55001.91154138565), np.float64(54988.62196347237), np.float64(54988.959422190186), np.float64(54973.1488089633), np.float64(54986.020829678775), np.float64(54978.27295908451), np.float64(54976.67496711135), np.float64(54970.70567273617), np.float64(54974.46530976415), np.float64(54967.474966449736), np.float64(54968.606624604465), np.float64(54952.14059211135), np.float64(54959.846814615725), np.float64(54940.77780770182), np.float64(54955.85814429045), np.float64(54948.35808763027), np.float64(54951.57082440376), np.float64(54929.45160185814)]","[np.float64(55001.91154138565), np.float64(55001.91154138565), np.float64(54988.959422190186), np.float64(55025.39274395365), np.float64(54986.020829678775), np.float64(54986.03012109339), np.float64(54978.285724426496), np.float64(54977.77777446987), np.float64(54974.46530976415), np.float64(54974.524518263504), np.float64(54968.606624604465), np.float64(54968.606624604465), np.float64(54970.87222726568), np.float64(54959.846814615725), np.float64(54955.85814429045), np.float64(54955.85814429045), np.float64(54951.57082440376), np.float64(54951.59651530142), np.float64(54939.972408516405)]","[np.float64(54991.72781853991), np.float64(54987.2535218785), np.float64(54983.33928413076), np.float64(54973.1488089633), np.float64(54973.1488089633), np.float64(54978.26496509875), np.float64(54976.67496711135), np.float64(54970.70567273617), np.float64(54966.32425584797), np.float64(54967.474966449736), np.float64(54949.28884551931), np.float64(54952.121128942345), np.float64(54952.14059211135), np.float64(54940.76962891005), np.float64(54940.77780770182), np.float64(54947.02301520923), np.float64(54948.35808763027), np.float64(54915.82419086049), np.float64(54929.45160185814)]","[np.float64(55001.91154138565), np.float64(54988.62196347237), np.float64(54988.959422190186), np.float64(54973.1488089633), np.float64(54986.020829678775), np.float64(54978.27295908451), np.float64(54976.67496711135), np.float64(54970.70567273617), np.float64(54974.46530976415), np.float64(54967.474966449736), np.float64(54968.606624604465), np.float64(54952.14059211135), np.float64(54959.846814615725), np.float64(54940.77780770182), np.float64(54955.85814429045), np.float64(54948.35808763027), np.float64(54951.57082440376), np.float64(54929.45160185814), np.float64(54939.972408516405)]"
1,"[np.float64(55004.176635928154), np.float64(54996.07756430626), np.float64(54995.52943176746), np.float64(54995.66655849337), np.float64(54990.01354002476), np.float64(54982.64671045661), np.float64(54980.850039936304), np.float64(54977.04848964333), np.float64(54971.609015126225), np.float64(54962.31253752232), np.float64(54971.62874727368), np.float64(54960.66427146912), np.float64(54966.053783876894), np.float64(54965.27040982366), np.float64(54959.40887013197), np.float64(54952.75646908998), np.float64(54948.12960028172), np.float64(54935.074312372206), np.float64(54942.30850759268)]","[np.float64(55004.176635928154), np.float64(54996.07756430626), np.float64(54995.66655849337), np.float64(54995.85074587304), np.float64(54990.01354002476), np.float64(54982.64671045661), np.float64(54985.33874805245), np.float64(54979.9852673347), np.float64(54971.609015126225), np.float64(54971.64989443375), np.float64(54971.63775783115), np.float64(54967.59502641599), np.float64(54966.053783876894), np.float64(54965.27040982366), np.float64(54959.40887013197), np.float64(54961.41231671104), np.float64(54948.15029778065), np.float64(54942.328737786054), np.float64(54942.30850759268)]","[np.float64(54996.07756430626), np.float64(54995.52943176746), np.float64(54981.664154460035), np.float64(54990.01354002476), np.float64(54982.64671045661), np.float64(54973.68830078682), np.float64(54977.04848964333), np.float64(54971.609015126225), np.float64(54962.31253752232), np.float64(54959.656406692855), np.float64(54960.66427146912), np.float64(54956.83387654832), np.float64(54965.27040982366), np.float64(54959.40887013197), np.float64(54940.57650955877), np.float64(54942.098271676485), np.float64(54935.05552744758), np.float64(54932.93942501166), np.float64(54929.77186948193)]","[np.float64(54996.07756430626), np.float64(54995.52943176746), np.float64(54995.66655849337), np.float64(54990.01354002476), np.float64(54982.64671045661), np.float64(54980.850039936304), np.float64(54977.04848964333), np.float64(54971.609015126225), np.float64(54962.31253752232), np.float64(54971.62874727368), np.float64(54960.66427146912), np.float64(54966.053783876894), np.float64(54965.27040982366), np.float64(54959.40887013197), np.float64(54952.75646908998), np.float64(54948.12960028172), np.float64(54935.074312372206), np.float64(54942.30850759268), np.float64(54929.78492696404)]"
2,"[np.float64(54995.42308095217), np.float64(54986.887811882494), np.float64(54981.64099487782), np.float64(54991.42286771059), np.float64(54985.723318810466), np.float64(54976.18024395823), np.float64(54998.16326009154), np.float64(54973.16754280448), np.float64(54977.35681029678), np.float64(54948.644461144206), np.float64(54976.15385123611), np.float64(54949.70494318128), np.float64(54964.339567215444), np.float64(54928.56125304818), np.float64(54975.16262669682), np.float64(54932.234099824425), np.float64(54956.4755187285), np.float64(54929.198219246864), np.float64(54944.68322864294)]","[np.float64(54995.42308095217), np.float64(54986.887811882494), np.float64(54997.279790733926), np.float64(54991.42286771059), np.float64(54985.723318810466), np.float64(54998.16326009154), np.float64(54998.2089689874), np.float64(54977.369636228446), np.float64(54977.37503353319), np.float64(54976.15385123611), np.float64(55009.554868680905), np.float64(54964.339567215444), np.float64(54964.339567215444), np.float64(54975.16262669682), np.float64(55001.62312462801), np.float64(54956.4755187285), np.float64(54956.4755187285), np.float64(54999.488381689625), np.float64(54944.68322864294)]","[np.float64(54986.887811882494), np.float64(54981.55111513461), np.float64(54981.64099487782), np.float64(54985.723318810466), np.float64(54976.18024395823), np.float64(54976.18024395823), np.float64(54942.7403611733), np.float64(54970.111912274806), np.float64(54948.644461144206), np.float64(54944.944632591614), np.float64(54949.70494318128), np.float64(54941.980543424055), np.float64(54880.65926486792), np.float64(54928.56125304818), np.float64(54926.359836997784), np.float64(54929.73789213321), np.float64(54929.198219246864), np.float64(54927.02287179658), np.float64(54917.724124429)]","[np.float64(54986.887811882494), np.float64(54981.64099487782), np.float64(54991.42286771059), np.float64(54985.723318810466), np.float64(54976.18024395823), np.float64(54998.16326009154), np.float64(54973.16754280448), np.float64(54977.35681029678), np.float64(54948.644461144206), np.float64(54976.15385123611), np.float64(54949.70494318128), np.float64(54964.339567215444), np.float64(54928.56125304818), np.float64(54975.16262669682), np.float64(54932.234099824425), np.float64(54956.4755187285), np.float64(54929.198219246864), np.float64(54944.68322864294), np.float64(54919.61477538466)]"
3,"[np.float64(54999.38673122644), np.float64(54996.94435932756), np.float64(54990.00184112311), np.float64(54993.92183109641), np.float64(54987.7417069149), np.float64(54972.62237398743), np.float64(54976.089179707764), np.float64(54964.339988375905), np.float64(54970.667378331425), np.float64(54946.8017905426), np.float64(54950.26619408846), np.float64(54954.1156630826), np.float64(54956.73961753368), np.float64(54939.56619145393), np.float64(54941.860907615424), np.float64(54933.82471369028), np.float64(54930.05248864412), np.float64(54921.81365414381), np.float64(54925.35109003305)]","[np.float64(55013.2803449888), np.float64(54996.94435932756), np.float64(54993.94202031888), np.float64(54996.309786490136), np.float64(54987.7417069149), np.float64(54976.10265544163), np.float64(55016.57211363462), np.float64(54970.667378331425), np.float64(54970.667378331425), np.float64(54951.80499632347), np.float64(54954.1156630826), np.float64(54974.03232716352), np.float64(54960.083935052855), np.float64(54941.860907615424), np.float64(54963.25388947633), np.float64(54933.84606160608), np.float64(54947.710617023135), np.float64(54925.35109003305), np.float64(54928.59510108745)]","[np.float64(54996.94435932756), np.float64(54989.983268313554), np.float64(54990.00184112311), np.float64(54987.7417069149), np.float64(54971.31085773641), np.float64(54972.62237398743), np.float64(54959.56430437575), np.float64(54939.205887632255), np.float64(54946.78194494178), np.float64(54946.8017905426), np.float64(54940.16440289535), np.float64(54954.1156630826), np.float64(54939.54498759014), np.float64(54939.56619145393), np.float64(54926.3626875589), np.float64(54930.05248864412), np.float64(54918.69218391714), np.float64(54921.79253105576), np.float64(54919.678801185706)]","[np.float64(54996.94435932756), np.float64(54990.00184112311), np.float64(54993.92183109641), np.float64(54987.7417069149), np.float64(54972.62237398743), np.float64(54976.089179707764), np.float64(54964.339988375905), np.float64(54970.667378331425), np.float64(54946.8017905426), np.float64(54950.26619408846), np.float64(54954.1156630826), np.float64(54956.73961753368), np.float64(54939.56619145393), np.float64(54941.860907615424), np.float64(54933.82471369028), np.float64(54930.05248864412), np.float64(54921.81365414381), np.float64(54925.35109003305), np.float64(54922.50064484596)]"
4,"[np.float64(55001.92442577601), np.float64(54998.00796107173), np.float64(54999.43482151151), np.float64(54991.63176329851), np.float64(54986.35565224409), np.float64(54982.97262625813), np.float64(54978.72314841866), np.float64(54980.45644208908), np.float64(54979.193647046086), np.float64(54972.735400975944), np.float64(54968.19466728091), np.float64(54964.79917806506), np.float64(54963.68322763562), np.float64(54964.19306576967), np.float64(54958.358511544466), np.float64(54955.08213274598), np.float64(54949.07758568048), np.float64(54948.104299457074), np.float64(54943.29876502275)]","[np.float64(55004.79937233993), np.float64(55009.59231868284), np.float64(55001.20761709954), np.float64(54991.67018426), np.float64(54993.702334708985), np.float64(54983.020610495514), np.float64(54988.0768574675), np.float64(54984.99005708049), np.float64(54981.718995909185), np.float64(54984.68926597002), np.float64(54975.61313601243), np.float64(54964.81513086464), np.float64(54970.90437525241), np.float64(54970.908652219936), np.float64(54969.97723665507), np.float64(54958.57163642736), np.float64(54955.706424034826), np.float64(54951.134020216516), np.float64(54943.52480444109)]","[np.float64(54985.302396879575), np.float64(54991.957428245), np.float64(54988.960368306565), np.float64(54982.30966040273), np.float64(54982.953964263936), np.float64(54972.762940211476), np.float64(54973.75363969453), np.float64(54972.797968865096), np.float64(54972.685209230716), np.float64(54957.08514353184), np.float64(54964.523811690444), np.float64(54958.11922348848), np.float64(54959.25199135937), np.float64(54958.34065716381), np.float64(54949.52776234497), np.float64(54942.99672788519), np.float64(54930.26883269448), np.float64(54941.645111168276), np.float64(54920.61835687041)]","[np.float64(54998.00796107173), np.float64(54999.43482151151), np.float64(54991.63176329851), np.float64(54986.35565224409), np.float64(54982.97262625813), np.float64(54978.72314841866), np.float64(54980.45644208908), np.float64(54979.193647046086), np.float64(54972.735400975944), np.float64(54968.19466728091), np.float64(54964.79917806506), np.float64(54963.68322763562), np.float64(54964.19306576967), np.float64(54958.358511544466), np.float64(54955.08213274598), np.float64(54949.07758568048), np.float64(54948.104299457074), np.float64(54943.29876502275), np.float64(54933.96784585238)]"
5,"[np.float64(54988.78318993568), np.float64(54994.090342075826), np.float64(54990.9115633142), np.float64(54994.45519182205), np.float64(54973.52099002123), np.float64(54981.40742240667), np.float64(54969.609033293724), np.float64(54975.6443406713), np.float64(54977.07686337948), np.float64(54964.60998342752), np.float64(54978.242557538746), np.float64(54945.6500414741), np.float64(54970.829556305405), np.float64(54952.02455460549), np.float64(54961.21961053133), np.float64(54937.374035663604), np.float64(54956.11853064418), np.float64(54925.853269286155), np.float64(54942.14999527454)]","[np.float64(54994.090342075826), np.float64(55025.390861246444), np.float64(54994.45519182205), np.float64(55018.03442835536), np.float64(54981.40742240667), np.float64(54981.42336102089), np.float64(54975.6443406713), np.float64(54991.49574503395), np.float64(54977.07686337948), np.float64(54978.242557538746), np.float64(54978.242557538746), np.float64(54972.179991885685), np.float64(54975.33607098144), np.float64(54972.3058240542), np.float64(54961.21961053133), np.float64(55012.84623357525), np.float64(54956.11853064418), np.float64(54967.40960502303), np.float64(54942.14999527454)]","[np.float64(54988.14269365128), np.float64(54975.05705739361), np.float64(54990.9115633142), np.float64(54973.52099002123), np.float64(54973.50009470401), np.float64(54969.609033293724), np.float64(54969.58931307662), np.float64(54975.6443406713), np.float64(54643.59753404119), np.float64(54964.60998342752), np.float64(54945.63070231783), np.float64(54945.6500414741), np.float64(54952.02455460549), np.float64(54952.02455460549), np.float64(54925.36840979022), np.float64(54937.374035663604), np.float64(54916.16961497997), np.float64(54925.853269286155), np.float64(54925.01199415951)]","[np.float64(54994.090342075826), np.float64(54990.9115633142), np.float64(54994.45519182205), np.float64(54973.52099002123), np.float64(54981.40742240667), np.float64(54969.609033293724), np.float64(54975.6443406713), np.float64(54977.07686337948), np.float64(54964.60998342752), np.float64(54978.242557538746), np.float64(54945.6500414741), np.float64(54970.829556305405), np.float64(54952.02455460549), np.float64(54961.21961053133), np.float64(54937.374035663604), np.float64(54956.11853064418), np.float64(54925.853269286155), np.float64(54942.14999527454), np.float64(54928.744801015855)]"
6,"[np.float64(55000.914139826295), np.float64(54998.72633602739), np.float64(54993.8246054244), np.float64(54991.92847864151), np.float64(54987.2310108614), np.float64(54984.0599689734), np.float64(54984.08623690724), np.float64(54980.76482513666), np.float64(54976.599548192025), np.float64(54975.3115459156), np.float64(54966.461482800245), np.float64(54969.17236788988), np.float64(54966.26584596753), np.float64(54962.72644466281), np.float64(54959.84129273415), np.float64(54953.57386354923), np.float64(54953.83925703287), np.float64(54954.622896261215), np.float64(54955.23493600011)]","[np.float64(55003.45669174764), np.float64(54998.72633602739), np.float64(54993.837915946875), np.float64(54991.94329698987), np.float64(54988.89426867828), np.float64(54984.1007992214), np.float64(54992.78311524278), np.float64(54990.73678192462), np.float64(54976.61758599877), np.float64(54982.510268367565), np.float64(54974.22931335487), np.float64(54977.166252322946), np.float64(54966.26584596753), np.float64(54967.65393593911), np.float64(54967.20765385828), np.float64(54959.67080279215), np.float64(54958.52807173253), np.float64(54958.39776920365), np.float64(54958.359432108104)]","[np.float64(54998.70761234487), np.float64(54987.664495503), np.float64(54979.19501174285), np.float64(54983.88742589075), np.float64(54979.913232754116), np.float64(54976.32969225689), np.float64(54976.28309431527), np.float64(54975.29266776027), np.float64(54969.34724860128), np.float64(54966.441415906345), np.float64(54966.461482800245), np.float64(54953.56561847745), np.float64(54956.64687826571), np.float64(54955.09300863011), np.float64(54948.79737353434), np.float64(54953.55287254524), np.float64(54948.22674969296), np.float64(54951.92580666228), np.float64(54939.75528746831)]","[np.float64(54998.72633602739), np.float64(54993.8246054244), np.float64(54991.92847864151), np.float64(54987.2310108614), np.float64(54984.0599689734), np.float64(54984.08623690724), np.float64(54980.76482513666), np.float64(54976.599548192025), np.float64(54975.3115459156), np.float64(54966.461482800245), np.float64(54969.17236788988), np.float64(54966.26584596753), np.float64(54962.72644466281), np.float64(54959.84129273415), np.float64(54953.57386354923), np.float64(54953.83925703287), np.float64(54954.622896261215), np.float64(54955.23493600011), np.float64(54940.298558295966)]"
7,"[np.float64(54999.02983673334), np.float64(55002.871428467035), np.float64(54999.73863418817), np.float64(54993.43649826169), np.float64(54987.68163695455), np.float64(54982.402702565196), np.float64(54977.372814394235), np.float64(54976.90326727748), np.float64(54970.211776305434), np.float64(54970.921369285585), np.float64(54969.62380510688), np.float64(54956.31151572585), np.float64(54962.01842713475), np.float64(54941.62011302233), np.float64(54947.01375904203), np.float64(54939.96741698503), np.float64(54944.3937822175), np.float64(54930.66381085038), np.float64(54939.19090628743)]","[np.float64(55019.520970711186), np.float64(55007.035723103014), np.float64(55007.21304886849), np.float64(54993.43649826169), np.float64(54997.38832388941), np.float64(54982.42143650364), np.float64(54984.01183646682), np.float64(54992.110355502344), np.float64(54976.85358476707), np.float64(54971.9361910831), np.float64(54973.37378277456), np.float64(54980.93896473435), np.float64(54962.03227801214), np.float64(54956.108972084694), np.float64(54954.875763436954), np.float64(54956.810485870104), np.float64(54944.44995028787), np.float64(54939.19090628743), np.float64(54944.363540995706)]","[np.float64(54999.02983673334), np.float64(54996.97643353012), np.float64(54976.736211365656), np.float64(54987.66144753717), np.float64(54966.652864413), np.float64(54977.372814394235), np.float64(54943.579658658935), np.float64(54970.190686013564), np.float64(54954.60859475814), np.float64(54963.88862216795), np.float64(54949.40403147023), np.float64(54953.84204003748), np.float64(54941.62011302233), np.float64(54934.89721685323), np.float64(54939.96741698503), np.float64(54928.86592628867), np.float64(54930.66381085038), np.float64(54902.68493793264), np.float64(54925.71099504351)]","[np.float64(55002.871428467035), np.float64(54999.73863418817), np.float64(54993.43649826169), np.float64(54987.68163695455), np.float64(54982.402702565196), np.float64(54977.372814394235), np.float64(54976.90326727748), np.float64(54970.211776305434), np.float64(54970.921369285585), np.float64(54969.62380510688), np.float64(54956.31151572585), np.float64(54962.01842713475), np.float64(54941.62011302233), np.float64(54947.01375904203), np.float64(54939.96741698503), np.float64(54944.3937822175), np.float64(54930.66381085038), np.float64(54939.19090628743), np.float64(54925.71099504351)]"
8,"[np.float64(55002.15197721243), np.float64(55006.50551288247), np.float64(54999.74765014172), np.float64(54985.75674647212), np.float64(54985.93486614942), np.float64(54985.37586143136), np.float64(54980.18810048223), np.float64(54995.19634063959), np.float64(54969.59430827617), np.float64(54974.57371958614), np.float64(54971.938814963105), np.float64(54979.62374546647), np.float64(54968.79780025601), np.float64(54958.56567569494), np.float64(54962.66534519911), np.float64(54957.232640446426), np.float64(54949.44599189281), np.float64(54953.7783447516), np.float64(54962.8449935329)]","[np.float64(55006.50551288247), np.float64(55006.50551288247), np.float64(54999.7636046113), np.float64(54985.93486614942), np.float64(54985.93486614942), np.float64(54985.37586143136), np.float64(55015.2917850987), np.float64(54995.19634063959), np.float64(54981.74228688423), np.float64(54985.67410443739), np.float64(54979.66419054347), np.float64(54979.62374546647), np.float64(54975.54159969804), np.float64(54965.67260799898), np.float64(54982.273557727), np.float64(54957.232640446426), np.float64(54955.17582335518), np.float64(54969.58450521029), np.float64(54963.834104196314)]","[np.float64(55002.15197721243), np.float64(54999.74765014172), np.float64(54980.65348035484), np.float64(54974.687945387115), np.float64(54972.543052397596), np.float64(54980.18810048223), np.float64(54969.03834678687), np.float64(54969.58153970874), np.float64(54954.002707851505), np.float64(54971.938814963105), np.float64(54967.39227484804), np.float64(54955.077965150354), np.float64(54958.5205931795), np.float64(54951.651953764514), np.float64(54957.232640446426), np.float64(54931.809269961), np.float64(54949.44599189281), np.float64(54922.38201769354), np.float64(54939.05435840663)]","[np.float64(55006.50551288247), np.float64(54999.74765014172), np.float64(54985.75674647212), np.float64(54985.93486614942), np.float64(54985.37586143136), np.float64(54980.18810048223), np.float64(54995.19634063959), np.float64(54969.59430827617), np.float64(54974.57371958614), np.float64(54971.938814963105), np.float64(54979.62374546647), np.float64(54968.79780025601), np.float64(54958.56567569494), np.float64(54962.66534519911), np.float64(54957.232640446426), np.float64(54949.44599189281), np.float64(54953.7783447516), np.float64(54962.8449935329), np.float64(54953.919121534826)]"
9,"[np.float64(55010.97822136402), np.float64(55012.875096876625), np.float64(55008.16285728335), np.float64(55002.37055949092), np.float64(54996.87893906951), np.float64(54982.4777627182), np.float64(54983.21867755771), np.float64(54980.429986972806), np.float64(54984.80685805201), np.float64(54991.22169339776), np.float64(54981.75587809205), np.float64(54971.70089050054), np.float64(54969.61517911673), np.float64(54975.955500258206), np.float64(54962.48346627474), np.float64(54970.053451169726), np.float64(54968.255236394405), np.float64(54976.14867252231), np.float64(54979.34637230754)]","[np.float64(55015.09840518157), np.float64(55045.66006092997), np.float64(55011.95727548813), np.float64(55022.682181184515), np.float64(54996.87893906951), np.float64(54985.97887058249), np.float64(54994.786393120616), np.float64(54988.28762258133), np.float64(54993.02931373618), np.float64(54993.54879333137), np.float64(54981.75587809205), np.float64(54996.98286443561), np.float64(54977.712108277716), np.float64(54975.955500258206), np.float64(54972.81687807371), np.float64(54972.35023944895), np.float64(54982.00530242675), np.float64(54986.535026679805), np.float64(54997.37277754396)]","[np.float64(55005.09577587665), np.float64(55008.14616520232), np.float64(54984.35566169258), np.float64(54996.85900895979), np.float64(54978.31421182297), np.float64(54978.940536015834), np.float64(54980.429986972806), np.float64(54964.004402378516), np.float64(54980.48994847443), np.float64(54980.40357357486), np.float64(54971.68305630175), np.float64(54961.70680897378), np.float64(54969.61517911673), np.float64(54945.62550869236), np.float64(54952.07609118587), np.float64(54968.247291991596), np.float64(54968.255236394405), np.float64(54976.128122135), np.float64(54969.19785289926)]","[np.float64(55012.875096876625), np.float64(55008.16285728335), np.float64(55002.37055949092), np.float64(54996.87893906951), np.float64(54982.4777627182), np.float64(54983.21867755771), np.float64(54980.429986972806), np.float64(54984.80685805201), np.float64(54991.22169339776), np.float64(54981.75587809205), np.float64(54971.70089050054), np.float64(54969.61517911673), np.float64(54975.955500258206), np.float64(54962.48346627474), np.float64(54970.053451169726), np.float64(54968.255236394405), np.float64(54976.14867252231), np.float64(54979.34637230754), np.float64(54969.21582540989)]"
