,o_chunk,h_chunk,l_chunk,c_chunk
0,"[np.float64(55033.74534447491), np.float64(55036.93678406179), np.float64(55046.48101626575), np.float64(55006.26936273813), np.float64(55008.57017554522), np.float64(54986.71374792337), np.float64(54983.04998174786), np.float64(54972.65572344005), np.float64(55001.91166469097), np.float64(54975.46428732991), np.float64(54964.22906123638), np.float64(54941.053030768635), np.float64(54863.294810314175), np.float64(54949.41175558627), np.float64(54860.524906032086), np.float64(54925.56896820128), np.float64(54744.75312999963), np.float64(54789.30032104611), np.float64(54798.45811892807)]","[np.float64(55036.93678406179), np.float64(55046.48909916792), np.float64(55046.490475467115), np.float64(55046.64840785272), np.float64(55008.57017554522), np.float64(55002.51566817491), np.float64(54983.04998174786), np.float64(55001.91166469097), np.float64(55011.56561380183), np.float64(54975.46428732991), np.float64(54965.012326953976), np.float64(54941.0674353998), np.float64(54949.41736016855), np.float64(54952.71707849398), np.float64(54929.15992443328), np.float64(54947.20696606399), np.float64(54789.30032104611), np.float64(54947.98452112349), np.float64(54891.51995064383)]","[np.float64(54995.193048154164), np.float64(55029.70030140446), np.float64(55003.52135949595), np.float64(55006.26936273813), np.float64(54970.20204639776), np.float64(54983.04998174786), np.float64(54972.643563457175), np.float64(54972.65572344005), np.float64(54953.968955371485), np.float64(54964.22906123638), np.float64(54941.053030768635), np.float64(54863.294810314175), np.float64(54836.190878189074), np.float64(54860.524906032086), np.float64(54805.412734362726), np.float64(54744.75312999963), np.float64(54739.622251153414), np.float64(54774.902098155595), np.float64(54798.4492326804)]","[np.float64(55036.93678406179), np.float64(55046.48101626575), np.float64(55006.26936273813), np.float64(55008.57017554522), np.float64(54986.71374792337), np.float64(54983.04998174786), np.float64(54972.65572344005), np.float64(55001.91166469097), np.float64(54975.46428732991), np.float64(54964.22906123638), np.float64(54941.053030768635), np.float64(54863.294810314175), np.float64(54949.41175558627), np.float64(54860.524906032086), np.float64(54925.56896820128), np.float64(54744.75312999963), np.float64(54789.30032104611), np.float64(54798.45811892807), np.float64(54826.034389187094)]"
1,"[np.float64(54963.270011803506), np.float64(54979.56738193512), np.float64(55011.47433704257), np.float64(54949.713915198445), np.float64(54991.868901478054), np.float64(54896.65999288618), np.float64(54921.0118253994), np.float64(54940.04254302919), np.float64(54941.795327588916), np.float64(54827.91722531438), np.float64(55020.89434088349), np.float64(54865.43823484361), np.float64(54650.25529938161), np.float64(54883.61391194344), np.float64(54725.504042200446), np.float64(54940.10352492094), np.float64(54695.79518504262), np.float64(54889.6137536645), np.float64(54766.43469973028)]","[np.float64(54993.67765157389), np.float64(55011.47433704257), np.float64(55011.47433704257), np.float64(54991.868901478054), np.float64(55052.278508255346), np.float64(54921.0118253994), np.float64(54972.17663945014), np.float64(54941.795327588916), np.float64(54941.795327588916), np.float64(55020.90929642878), np.float64(55020.89434088349), np.float64(54865.43823484361), np.float64(54912.27012465771), np.float64(54883.61391194344), np.float64(54940.88375008904), np.float64(54943.029295193046), np.float64(54889.6137536645), np.float64(54889.6137536645), np.float64(54923.65469778897)]","[np.float64(54963.270011803506), np.float64(54977.30924652053), np.float64(54907.08979960341), np.float64(54949.69686725011), np.float64(54877.94672017469), np.float64(54888.42103267313), np.float64(54920.33859369345), np.float64(54936.39591604861), np.float64(54781.40341260627), np.float64(54827.91722531438), np.float64(54860.58439808741), np.float64(54629.86949229285), np.float64(54650.25529938161), np.float64(54707.02558518663), np.float64(54675.49610869974), np.float64(54689.28621572215), np.float64(54695.79518504262), np.float64(54687.43948262619), np.float64(54766.42667349646)]","[np.float64(54979.56738193512), np.float64(55011.47433704257), np.float64(54949.713915198445), np.float64(54991.868901478054), np.float64(54896.65999288618), np.float64(54921.0118253994), np.float64(54940.04254302919), np.float64(54941.795327588916), np.float64(54827.91722531438), np.float64(55020.89434088349), np.float64(54865.43823484361), np.float64(54650.25529938161), np.float64(54883.61391194344), np.float64(54725.504042200446), np.float64(54940.10352492094), np.float64(54695.79518504262), np.float64(54889.6137536645), np.float64(54766.43469973028), np.float64(54921.609350885155)]"
2,"[np.float64(55005.67798396826), np.float64(55002.10463921845), np.float64(55011.54922992289), np.float64(54963.09644795775), np.float64(54944.14450534463), np.float64(54951.11568993032), np.float64(54928.58053547084), np.float64(54914.424972311856), np.float64(54907.397982016206), np.float64(54923.20118854225), np.float64(54886.86940678), np.float64(54884.46652613819), np.float64(54860.24458343685), np.float64(54858.1576116401), np.float64(54805.57520713806), np.float64(54797.382605404855), np.float64(54758.57062378526), np.float64(54735.414327510596), np.float64(54741.361760390995)]","[np.float64(55010.641006677186), np.float64(55027.667870098696), np.float64(55038.405904266336), np.float64(54982.26570022838), np.float64(54971.177523598446), np.float64(54979.65075053479), np.float64(54949.424141347285), np.float64(54921.95491919297), np.float64(54979.12334665799), np.float64(54957.483320476465), np.float64(54906.62489026428), np.float64(54896.33737013394), np.float64(54866.34953551361), np.float64(54873.964552909725), np.float64(54841.67727879348), np.float64(54797.396999302706), np.float64(54769.771179827134), np.float64(54780.446733299344), np.float64(54775.5346150997)]","[np.float64(54962.823469885865), np.float64(55002.09158289728), np.float64(54933.997019287985), np.float64(54938.61543238337), np.float64(54938.361034614696), np.float64(54897.927778114754), np.float64(54912.44306783745), np.float64(54899.26964875992), np.float64(54874.727914488016), np.float64(54883.023868610755), np.float64(54849.69100214002), np.float64(54853.86368152463), np.float64(54828.00168420301), np.float64(54779.45354835136), np.float64(54774.457797405805), np.float64(54753.68796347716), np.float64(54712.12237079166), np.float64(54718.47059587935), np.float64(54690.361473895)]","[np.float64(55002.10463921845), np.float64(55011.54922992289), np.float64(54963.09644795775), np.float64(54944.14450534463), np.float64(54951.11568993032), np.float64(54928.58053547084), np.float64(54914.424972311856), np.float64(54907.397982016206), np.float64(54923.20118854225), np.float64(54886.86940678), np.float64(54884.46652613819), np.float64(54860.24458343685), np.float64(54858.1576116401), np.float64(54805.57520713806), np.float64(54797.382605404855), np.float64(54758.57062378526), np.float64(54735.414327510596), np.float64(54741.361760390995), np.float64(54739.60250560403)]"
3,"[np.float64(54981.823711929916), np.float64(54983.81217451692), np.float64(54927.98106891692), np.float64(55012.05051077843), np.float64(54950.394421348574), np.float64(54926.670362633464), np.float64(54938.900709676745), np.float64(54934.713987384435), np.float64(54981.594018862845), np.float64(54862.99038612247), np.float64(54860.83563869536), np.float64(54850.67932299435), np.float64(54770.1290377295), np.float64(54878.868323773146), np.float64(54709.86081204295), np.float64(54830.954511737225), np.float64(54773.41397210002), np.float64(54808.835878156424), np.float64(54788.13131273925)]","[np.float64(54999.75405187533), np.float64(54983.81217451692), np.float64(55012.06214675466), np.float64(55012.05944926195), np.float64(54992.99988505206), np.float64(54938.900709676745), np.float64(54958.13507617599), np.float64(54998.517236814405), np.float64(55000.115681126175), np.float64(54862.99038612247), np.float64(54860.83563869536), np.float64(54850.69543460662), np.float64(54883.01937198127), np.float64(54878.868323773146), np.float64(54856.09759673914), np.float64(54833.37527575944), np.float64(54839.370704662186), np.float64(54834.51440735211), np.float64(54835.27913077647)]","[np.float64(54975.50798428578), np.float64(54898.958161626986), np.float64(54821.42039055514), np.float64(54950.394421348574), np.float64(54925.02258483668), np.float64(54862.63488712952), np.float64(54915.13584977059), np.float64(54934.69806048271), np.float64(54860.19410784434), np.float64(54813.61537699616), np.float64(54845.22147778772), np.float64(54767.6402409605), np.float64(54736.72682564926), np.float64(54709.85295219569), np.float64(53890.97132078243), np.float64(54749.22692516844), np.float64(54773.41397210002), np.float64(54673.21481324338), np.float64(54769.54088943518)]","[np.float64(54983.81217451692), np.float64(54927.98106891692), np.float64(55012.05051077843), np.float64(54950.394421348574), np.float64(54926.670362633464), np.float64(54938.900709676745), np.float64(54934.713987384435), np.float64(54981.594018862845), np.float64(54862.99038612247), np.float64(54860.83563869536), np.float64(54850.67932299435), np.float64(54770.1290377295), np.float64(54878.868323773146), np.float64(54709.86081204295), np.float64(54830.954511737225), np.float64(54773.41397210002), np.float64(54808.835878156424), np.float64(54788.13131273925), np.float64(54835.268373994826)]"
4,"[np.float64(54973.71797299742), np.float64(54942.146337416765), np.float64(55057.746814182996), np.float64(54897.36346834302), np.float64(54930.344481172564), np.float64(54954.89672897458), np.float64(54949.75483938575), np.float64(54841.73649841249), np.float64(54959.072775391935), np.float64(54912.390894622804), np.float64(54955.996991117), np.float64(54916.75943030059), np.float64(54860.945794314146), np.float64(54945.45666742921), np.float64(54814.950728166696), np.float64(54786.70883328021), np.float64(54838.44978472948), np.float64(54778.02724412322), np.float64(54683.95224285543)]","[np.float64(55030.05250830357), np.float64(55067.456599914854), np.float64(55057.746814182996), np.float64(54952.31776854381), np.float64(54954.904824188045), np.float64(54954.89672897458), np.float64(54972.63184327923), np.float64(54964.19413515045), np.float64(54959.072775391935), np.float64(54994.21364631614), np.float64(54955.996991117), np.float64(54988.00413317188), np.float64(54945.548073841666), np.float64(54965.59962884406), np.float64(54845.17455331272), np.float64(54876.144034606834), np.float64(54853.07569627967), np.float64(54862.015385686194), np.float64(54688.31096958023)]","[np.float64(54939.45797111985), np.float64(54923.831238133054), np.float64(54854.18589542416), np.float64(54893.634589928006), np.float64(54930.32557424504), np.float64(54871.61505346653), np.float64(54841.73649841249), np.float64(54823.0841880186), np.float64(54903.05981395169), np.float64(54912.390894622804), np.float64(54893.35566078782), np.float64(54850.81394899357), np.float64(54856.06556146133), np.float64(54796.62189745895), np.float64(54783.56704486473), np.float64(54786.70883328021), np.float64(54740.75137718734), np.float64(54670.03577085333), np.float64(54667.9165309894)]","[np.float64(54942.146337416765), np.float64(55057.746814182996), np.float64(54897.36346834302), np.float64(54930.344481172564), np.float64(54954.89672897458), np.float64(54949.75483938575), np.float64(54841.73649841249), np.float64(54959.072775391935), np.float64(54912.390894622804), np.float64(54955.996991117), np.float64(54916.75943030059), np.float64(54860.945794314146), np.float64(54945.45666742921), np.float64(54814.950728166696), np.float64(54786.70883328021), np.float64(54838.44978472948), np.float64(54778.02724412322), np.float64(54683.95224285543), np.float64(54671.21317419529)]"
5,"[np.float64(54993.913169775005), np.float64(55037.090290203094), np.float64(54942.822637919184), np.float64(55005.830357819796), np.float64(54946.059045585396), np.float64(54930.32911438286), np.float64(54940.83595464468), np.float64(54960.92277511596), np.float64(54890.734720534085), np.float64(54871.50892555296), np.float64(54901.33554084659), np.float64(54826.135809999105), np.float64(54828.032395359274), np.float64(54752.330736633536), np.float64(54737.139937115906), np.float64(54784.73250236928), np.float64(54738.65041166544), np.float64(54735.207280238865), np.float64(54683.23728274524)]","[np.float64(55037.0955488855), np.float64(55049.41859920656), np.float64(55005.830357819796), np.float64(55015.58361387089), np.float64(54946.059045585396), np.float64(54952.120178492456), np.float64(54964.19721673812), np.float64(54973.6240052687), np.float64(54900.22766098649), np.float64(54901.38756600361), np.float64(54901.33554084659), np.float64(54862.09873306426), np.float64(54828.04021938124), np.float64(54770.96966837706), np.float64(54784.73250236928), np.float64(54801.406803680635), np.float64(54755.90139696505), np.float64(54735.207280238865), np.float64(54727.23812269049)]","[np.float64(54854.5225435737), np.float64(54942.822637919184), np.float64(54939.397265150095), np.float64(54946.03965182319), np.float64(54919.78696772125), np.float64(54930.32911438286), np.float64(54940.83021077319), np.float64(54875.798616300555), np.float64(54871.50892555296), np.float64(54862.47103094198), np.float64(54820.2258665549), np.float64(54826.12298162149), np.float64(54745.83295198181), np.float64(54735.44130765751), np.float64(54731.48592349873), np.float64(54689.4361704912), np.float64(54735.19833742536), np.float64(54670.87396746468), np.float64(54645.23784688563)]","[np.float64(55037.090290203094), np.float64(54942.822637919184), np.float64(55005.830357819796), np.float64(54946.059045585396), np.float64(54930.32911438286), np.float64(54940.83595464468), np.float64(54960.92277511596), np.float64(54890.734720534085), np.float64(54871.50892555296), np.float64(54901.33554084659), np.float64(54826.135809999105), np.float64(54828.032395359274), np.float64(54752.330736633536), np.float64(54737.139937115906), np.float64(54784.73250236928), np.float64(54738.65041166544), np.float64(54735.207280238865), np.float64(54683.23728274524), np.float64(54653.18000385046)]"
6,"[np.float64(54959.11014095425), np.float64(54979.336071311234), np.float64(54963.13219596326), np.float64(54963.21452960491), np.float64(54897.77853342056), np.float64(54912.11138080597), np.float64(54900.95541499615), np.float64(54938.946163023116), np.float64(54902.48012404561), np.float64(54920.925447865724), np.float64(54865.3905169177), np.float64(54839.552796718475), np.float64(54802.39638449431), np.float64(54744.204616485236), np.float64(54816.556962079405), np.float64(54771.74109484672), np.float64(54766.187698805334), np.float64(54752.23012459993), np.float64(54756.0998057574)]","[np.float64(55097.93486817433), np.float64(54989.674612472445), np.float64(54971.16761129742), np.float64(55010.699596649356), np.float64(54922.271007621894), np.float64(54912.120345949734), np.float64(54952.823637419344), np.float64(54961.47164094722), np.float64(54920.925447865724), np.float64(54938.92410443303), np.float64(54865.3905169177), np.float64(54843.845248108766), np.float64(54836.89744360242), np.float64(54831.044504631696), np.float64(54816.556962079405), np.float64(54825.57303937588), np.float64(54780.71697708302), np.float64(54776.67982155876), np.float64(54767.77772416901)]","[np.float64(54954.96551952087), np.float64(54939.32716221153), np.float64(54963.13219596326), np.float64(54800.20028559157), np.float64(54853.782656170915), np.float64(54898.515407702595), np.float64(54850.3008584145), np.float64(54902.48012404561), np.float64(54883.93188465742), np.float64(54865.38158845848), np.float64(54824.68653052573), np.float64(54802.39638449431), np.float64(54727.57403336444), np.float64(54734.36250592102), np.float64(54771.73215399434), np.float64(54766.187698805334), np.float64(54694.682863792645), np.float64(54742.381716099706), np.float64(54746.888430363586)]","[np.float64(54979.336071311234), np.float64(54963.13219596326), np.float64(54963.21452960491), np.float64(54897.77853342056), np.float64(54912.11138080597), np.float64(54900.95541499615), np.float64(54938.946163023116), np.float64(54902.48012404561), np.float64(54920.925447865724), np.float64(54865.3905169177), np.float64(54839.552796718475), np.float64(54802.39638449431), np.float64(54744.204616485236), np.float64(54816.556962079405), np.float64(54771.74109484672), np.float64(54766.187698805334), np.float64(54752.23012459993), np.float64(54756.0998057574), np.float64(54752.48213995099)]"
7,"[np.float64(55039.998495592474), np.float64(55013.92622965574), np.float64(55010.92744108498), np.float64(54961.657954686285), np.float64(54954.21444351196), np.float64(54959.06129073858), np.float64(54945.373201497794), np.float64(54894.26406773865), np.float64(54881.901242792606), np.float64(54887.19518272161), np.float64(54859.35233910024), np.float64(54869.0091532582), np.float64(54826.24790668607), np.float64(54816.34732671678), np.float64(54772.77147853494), np.float64(54773.128796834346), np.float64(54738.637794722315), np.float64(54758.025830651524), np.float64(54729.98677738905)]","[np.float64(55040.01821316673), np.float64(55018.117129821585), np.float64(55015.25887555387), np.float64(54961.676927038345), np.float64(54975.40098831692), np.float64(54959.073501376355), np.float64(54945.373201497794), np.float64(54910.96618181326), np.float64(54887.22081309413), np.float64(54891.19820288282), np.float64(54870.20861488407), np.float64(54871.74148692601), np.float64(54826.24790668607), np.float64(54850.25196025881), np.float64(54791.82343814808), np.float64(54780.568829783), np.float64(54758.025830651524), np.float64(54775.033668276716), np.float64(54741.57323587643)]","[np.float64(54997.55573332039), np.float64(55002.76853724772), np.float64(54954.43096140034), np.float64(54926.51808796529), np.float64(54954.20583948157), np.float64(54900.354094169954), np.float64(54879.970928882714), np.float64(54881.901242792606), np.float64(54879.95253439325), np.float64(54852.89435655569), np.float64(54813.5311587599), np.float64(54822.38446000285), np.float64(54809.126092122024), np.float64(54753.90927627966), np.float64(54766.024023889135), np.float64(54706.79268192963), np.float64(54730.260968016184), np.float64(54710.15265668435), np.float64(54651.434657930935)]","[np.float64(55013.92622965574), np.float64(55010.92744108498), np.float64(54961.657954686285), np.float64(54954.21444351196), np.float64(54959.06129073858), np.float64(54945.373201497794), np.float64(54894.26406773865), np.float64(54881.901242792606), np.float64(54887.19518272161), np.float64(54859.35233910024), np.float64(54869.0091532582), np.float64(54826.24790668607), np.float64(54816.34732671678), np.float64(54772.77147853494), np.float64(54773.128796834346), np.float64(54738.637794722315), np.float64(54758.025830651524), np.float64(54729.98677738905), np.float64(54674.15486301064)]"
8,"[np.float64(55045.955472058056), np.float64(55023.68672920525), np.float64(54973.514969617725), np.float64(54939.58170109391), np.float64(54963.361727274656), np.float64(54903.38708814919), np.float64(54922.789358578324), np.float64(54932.7599787575), np.float64(54900.5437467879), np.float64(54852.69706335962), np.float64(54871.58462721169), np.float64(54841.18572031856), np.float64(54822.74751374841), np.float64(54831.65216398954), np.float64(54814.120921522976), np.float64(54777.15683680355), np.float64(54796.11055872917), np.float64(54767.377250083686), np.float64(54746.15959564626)]","[np.float64(55048.12081416724), np.float64(55023.68672920525), np.float64(55045.368908799115), np.float64(54963.361727274656), np.float64(54963.37382243854), np.float64(54941.58346671386), np.float64(54932.7599787575), np.float64(54940.8347974346), np.float64(54900.5437467879), np.float64(54903.05443786464), np.float64(54871.58462721169), np.float64(54872.29181077526), np.float64(54831.65216398954), np.float64(54831.66108282009), np.float64(54827.85684024593), np.float64(54796.11887206891), np.float64(54796.11055872917), np.float64(54845.88375570513), np.float64(54764.85037875897)]","[np.float64(55018.57804610563), np.float64(54973.514969617725), np.float64(54913.71724186592), np.float64(54927.478130228534), np.float64(54903.38708814919), np.float64(54862.37462215647), np.float64(54922.784051081646), np.float64(54900.53610171071), np.float64(54844.873332436524), np.float64(54852.69706335962), np.float64(54805.520774892255), np.float64(54806.13597897352), np.float64(54822.72581934038), np.float64(54779.89785128522), np.float64(54777.129871135905), np.float64(54695.18326678454), np.float64(54767.377250083686), np.float64(54735.09853418949), np.float64(54723.57172308891)]","[np.float64(55023.68672920525), np.float64(54973.514969617725), np.float64(54939.58170109391), np.float64(54963.361727274656), np.float64(54903.38708814919), np.float64(54922.789358578324), np.float64(54932.7599787575), np.float64(54900.5437467879), np.float64(54852.69706335962), np.float64(54871.58462721169), np.float64(54841.18572031856), np.float64(54822.74751374841), np.float64(54831.65216398954), np.float64(54814.120921522976), np.float64(54777.15683680355), np.float64(54796.11055872917), np.float64(54767.377250083686), np.float64(54746.15959564626), np.float64(54764.037318781615)]"
9,"[np.float64(55015.36747277379), np.float64(54985.780417643786), np.float64(54991.92632474482), np.float64(54977.95192794859), np.float64(54945.42302224755), np.float64(54941.018091541526), np.float64(54937.58337141037), np.float64(54896.65416968167), np.float64(54889.56927085221), np.float64(54888.71940650403), np.float64(54852.05796666384), np.float64(54866.970546410084), np.float64(54846.79993649602), np.float64(54820.17527490854), np.float64(54778.43470668375), np.float64(54778.479189496036), np.float64(54779.06700964093), np.float64(54801.014020444156), np.float64(54781.05611925066)]","[np.float64(55017.582778467055), np.float64(55005.235407089895), np.float64(54996.328790327214), np.float64(54977.95192794859), np.float64(54945.435158384535), np.float64(54941.018091541526), np.float64(54937.59240863849), np.float64(54911.55508341174), np.float64(54889.56927085221), np.float64(54888.71940650403), np.float64(54881.290181307726), np.float64(54866.9762454459), np.float64(54859.694788095076), np.float64(54862.28503559581), np.float64(54778.479189496036), np.float64(54779.06700964093), np.float64(54811.92800016029), np.float64(54801.032638412056), np.float64(54781.05611925066)]","[np.float64(54980.66581811251), np.float64(54985.780417643786), np.float64(54956.344585717976), np.float64(54940.37028997516), np.float64(54938.563816828835), np.float64(54935.05957247284), np.float64(54896.65416968167), np.float64(54886.84887300903), np.float64(54878.0507200384), np.float64(54805.97637356978), np.float64(54852.04823011698), np.float64(54837.615308055625), np.float64(54817.81642069096), np.float64(54778.15156788904), np.float64(54747.38621913666), np.float64(54775.91862216993), np.float64(54778.25621817533), np.float64(54730.815714532415), np.float64(54759.910647639925)]","[np.float64(54985.780417643786), np.float64(54991.92632474482), np.float64(54977.95192794859), np.float64(54945.42302224755), np.float64(54941.018091541526), np.float64(54937.58337141037), np.float64(54896.65416968167), np.float64(54889.56927085221), np.float64(54888.71940650403), np.float64(54852.05796666384), np.float64(54866.970546410084), np.float64(54846.79993649602), np.float64(54820.17527490854), np.float64(54778.43470668375), np.float64(54778.479189496036), np.float64(54779.06700964093), np.float64(54801.014020444156), np.float64(54781.05611925066), np.float64(54764.98617760658)]"
