,o_chunk,h_chunk,l_chunk,c_chunk
0,"[np.float64(55112.825049595835), np.float64(55094.49248079061), np.float64(55083.667998998164), np.float64(55073.63691246987), np.float64(55063.7725921917), np.float64(55040.37045815945), np.float64(55008.84146349907), np.float64(55025.29414526224), np.float64(55029.215920846465), np.float64(55004.65196047544), np.float64(54974.00444456578), np.float64(54937.33737529993), np.float64(54934.550382878784), np.float64(54931.81477249146), np.float64(54894.3763288331), np.float64(54892.29979927063), np.float64(54895.117183070186), np.float64(54886.27354950905), np.float64(54860.49071457625)]","[np.float64(55160.98646820893), np.float64(55094.5765106631), np.float64(55126.208765960386), np.float64(55083.56822962275), np.float64(55091.08588778956), np.float64(55049.54367780238), np.float64(55026.01073189091), np.float64(55039.966755955116), np.float64(55039.44110519026), np.float64(55049.704654763584), np.float64(54974.01351973684), np.float64(54966.64733365555), np.float64(54949.15820943362), np.float64(54938.52350068395), np.float64(54923.64992523134), np.float64(54906.518028884806), np.float64(54903.26577495319), np.float64(54902.127475181725), np.float64(54902.99259409452)]","[np.float64(55070.063821051), np.float64(55083.65496411375), np.float64(55063.39368687132), np.float64(55061.28093289954), np.float64(55014.60888156403), np.float64(54995.63751814703), np.float64(54987.79304305646), np.float64(54973.67235090889), np.float64(54998.710461609255), np.float64(54958.918920283184), np.float64(54879.616669987925), np.float64(54934.5421516127), np.float64(54913.344289079985), np.float64(54882.63709556646), np.float64(54800.145138335094), np.float64(54858.198069868944), np.float64(54877.288894367826), np.float64(54800.6930404737), np.float64(54857.20072887278)]","[np.float64(55094.49248079061), np.float64(55083.667998998164), np.float64(55073.63691246987), np.float64(55063.7725921917), np.float64(55040.37045815945), np.float64(55008.84146349907), np.float64(55025.29414526224), np.float64(55029.215920846465), np.float64(55004.65196047544), np.float64(54974.00444456578), np.float64(54937.33737529993), np.float64(54934.550382878784), np.float64(54931.81477249146), np.float64(54894.3763288331), np.float64(54892.29979927063), np.float64(54895.117183070186), np.float64(54886.27354950905), np.float64(54860.49071457625), np.float64(54872.55802345753)]"
1,"[np.float64(55066.34040611267), np.float64(55039.10303465843), np.float64(55049.300114774705), np.float64(55048.127857496744), np.float64(55034.291667370795), np.float64(55041.40981754541), np.float64(54993.72703260183), np.float64(54984.7158601284), np.float64(54955.32662455082), np.float64(54937.362358043196), np.float64(54922.2713645649), np.float64(54922.44933441639), np.float64(54894.02270711661), np.float64(54906.18376567364), np.float64(54876.104929115776), np.float64(54874.05132186413), np.float64(54869.02412427902), np.float64(54883.9370191288), np.float64(54881.765580897336)]","[np.float64(55105.015101023), np.float64(55063.67908799732), np.float64(55049.31135756408), np.float64(55079.52151483971), np.float64(55046.18387188643), np.float64(55041.42287435435), np.float64(54993.736050999316), np.float64(54991.375108886416), np.float64(54964.15716483527), np.float64(54937.374038400696), np.float64(54948.762548948296), np.float64(54922.45496603198), np.float64(54923.992338927055), np.float64(54916.24206671503), np.float64(54883.109244214764), np.float64(54881.66267473378), np.float64(54896.257276572665), np.float64(54892.37796630452), np.float64(54893.80979362769)]","[np.float64(55025.49972732877), np.float64(55032.10413265083), np.float64(55022.228636321895), np.float64(55029.79869599178), np.float64(55027.08864989588), np.float64(54964.28343965867), np.float64(54972.471262785155), np.float64(54953.50708896989), np.float64(54920.33882403863), np.float64(54918.502443252226), np.float64(54886.45987006731), np.float64(54881.23922963462), np.float64(54885.678508445235), np.float64(54867.93554356298), np.float64(54857.45319203375), np.float64(54856.00823010761), np.float64(54869.02412427902), np.float64(54868.175396333856), np.float64(54854.61320183784)]","[np.float64(55039.10303465843), np.float64(55049.300114774705), np.float64(55048.127857496744), np.float64(55034.291667370795), np.float64(55041.40981754541), np.float64(54993.72703260183), np.float64(54984.7158601284), np.float64(54955.32662455082), np.float64(54937.362358043196), np.float64(54922.2713645649), np.float64(54922.44933441639), np.float64(54894.02270711661), np.float64(54906.18376567364), np.float64(54876.104929115776), np.float64(54874.05132186413), np.float64(54869.02412427902), np.float64(54883.9370191288), np.float64(54881.765580897336), np.float64(54862.07454323292)]"
2,"[np.float64(55091.6168897748), np.float64(55117.605639173984), np.float64(55086.27895322323), np.float64(55114.90222304344), np.float64(55067.801252708436), np.float64(54989.06414522648), np.float64(55087.93167758942), np.float64(54998.499122896195), np.float64(54988.957646625044), np.float64(54901.67605461598), np.float64(55030.17466581345), np.float64(54935.09021617651), np.float64(54893.70424152851), np.float64(54923.742126991754), np.float64(54931.13753410578), np.float64(55021.81858207703), np.float64(54913.03650639534), np.float64(54912.748303408625), np.float64(54905.98081307888)]","[np.float64(55146.62828183023), np.float64(55118.57314668552), np.float64(55140.06479365942), np.float64(55114.90222304344), np.float64(55203.17976400676), np.float64(55104.885629182485), np.float64(55106.5796573809), np.float64(55005.557198393835), np.float64(55010.25840953123), np.float64(55041.53545416811), np.float64(55048.761870757095), np.float64(54937.91918271455), np.float64(54943.9037887869), np.float64(54937.20064873456), np.float64(55045.321548457505), np.float64(55021.81858207703), np.float64(54960.07768201895), np.float64(54936.54996772514), np.float64(54915.0055162)]","[np.float64(55091.6168897748), np.float64(55083.44887748322), np.float64(55086.27895322323), np.float64(54983.07459552775), np.float64(54982.218600069406), np.float64(54981.356230822494), np.float64(54993.94584141248), np.float64(54983.015620934704), np.float64(54895.95460517529), np.float64(54886.383381407744), np.float64(54888.0040589187), np.float64(54893.693144423836), np.float64(54763.82853128453), np.float64(54920.37940354322), np.float64(54898.82318349146), np.float64(54903.274277353), np.float64(54912.740004874075), np.float64(54890.41823107396), np.float64(54844.18360067054)]","[np.float64(55117.605639173984), np.float64(55086.27895322323), np.float64(55114.90222304344), np.float64(55067.801252708436), np.float64(54989.06414522648), np.float64(55087.93167758942), np.float64(54998.499122896195), np.float64(54988.957646625044), np.float64(54901.67605461598), np.float64(55030.17466581345), np.float64(54935.09021617651), np.float64(54893.70424152851), np.float64(54923.742126991754), np.float64(54931.13753410578), np.float64(55021.81858207703), np.float64(54913.03650639534), np.float64(54912.748303408625), np.float64(54905.98081307888), np.float64(54865.873723087316)]"
3,"[np.float64(55099.981601572035), np.float64(55113.49597790718), np.float64(55048.41232594967), np.float64(55065.35577696324), np.float64(55079.71055217743), np.float64(55036.45846962929), np.float64(55066.67033285618), np.float64(55037.32758578539), np.float64(55014.519757733346), np.float64(55005.195270752905), np.float64(54979.230216326716), np.float64(54968.79283827782), np.float64(54973.392238578796), np.float64(54927.528815474514), np.float64(54900.04135903359), np.float64(54874.86802577019), np.float64(54902.07783894062), np.float64(54899.66842076302), np.float64(54873.284969775676)]","[np.float64(55119.78079067494), np.float64(55119.58317098804), np.float64(55065.35577696324), np.float64(55134.923821313605), np.float64(55079.71055217743), np.float64(55084.94815870793), np.float64(55066.67033285618), np.float64(55051.08395080286), np.float64(55020.178469285354), np.float64(55005.195270752905), np.float64(54988.53685868746), np.float64(54973.392238578796), np.float64(54981.81522284631), np.float64(54927.538392423754), np.float64(54900.04135903359), np.float64(54908.207029998535), np.float64(54911.01157174344), np.float64(54899.66842076302), np.float64(54879.953985004235)]","[np.float64(55086.968565760675), np.float64(55048.40338234707), np.float64(55043.85877877486), np.float64(55065.35577696324), np.float64(55024.39592956734), np.float64(55036.45846962929), np.float64(55031.455370790834), np.float64(55009.56568231012), np.float64(54997.65267565461), np.float64(54944.007753892016), np.float64(54959.01059971497), np.float64(54968.765539378284), np.float64(54840.19677162727), np.float64(54899.7629288097), np.float64(54805.64000549944), np.float64(54874.859424455724), np.float64(54881.48715859327), np.float64(54868.70895920978), np.float64(54856.46473036634)]","[np.float64(55113.49597790718), np.float64(55048.41232594967), np.float64(55065.35577696324), np.float64(55079.71055217743), np.float64(55036.45846962929), np.float64(55066.67033285618), np.float64(55037.32758578539), np.float64(55014.519757733346), np.float64(55005.195270752905), np.float64(54979.230216326716), np.float64(54968.79283827782), np.float64(54973.392238578796), np.float64(54927.528815474514), np.float64(54900.04135903359), np.float64(54874.86802577019), np.float64(54902.07783894062), np.float64(54899.66842076302), np.float64(54873.284969775676), np.float64(54866.447038412094)]"
4,"[np.float64(55083.06171675444), np.float64(55071.296905109884), np.float64(55072.14477305651), np.float64(55038.00044575214), np.float64(55045.54137090683), np.float64(55046.05738045454), np.float64(55047.10923121214), np.float64(55009.602406952385), np.float64(55010.813426115514), np.float64(55001.544570810795), np.float64(54993.09357840538), np.float64(54996.434569597244), np.float64(54950.173354256156), np.float64(54973.67451782227), np.float64(54931.688699781895), np.float64(54952.80684446097), np.float64(54907.97762966156), np.float64(54900.524272885326), np.float64(54884.538279068474)]","[np.float64(55083.06171675444), np.float64(55079.783614353815), np.float64(55075.257584770894), np.float64(55051.25912721127), np.float64(55046.06986536448), np.float64(55053.873981361496), np.float64(55047.12171522832), np.float64(55010.82753902468), np.float64(55034.243443870546), np.float64(55001.544570810795), np.float64(55025.23569583193), np.float64(55005.69463673315), np.float64(54973.67451782227), np.float64(54996.44516323288), np.float64(54952.81751107333), np.float64(54975.594096206005), np.float64(54907.97762966156), np.float64(54907.90806287449), np.float64(54914.22725424338)]","[np.float64(55071.296905109884), np.float64(55037.50443494034), np.float64(55037.99145331333), np.float64(55037.75564593839), np.float64(55033.98416224712), np.float64(55037.72786871505), np.float64(54995.92074499583), np.float64(55009.593658258906), np.float64(55001.544570810795), np.float64(54872.972839681126), np.float64(54993.09357840538), np.float64(54917.0537420856), np.float64(54946.71994227024), np.float64(54892.565259225856), np.float64(54928.70744433278), np.float64(54898.66006489763), np.float64(54889.430164855265), np.float64(54880.553262444984), np.float64(54872.735378898506)]","[np.float64(55071.296905109884), np.float64(55072.14477305651), np.float64(55038.00044575214), np.float64(55045.54137090683), np.float64(55046.05738045454), np.float64(55047.10923121214), np.float64(55009.602406952385), np.float64(55010.813426115514), np.float64(55001.544570810795), np.float64(54993.09357840538), np.float64(54996.434569597244), np.float64(54950.173354256156), np.float64(54973.67451782227), np.float64(54931.688699781895), np.float64(54952.80684446097), np.float64(54907.97762966156), np.float64(54900.524272885326), np.float64(54884.538279068474), np.float64(54899.69211573601)]"
5,"[np.float64(55065.856462044714), np.float64(55048.798399477004), np.float64(55032.072710416316), np.float64(55034.66460564137), np.float64(55056.185822415355), np.float64(55035.97169246674), np.float64(55002.731895000936), np.float64(55007.570047910216), np.float64(54998.5342790246), np.float64(54979.3544861579), np.float64(54974.598106660844), np.float64(54932.93217075586), np.float64(54922.11271126747), np.float64(54940.04156409264), np.float64(54955.307694327836), np.float64(54912.749462401865), np.float64(54891.910635094646), np.float64(54899.42142642498), np.float64(54903.51164236069)]","[np.float64(55078.36195267826), np.float64(55052.059933219), np.float64(55034.66460564137), np.float64(55078.40571787363), np.float64(55056.185822415355), np.float64(55045.904403631954), np.float64(55013.214228525845), np.float64(55007.570047910216), np.float64(55009.923050434794), np.float64(54979.3544861579), np.float64(54985.39785877541), np.float64(54932.93217075586), np.float64(54949.667752433066), np.float64(54957.413877165214), np.float64(54955.307694327836), np.float64(54931.7242674791), np.float64(54899.42687783763), np.float64(54906.47383323216), np.float64(54927.881228989696)]","[np.float64(55046.54980661177), np.float64(55032.063790962224), np.float64(55032.072710416316), np.float64(55005.115991585786), np.float64(55029.77081427466), np.float64(54979.22946836169), np.float64(54999.63850752463), np.float64(54998.52626369347), np.float64(54967.84758555601), np.float64(54953.69204296362), np.float64(54897.509645240236), np.float64(54893.04518551903), np.float64(54922.11271126747), np.float64(54878.17023856693), np.float64(54908.0529961524), np.float64(54869.86061501999), np.float64(54891.89510077132), np.float64(54876.51791203239), np.float64(54894.663794443775)]","[np.float64(55048.798399477004), np.float64(55032.072710416316), np.float64(55034.66460564137), np.float64(55056.185822415355), np.float64(55035.97169246674), np.float64(55002.731895000936), np.float64(55007.570047910216), np.float64(54998.5342790246), np.float64(54979.3544861579), np.float64(54974.598106660844), np.float64(54932.93217075586), np.float64(54922.11271126747), np.float64(54940.04156409264), np.float64(54955.307694327836), np.float64(54912.749462401865), np.float64(54891.910635094646), np.float64(54899.42142642498), np.float64(54903.51164236069), np.float64(54922.41121641636)]"
6,"[np.float64(55067.3805381608), np.float64(55052.618441209794), np.float64(55009.62314005375), np.float64(55052.81134919643), np.float64(54982.683501086234), np.float64(54971.39825509072), np.float64(54979.44913727284), np.float64(54957.93474568129), np.float64(54988.79281203032), np.float64(55027.291219398976), np.float64(54940.51288801194), np.float64(54915.0365424037), np.float64(54973.62867320061), np.float64(54926.43215031147), np.float64(54922.88782019377), np.float64(54881.36688722134), np.float64(54895.45882852316), np.float64(54869.23197040081), np.float64(54856.021121518614)]","[np.float64(55067.3805381608), np.float64(55065.57875228045), np.float64(55052.823528272886), np.float64(55052.81134919643), np.float64(54982.683501086234), np.float64(54979.45844121846), np.float64(55011.30734129498), np.float64(54988.79281203032), np.float64(55032.94761068377), np.float64(55027.291219398976), np.float64(54989.68072055085), np.float64(54973.62867320061), np.float64(55033.77211802256), np.float64(54938.295434553394), np.float64(54922.88782019377), np.float64(54898.16896370306), np.float64(54897.019543395574), np.float64(54905.93291889511), np.float64(54856.021121518614)]","[np.float64(55052.6055434239), np.float64(55006.09622421022), np.float64(55009.62314005375), np.float64(54969.33321599115), np.float64(54971.39825509072), np.float64(54970.854111873625), np.float64(54957.93474568129), np.float64(54949.72557365692), np.float64(54984.97786065894), np.float64(54928.65680731229), np.float64(54915.0365424037), np.float64(54915.02763034365), np.float64(54926.383801748), np.float64(54922.88782019377), np.float64(54881.36688722134), np.float64(54877.148515551824), np.float64(54795.540692161565), np.float64(54856.01024890305), np.float64(54772.86101683417)]","[np.float64(55052.618441209794), np.float64(55009.62314005375), np.float64(55052.81134919643), np.float64(54982.683501086234), np.float64(54971.39825509072), np.float64(54979.44913727284), np.float64(54957.93474568129), np.float64(54988.79281203032), np.float64(55027.291219398976), np.float64(54940.51288801194), np.float64(54915.0365424037), np.float64(54973.62867320061), np.float64(54926.43215031147), np.float64(54922.88782019377), np.float64(54881.36688722134), np.float64(54895.45882852316), np.float64(54869.23197040081), np.float64(54856.021121518614), np.float64(54797.617262735366)]"
7,"[np.float64(55050.26645758629), np.float64(55064.42883992195), np.float64(55054.69767508984), np.float64(55062.573420515066), np.float64(55002.47369706154), np.float64(55002.34736679793), np.float64(54995.69526068449), np.float64(54970.89718367815), np.float64(54994.37915946722), np.float64(54996.86610141516), np.float64(54990.68944008589), np.float64(54908.70509108782), np.float64(54925.72233133793), np.float64(54914.21713418007), np.float64(54899.74697474956), np.float64(54917.48085915566), np.float64(54893.395434217455), np.float64(54843.92058816433), np.float64(54886.30445599556)]","[np.float64(55085.191183603696), np.float64(55064.42883992195), np.float64(55148.02874157714), np.float64(55074.71876381379), np.float64(55002.47369706154), np.float64(55034.64675944409), np.float64(55031.552063505886), np.float64(54994.37915946722), np.float64(55005.48527322786), np.float64(54996.87443829822), np.float64(55010.22948578974), np.float64(54997.83585763982), np.float64(54954.280505911986), np.float64(54914.21713418007), np.float64(54928.82822673997), np.float64(54923.18089356697), np.float64(54893.411015178965), np.float64(54902.246948279), np.float64(54886.30445599556)]","[np.float64(55050.26645758629), np.float64(55049.38052636975), np.float64(55054.68936964878), np.float64(55002.47369706154), np.float64(54996.88296254153), np.float64(54995.69526068449), np.float64(54940.91731619341), np.float64(54966.5674222624), np.float64(54991.63273878656), np.float64(54990.68369638974), np.float64(54898.540461906196), np.float64(54908.69684071052), np.float64(54913.083783064394), np.float64(54891.897864739374), np.float64(54899.74697474956), np.float64(54881.08438169385), np.float64(54791.0596587881), np.float64(54841.87246749873), np.float64(54848.57792616047)]","[np.float64(55064.42883992195), np.float64(55054.69767508984), np.float64(55062.573420515066), np.float64(55002.47369706154), np.float64(55002.34736679793), np.float64(54995.69526068449), np.float64(54970.89718367815), np.float64(54994.37915946722), np.float64(54996.86610141516), np.float64(54990.68944008589), np.float64(54908.70509108782), np.float64(54925.72233133793), np.float64(54914.21713418007), np.float64(54899.74697474956), np.float64(54917.48085915566), np.float64(54893.395434217455), np.float64(54843.92058816433), np.float64(54886.30445599556), np.float64(54873.04042220116)]"
8,"[np.float64(55089.38544144869), np.float64(55099.16953363895), np.float64(55080.20531351567), np.float64(55047.16627943516), np.float64(55055.09096013069), np.float64(54997.40722248316), np.float64(55032.20084355831), np.float64(55014.24971230746), np.float64(54999.11995694399), np.float64(54969.358040649895), np.float64(54975.68446966171), np.float64(54942.41234916211), np.float64(54938.03702088833), np.float64(54900.53689303398), np.float64(54889.00851601124), np.float64(54894.53511090756), np.float64(54895.21994713783), np.float64(54897.4786961937), np.float64(54850.48950431824)]","[np.float64(55131.32689094617), np.float64(55099.178821291105), np.float64(55093.387278747825), np.float64(55057.22466581364), np.float64(55082.11286144704), np.float64(55033.01177644257), np.float64(55035.8748000785), np.float64(55078.04436952969), np.float64(55015.22513371851), np.float64(54983.327840657126), np.float64(54997.111833387105), np.float64(54942.41234916211), np.float64(54955.89391211498), np.float64(54917.01846130084), np.float64(54894.53511090756), np.float64(54919.040679294856), np.float64(54904.71480238506), np.float64(54905.05779116744), np.float64(54867.77319282587)]","[np.float64(55023.91065619393), np.float64(55066.64076757726), np.float64(55032.878024996615), np.float64(55043.0515095614), np.float64(54983.35517225961), np.float64(54962.33722501974), np.float64(54993.89090000899), np.float64(54984.74101830278), np.float64(54948.49487859054), np.float64(54950.42297760491), np.float64(54941.5259726624), np.float64(54904.40009214679), np.float64(54873.999220674945), np.float64(54878.01692409013), np.float64(54888.999000405085), np.float64(54889.65066200814), np.float64(54874.37981766645), np.float64(54814.33965741612), np.float64(54787.10370740104)]","[np.float64(55099.16953363895), np.float64(55080.20531351567), np.float64(55047.16627943516), np.float64(55055.09096013069), np.float64(54997.40722248316), np.float64(55032.20084355831), np.float64(55014.24971230746), np.float64(54999.11995694399), np.float64(54969.358040649895), np.float64(54975.68446966171), np.float64(54942.41234916211), np.float64(54938.03702088833), np.float64(54900.53689303398), np.float64(54889.00851601124), np.float64(54894.53511090756), np.float64(54895.21994713783), np.float64(54897.4786961937), np.float64(54850.48950431824), np.float64(54837.02921433449)]"
9,"[np.float64(55124.25851794958), np.float64(55098.73091908455), np.float64(55102.44394710779), np.float64(55072.84879706383), np.float64(55088.27654246807), np.float64(55014.493487219814), np.float64(55052.030058972836), np.float64(55057.40302287579), np.float64(54999.651162180904), np.float64(54991.40505402565), np.float64(54977.75623447418), np.float64(54996.63584809065), np.float64(55022.661814050676), np.float64(54997.12713244915), np.float64(55015.321909835344), np.float64(54954.53013863802), np.float64(54899.44061420202), np.float64(54891.32083631039), np.float64(54872.40542268038)]","[np.float64(55124.25851794958), np.float64(55105.87923718473), np.float64(55102.456408393504), np.float64(55090.884871358925), np.float64(55088.27654246807), np.float64(55052.030058972836), np.float64(55076.0635042321), np.float64(55057.40302287579), np.float64(55016.162671007965), np.float64(54991.40505402565), np.float64(55014.43729732256), np.float64(55068.97331370383), np.float64(55051.98543992185), np.float64(55033.06600445767), np.float64(55044.33988531673), np.float64(54966.553963555845), np.float64(54904.930841862486), np.float64(54911.390271503085), np.float64(54884.59043376446)]","[np.float64(55098.73091908455), np.float64(55098.71613712767), np.float64(55065.27858961102), np.float64(55013.65378016317), np.float64(55014.48505407095), np.float64(54993.59311884746), np.float64(55052.030058972836), np.float64(54981.63804541624), np.float64(54990.322795843094), np.float64(54836.03993126956), np.float64(54972.447295460064), np.float64(54983.99456118949), np.float64(54956.90690357957), np.float64(54992.187236034784), np.float64(54930.49854405784), np.float64(54851.12465995863), np.float64(54814.751453378034), np.float64(54866.74608109802), np.float64(54827.48789541569)]","[np.float64(55098.73091908455), np.float64(55102.44394710779), np.float64(55072.84879706383), np.float64(55088.27654246807), np.float64(55014.493487219814), np.float64(55052.030058972836), np.float64(55057.40302287579), np.float64(54999.651162180904), np.float64(54991.40505402565), np.float64(54977.75623447418), np.float64(54996.63584809065), np.float64(55022.661814050676), np.float64(54997.12713244915), np.float64(55015.321909835344), np.float64(54954.53013863802), np.float64(54899.44061420202), np.float64(54891.32083631039), np.float64(54872.40542268038), np.float64(54884.59043376446)]"
