,o_chunk,h_chunk,l_chunk,c_chunk
0,"[np.float64(54959.86730252743), np.float64(54974.612143356804), np.float64(54955.11130936146), np.float64(54944.49338592053), np.float64(54909.3462719059), np.float64(54908.55300541878), np.float64(54893.489699001315), np.float64(54913.662877855306), np.float64(54876.1999665618), np.float64(54859.7229459405), np.float64(54868.668699684145), np.float64(54813.97503582954), np.float64(54844.31606241465), np.float64(54841.20880152703), np.float64(54827.68579713106)]","[np.float64(54974.612143356804), np.float64(54992.61825137578), np.float64(54959.510489877954), np.float64(54944.49900626004), np.float64(54920.0846832594), np.float64(54935.922919876895), np.float64(54913.662877855306), np.float64(54913.662877855306), np.float64(54882.13640544246), np.float64(54889.37640057219), np.float64(54883.62073031111), np.float64(54844.31606241465), np.float64(54851.392091237576), np.float64(54841.20880152703), np.float64(54835.99614938058)]","[np.float64(54953.84620138684), np.float64(54955.11130936146), np.float64(54907.64043850524), np.float64(54909.3462719059), np.float64(54889.0033360665), np.float64(54889.675788189285), np.float64(54888.49364040218), np.float64(54876.1910833173), np.float64(54827.97373685099), np.float64(54852.58563969661), np.float64(54789.19315061921), np.float64(54813.97503582954), np.float64(54832.35749635901), np.float64(54812.16769469078), np.float64(54755.30568817449)]","[np.float64(54974.612143356804), np.float64(54955.11130936146), np.float64(54944.49338592053), np.float64(54909.3462719059), np.float64(54908.55300541878), np.float64(54893.489699001315), np.float64(54913.662877855306), np.float64(54876.1999665618), np.float64(54859.7229459405), np.float64(54868.668699684145), np.float64(54813.97503582954), np.float64(54844.31606241465), np.float64(54841.20880152703), np.float64(54827.68579713106), np.float64(54775.8056537652)]"
1,"[np.float64(55021.39387544155), np.float64(54990.30748742342), np.float64(54974.04552443743), np.float64(54966.56345038414), np.float64(54985.8189641428), np.float64(54953.406430299285), np.float64(54953.00644885302), np.float64(54911.66747781992), np.float64(54942.282928249835), np.float64(54898.228564822675), np.float64(54934.186330223085), np.float64(54918.342377467154), np.float64(54877.066507177355), np.float64(54810.94632892847), np.float64(54805.19231380225)]","[np.float64(55021.39387544155), np.float64(54990.30748742342), np.float64(54991.215480286526), np.float64(54985.82795977011), np.float64(54985.842503213025), np.float64(54960.55043993602), np.float64(54956.59231942496), np.float64(54942.282928249835), np.float64(54942.28836484023), np.float64(54952.260502729856), np.float64(54934.186330223085), np.float64(54927.338434979414), np.float64(54896.09135161397), np.float64(54825.209442873835), np.float64(54805.19807779014)]","[np.float64(54990.30748742342), np.float64(54963.62505605512), np.float64(54966.55154063289), np.float64(54966.554885677324), np.float64(54950.90999130455), np.float64(54941.44091948669), np.float64(54902.18614999613), np.float64(54911.66747781992), np.float64(54879.862371987074), np.float64(54898.228564822675), np.float64(54910.50855055069), np.float64(54860.96512316172), np.float64(54793.86889111835), np.float64(54789.45470957858), np.float64(54750.69913806581)]","[np.float64(54990.30748742342), np.float64(54974.04552443743), np.float64(54966.56345038414), np.float64(54985.8189641428), np.float64(54953.406430299285), np.float64(54953.00644885302), np.float64(54911.66747781992), np.float64(54942.282928249835), np.float64(54898.228564822675), np.float64(54934.186330223085), np.float64(54918.342377467154), np.float64(54877.066507177355), np.float64(54810.94632892847), np.float64(54805.19231380225), np.float64(54752.70575941563)]"
2,"[np.float64(54980.54850675345), np.float64(54974.794620404246), np.float64(54979.869207935335), np.float64(54956.08087159872), np.float64(54912.80882861138), np.float64(54895.785664618015), np.float64(54888.36810785532), np.float64(54859.875546717645), np.float64(54864.07960154534), np.float64(54841.53756927729), np.float64(54831.3352093029), np.float64(54780.93934995175), np.float64(54766.38059192657), np.float64(54759.53519149542), np.float64(54755.38792733669)]","[np.float64(55002.463503616775), np.float64(54979.869207935335), np.float64(54982.61343683862), np.float64(54956.0934020923), np.float64(54925.339847137075), np.float64(54895.785664618015), np.float64(54928.98366890578), np.float64(54871.23374427093), np.float64(54877.921041647016), np.float64(54853.492186948664), np.float64(54839.97261840508), np.float64(54829.63158097765), np.float64(54788.88038325085), np.float64(54796.84976018934), np.float64(54776.30582124614)]","[np.float64(54965.5174937193), np.float64(54974.794620404246), np.float64(54947.886351335284), np.float64(54912.80882861138), np.float64(54879.56903591131), np.float64(54876.51740827812), np.float64(54842.61440289467), np.float64(54858.68295845221), np.float64(54827.32473754644), np.float64(54823.77627068765), np.float64(54771.14537952462), np.float64(54760.7755114441), np.float64(54750.770852172944), np.float64(54753.66225847656), np.float64(54747.31914622841)]","[np.float64(54974.794620404246), np.float64(54979.869207935335), np.float64(54956.08087159872), np.float64(54912.80882861138), np.float64(54895.785664618015), np.float64(54888.36810785532), np.float64(54859.875546717645), np.float64(54864.07960154534), np.float64(54841.53756927729), np.float64(54831.3352093029), np.float64(54780.93934995175), np.float64(54766.38059192657), np.float64(54759.53519149542), np.float64(54755.38792733669), np.float64(54756.87118113518)]"
3,"[np.float64(55007.16324128151), np.float64(55009.41838458061), np.float64(54990.88698404551), np.float64(54946.320731935506), np.float64(54927.4418909812), np.float64(54936.74384198189), np.float64(54803.70584057808), np.float64(54908.26840818882), np.float64(54857.58086887121), np.float64(54827.80530221224), np.float64(54853.155188779834), np.float64(54820.29773030758), np.float64(54777.48001267195), np.float64(54781.949605729584), np.float64(54705.2287601614)]","[np.float64(55009.41838458061), np.float64(55017.976499551754), np.float64(54999.16746714109), np.float64(54946.32940162678), np.float64(54936.74384198189), np.float64(54950.3031084665), np.float64(54951.359696681924), np.float64(54933.82051047418), np.float64(54866.3138618102), np.float64(54873.01935521561), np.float64(54863.537904209465), np.float64(54820.31495843869), np.float64(54813.24530279816), np.float64(54781.949605729584), np.float64(54801.06990301267)]","[np.float64(55007.16324128151), np.float64(54984.28426466238), np.float64(54920.59485761227), np.float64(54919.08879779559), np.float64(54912.79116922384), np.float64(54787.97008792046), np.float64(54788.26138889576), np.float64(54849.993586091165), np.float64(54764.13754854206), np.float64(54823.918202607754), np.float64(54796.021078543825), np.float64(54774.744160495735), np.float64(54752.73473710546), np.float64(54681.59512221817), np.float64(54682.27776057723)]","[np.float64(55009.41838458061), np.float64(54990.88698404551), np.float64(54946.320731935506), np.float64(54927.4418909812), np.float64(54936.74384198189), np.float64(54803.70584057808), np.float64(54908.26840818882), np.float64(54857.58086887121), np.float64(54827.80530221224), np.float64(54853.155188779834), np.float64(54820.29773030758), np.float64(54777.48001267195), np.float64(54781.949605729584), np.float64(54705.2287601614), np.float64(54769.031080698966)]"
4,"[np.float64(55014.26786986828), np.float64(55069.90881753445), np.float64(54966.61006766796), np.float64(54994.44844150782), np.float64(54919.48141027212), np.float64(54905.21948329449), np.float64(54990.533362329006), np.float64(54949.188853883745), np.float64(54911.05230996132), np.float64(54865.29937754631), np.float64(54884.78746261597), np.float64(54832.34070033074), np.float64(54867.99905914307), np.float64(54804.98601300478), np.float64(54760.41885945559)]","[np.float64(55080.99542281162), np.float64(55069.90881753445), np.float64(54994.44844150782), np.float64(55000.974889046), np.float64(54923.883723279476), np.float64(55002.61859337436), np.float64(54990.542047967596), np.float64(54949.188853883745), np.float64(54916.08706737712), np.float64(54906.96449706517), np.float64(54895.95509130968), np.float64(54867.99905914307), np.float64(54899.748272515535), np.float64(54804.98601300478), np.float64(54783.81450315759)]","[np.float64(55014.26786986828), np.float64(54950.96523916761), np.float64(54966.61006766796), np.float64(54919.0113337675), np.float64(54897.36426003175), np.float64(54899.69776468354), np.float64(54949.149286704764), np.float64(54882.618834521956), np.float64(54865.29937754631), np.float64(54843.08636098025), np.float64(54832.34070033074), np.float64(54824.591640939514), np.float64(54803.45094329123), np.float64(54760.41060559558), np.float64(54693.679016992035)]","[np.float64(55069.90881753445), np.float64(54966.61006766796), np.float64(54994.44844150782), np.float64(54919.48141027212), np.float64(54905.21948329449), np.float64(54990.533362329006), np.float64(54949.188853883745), np.float64(54911.05230996132), np.float64(54865.29937754631), np.float64(54884.78746261597), np.float64(54832.34070033074), np.float64(54867.99905914307), np.float64(54804.98601300478), np.float64(54760.41885945559), np.float64(54693.69780759812)]"
5,"[np.float64(54998.58772149086), np.float64(54951.31045540571), np.float64(54983.00415588379), np.float64(54947.63683315277), np.float64(54880.5469638896), np.float64(54912.31200684071), np.float64(54860.14726624489), np.float64(54844.429772529606), np.float64(54896.55047138214), np.float64(54819.60928832054), np.float64(54855.69801995754), np.float64(54794.09984701634), np.float64(54845.33262826681), np.float64(54812.925116727354), np.float64(54741.038174426554)]","[np.float64(54998.58772149086), np.float64(54983.01725898909), np.float64(54990.343960926446), np.float64(54947.63683315277), np.float64(54933.78196157135), np.float64(54912.31200684071), np.float64(54881.870204290964), np.float64(54905.88578208663), np.float64(54896.55047138214), np.float64(54860.4346024681), np.float64(54862.7625451017), np.float64(54854.154996484926), np.float64(54850.1193358603), np.float64(54812.925116727354), np.float64(54810.563030629084)]","[np.float64(54936.76252668883), np.float64(54951.31045540571), np.float64(54932.576971835275), np.float64(54880.53570911514), np.float64(54849.87966172135), np.float64(54853.39015061008), np.float64(54844.3983306736), np.float64(54817.411634255775), np.float64(54802.14404009349), np.float64(54819.60928832054), np.float64(54777.40680135586), np.float64(54765.512580650444), np.float64(54808.05971118113), np.float64(54738.11576134793), np.float64(54733.731987832005)]","[np.float64(54951.31045540571), np.float64(54983.00415588379), np.float64(54947.63683315277), np.float64(54880.5469638896), np.float64(54912.31200684071), np.float64(54860.14726624489), np.float64(54844.429772529606), np.float64(54896.55047138214), np.float64(54819.60928832054), np.float64(54855.69801995754), np.float64(54794.09984701634), np.float64(54845.33262826681), np.float64(54812.925116727354), np.float64(54741.038174426554), np.float64(54788.8062097621)]"
6,"[np.float64(54995.08125181914), np.float64(54989.612606585026), np.float64(54989.20219419956), np.float64(54978.25640444756), np.float64(54980.838770172595), np.float64(54935.25698242665), np.float64(54925.29826858759), np.float64(54900.98040111542), np.float64(54900.19537635803), np.float64(54855.27151044369), np.float64(54858.64855920315), np.float64(54848.36107761383), np.float64(54865.34316173554), np.float64(54829.26048261881), np.float64(54831.84954474926)]","[np.float64(55009.54385686532), np.float64(54989.612606585026), np.float64(54989.20219419956), np.float64(55003.69775929432), np.float64(54980.838770172595), np.float64(54969.23194658414), np.float64(54927.74086079711), np.float64(54907.46951591812), np.float64(54900.203239581286), np.float64(54899.44629688227), np.float64(54858.64855920315), np.float64(54876.326524738986), np.float64(54890.03043719927), np.float64(54834.57635836732), np.float64(54831.84954474926)]","[np.float64(54989.612606585026), np.float64(54989.11162965215), np.float64(54931.211246380546), np.float64(54978.25640444756), np.float64(54930.42584975802), np.float64(54911.654543048775), np.float64(54897.736864587925), np.float64(54894.59043438071), np.float64(54855.19865494631), np.float64(54842.4535804329), np.float64(54848.34777333252), np.float64(54834.54910954036), np.float64(54803.93431420097), np.float64(54807.50573293108), np.float64(54801.18289282387)]","[np.float64(54989.612606585026), np.float64(54989.20219419956), np.float64(54978.25640444756), np.float64(54980.838770172595), np.float64(54935.25698242665), np.float64(54925.29826858759), np.float64(54900.98040111542), np.float64(54900.19537635803), np.float64(54855.27151044369), np.float64(54858.64855920315), np.float64(54848.36107761383), np.float64(54865.34316173554), np.float64(54829.26048261881), np.float64(54831.84954474926), np.float64(54804.37715522051)]"
7,"[np.float64(54982.582024788855), np.float64(54999.58368301869), np.float64(54971.664308428764), np.float64(54948.947525734904), np.float64(54918.38113935232), np.float64(54929.474765131476), np.float64(54882.93848206043), np.float64(54897.05398955822), np.float64(54874.993712148666), np.float64(54862.62712545633), np.float64(54851.41463848114), np.float64(54809.8101292181), np.float64(54808.05180768967), np.float64(54797.05669633627), np.float64(54796.74969190359)]","[np.float64(55005.972407029556), np.float64(55009.90677227372), np.float64(54980.223574927855), np.float64(54955.00952653305), np.float64(54948.06125964667), np.float64(54944.397139669156), np.float64(54897.06248541596), np.float64(54923.889949134995), np.float64(54875.00159590617), np.float64(54869.11511469651), np.float64(54859.78046298348), np.float64(54809.8101292181), np.float64(54817.17929953166), np.float64(54848.898031697165), np.float64(54796.76350519452)]","[np.float64(54964.65298791505), np.float64(54959.72778217307), np.float64(54935.13244878933), np.float64(54911.07640070237), np.float64(54914.235940745595), np.float64(54882.92943119831), np.float64(54882.93848206043), np.float64(54834.751273128364), np.float64(54862.618257929294), np.float64(54826.42147107568), np.float64(54807.06540406975), np.float64(54791.559755225724), np.float64(54788.8175438443), np.float64(54792.271203332915), np.float64(54766.9165356419)]","[np.float64(54999.58368301869), np.float64(54971.664308428764), np.float64(54948.947525734904), np.float64(54918.38113935232), np.float64(54929.474765131476), np.float64(54882.93848206043), np.float64(54897.05398955822), np.float64(54874.993712148666), np.float64(54862.62712545633), np.float64(54851.41463848114), np.float64(54809.8101292181), np.float64(54808.05180768967), np.float64(54797.05669633627), np.float64(54796.74969190359), np.float64(54778.17386329413)]"
8,"[np.float64(55002.29843152762), np.float64(54998.214139335156), np.float64(54980.59048806429), np.float64(54991.80181604624), np.float64(54936.084503602986), np.float64(54921.06845835447), np.float64(54906.110233991145), np.float64(54896.28789502382), np.float64(54927.360503900054), np.float64(54877.86737150908), np.float64(54870.432172293666), np.float64(54797.00119343758), np.float64(54777.49198893547), np.float64(54777.05015495539), np.float64(54808.352244493966)]","[np.float64(55038.229024066844), np.float64(54998.214139335156), np.float64(54996.450229193106), np.float64(55032.40037874158), np.float64(54945.42352152482), np.float64(54939.27808991664), np.float64(54917.884562872314), np.float64(54981.630943572854), np.float64(54927.360503900054), np.float64(54895.941400287214), np.float64(54870.432172293666), np.float64(54800.03795268804), np.float64(54790.74838153448), np.float64(54808.352244493966), np.float64(54820.88665013607)]","[np.float64(54990.49386886856), np.float64(54967.16247508121), np.float64(54974.864551176106), np.float64(54936.07677004794), np.float64(54906.90922380478), np.float64(54891.23377953767), np.float64(54888.47294947319), np.float64(54896.28789502382), np.float64(54869.59602169855), np.float64(54866.82675129654), np.float64(54777.57449651783), np.float64(54753.36020340037), np.float64(54732.052746329275), np.float64(54745.07905015888), np.float64(54778.309709993824)]","[np.float64(54998.214139335156), np.float64(54980.59048806429), np.float64(54991.80181604624), np.float64(54936.084503602986), np.float64(54921.06845835447), np.float64(54906.110233991145), np.float64(54896.28789502382), np.float64(54927.360503900054), np.float64(54877.86737150908), np.float64(54870.432172293666), np.float64(54797.00119343758), np.float64(54777.49198893547), np.float64(54777.05015495539), np.float64(54808.352244493966), np.float64(54787.997618808746)]"
9,"[np.float64(54977.92184173108), np.float64(54966.93832031012), np.float64(54967.459738492966), np.float64(54953.957982306485), np.float64(54907.72406769514), np.float64(54905.901228876115), np.float64(54871.377524449825), np.float64(54861.40309981346), np.float64(54860.400956988335), np.float64(54866.71515218258), np.float64(54861.75285821915), np.float64(54810.573261880876), np.float64(54785.49316318512), np.float64(54771.091255579), np.float64(54742.82920531988)]","[np.float64(54995.09095711349), np.float64(54985.15478168545), np.float64(54967.459738492966), np.float64(54983.05897965796), np.float64(54920.018655470354), np.float64(54913.72144508919), np.float64(54901.88352896198), np.float64(54879.48886431827), np.float64(54880.011456507964), np.float64(54888.438412265314), np.float64(54875.23414082152), np.float64(54830.99374151473), np.float64(54804.7914901829), np.float64(54830.522328388186), np.float64(54770.501338646645)]","[np.float64(54954.48475289614), np.float64(54966.93832031012), np.float64(54929.086712397395), np.float64(54885.91345799325), np.float64(54873.164461206274), np.float64(54858.63294484365), np.float64(54861.40309981346), np.float64(54851.55925856893), np.float64(54835.40469538197), np.float64(54861.74220942747), np.float64(54800.20366026619), np.float64(54775.84064031225), np.float64(54762.62067692818), np.float64(54687.275657887585), np.float64(54742.82362402816)]","[np.float64(54966.93832031012), np.float64(54967.459738492966), np.float64(54953.957982306485), np.float64(54907.72406769514), np.float64(54905.901228876115), np.float64(54871.377524449825), np.float64(54861.40309981346), np.float64(54860.400956988335), np.float64(54866.71515218258), np.float64(54861.75285821915), np.float64(54810.573261880876), np.float64(54785.49316318512), np.float64(54771.091255579), np.float64(54742.82920531988), np.float64(54743.70527543545)]"
