,o_chunk,h_chunk,l_chunk,c_chunk
0,"[np.float64(55427.89125139952), np.float64(55466.58880347848), np.float64(55475.422227396964), np.float64(55583.11864710987), np.float64(55620.98478578568), np.float64(55611.96999913693), np.float64(55668.58982158244), np.float64(55702.74532973409), np.float64(55709.990924959784), np.float64(55755.43261034727), np.float64(55783.62834883869), np.float64(55801.175159480576), np.float64(55818.88369527698), np.float64(55892.64658516884), np.float64(55932.356578269006), np.float64(55942.20740286946), np.float64(55951.07835935593), np.float64(56038.81301576734), np.float64(56086.12724118472)]","[np.float64(55474.43004809754), np.float64(55481.63265710809), np.float64(55599.34962697433), np.float64(55624.601273126544), np.float64(55629.178368427725), np.float64(55668.602198055916), np.float64(55702.76567073609), np.float64(55714.101228983374), np.float64(55765.86542450248), np.float64(55788.650374996185), np.float64(55810.59320525734), np.float64(55820.31343777786), np.float64(55898.18260487491), np.float64(55932.3755627818), np.float64(55942.24727540628), np.float64(55957.994283893466), np.float64(56044.98937243444), np.float64(56093.04989223395), np.float64(56151.28344801328)]","[np.float64(55414.25240736214), np.float64(55464.11955433341), np.float64(55475.40327428321), np.float64(55579.63579332948), np.float64(55611.92951252442), np.float64(55611.54246920051), np.float64(55657.625762239615), np.float64(55702.726797053496), np.float64(55704.18135767196), np.float64(55750.69656644001), np.float64(55776.67756512851), np.float64(55789.10929324415), np.float64(55810.56797926799), np.float64(55892.62811310685), np.float64(55916.46718889979), np.float64(55935.89115687193), np.float64(55951.0517684017), np.float64(56021.064520490116), np.float64(56080.52273552322)]","[np.float64(55466.58880347848), np.float64(55475.422227396964), np.float64(55583.11864710987), np.float64(55620.98478578568), np.float64(55611.96999913693), np.float64(55668.58982158244), np.float64(55702.74532973409), np.float64(55709.990924959784), np.float64(55755.43261034727), np.float64(55783.62834883869), np.float64(55801.175159480576), np.float64(55818.88369527698), np.float64(55892.64658516884), np.float64(55932.356578269006), np.float64(55942.20740286946), np.float64(55951.07835935593), np.float64(56038.81301576734), np.float64(56086.12724118472), np.float64(56151.273323693276)]"
1,"[np.float64(55479.4429037416), np.float64(55515.383487635256), np.float64(55488.52457878828), np.float64(55544.06594310641), np.float64(55560.360506426696), np.float64(55560.39019736886), np.float64(55575.54397168994), np.float64(55618.76212051451), np.float64(55638.91389244139), np.float64(55654.561756210926), np.float64(55733.83000360072), np.float64(55680.525245221856), np.float64(55742.923608642224), np.float64(55769.6266232872), np.float64(55838.46805520296), np.float64(55858.88215297103), np.float64(55871.48304244519), np.float64(55870.40800246239), np.float64(55948.91259613872)]","[np.float64(55542.245618456116), np.float64(55520.55005982707), np.float64(55560.13157590791), np.float64(55569.52022134953), np.float64(55573.67714793938), np.float64(55575.55779981392), np.float64(55627.37893474041), np.float64(55642.92136863911), np.float64(55661.20157622909), np.float64(55739.60583417182), np.float64(55740.65834549607), np.float64(55749.4544483472), np.float64(55781.44969164617), np.float64(55863.94951218141), np.float64(55876.28138242223), np.float64(55873.22087426758), np.float64(55884.035742635366), np.float64(55948.93405228908), np.float64(55960.061254823326)]","[np.float64(55474.019453058594), np.float64(55471.56897267578), np.float64(55488.49832058113), np.float64(55536.51766928023), np.float64(55546.89417495744), np.float64(55546.1647436364), np.float64(55560.401666379315), np.float64(55607.14408469759), np.float64(55638.89413145362), np.float64(55639.87077800321), np.float64(55671.43080480112), np.float64(55671.851759903075), np.float64(55736.784010872216), np.float64(55752.88907073365), np.float64(55838.452749461394), np.float64(55851.46791214183), np.float64(55870.40800246239), np.float64(55854.145150893055), np.float64(55918.55954028244)]","[np.float64(55515.383487635256), np.float64(55488.52457878828), np.float64(55544.06594310641), np.float64(55560.360506426696), np.float64(55560.39019736886), np.float64(55575.54397168994), np.float64(55618.76212051451), np.float64(55638.91389244139), np.float64(55654.561756210926), np.float64(55733.83000360072), np.float64(55680.525245221856), np.float64(55742.923608642224), np.float64(55769.6266232872), np.float64(55838.46805520296), np.float64(55858.88215297103), np.float64(55871.48304244519), np.float64(55870.40800246239), np.float64(55948.91259613872), np.float64(55924.39002262593)]"
2,"[np.float64(55419.52229300976), np.float64(55400.44562808812), np.float64(55462.35244891286), np.float64(55461.839191045765), np.float64(55537.53353369475), np.float64(55567.545111229425), np.float64(55530.38746679664), np.float64(55566.15781368554), np.float64(55519.868629508615), np.float64(55480.78174405933), np.float64(55535.52413383663), np.float64(55677.69508852899), np.float64(55529.44479613841), np.float64(55726.63561352134), np.float64(55734.18763535559), np.float64(55922.60668946743), np.float64(55736.135709678536), np.float64(55953.723735173946), np.float64(55752.21144472301)]","[np.float64(55419.52229300976), np.float64(55464.386165371856), np.float64(55462.376543154285), np.float64(55541.93153696216), np.float64(55567.545111229425), np.float64(55567.545111229425), np.float64(55566.17489121432), np.float64(55566.15781368554), np.float64(55524.36568765613), np.float64(55535.52413383663), np.float64(55677.69508852899), np.float64(55677.69508852899), np.float64(55733.341165802776), np.float64(55734.201908994466), np.float64(55924.2280458603), np.float64(55922.60668946743), np.float64(55953.770354810455), np.float64(55971.50153700924), np.float64(56009.07046631813)]","[np.float64(55400.44562808812), np.float64(55400.44562808812), np.float64(55461.820865215785), np.float64(55461.839191045765), np.float64(55537.53353369475), np.float64(55526.51095291446), np.float64(55530.38746679664), np.float64(55516.22528713553), np.float64(55480.78174405933), np.float64(55480.78174405933), np.float64(55535.515236429055), np.float64(55529.30968586906), np.float64(55529.44479613841), np.float64(55726.63561352134), np.float64(55734.17257324171), np.float64(55736.135709678536), np.float64(55736.135709678536), np.float64(55752.21144472301), np.float64(55751.00065661238)]","[np.float64(55400.44562808812), np.float64(55462.35244891286), np.float64(55461.839191045765), np.float64(55537.53353369475), np.float64(55567.545111229425), np.float64(55530.38746679664), np.float64(55566.15781368554), np.float64(55519.868629508615), np.float64(55480.78174405933), np.float64(55535.52413383663), np.float64(55677.69508852899), np.float64(55529.44479613841), np.float64(55726.63561352134), np.float64(55734.18763535559), np.float64(55922.60668946743), np.float64(55736.135709678536), np.float64(55953.723735173946), np.float64(55752.21144472301), np.float64(56009.07046631813)]"
3,"[np.float64(55423.749666568045), np.float64(55456.36419471443), np.float64(55449.874277531504), np.float64(55527.36354822159), np.float64(55536.959285404686), np.float64(55534.97046143651), np.float64(55602.93262592495), np.float64(55596.08661850334), np.float64(55620.605773871546), np.float64(55646.37000515997), np.float64(55691.136104323865), np.float64(55677.567879932525), np.float64(55744.31968612612), np.float64(55724.237550517326), np.float64(55813.951513710024), np.float64(55779.22289664984), np.float64(55850.844821628336), np.float64(55905.034343274834), np.float64(55965.21982670069)]","[np.float64(55458.69063558427), np.float64(55456.3846591977), np.float64(55536.0906491475), np.float64(55536.99836677191), np.float64(55541.63212498402), np.float64(55602.9517966112), np.float64(55609.420304428626), np.float64(55623.423291477935), np.float64(55657.106936426564), np.float64(55696.68713455342), np.float64(55693.42073747005), np.float64(55753.82671416679), np.float64(55749.08849252376), np.float64(55820.76603211052), np.float64(55818.987507864105), np.float64(55857.9306767238), np.float64(55918.20438573382), np.float64(55966.18740325481), np.float64(55999.948989705284)]","[np.float64(55405.941940482146), np.float64(55446.9930258866), np.float64(55449.86125797622), np.float64(55516.645731358825), np.float64(55534.96218360173), np.float64(55522.44829365588), np.float64(55591.75758039376), np.float64(55590.245683993264), np.float64(55620.58458125252), np.float64(55640.92099219414), np.float64(55677.567879932525), np.float64(55667.214474337336), np.float64(55716.13949192018), np.float64(55723.752045233006), np.float64(55767.80138352334), np.float64(55775.45926547092), np.float64(55845.76573721812), np.float64(55886.525860930495), np.float64(55961.56720527106)]","[np.float64(55456.36419471443), np.float64(55449.874277531504), np.float64(55527.36354822159), np.float64(55536.959285404686), np.float64(55534.97046143651), np.float64(55602.93262592495), np.float64(55596.08661850334), np.float64(55620.605773871546), np.float64(55646.37000515997), np.float64(55691.136104323865), np.float64(55677.567879932525), np.float64(55744.31968612612), np.float64(55724.237550517326), np.float64(55813.951513710024), np.float64(55779.22289664984), np.float64(55850.844821628336), np.float64(55905.034343274834), np.float64(55965.21982670069), np.float64(55993.18587928057)]"
4,"[np.float64(55443.74313148499), np.float64(55422.612429758316), np.float64(55472.06038166523), np.float64(55519.771111854316), np.float64(55458.164149438744), np.float64(55543.52587626219), np.float64(55535.07669200838), np.float64(55579.77637193144), np.float64(55614.14548060835), np.float64(55678.631928234696), np.float64(55636.91065864802), np.float64(55707.55888157726), np.float64(55798.3875620389), np.float64(55890.41420164347), np.float64(55890.40803557873), np.float64(55753.33561215639), np.float64(55775.23298360646), np.float64(55856.52979927302), np.float64(55915.64721305013)]","[np.float64(55443.74313148499), np.float64(55496.94385795304), np.float64(55527.767421469995), np.float64(55526.50243544264), np.float64(55563.619595824384), np.float64(55561.165399782105), np.float64(55582.46410002266), np.float64(55631.66506775322), np.float64(55678.631928234696), np.float64(55683.29066314988), np.float64(55718.40329231553), np.float64(55805.037006658895), np.float64(55894.967339438546), np.float64(55906.11520811256), np.float64(55890.40803557873), np.float64(55837.45929607349), np.float64(55856.52979927302), np.float64(55928.00464710248), np.float64(55926.517109027336)]","[np.float64(55414.70105522227), np.float64(55386.7708903053), np.float64(55456.712703667356), np.float64(55451.24961212577), np.float64(55458.14378831433), np.float64(55527.32005200438), np.float64(55529.75840330217), np.float64(55570.31375006347), np.float64(55612.13451055678), np.float64(55636.91065864802), np.float64(55631.44747182913), np.float64(55687.375003598965), np.float64(55791.271064492605), np.float64(55883.067361003945), np.float64(55745.24162041658), np.float64(55753.33561215639), np.float64(55763.984364928685), np.float64(55845.60796537584), np.float64(55913.41483336616)]","[np.float64(55422.612429758316), np.float64(55472.06038166523), np.float64(55519.771111854316), np.float64(55458.164149438744), np.float64(55543.52587626219), np.float64(55535.07669200838), np.float64(55579.77637193144), np.float64(55614.14548060835), np.float64(55678.631928234696), np.float64(55636.91065864802), np.float64(55707.55888157726), np.float64(55798.3875620389), np.float64(55890.41420164347), np.float64(55890.40803557873), np.float64(55753.33561215639), np.float64(55775.23298360646), np.float64(55856.52979927302), np.float64(55915.64721305013), np.float64(55923.17852494955)]"
5,"[np.float64(55439.07609070182), np.float64(55455.816755401494), np.float64(55447.136611809736), np.float64(55516.61495799959), np.float64(55493.36473854125), np.float64(55515.30145216525), np.float64(55569.53480648935), np.float64(55608.933882477286), np.float64(55623.20758510173), np.float64(55577.683126997355), np.float64(55671.41233771682), np.float64(55599.961386989955), np.float64(55697.70168984473), np.float64(55678.4802564466), np.float64(55736.622225590945), np.float64(55758.2047926271), np.float64(55801.43963003993), np.float64(55792.09469083786), np.float64(55820.780028274065)]","[np.float64(55488.222878164095), np.float64(55455.83701029136), np.float64(55527.81133692621), np.float64(55520.55858872894), np.float64(55533.99325434775), np.float64(55578.698219370504), np.float64(55608.94758186927), np.float64(55634.73261452344), np.float64(55628.67509622672), np.float64(55680.023128464745), np.float64(55671.421137386016), np.float64(55697.74436324453), np.float64(55702.86160968967), np.float64(55736.642050297356), np.float64(55767.012075605584), np.float64(55803.99578586999), np.float64(55808.89422749898), np.float64(55820.79611019399), np.float64(55821.17956130865)]","[np.float64(55439.0676950189), np.float64(55443.004317908206), np.float64(55447.116660367734), np.float64(55493.17869255793), np.float64(55493.34379013613), np.float64(55491.14705768847), np.float64(55562.550818301286), np.float64(55604.66498834181), np.float64(55576.86129893793), np.float64(55572.16912617013), np.float64(55581.55030001361), np.float64(55599.948061952055), np.float64(55668.848328710694), np.float64(55674.98035039094), np.float64(55727.88551151043), np.float64(55746.676779996014), np.float64(55792.07429783429), np.float64(55766.5283589797), np.float64(55782.877177583076)]","[np.float64(55455.816755401494), np.float64(55447.136611809736), np.float64(55516.61495799959), np.float64(55493.36473854125), np.float64(55515.30145216525), np.float64(55569.53480648935), np.float64(55608.933882477286), np.float64(55623.20758510173), np.float64(55577.683126997355), np.float64(55671.41233771682), np.float64(55599.961386989955), np.float64(55697.70168984473), np.float64(55678.4802564466), np.float64(55736.622225590945), np.float64(55758.2047926271), np.float64(55801.43963003993), np.float64(55792.09469083786), np.float64(55820.780028274065), np.float64(55792.77590694666)]"
6,"[np.float64(55441.32630219698), np.float64(55436.94075567365), np.float64(55460.23789084196), np.float64(55549.96606279254), np.float64(55574.771672081355), np.float64(55658.85394047141), np.float64(55568.07613004387), np.float64(55680.79943403542), np.float64(55642.01200486064), np.float64(55709.92598021269), np.float64(55641.6741447264), np.float64(55756.46643152773), np.float64(55663.0929089123), np.float64(55871.039890053275), np.float64(55799.34625106097), np.float64(55918.26041809559), np.float64(55792.88883976281), np.float64(56037.216139044765), np.float64(55936.42658313156)]","[np.float64(55487.49622113234), np.float64(55460.23789084196), np.float64(55549.96606279254), np.float64(55574.78564172632), np.float64(55658.85394047141), np.float64(55661.54185704278), np.float64(55693.226394598074), np.float64(55683.58218149634), np.float64(55718.85044960312), np.float64(55711.577351097905), np.float64(55756.46643152773), np.float64(55762.9497801736), np.float64(55894.314629847126), np.float64(55871.039890053275), np.float64(55918.26041809559), np.float64(55925.251201489766), np.float64(56050.127350356466), np.float64(56037.23425821284), np.float64(56088.78441817734)]","[np.float64(55436.926838532316), np.float64(55416.36649436849), np.float64(55460.23789084196), np.float64(55549.96606279254), np.float64(55572.55436852969), np.float64(55559.85458904896), np.float64(55568.07613004387), np.float64(55642.01200486064), np.float64(55627.370287071826), np.float64(55626.64983635935), np.float64(55636.39039511973), np.float64(55663.0929089123), np.float64(55659.8836689818), np.float64(55684.417079263105), np.float64(55799.34625106097), np.float64(55736.21895932615), np.float64(55792.88883976281), np.float64(55936.42658313156), np.float64(55933.23454878338)]","[np.float64(55436.94075567365), np.float64(55460.23789084196), np.float64(55549.96606279254), np.float64(55574.771672081355), np.float64(55658.85394047141), np.float64(55568.07613004387), np.float64(55680.79943403542), np.float64(55642.01200486064), np.float64(55709.92598021269), np.float64(55641.6741447264), np.float64(55756.46643152773), np.float64(55663.0929089123), np.float64(55871.039890053275), np.float64(55799.34625106097), np.float64(55918.26041809559), np.float64(55792.88883976281), np.float64(56037.216139044765), np.float64(55936.42658313156), np.float64(56086.59130457878)]"
7,"[np.float64(55523.297698750495), np.float64(55567.66916977108), np.float64(55514.682164793616), np.float64(55545.728836935166), np.float64(55703.873786603814), np.float64(55642.34028078556), np.float64(55741.79850289464), np.float64(55767.54631368459), np.float64(55709.078280355934), np.float64(55688.15501308978), np.float64(55744.760961889624), np.float64(55795.312572362425), np.float64(55909.54843884349), np.float64(55843.37878958821), np.float64(55955.19970340967), np.float64(55875.96523533106), np.float64(55964.099345501665), np.float64(55895.54852289796), np.float64(56093.394216569664)]","[np.float64(55626.69035767002), np.float64(55567.68212448756), np.float64(55565.99156925775), np.float64(55761.329068325715), np.float64(55709.67905279262), np.float64(55746.589125697705), np.float64(55775.63407791582), np.float64(55795.512701306754), np.float64(55710.18633074283), np.float64(55749.343060482184), np.float64(55811.11164474372), np.float64(55952.655709721475), np.float64(55915.11125193435), np.float64(56057.86905111724), np.float64(55973.697446347), np.float64(55964.099345501665), np.float64(55964.16325897293), np.float64(56093.394216569664), np.float64(56102.66116947909)]","[np.float64(55514.99946926101), np.float64(55514.666239830425), np.float64(55488.296293988096), np.float64(55545.728836935166), np.float64(55602.63221629681), np.float64(55639.89398007772), np.float64(55741.780033807576), np.float64(55709.059866272924), np.float64(55682.214339444334), np.float64(55688.140667493026), np.float64(55744.74735171986), np.float64(55795.312572362425), np.float64(55826.40319619082), np.float64(55829.037520321195), np.float64(55867.30365051454), np.float64(55875.96523533106), np.float64(55895.533374587125), np.float64(55895.54852289796), np.float64(56064.783338361056)]","[np.float64(55567.66916977108), np.float64(55514.682164793616), np.float64(55545.728836935166), np.float64(55703.873786603814), np.float64(55642.34028078556), np.float64(55741.79850289464), np.float64(55767.54631368459), np.float64(55709.078280355934), np.float64(55688.15501308978), np.float64(55744.760961889624), np.float64(55795.312572362425), np.float64(55909.54843884349), np.float64(55843.37878958821), np.float64(55955.19970340967), np.float64(55875.96523533106), np.float64(55964.099345501665), np.float64(55895.54852289796), np.float64(56093.394216569664), np.float64(56072.68548814297)]"
8,"[np.float64(55464.3005232358), np.float64(55491.34072779059), np.float64(55491.13289119542), np.float64(55556.32917351365), np.float64(55595.31947962284), np.float64(55573.80326480508), np.float64(55590.83480690658), np.float64(55747.34541430712), np.float64(55613.42009670973), np.float64(55626.36340384424), np.float64(55785.62199842274), np.float64(55813.54294489861), np.float64(55790.46490609586), np.float64(55895.02802660704), np.float64(55784.87034172654), np.float64(55807.58974343777), np.float64(55815.999585517646), np.float64(56061.29113668442), np.float64(55996.91393563986)]","[np.float64(55491.35574672524), np.float64(55491.34072779059), np.float64(55598.31335395283), np.float64(55595.31947962284), np.float64(55595.31947962284), np.float64(55590.848530898555), np.float64(55747.366658645435), np.float64(55747.364344711874), np.float64(55628.307782843556), np.float64(55785.62199842274), np.float64(55825.064598448334), np.float64(55813.54294489861), np.float64(55895.02802660704), np.float64(55909.94787007732), np.float64(55807.58974343777), np.float64(55815.999585517646), np.float64(56069.80127073718), np.float64(56068.944229780886), np.float64(56011.34628038645)]","[np.float64(55464.28078695953), np.float64(55469.22472781554), np.float64(55491.11177825633), np.float64(55556.32917351365), np.float64(55573.794792488894), np.float64(55573.789276520234), np.float64(55590.83480690658), np.float64(55590.64408057679), np.float64(55613.42009670973), np.float64(55617.35370569252), np.float64(55785.62199842274), np.float64(55789.369503438065), np.float64(55790.46490609586), np.float64(55784.87034172654), np.float64(55783.84048024882), np.float64(55806.98854256109), np.float64(55815.999585517646), np.float64(55996.89537830611), np.float64(55996.91393563986)]","[np.float64(55491.34072779059), np.float64(55491.13289119542), np.float64(55556.32917351365), np.float64(55595.31947962284), np.float64(55573.80326480508), np.float64(55590.83480690658), np.float64(55747.34541430712), np.float64(55613.42009670973), np.float64(55626.36340384424), np.float64(55785.62199842274), np.float64(55813.54294489861), np.float64(55790.46490609586), np.float64(55895.02802660704), np.float64(55784.87034172654), np.float64(55807.58974343777), np.float64(55815.999585517646), np.float64(56061.29113668442), np.float64(55996.91393563986), np.float64(56011.34628038645)]"
9,"[np.float64(55445.1716478312), np.float64(55468.0695973301), np.float64(55524.73908340574), np.float64(55557.78704568982), np.float64(55606.68574867785), np.float64(55563.10004877687), np.float64(55646.225772863036), np.float64(55681.00345035136), np.float64(55720.93374622107), np.float64(55782.82957536519), np.float64(55755.005476319195), np.float64(55762.96526269555), np.float64(55772.24230816305), np.float64(55774.36095460296), np.float64(55867.82750436902), np.float64(55873.10230466366), np.float64(55812.00410961152), np.float64(55990.77494796753), np.float64(56077.24582919717)]","[np.float64(55514.15875992718), np.float64(55524.73908340574), np.float64(55557.80231846372), np.float64(55606.70586511485), np.float64(55606.68574867785), np.float64(55664.61055008576), np.float64(55682.25507525618), np.float64(55720.95448554438), np.float64(55782.850628202825), np.float64(55782.8376094795), np.float64(55763.79520403656), np.float64(55778.91770782713), np.float64(55778.22475076659), np.float64(55867.82750436902), np.float64(55873.10230466366), np.float64(55880.18313951865), np.float64(55990.79114321965), np.float64(56077.26211871891), np.float64(56134.25333915604)]","[np.float64(55445.1716478312), np.float64(55459.40028520577), np.float64(55524.73908340574), np.float64(55555.06188279814), np.float64(55557.842997848704), np.float64(55563.10004877687), np.float64(55639.509559455946), np.float64(55676.55027128269), np.float64(55716.62539429998), np.float64(55754.98657910283), np.float64(55750.85579294279), np.float64(55762.451442118065), np.float64(55772.24230816305), np.float64(55772.52126398076), np.float64(55867.81825798237), np.float64(55809.47459893566), np.float64(55812.00410961152), np.float64(55990.77494796753), np.float64(56077.24582919717)]","[np.float64(55468.0695973301), np.float64(55524.73908340574), np.float64(55557.78704568982), np.float64(55606.68574867785), np.float64(55563.10004877687), np.float64(55646.225772863036), np.float64(55681.00345035136), np.float64(55720.93374622107), np.float64(55782.82957536519), np.float64(55755.005476319195), np.float64(55762.96526269555), np.float64(55772.24230816305), np.float64(55774.36095460296), np.float64(55867.82750436902), np.float64(55873.10230466366), np.float64(55812.00410961152), np.float64(55990.77494796753), np.float64(56077.24582919717), np.float64(56131.98801790715)]"
