,o_chunk,h_chunk,l_chunk,c_chunk
0,"[np.float64(54988.82273799718), np.float64(55020.066523143054), np.float64(55050.30604400575), np.float64(55049.50244491637), np.float64(55069.62328598589), np.float64(55075.24449177623), np.float64(55080.345201275646), np.float64(55102.55298716963), np.float64(55074.313550045496), np.float64(55146.61571930737), np.float64(55140.71821349651), np.float64(55127.53741233588), np.float64(55149.44275945664), np.float64(55211.793000763064), np.float64(55240.20957820356), np.float64(55238.498562260866), np.float64(55221.30013427675), np.float64(55241.47931838274), np.float64(55271.1793756032)]","[np.float64(55020.12811789564), np.float64(55063.342279335615), np.float64(55054.86805888984), np.float64(55088.18855241823), np.float64(55075.27004041963), np.float64(55126.40097869712), np.float64(55102.57093090475), np.float64(55120.606029090886), np.float64(55160.31677682658), np.float64(55151.801586801004), np.float64(55162.3628644448), np.float64(55155.00998380158), np.float64(55241.24677701707), np.float64(55278.59725383025), np.float64(55243.53754610862), np.float64(55276.36303823458), np.float64(55241.8949926593), np.float64(55284.458485793606), np.float64(55300.81114887728)]","[np.float64(54982.32714376509), np.float64(54913.808110197504), np.float64(55049.50244491637), np.float64(55025.47825307931), np.float64(55060.47815781458), np.float64(55067.11663212449), np.float64(55070.40516133084), np.float64(55049.855167015674), np.float64(55067.53448691697), np.float64(55138.50941510981), np.float64(55127.51715255372), np.float64(55082.75388540144), np.float64(55136.72565569452), np.float64(55211.793000763064), np.float64(55238.498562260866), np.float64(55218.26800116899), np.float64(55187.002617453836), np.float64(55241.36318978947), np.float64(55235.858660033315)]","[np.float64(55020.066523143054), np.float64(55050.30604400575), np.float64(55049.50244491637), np.float64(55069.62328598589), np.float64(55075.24449177623), np.float64(55080.345201275646), np.float64(55102.55298716963), np.float64(55074.313550045496), np.float64(55146.61571930737), np.float64(55140.71821349651), np.float64(55127.53741233588), np.float64(55149.44275945664), np.float64(55211.793000763064), np.float64(55240.20957820356), np.float64(55238.498562260866), np.float64(55221.30013427675), np.float64(55241.47931838274), np.float64(55271.1793756032), np.float64(55286.2616369778)]"
1,"[np.float64(54992.84348136425), np.float64(54998.982100413145), np.float64(55036.11266777903), np.float64(55022.052264078855), np.float64(55044.404717915655), np.float64(55104.30964539588), np.float64(55061.731828989985), np.float64(55105.07504169286), np.float64(55151.50142081022), np.float64(55156.986738597756), np.float64(55104.89984502733), np.float64(55149.689435557426), np.float64(55169.89988563299), np.float64(55165.50904433668), np.float64(55207.910926830176), np.float64(55202.39809632987), np.float64(55212.50484612823), np.float64(55253.374461534026), np.float64(55285.45890918017)]","[np.float64(55003.6913786195), np.float64(55036.11266777903), np.float64(55036.12600653371), np.float64(55070.43448566618), np.float64(55104.30964539588), np.float64(55109.59172927371), np.float64(55122.849085371), np.float64(55151.50142081022), np.float64(55156.986738597756), np.float64(55185.258986162706), np.float64(55149.689435557426), np.float64(55184.83019966637), np.float64(55184.44620688239), np.float64(55207.910926830176), np.float64(55207.910926830176), np.float64(55242.2364078777), np.float64(55257.83500383204), np.float64(55285.45890918017), np.float64(55292.65549219445)]","[np.float64(54955.97911118525), np.float64(54998.96652749042), np.float64(55022.03969805502), np.float64(55022.04667096769), np.float64(55028.29174036264), np.float64(55045.83154862901), np.float64(55061.731828989985), np.float64(55071.73606155376), np.float64(55140.74425108859), np.float64(55101.37381394414), np.float64(55104.88682652874), np.float64(55144.48342128925), np.float64(55163.32898793199), np.float64(55151.527117321755), np.float64(55199.167014723535), np.float64(55202.368018560024), np.float64(55212.50484612823), np.float64(55097.73140153288), np.float64(55281.458674680594)]","[np.float64(54998.982100413145), np.float64(55036.11266777903), np.float64(55022.052264078855), np.float64(55044.404717915655), np.float64(55104.30964539588), np.float64(55061.731828989985), np.float64(55105.07504169286), np.float64(55151.50142081022), np.float64(55156.986738597756), np.float64(55104.89984502733), np.float64(55149.689435557426), np.float64(55169.89988563299), np.float64(55165.50904433668), np.float64(55207.910926830176), np.float64(55202.39809632987), np.float64(55212.50484612823), np.float64(55253.374461534026), np.float64(55285.45890918017), np.float64(55281.458674680594)]"
2,"[np.float64(54991.698268883825), np.float64(54996.11598617971), np.float64(55006.231281339526), np.float64(55001.945129098895), np.float64(55051.05475171447), np.float64(55076.1657822752), np.float64(55043.986296805146), np.float64(55095.27374667764), np.float64(55080.47720197678), np.float64(55079.507320206765), np.float64(55115.2299806276), np.float64(55143.99896207244), np.float64(55139.203975445926), np.float64(55173.640609233975), np.float64(55185.51289773226), np.float64(55200.0264066571), np.float64(55219.58335440398), np.float64(55202.97837663979), np.float64(55240.27874536455)]","[np.float64(54996.1250126509), np.float64(55011.606702638746), np.float64(55020.23397123423), np.float64(55062.245482151244), np.float64(55083.16673743621), np.float64(55082.86728855243), np.float64(55095.28184512264), np.float64(55101.94375360825), np.float64(55082.967735070895), np.float64(55118.53811780899), np.float64(55144.94332873842), np.float64(55184.71050960254), np.float64(55177.001740054366), np.float64(55269.274926477265), np.float64(55202.48857351321), np.float64(55243.535436946026), np.float64(55224.77035085681), np.float64(55283.767363506115), np.float64(55269.31265781037)]","[np.float64(54986.729157589514), np.float64(54996.10804615296), np.float64(54999.70066054909), np.float64(54995.86974181261), np.float64(55051.047640856465), np.float64(55042.46135636985), np.float64(55035.698636895766), np.float64(55079.10689270284), np.float64(55063.26025238891), np.float64(55079.507320206765), np.float64(55102.73173128884), np.float64(55129.77155710894), np.float64(55134.28419573332), np.float64(55173.640609233975), np.float64(55184.41666948774), np.float64(55162.5838124503), np.float64(55174.50059912406), np.float64(55197.04280255154), np.float64(55187.88970482188)]","[np.float64(54996.11598617971), np.float64(55006.231281339526), np.float64(55001.945129098895), np.float64(55051.05475171447), np.float64(55076.1657822752), np.float64(55043.986296805146), np.float64(55095.27374667764), np.float64(55080.47720197678), np.float64(55079.507320206765), np.float64(55115.2299806276), np.float64(55143.99896207244), np.float64(55139.203975445926), np.float64(55173.640609233975), np.float64(55185.51289773226), np.float64(55200.0264066571), np.float64(55219.58335440398), np.float64(55202.97837663979), np.float64(55240.27874536455), np.float64(55261.45113505066)]"
3,"[np.float64(54981.730322564545), np.float64(54998.91082204521), np.float64(54973.3483953321), np.float64(55030.42725448847), np.float64(55027.88717092812), np.float64(55062.709150251154), np.float64(55065.66108672261), np.float64(55108.46972842157), np.float64(55136.24925754309), np.float64(55128.51366123796), np.float64(55112.79053126514), np.float64(55127.321734114885), np.float64(55160.223721518516), np.float64(55126.055278035405), np.float64(55172.50806399524), np.float64(55237.346044334176), np.float64(55250.37024755716), np.float64(55236.95315877438), np.float64(55271.661401011945)]","[np.float64(54998.92045095982), np.float64(55020.81796890754), np.float64(55030.42725448847), np.float64(55063.447229241974), np.float64(55074.804807764376), np.float64(55065.66108672261), np.float64(55118.81220406457), np.float64(55136.25739110698), np.float64(55136.24925754309), np.float64(55130.245186240645), np.float64(55147.8571932614), np.float64(55160.23193132144), np.float64(55160.23358361606), np.float64(55172.53707488387), np.float64(55247.95608160547), np.float64(55259.98188890943), np.float64(55250.37024755716), np.float64(55272.888153311345), np.float64(55279.96926402073)]","[np.float64(54981.730322564545), np.float64(54966.27729889246), np.float64(54962.4664693599), np.float64(55027.88717092812), np.float64(55015.19340605397), np.float64(55062.709150251154), np.float64(55065.66108672261), np.float64(55102.9123448253), np.float64(55128.51366123796), np.float64(55104.88558483531), np.float64(55112.777932913836), np.float64(55117.56376427516), np.float64(55113.682671012626), np.float64(55126.04795882877), np.float64(55172.50806399524), np.float64(55237.336394970356), np.float64(55225.08283840061), np.float64(55236.95315877438), np.float64(55271.645713283586)]","[np.float64(54998.91082204521), np.float64(54973.3483953321), np.float64(55030.42725448847), np.float64(55027.88717092812), np.float64(55062.709150251154), np.float64(55065.66108672261), np.float64(55108.46972842157), np.float64(55136.24925754309), np.float64(55128.51366123796), np.float64(55112.79053126514), np.float64(55127.321734114885), np.float64(55160.223721518516), np.float64(55126.055278035405), np.float64(55172.50806399524), np.float64(55237.346044334176), np.float64(55250.37024755716), np.float64(55236.95315877438), np.float64(55271.661401011945), np.float64(55279.95904752255)]"
4,"[np.float64(54998.37863033802), np.float64(55001.78608484209), np.float64(55003.9786235252), np.float64(55039.80315805912), np.float64(55072.626662182214), np.float64(55057.34735482574), np.float64(55041.703512402775), np.float64(55074.66977432907), np.float64(55103.0543150419), np.float64(55136.65769230962), np.float64(55160.17797870129), np.float64(55199.21979155779), np.float64(55223.79226327926), np.float64(55219.13993392229), np.float64(55223.37930449784), np.float64(55218.33613376558), np.float64(55203.825640850664), np.float64(55232.32174041957), np.float64(55320.20414780617)]","[np.float64(55003.014071718186), np.float64(55009.763798793116), np.float64(55047.58541793623), np.float64(55072.626662182214), np.float64(55095.26519674972), np.float64(55090.37023281925), np.float64(55084.818819510154), np.float64(55112.6797091839), np.float64(55189.72014415352), np.float64(55160.17797870129), np.float64(55199.22536025069), np.float64(55245.7620038762), np.float64(55232.96619792715), np.float64(55231.0602925881), np.float64(55223.37930449784), np.float64(55219.6754841023), np.float64(55315.408984192676), np.float64(55336.87816872893), np.float64(55330.262924313814)]","[np.float64(54981.39235359218), np.float64(54993.808812544994), np.float64(55003.9786235252), np.float64(55029.64050159058), np.float64(55049.77223188208), np.float64(55039.11887504816), np.float64(55041.703512402775), np.float64(55059.58030210639), np.float64(55103.0543150419), np.float64(55110.259336312454), np.float64(55160.168949207466), np.float64(55164.20093872923), np.float64(55219.13993392229), np.float64(55219.13042112093), np.float64(55193.301270728414), np.float64(55188.96984610008), np.float64(55203.80777278246), np.float64(55232.32174041957), np.float64(55300.95885086383)]","[np.float64(55001.78608484209), np.float64(55003.9786235252), np.float64(55039.80315805912), np.float64(55072.626662182214), np.float64(55057.34735482574), np.float64(55041.703512402775), np.float64(55074.66977432907), np.float64(55103.0543150419), np.float64(55136.65769230962), np.float64(55160.17797870129), np.float64(55199.21979155779), np.float64(55223.79226327926), np.float64(55219.13993392229), np.float64(55223.37930449784), np.float64(55218.33613376558), np.float64(55203.825640850664), np.float64(55232.32174041957), np.float64(55320.20414780617), np.float64(55328.32264332712)]"
5,"[np.float64(54992.46544127554), np.float64(55018.118214241564), np.float64(55051.725344766084), np.float64(55040.98201580584), np.float64(55091.896519295275), np.float64(55085.7663785854), np.float64(55029.56306711078), np.float64(55016.04765640438), np.float64(55088.29141560734), np.float64(55095.610601475244), np.float64(55093.18180868119), np.float64(55079.21919072509), np.float64(55107.507654766145), np.float64(55183.80382544041), np.float64(55161.598485865594), np.float64(55153.97840274066), np.float64(55204.46017582804), np.float64(55201.859638024274), np.float64(55223.51536005676)]","[np.float64(55018.118214241564), np.float64(55051.725344766084), np.float64(55051.725344766084), np.float64(55091.896519295275), np.float64(55100.13802616976), np.float64(55092.852959135234), np.float64(55029.56306711078), np.float64(55095.50397696536), np.float64(55095.61883070781), np.float64(55095.623688110594), np.float64(55093.18180868119), np.float64(55113.65455904311), np.float64(55183.80382544041), np.float64(55212.83161006708), np.float64(55161.598485865594), np.float64(55204.46017582804), np.float64(55204.46603906054), np.float64(55223.51536005676), np.float64(55245.33127541853)]","[np.float64(54992.459859638824), np.float64(55018.118214241564), np.float64(55040.97391358228), np.float64(55028.78268223811), np.float64(55085.7663785854), np.float64(55029.55400443406), np.float64(54978.72047530262), np.float64(55016.04765640438), np.float64(55088.29141560734), np.float64(55093.18180868119), np.float64(55031.57285808758), np.float64(55079.21919072509), np.float64(55101.89953704697), np.float64(55161.598485865594), np.float64(55151.837155366455), np.float64(55153.96991179602), np.float64(55201.859638024274), np.float64(55186.56671294996), np.float64(55223.51536005676)]","[np.float64(55018.118214241564), np.float64(55051.725344766084), np.float64(55040.98201580584), np.float64(55091.896519295275), np.float64(55085.7663785854), np.float64(55029.56306711078), np.float64(55016.04765640438), np.float64(55088.29141560734), np.float64(55095.610601475244), np.float64(55093.18180868119), np.float64(55079.21919072509), np.float64(55107.507654766145), np.float64(55183.80382544041), np.float64(55161.598485865594), np.float64(55153.97840274066), np.float64(55204.46017582804), np.float64(55201.859638024274), np.float64(55223.51536005676), np.float64(55240.10301251948)]"
6,"[np.float64(55001.36370940745), np.float64(55019.71029885948), np.float64(55033.16552341223), np.float64(55030.5879072839), np.float64(55071.52622069359), np.float64(55098.15155632734), np.float64(55068.04205900371), np.float64(55097.8169802928), np.float64(55089.878373008374), np.float64(55111.573872860674), np.float64(55147.25337082833), np.float64(55184.1541182378), np.float64(55176.65088874191), np.float64(55189.79730738938), np.float64(55188.4114173168), np.float64(55204.74317809284), np.float64(55190.92489296735), np.float64(55231.49267280191), np.float64(55216.574582901005)]","[np.float64(55033.64712418912), np.float64(55060.32593972673), np.float64(55033.16552341223), np.float64(55078.79927353514), np.float64(55100.36768716975), np.float64(55098.91083207102), np.float64(55097.82262090414), np.float64(55103.84672407368), np.float64(55125.14821048514), np.float64(55147.25337082833), np.float64(55198.34718806468), np.float64(55184.1541182378), np.float64(55195.414812709765), np.float64(55195.98988514559), np.float64(55219.93001681212), np.float64(55209.078010219855), np.float64(55235.17000479376), np.float64(55297.27581933454), np.float64(55237.30874389463)]","[np.float64(54998.30466496525), np.float64(55019.71029885948), np.float64(55016.62850493429), np.float64(55019.69079077579), np.float64(55071.52622069359), np.float64(55047.36094689122), np.float64(55068.04205900371), np.float64(55085.09122035006), np.float64(55089.8653197639), np.float64(55111.573872860674), np.float64(55125.53515361235), np.float64(55174.218919230356), np.float64(55176.645161316985), np.float64(55177.41439813902), np.float64(55181.19983672205), np.float64(55185.166404704825), np.float64(55183.15844790687), np.float64(55214.02107289471), np.float64(55156.493146004024)]","[np.float64(55019.71029885948), np.float64(55033.16552341223), np.float64(55030.5879072839), np.float64(55071.52622069359), np.float64(55098.15155632734), np.float64(55068.04205900371), np.float64(55097.8169802928), np.float64(55089.878373008374), np.float64(55111.573872860674), np.float64(55147.25337082833), np.float64(55184.1541182378), np.float64(55176.65088874191), np.float64(55189.79730738938), np.float64(55188.4114173168), np.float64(55204.74317809284), np.float64(55190.92489296735), np.float64(55231.49267280191), np.float64(55216.574582901005), np.float64(55236.61804656029)]"
7,"[np.float64(55010.53231256247), np.float64(55018.984244736435), np.float64(55024.29275731981), np.float64(55041.77619824201), np.float64(55040.07671015948), np.float64(55077.3845183754), np.float64(55088.048995431665), np.float64(55087.4756854558), np.float64(55138.98394076616), np.float64(55144.599985828405), np.float64(55141.65756654382), np.float64(55164.67357607574), np.float64(55157.67170796335), np.float64(55166.231479247814), np.float64(55205.41011842132), np.float64(55237.02426958621), np.float64(55232.02302139193), np.float64(55264.6743113482), np.float64(55252.506051742435)]","[np.float64(55018.99240392774), np.float64(55048.52093725358), np.float64(55051.94064977647), np.float64(55042.10241277674), np.float64(55082.72206918805), np.float64(55088.048995431665), np.float64(55103.9249854626), np.float64(55144.0984977832), np.float64(55159.86516206241), np.float64(55150.1383516561), np.float64(55188.2779622906), np.float64(55180.7048470543), np.float64(55172.78843291411), np.float64(55211.53959433452), np.float64(55237.02426958621), np.float64(55257.60042879415), np.float64(55264.683061914424), np.float64(55287.46898935258), np.float64(55264.33117966035)]","[np.float64(54948.54630025362), np.float64(55014.10512114582), np.float64(55024.29275731981), np.float64(55015.97620280795), np.float64(55022.55615543289), np.float64(55077.3845183754), np.float64(55054.10181482996), np.float64(55082.29521298052), np.float64(55138.98394076616), np.float64(55138.33884725991), np.float64(55122.5060712814), np.float64(55136.6949437513), np.float64(55157.67170796335), np.float64(55138.85092496703), np.float64(55205.41011842132), np.float64(55210.113648748695), np.float64(55220.17036357953), np.float64(55250.23016839593), np.float64(55252.48302610118)]","[np.float64(55018.984244736435), np.float64(55024.29275731981), np.float64(55041.77619824201), np.float64(55040.07671015948), np.float64(55077.3845183754), np.float64(55088.048995431665), np.float64(55087.4756854558), np.float64(55138.98394076616), np.float64(55144.599985828405), np.float64(55141.65756654382), np.float64(55164.67357607574), np.float64(55157.67170796335), np.float64(55166.231479247814), np.float64(55205.41011842132), np.float64(55237.02426958621), np.float64(55232.02302139193), np.float64(55264.6743113482), np.float64(55252.506051742435), np.float64(55259.99748528838)]"
8,"[np.float64(54985.409284984475), np.float64(54999.73553320408), np.float64(55041.35905055791), np.float64(55049.79653939545), np.float64(55053.13033623487), np.float64(55091.40169259995), np.float64(55059.00508792639), np.float64(55071.18413814545), np.float64(55100.952290167814), np.float64(55095.09784627646), np.float64(55098.55603676975), np.float64(55125.851663854126), np.float64(55147.526688350146), np.float64(55155.076464932565), np.float64(55205.334584128264), np.float64(55231.163156961804), np.float64(55248.68724699557), np.float64(55230.058325503174), np.float64(55280.241614141465)]","[np.float64(55023.09067176648), np.float64(55043.583566140514), np.float64(55057.67225448243), np.float64(55068.01371949431), np.float64(55091.40732320515), np.float64(55098.08239229296), np.float64(55108.77927399548), np.float64(55116.364362292865), np.float64(55137.60607904592), np.float64(55105.489645042566), np.float64(55148.900003652816), np.float64(55156.60885477441), np.float64(55166.38530209542), np.float64(55210.46468595339), np.float64(55231.17217567959), np.float64(55262.368670318916), np.float64(55307.833671634944), np.float64(55309.076164185484), np.float64(55312.229183018244)]","[np.float64(54985.40117359948), np.float64(54992.0869148231), np.float64(55041.3457148873), np.float64(55046.89240820601), np.float64(55036.46044300059), np.float64(55040.82930432395), np.float64(55059.00508792639), np.float64(55054.67327307233), np.float64(55085.11264943022), np.float64(55069.68715267291), np.float64(55098.54747272783), np.float64(55096.95423032861), np.float64(55140.30542209668), np.float64(55150.082644834554), np.float64(55183.95104295383), np.float64(55229.426188551784), np.float64(55228.16728467343), np.float64(55230.058325503174), np.float64(55266.12540684601)]","[np.float64(54999.73553320408), np.float64(55041.35905055791), np.float64(55049.79653939545), np.float64(55053.13033623487), np.float64(55091.40169259995), np.float64(55059.00508792639), np.float64(55071.18413814545), np.float64(55100.952290167814), np.float64(55095.09784627646), np.float64(55098.55603676975), np.float64(55125.851663854126), np.float64(55147.526688350146), np.float64(55155.076464932565), np.float64(55205.334584128264), np.float64(55231.163156961804), np.float64(55248.68724699557), np.float64(55230.058325503174), np.float64(55280.241614141465), np.float64(55288.38269622564)]"
9,"[np.float64(54992.60789747775), np.float64(55002.76521570921), np.float64(55001.763163166645), np.float64(55046.32551410437), np.float64(55058.64427260548), np.float64(55062.96065196783), np.float64(55102.71940389514), np.float64(55129.68869870544), np.float64(55137.75230284572), np.float64(55126.54246417225), np.float64(55140.54677008778), np.float64(55198.97063562662), np.float64(55213.484479663675), np.float64(55172.11806040049), np.float64(55193.96221603096), np.float64(55197.06967808098), np.float64(55232.9461885193), np.float64(55247.16523434162), np.float64(55335.37394049108)]","[np.float64(55033.032824858295), np.float64(55002.76521570921), np.float64(55048.10165374214), np.float64(55058.64427260548), np.float64(55064.59215182489), np.float64(55122.486609002946), np.float64(55129.70179248073), np.float64(55157.21407013697), np.float64(55265.59532762776), np.float64(55140.55500048293), np.float64(55245.91495132505), np.float64(55226.839639234786), np.float64(55214.20914685204), np.float64(55200.574252088634), np.float64(55213.115117790025), np.float64(55232.9461885193), np.float64(55254.47581601014), np.float64(55375.42469330664), np.float64(55336.08514222769)]","[np.float64(54992.59945121587), np.float64(54985.43529921766), np.float64(55001.763163166645), np.float64(55036.51361124857), np.float64(55054.25962579922), np.float64(55062.96065196783), np.float64(55096.92653874378), np.float64(55124.79820945141), np.float64(55120.51344555578), np.float64(55116.1311393091), np.float64(55134.53330760607), np.float64(55168.95361477439), np.float64(55172.11806040049), np.float64(55167.10112351823), np.float64(55188.41682666767), np.float64(55197.06967808098), np.float64(55232.932844761395), np.float64(55247.16523434162), np.float64(55332.43454214784)]","[np.float64(55002.76521570921), np.float64(55001.763163166645), np.float64(55046.32551410437), np.float64(55058.64427260548), np.float64(55062.96065196783), np.float64(55102.71940389514), np.float64(55129.68869870544), np.float64(55137.75230284572), np.float64(55126.54246417225), np.float64(55140.54677008778), np.float64(55198.97063562662), np.float64(55213.484479663675), np.float64(55172.11806040049), np.float64(55193.96221603096), np.float64(55197.06967808098), np.float64(55232.9461885193), np.float64(55247.16523434162), np.float64(55335.37394049108), np.float64(55336.070906873945)]"
