,o_chunk,h_chunk,l_chunk,c_chunk
0,"[np.float64(55216.77568374068), np.float64(55230.69389932841), np.float64(55239.32682560921), np.float64(55243.302865006925), np.float64(55303.05028974653), np.float64(55267.05595385373), np.float64(55328.709966024166), np.float64(55340.71180890441), np.float64(55327.26831327916)]","[np.float64(55244.91024375159), np.float64(55245.11957793057), np.float64(55245.845090977775), np.float64(55323.35279339323), np.float64(55308.51558574102), np.float64(55328.709966024166), np.float64(55350.65420718256), np.float64(55340.71180890441), np.float64(55371.83717574565)]","[np.float64(55202.75645969438), np.float64(55218.37004654214), np.float64(55238.89429343726), np.float64(55235.389432655225), np.float64(55257.49113650884), np.float64(55260.1467755735), np.float64(55294.946171508265), np.float64(55327.26040534286), np.float64(55309.55602317711)]","[np.float64(55230.69389932841), np.float64(55239.32682560921), np.float64(55243.302865006925), np.float64(55303.05028974653), np.float64(55267.05595385373), np.float64(55328.709966024166), np.float64(55340.71180890441), np.float64(55327.26831327916), np.float64(55371.19582763851)]"
1,"[np.float64(55223.38459927082), np.float64(55259.41821031511), np.float64(55239.20765970588), np.float64(55256.75581079662), np.float64(55284.6775615418), np.float64(55285.186999129655), np.float64(55364.953893494014), np.float64(55365.358507981306), np.float64(55361.97722574115)]","[np.float64(55284.21208482083), np.float64(55259.41821031511), np.float64(55291.15923444416), np.float64(55291.3651669206), np.float64(55304.225219072694), np.float64(55364.962028421396), np.float64(55374.45723343859), np.float64(55371.094039624215), np.float64(55361.99693194378)]","[np.float64(55189.102627502725), np.float64(55239.20765970588), np.float64(55228.88166187475), np.float64(55256.75581079662), np.float64(55277.175419894425), np.float64(55285.186999129655), np.float64(55331.44841867132), np.float64(55361.96759780213), np.float64(55318.38319016275)]","[np.float64(55259.41821031511), np.float64(55239.20765970588), np.float64(55256.75581079662), np.float64(55284.6775615418), np.float64(55285.186999129655), np.float64(55364.953893494014), np.float64(55365.358507981306), np.float64(55361.97722574115), np.float64(55330.91212242782)]"
2,"[np.float64(55195.09238197297), np.float64(55199.28064793587), np.float64(55194.50456163824), np.float64(55251.426186143755), np.float64(55248.506152355076), np.float64(55266.47419905007), np.float64(55307.35554338336), np.float64(55354.90226965487), np.float64(55326.849020876885)]","[np.float64(55199.28064793587), np.float64(55204.41435566372), np.float64(55274.34409264014), np.float64(55256.68950241539), np.float64(55273.23305780593), np.float64(55307.36899832071), np.float64(55393.02964425713), np.float64(55354.90226965487), np.float64(55347.514225971565)]","[np.float64(55195.0769899049), np.float64(55194.485803170086), np.float64(55178.57002143082), np.float64(55248.506152355076), np.float64(55248.506152355076), np.float64(55261.80884300045), np.float64(55299.121302782216), np.float64(55321.677860269716), np.float64(55278.490304295316)]","[np.float64(55199.28064793587), np.float64(55194.50456163824), np.float64(55251.426186143755), np.float64(55248.506152355076), np.float64(55266.47419905007), np.float64(55307.35554338336), np.float64(55354.90226965487), np.float64(55326.849020876885), np.float64(55284.150161939266)]"
3,"[np.float64(55195.000996872186), np.float64(55180.40917222291), np.float64(55241.135627295975), np.float64(55271.187820431), np.float64(55233.436893334394), np.float64(55293.656089048985), np.float64(55294.0618429178), np.float64(55319.89772119761), np.float64(55402.40690583229)]","[np.float64(55199.74015923935), np.float64(55260.94161774815), np.float64(55272.883177979726), np.float64(55279.952797373284), np.float64(55294.07019308543), np.float64(55304.29776305164), np.float64(55325.1303120046), np.float64(55414.914444632246), np.float64(55415.473902205624)]","[np.float64(55162.28576941761), np.float64(55180.40917222291), np.float64(55227.64824263685), np.float64(55233.436893334394), np.float64(55216.41844259348), np.float64(55284.585393613976), np.float64(55294.0618429178), np.float64(55300.36458913121), np.float64(55325.900228720966)]","[np.float64(55180.40917222291), np.float64(55241.135627295975), np.float64(55271.187820431), np.float64(55233.436893334394), np.float64(55293.656089048985), np.float64(55294.0618429178), np.float64(55319.89772119761), np.float64(55402.40690583229), np.float64(55325.90956729591)]"
4,"[np.float64(55230.41813548744), np.float64(55261.670231416225), np.float64(55222.05963259876), np.float64(55215.377428027394), np.float64(55237.72981484175), np.float64(55318.65492404044), np.float64(55343.18547322393), np.float64(55357.55515198648), np.float64(55357.94756838918)]","[np.float64(55268.49354338947), np.float64(55261.670231416225), np.float64(55246.13886062445), np.float64(55259.127930137896), np.float64(55318.65492404044), np.float64(55351.401325926505), np.float64(55357.55515198648), np.float64(55392.41594370349), np.float64(55357.94756838918)]","[np.float64(55227.42329873473), np.float64(55222.04067879595), np.float64(55197.7903110702), np.float64(55215.36846378535), np.float64(55227.01728729159), np.float64(55277.820777165936), np.float64(55343.18547322393), np.float64(55339.94204014417), np.float64(55269.99340185964)]","[np.float64(55261.670231416225), np.float64(55222.05963259876), np.float64(55215.377428027394), np.float64(55237.72981484175), np.float64(55318.65492404044), np.float64(55343.18547322393), np.float64(55357.55515198648), np.float64(55357.94756838918), np.float64(55275.54675904453)]"
5,"[np.float64(55229.42181336373), np.float64(55243.47538077474), np.float64(55238.900428828005), np.float64(55273.07637882471), np.float64(55276.553972315196), np.float64(55332.81006396354), np.float64(55298.68250417054), np.float64(55371.62691599071), np.float64(55321.2648449862)]","[np.float64(55260.6997913527), np.float64(55243.484745808586), np.float64(55279.859013816575), np.float64(55276.56683604484), np.float64(55341.582764062696), np.float64(55343.89450455017), np.float64(55387.81118529602), np.float64(55373.91517550607), np.float64(55357.014032700194)]","[np.float64(55229.42181336373), np.float64(55232.85728744852), np.float64(55238.900428828005), np.float64(55255.095115560216), np.float64(55269.68087480754), np.float64(55284.75528802138), np.float64(55298.674098453506), np.float64(55321.2648449862), np.float64(55309.17306414298)]","[np.float64(55243.47538077474), np.float64(55238.900428828005), np.float64(55273.07637882471), np.float64(55276.553972315196), np.float64(55332.81006396354), np.float64(55298.68250417054), np.float64(55371.62691599071), np.float64(55321.2648449862), np.float64(55351.18634435773)]"
6,"[np.float64(55210.02458009809), np.float64(55239.78954855442), np.float64(55225.27292308599), np.float64(55232.235817647874), np.float64(55275.07988070786), np.float64(55309.911109128), np.float64(55294.801167484526), np.float64(55350.817117720246), np.float64(55285.49335871577)]","[np.float64(55239.799309536764), np.float64(55239.78954855442), np.float64(55245.23060082283), np.float64(55281.91610989936), np.float64(55314.36945929686), np.float64(55330.820624009815), np.float64(55350.825655649845), np.float64(55351.89489847451), np.float64(55344.86059001049)]","[np.float64(55207.22992905052), np.float64(55225.260108673836), np.float64(55220.26361186357), np.float64(55232.235817647874), np.float64(55266.138265222806), np.float64(55263.88208323696), np.float64(55294.801167484526), np.float64(55283.59203927617), np.float64(55256.975425847224)]","[np.float64(55239.78954855442), np.float64(55225.27292308599), np.float64(55232.235817647874), np.float64(55275.07988070786), np.float64(55309.911109128), np.float64(55294.801167484526), np.float64(55350.817117720246), np.float64(55285.49335871577), np.float64(55342.82455736936)]"
7,"[np.float64(55205.49392998606), np.float64(55196.86907990962), np.float64(55215.62400359452), np.float64(55224.876988005046), np.float64(55247.91870064378), np.float64(55241.67281217516), np.float64(55273.35485707462), np.float64(55279.701413252355), np.float64(55301.3018082583)]","[np.float64(55205.49392998606), np.float64(55244.45397160091), np.float64(55229.149853631425), np.float64(55253.69034531008), np.float64(55247.926744658296), np.float64(55273.35485707462), np.float64(55293.66822209986), np.float64(55301.3018082583), np.float64(55321.821769403585)]","[np.float64(55196.86907990962), np.float64(55176.44531664574), np.float64(55215.62400359452), np.float64(55208.244084236634), np.float64(55241.67281217516), np.float64(55218.227359959754), np.float64(55273.35485707462), np.float64(55271.39897997111), np.float64(55290.5812334174)]","[np.float64(55196.86907990962), np.float64(55215.62400359452), np.float64(55224.876988005046), np.float64(55247.91870064378), np.float64(55241.67281217516), np.float64(55273.35485707462), np.float64(55279.701413252355), np.float64(55301.3018082583), np.float64(55290.5812334174)]"
8,"[np.float64(55206.02829992265), np.float64(55207.9767093578), np.float64(55249.96891716957), np.float64(55304.04007718206), np.float64(55282.03560386837), np.float64(55318.35828270853), np.float64(55318.78159645737), np.float64(55344.254347141985), np.float64(55347.874497368335)]","[np.float64(55223.3880362101), np.float64(55253.70571222874), np.float64(55329.72117577022), np.float64(55310.29558160119), np.float64(55348.40873960172), np.float64(55318.78159645737), np.float64(55359.419588516925), np.float64(55347.892756523324), np.float64(55447.74905701027)]","[np.float64(55190.97474060163), np.float64(55207.9767093578), np.float64(55249.941403892335), np.float64(55226.35779368567), np.float64(55277.700471628705), np.float64(55314.44200496752), np.float64(55281.66146744611), np.float64(55339.611604459205), np.float64(55347.86128765006)]","[np.float64(55207.9767093578), np.float64(55249.96891716957), np.float64(55304.04007718206), np.float64(55282.03560386837), np.float64(55318.35828270853), np.float64(55318.78159645737), np.float64(55344.254347141985), np.float64(55347.874497368335), np.float64(55405.710576083664)]"
9,"[np.float64(55231.70044237465), np.float64(55269.519698851705), np.float64(55250.540015404826), np.float64(55245.02909504414), np.float64(55275.088660647874), np.float64(55300.60182586551), np.float64(55301.72974655569), np.float64(55333.92940578103), np.float64(55325.89542556048)]","[np.float64(55286.034361829465), np.float64(55269.519698851705), np.float64(55250.540015404826), np.float64(55284.725076372684), np.float64(55308.09912250075), np.float64(55301.72974655569), np.float64(55333.93855338039), np.float64(55337.068723363736), np.float64(55325.89542556048)]","[np.float64(55231.70044237465), np.float64(55222.69799568646), np.float64(55245.02909504414), np.float64(55238.15829807727), np.float64(55275.07350483781), np.float64(55288.04901973185), np.float64(55301.72974655569), np.float64(55325.89542556048), np.float64(55313.750943800565)]","[np.float64(55269.519698851705), np.float64(55250.540015404826), np.float64(55245.02909504414), np.float64(55275.088660647874), np.float64(55300.60182586551), np.float64(55301.72974655569), np.float64(55333.92940578103), np.float64(55325.89542556048), np.float64(55324.25900559664)]"
10,"[np.float64(55232.87618357778), np.float64(55234.74882414132), np.float64(55248.6118467474), np.float64(55253.58638649822), np.float64(55295.54525064469), np.float64(55328.2318279171), np.float64(55295.19505838097), np.float64(55400.71164016366), np.float64(55320.96793556452)]","[np.float64(55248.92861082459), np.float64(55248.6118467474), np.float64(55263.54153555508), np.float64(55295.54525064469), np.float64(55328.2318279171), np.float64(55349.30667092744), np.float64(55405.478777814336), np.float64(55403.22628821519), np.float64(55371.6292927208)]","[np.float64(55232.87618357778), np.float64(55220.32137624508), np.float64(55248.6118467474), np.float64(55235.0162789866), np.float64(55295.52907663486), np.float64(55281.15871981668), np.float64(55295.18648723086), np.float64(55320.96793556452), np.float64(55305.25026732281)]","[np.float64(55234.74882414132), np.float64(55248.6118467474), np.float64(55253.58638649822), np.float64(55295.54525064469), np.float64(55328.2318279171), np.float64(55295.19505838097), np.float64(55400.71164016366), np.float64(55320.96793556452), np.float64(55366.95471447945)]"
