,o_chunk,h_chunk,l_chunk,c_chunk
0,"[np.float64(55000.04879026294), np.float64(54998.91582391053), np.float64(54999.498578719795), np.float64(54999.30008452773), np.float64(55000.80882927537), np.float64(55000.51757823944), np.float64(55001.791241730454), np.float64(55003.99582575619), np.float64(55004.834173457624), np.float64(55006.97442029536), np.float64(55004.40635554433), np.float64(55009.19203581631), np.float64(55005.92758197248), np.float64(55007.755667079684), np.float64(55009.32214237094), np.float64(55007.217673394676), np.float64(55004.8414629364), np.float64(55012.0611595881), np.float64(55011.10309860349)]","[np.float64(55000.04879026294), np.float64(55000.53858159081), np.float64(55001.77843200702), np.float64(55000.88675289289), np.float64(55013.31301105538), np.float64(55003.08375448069), np.float64(55003.99582575619), np.float64(55009.41327313011), np.float64(55006.97442029536), np.float64(55010.940666737304), np.float64(55009.24238946939), np.float64(55012.77718625759), np.float64(55009.91350254743), np.float64(55009.472051140125), np.float64(55023.5030807558), np.float64(55007.28235025669), np.float64(55012.47853611282), np.float64(55022.74998646133), np.float64(55013.607795035445)]","[np.float64(54995.07451468528), np.float64(54998.91582391053), np.float64(54998.89633108739), np.float64(54999.30008452773), np.float64(55000.46672914806), np.float64(55000.51757823944), np.float64(54999.60064108288), np.float64(54995.99113955554), np.float64(55004.81479062957), np.float64(54994.129643605775), np.float64(55003.015967795945), np.float64(55005.92758197248), np.float64(55003.46406903153), np.float64(55003.82269913024), np.float64(55002.212212537845), np.float64(55004.8414629364), np.float64(54997.91517382364), np.float64(55011.04996633946), np.float64(55005.11676574722)]","[np.float64(54998.91582391053), np.float64(54999.498578719795), np.float64(54999.30008452773), np.float64(55000.80882927537), np.float64(55000.51757823944), np.float64(55001.791241730454), np.float64(55003.99582575619), np.float64(55004.834173457624), np.float64(55006.97442029536), np.float64(55004.40635554433), np.float64(55009.19203581631), np.float64(55005.92758197248), np.float64(55007.755667079684), np.float64(55009.32214237094), np.float64(55007.217673394676), np.float64(55004.8414629364), np.float64(55012.0611595881), np.float64(55011.10309860349), np.float64(55010.18622938156)]"
1,"[np.float64(55000.279508473875), np.float64(55000.19884533644), np.float64(55000.55108146429), np.float64(55000.85405153453), np.float64(54999.93294341862), np.float64(55001.0099195683), np.float64(54998.60452459097), np.float64(55000.446811766626), np.float64(55000.17224583328), np.float64(55001.093699800374), np.float64(55001.33391118288), np.float64(54999.36684045702), np.float64(54999.32493482202), np.float64(55000.47474590063), np.float64(55000.9526058197), np.float64(54999.7530963695), np.float64(54998.24766159504), np.float64(54997.724218046664), np.float64(54999.45370009482)]","[np.float64(55008.56016246542), np.float64(55003.021656353805), np.float64(55007.992397962014), np.float64(55001.8600286979), np.float64(55009.54716528941), np.float64(55003.27591454935), np.float64(55014.55985239729), np.float64(55001.7069890876), np.float64(55015.43288226146), np.float64(55009.32472334467), np.float64(55010.6062038511), np.float64(55008.09342704172), np.float64(55004.26158406052), np.float64(55006.88050127549), np.float64(55005.474080373206), np.float64(55002.52919842304), np.float64(55000.79228050623), np.float64(55002.54238474431), np.float64(55002.269521639064)]","[np.float64(54997.131970626004), np.float64(54988.33406921522), np.float64(54999.3548133099), np.float64(54995.81411283431), np.float64(54997.43759896693), np.float64(54993.302690283694), np.float64(54993.2858694709), np.float64(54999.69537853918), np.float64(54997.67854414271), np.float64(54994.170421722985), np.float64(54996.10041835489), np.float64(54998.715844337), np.float64(54989.76095614854), np.float64(54999.36943568033), np.float64(54997.64474922906), np.float64(54992.6569444144), np.float64(54988.18074453136), np.float64(54992.321475358476), np.float64(54991.24551092578)]","[np.float64(55000.19884533644), np.float64(55000.55108146429), np.float64(55000.85405153453), np.float64(54999.93294341862), np.float64(55001.0099195683), np.float64(54998.60452459097), np.float64(55000.446811766626), np.float64(55000.17224583328), np.float64(55001.093699800374), np.float64(55001.33391118288), np.float64(54999.36684045702), np.float64(54999.32493482202), np.float64(55000.47474590063), np.float64(55000.9526058197), np.float64(54999.7530963695), np.float64(54998.24766159504), np.float64(54997.724218046664), np.float64(54999.45370009482), np.float64(54994.27159677237)]"
2,"[np.float64(55001.55733991504), np.float64(55003.7793096137), np.float64(54999.64334626078), np.float64(54996.166242713334), np.float64(54996.331781278255), np.float64(54999.955898182394), np.float64(54998.941609776615), np.float64(55002.662977373), np.float64(54994.872823581994), np.float64(54996.24406588048), np.float64(54994.85861042857), np.float64(54998.03745945364), np.float64(54987.78864073515), np.float64(54986.52999738365), np.float64(54991.65755598396), np.float64(54983.17557789236), np.float64(54986.6477353245), np.float64(54989.266655718384), np.float64(54982.72719513565)]","[np.float64(55003.91314569533), np.float64(55020.82970899865), np.float64(54999.64334626078), np.float64(54996.4023294309), np.float64(55002.684289085926), np.float64(55011.774676638895), np.float64(55002.681693674), np.float64(55023.790618320505), np.float64(54996.24406588048), np.float64(55018.239520916024), np.float64(55000.77011823133), np.float64(54998.03745945364), np.float64(54987.78864073515), np.float64(55004.678315525765), np.float64(54991.65755598396), np.float64(55013.5857795349), np.float64(55010.901910788205), np.float64(54989.266655718384), np.float64(54988.20680900182)]","[np.float64(54978.21406100424), np.float64(54999.62285851531), np.float64(54996.166242713334), np.float64(54984.49008192552), np.float64(54996.331781278255), np.float64(54992.64401454454), np.float64(54998.941609776615), np.float64(54994.872823581994), np.float64(54990.50459938872), np.float64(54994.85861042857), np.float64(54989.253053176755), np.float64(54982.527662053515), np.float64(54986.52999738365), np.float64(54961.20811843331), np.float64(54983.17557789236), np.float64(54974.97710988953), np.float64(54986.6477353245), np.float64(54970.72822125046), np.float64(54975.445885906985)]","[np.float64(55003.7793096137), np.float64(54999.64334626078), np.float64(54996.166242713334), np.float64(54996.331781278255), np.float64(54999.955898182394), np.float64(54998.941609776615), np.float64(55002.662977373), np.float64(54994.872823581994), np.float64(54996.24406588048), np.float64(54994.85861042857), np.float64(54998.03745945364), np.float64(54987.78864073515), np.float64(54986.52999738365), np.float64(54991.65755598396), np.float64(54983.17557789236), np.float64(54986.6477353245), np.float64(54989.266655718384), np.float64(54982.72719513565), np.float64(54978.4204500252)]"
3,"[np.float64(55001.166013735536), np.float64(55000.13002095103), np.float64(55003.299547513125), np.float64(54998.76020196319), np.float64(54999.3686273548), np.float64(54996.0010034427), np.float64(54998.50425656885), np.float64(54994.43265700787), np.float64(54998.15782675028), np.float64(54995.89905715555), np.float64(54999.87185634494), np.float64(54995.47305717796), np.float64(54993.20286784321), np.float64(54991.67232116908), np.float64(54992.95347366839), np.float64(54992.52793482572), np.float64(54992.19295800209), np.float64(54992.698596865535), np.float64(54985.18505529404)]","[np.float64(55008.94913826515), np.float64(55008.75573310893), np.float64(55003.320849100535), np.float64(54999.727031449074), np.float64(55010.67148775229), np.float64(55003.342660971466), np.float64(54998.50425656885), np.float64(55007.43161882899), np.float64(54998.15782675028), np.float64(55014.04676700151), np.float64(55001.980841454526), np.float64(54995.47305717796), np.float64(55006.036707019535), np.float64(54995.5999640611), np.float64(55006.28801311672), np.float64(54992.52793482572), np.float64(54997.9728588598), np.float64(54992.71738218564), np.float64(54990.6488988447)]","[np.float64(55000.13002095103), np.float64(55000.07262501308), np.float64(54998.76020196319), np.float64(54996.427321203395), np.float64(54995.337658110184), np.float64(54995.979732804626), np.float64(54990.28554872022), np.float64(54993.76235927751), np.float64(54995.87938677999), np.float64(54995.89905715555), np.float64(54990.27361205955), np.float64(54984.08779225672), np.float64(54991.6510527002), np.float64(54982.3561170689), np.float64(54992.50259394935), np.float64(54992.19295800209), np.float64(54988.856375122006), np.float64(54968.54691962318), np.float64(54984.23958683968)]","[np.float64(55000.13002095103), np.float64(55003.299547513125), np.float64(54998.76020196319), np.float64(54999.3686273548), np.float64(54996.0010034427), np.float64(54998.50425656885), np.float64(54994.43265700787), np.float64(54998.15782675028), np.float64(54995.89905715555), np.float64(54999.87185634494), np.float64(54995.47305717796), np.float64(54993.20286784321), np.float64(54991.67232116908), np.float64(54992.95347366839), np.float64(54992.52793482572), np.float64(54992.19295800209), np.float64(54992.698596865535), np.float64(54985.18505529404), np.float64(54984.23958683968)]"
4,"[np.float64(55001.21996208608), np.float64(55002.73861236632), np.float64(55002.38223045826), np.float64(55001.15225063205), np.float64(55002.30146090507), np.float64(55003.541603435275), np.float64(54997.1470966211), np.float64(55001.407998713854), np.float64(55006.00975710034), np.float64(55005.17935510814), np.float64(55014.20677598715), np.float64(55006.241379845145), np.float64(55013.77796929419), np.float64(55003.07059846401), np.float64(55003.89896968901), np.float64(55005.61566854537), np.float64(55012.3359560889), np.float64(55005.824793227315), np.float64(55013.98166233897)]","[np.float64(55002.73861236632), np.float64(55002.73861236632), np.float64(55005.57822075809), np.float64(55002.30146090507), np.float64(55003.56246572881), np.float64(55005.861451796765), np.float64(55001.407998713854), np.float64(55006.028543939916), np.float64(55006.00975710034), np.float64(55014.905282232045), np.float64(55014.20677598715), np.float64(55027.39409463235), np.float64(55013.77796929419), np.float64(55008.24822700106), np.float64(55005.61566854537), np.float64(55016.18725014073), np.float64(55015.98304666148), np.float64(55013.98166233897), np.float64(55017.688881420036)]","[np.float64(54984.879549440564), np.float64(55002.38223045826), np.float64(54984.039577873285), np.float64(55001.10281058554), np.float64(55002.30146090507), np.float64(54996.66686200595), np.float64(54997.1470966211), np.float64(55001.407998713854), np.float64(54993.578431935406), np.float64(55005.17935510814), np.float64(54994.4585205258), np.float64(55006.241379845145), np.float64(54970.46285116166), np.float64(55003.07059846401), np.float64(55003.89896968901), np.float64(55005.61566854537), np.float64(54999.1933303331), np.float64(55005.824793227315), np.float64(55010.45331517458)]","[np.float64(55002.73861236632), np.float64(55002.38223045826), np.float64(55001.15225063205), np.float64(55002.30146090507), np.float64(55003.541603435275), np.float64(54997.1470966211), np.float64(55001.407998713854), np.float64(55006.00975710034), np.float64(55005.17935510814), np.float64(55014.20677598715), np.float64(55006.241379845145), np.float64(55013.77796929419), np.float64(55003.07059846401), np.float64(55003.89896968901), np.float64(55005.61566854537), np.float64(55012.3359560889), np.float64(55005.824793227315), np.float64(55013.98166233897), np.float64(55010.45331517458)]"
5,"[np.float64(54999.97698623657), np.float64(55000.634852828385), np.float64(54999.683207826616), np.float64(54999.71637406826), np.float64(54997.10580065966), np.float64(54995.98769260615), np.float64(54995.09050364673), np.float64(54996.408733166456), np.float64(54995.257900053264), np.float64(54994.07308927834), np.float64(54995.4739727968), np.float64(54990.291104611155), np.float64(54991.21959088564), np.float64(54989.272838916775), np.float64(54988.65105834872), np.float64(54985.58795640319), np.float64(54985.5610753417), np.float64(54983.313978224396), np.float64(54979.70530047178)]","[np.float64(55006.54019808126), np.float64(55000.69413362044), np.float64(55002.71358157978), np.float64(55002.954246937225), np.float64(54999.486322343146), np.float64(54999.567620054215), np.float64(55003.72546138205), np.float64(55002.555572747326), np.float64(54998.081653504865), np.float64(54998.921073597456), np.float64(55004.69387460112), np.float64(54995.654169053436), np.float64(54992.067147660884), np.float64(54996.933448003154), np.float64(54993.65042602133), np.float64(54989.54513907506), np.float64(54994.99629266598), np.float64(54983.36527075255), np.float64(54986.41992696661)]","[np.float64(54999.958250877746), np.float64(54995.50853257369), np.float64(54995.84123017974), np.float64(54997.10580065966), np.float64(54990.98314113105), np.float64(54989.31486257668), np.float64(54991.20313707939), np.float64(54991.25375472965), np.float64(54990.893598905386), np.float64(54991.87881373875), np.float64(54984.039041202246), np.float64(54987.335298261496), np.float64(54985.8616365929), np.float64(54983.69022125684), np.float64(54979.01144396018), np.float64(54982.67987643168), np.float64(54982.910195093864), np.float64(54970.54449441162), np.float64(54971.77675467629)]","[np.float64(55000.634852828385), np.float64(54999.683207826616), np.float64(54999.71637406826), np.float64(54997.10580065966), np.float64(54995.98769260615), np.float64(54995.09050364673), np.float64(54996.408733166456), np.float64(54995.257900053264), np.float64(54994.07308927834), np.float64(54995.4739727968), np.float64(54990.291104611155), np.float64(54991.21959088564), np.float64(54989.272838916775), np.float64(54988.65105834872), np.float64(54985.58795640319), np.float64(54985.5610753417), np.float64(54983.313978224396), np.float64(54979.70530047178), np.float64(54980.00233121306)]"
6,"[np.float64(55000.54419547856), np.float64(54999.271802325544), np.float64(54999.04235001862), np.float64(54999.84525240779), np.float64(54995.482831907866), np.float64(54997.27360721022), np.float64(54997.70487255037), np.float64(54998.35555386215), np.float64(54997.63372475445), np.float64(54993.43317369312), np.float64(54992.522897813615), np.float64(54995.327520339786), np.float64(54992.788810816404), np.float64(54992.83623011738), np.float64(54991.791103314456), np.float64(54991.26546715826), np.float64(54992.019150046704), np.float64(54995.44254024506), np.float64(54990.04051769316)]","[np.float64(55010.993150275266), np.float64(54999.29049394262), np.float64(54999.84525240779), np.float64(55006.92300429868), np.float64(55001.786041726766), np.float64(55000.63591524183), np.float64(55006.66316058593), np.float64(54998.40905789626), np.float64(55000.50778373013), np.float64(54993.43317369312), np.float64(54997.5760162674), np.float64(54995.327520339786), np.float64(54992.83623011738), np.float64(55012.10784765071), np.float64(54991.791103314456), np.float64(55000.83100743806), np.float64(55000.13546016941), np.float64(54995.44254024506), np.float64(54990.956154866464)]","[np.float64(54974.60297599836), np.float64(54999.02162465819), np.float64(54996.301978239804), np.float64(54985.51604771765), np.float64(54995.482831907866), np.float64(54992.95099911232), np.float64(54997.70487255037), np.float64(54988.26590688887), np.float64(54990.55204959661), np.float64(54992.50277284109), np.float64(54991.37609144439), np.float64(54991.04674755095), np.float64(54987.05491072442), np.float64(54991.791103314456), np.float64(54965.6215122595), np.float64(54989.6918926571), np.float64(54992.019150046704), np.float64(54990.04051769316), np.float64(54982.94756391408)]","[np.float64(54999.271802325544), np.float64(54999.04235001862), np.float64(54999.84525240779), np.float64(54995.482831907866), np.float64(54997.27360721022), np.float64(54997.70487255037), np.float64(54998.35555386215), np.float64(54997.63372475445), np.float64(54993.43317369312), np.float64(54992.522897813615), np.float64(54995.327520339786), np.float64(54992.788810816404), np.float64(54992.83623011738), np.float64(54991.791103314456), np.float64(54991.26546715826), np.float64(54992.019150046704), np.float64(54995.44254024506), np.float64(54990.04051769316), np.float64(54989.05957953959)]"
7,"[np.float64(54999.51346805662), np.float64(55000.79814336061), np.float64(55000.544488121865), np.float64(54999.14160487413), np.float64(54993.87540650636), np.float64(54999.89133042693), np.float64(54997.15139759093), np.float64(55001.17710314333), np.float64(55007.98747161806), np.float64(54998.466665205655), np.float64(55012.82156218767), np.float64(54996.25723039538), np.float64(55006.85961100459), np.float64(55008.156286901234), np.float64(55009.45482507348), np.float64(55010.21450049877), np.float64(55010.24142811716), np.float64(55008.89767655372), np.float64(55021.1387421906)]","[np.float64(55000.79814336061), np.float64(55005.09318246287), np.float64(55000.544488121865), np.float64(54999.16034885237), np.float64(54999.89133042693), np.float64(54999.89133042693), np.float64(55001.17710314333), np.float64(55010.12010549963), np.float64(55007.98747161806), np.float64(55015.404562276446), np.float64(55012.82156218767), np.float64(55010.22181000732), np.float64(55008.156286901234), np.float64(55014.28665175786), np.float64(55010.71059596363), np.float64(55015.08334728453), np.float64(55017.69096026135), np.float64(55021.1387421906), np.float64(55022.43862287524)]","[np.float64(54999.51346805662), np.float64(55000.544488121865), np.float64(54999.14160487413), np.float64(54992.62972895996), np.float64(54993.87540650636), np.float64(54986.0899469655), np.float64(54997.15139759093), np.float64(54990.451329235846), np.float64(54998.466665205655), np.float64(54998.466665205655), np.float64(54996.23614635318), np.float64(54996.25723039538), np.float64(55006.85961100459), np.float64(55001.85242534438), np.float64(55008.48969932776), np.float64(55010.04014822462), np.float64(54999.9607068369), np.float64(55008.89767655372), np.float64(55012.595047398805)]","[np.float64(55000.79814336061), np.float64(55000.544488121865), np.float64(54999.14160487413), np.float64(54993.87540650636), np.float64(54999.89133042693), np.float64(54997.15139759093), np.float64(55001.17710314333), np.float64(55007.98747161806), np.float64(54998.466665205655), np.float64(55012.82156218767), np.float64(54996.25723039538), np.float64(55006.85961100459), np.float64(55008.156286901234), np.float64(55009.45482507348), np.float64(55010.21450049877), np.float64(55010.24142811716), np.float64(55008.89767655372), np.float64(55021.1387421906), np.float64(55012.595047398805)]"
8,"[np.float64(54999.454416184126), np.float64(55000.9072283709), np.float64(55001.53457137883), np.float64(55000.665793207285), np.float64(54999.15420183838), np.float64(55003.06591617107), np.float64(55002.89231217921), np.float64(55004.94230072617), np.float64(55004.795070104), np.float64(55007.191668046115), np.float64(55005.58791620493), np.float64(55009.714834219216), np.float64(55010.64674353361), np.float64(55013.00943919182), np.float64(55012.2774584651), np.float64(55012.91838721692), np.float64(55012.752321007254), np.float64(55019.19845941245), np.float64(55020.63134303331)]","[np.float64(55006.61591945269), np.float64(55001.61156172482), np.float64(55011.26663666046), np.float64(55000.724248397215), np.float64(55009.22027899372), np.float64(55005.55504909024), np.float64(55013.235116487405), np.float64(55009.53366242609), np.float64(55009.49608213502), np.float64(55011.334125111585), np.float64(55010.13607270226), np.float64(55017.134019633915), np.float64(55013.98594392453), np.float64(55017.936717676756), np.float64(55015.92478331143), np.float64(55017.50787268154), np.float64(55021.90214441738), np.float64(55022.0367160428), np.float64(55021.752790158884)]","[np.float64(54994.19179805496), np.float64(54992.33469652694), np.float64(55000.665793207285), np.float64(54991.520410047466), np.float64(54996.501358896785), np.float64(55000.07307415588), np.float64(54994.87725461871), np.float64(54998.48689931721), np.float64(55001.639768341855), np.float64(54999.319696371844), np.float64(54997.15494528026), np.float64(55004.91046753121), np.float64(55007.72797435716), np.float64(55012.226312069215), np.float64(55009.02133379066), np.float64(55011.56004960961), np.float64(55005.30668521646), np.float64(55019.014622298586), np.float64(55014.705081328844)]","[np.float64(55000.9072283709), np.float64(55001.53457137883), np.float64(55000.665793207285), np.float64(54999.15420183838), np.float64(55003.06591617107), np.float64(55002.89231217921), np.float64(55004.94230072617), np.float64(55004.795070104), np.float64(55007.191668046115), np.float64(55005.58791620493), np.float64(55009.714834219216), np.float64(55010.64674353361), np.float64(55013.00943919182), np.float64(55012.2774584651), np.float64(55012.91838721692), np.float64(55012.752321007254), np.float64(55019.19845941245), np.float64(55020.63134303331), np.float64(55019.00650313794)]"
9,"[np.float64(55000.91731126308), np.float64(54999.94505264401), np.float64(55000.343779152034), np.float64(54997.75140727043), np.float64(54998.00421561718), np.float64(54996.464517188666), np.float64(54999.03338892579), np.float64(54994.157108945845), np.float64(54993.31736675471), np.float64(54991.465174046454), np.float64(54987.323659338654), np.float64(54992.52421249151), np.float64(54987.66728909284), np.float64(54988.33065161466), np.float64(54986.554311165215), np.float64(54986.03479169756), np.float64(54984.715369434656), np.float64(54986.89080219626), np.float64(54983.93500723124)]","[np.float64(55009.65330982178), np.float64(55003.96217584043), np.float64(55001.63851378894), np.float64(55002.14215368344), np.float64(55018.23885072265), np.float64(55005.655947360174), np.float64(55003.929070612874), np.float64(55005.07579350894), np.float64(54999.41059118519), np.float64(54993.82916651686), np.float64(55011.902494479975), np.float64(54994.86363087696), np.float64(54999.291194828176), np.float64(54992.68332765814), np.float64(54992.61340653015), np.float64(54997.85276934708), np.float64(54989.52241823742), np.float64(54998.900766194834), np.float64(54986.6040438139)]","[np.float64(54997.06606170203), np.float64(54989.71766785604), np.float64(54988.85956129007), np.float64(54992.125919604645), np.float64(54991.82733739785), np.float64(54987.5951573146), np.float64(54989.36258217791), np.float64(54985.32129777249), np.float64(54986.424791481346), np.float64(54978.05957636265), np.float64(54985.142178522074), np.float64(54977.32803069958), np.float64(54984.399098049566), np.float64(54978.5844925125), np.float64(54985.55987871137), np.float64(54979.405012179166), np.float64(54972.73100648473), np.float64(54980.840603006545), np.float64(54972.49131546396)]","[np.float64(54999.94505264401), np.float64(55000.343779152034), np.float64(54997.75140727043), np.float64(54998.00421561718), np.float64(54996.464517188666), np.float64(54999.03338892579), np.float64(54994.157108945845), np.float64(54993.31736675471), np.float64(54991.465174046454), np.float64(54987.323659338654), np.float64(54992.52421249151), np.float64(54987.66728909284), np.float64(54988.33065161466), np.float64(54986.554311165215), np.float64(54986.03479169756), np.float64(54984.715369434656), np.float64(54986.89080219626), np.float64(54983.93500723124), np.float64(54984.46763135493)]"
