,o_chunk,h_chunk,l_chunk,c_chunk
0,"[np.float64(54994.37596132755), np.float64(54996.12652574777), np.float64(54994.9980768919), np.float64(54994.72348306179), np.float64(54993.86975502968), np.float64(54997.611452984806), np.float64(54992.99166338443), np.float64(54994.96873656511), np.float64(54994.48150264024)]","[np.float64(54997.57405545371), np.float64(54999.65052433666), np.float64(54997.00645845063), np.float64(54997.06516762232), np.float64(54999.640187796766), np.float64(54999.29692652232), np.float64(55002.40219008082), np.float64(54998.428705733895), np.float64(54996.10149547491)]","[np.float64(54990.21363291074), np.float64(54992.22033441114), np.float64(54992.43723492663), np.float64(54993.84849282071), np.float64(54989.18466553888), np.float64(54992.97118741039), np.float64(54992.99166338443), np.float64(54990.67299305087), np.float64(54994.10290100574)]","[np.float64(54996.12652574777), np.float64(54994.9980768919), np.float64(54994.72348306179), np.float64(54993.86975502968), np.float64(54997.611452984806), np.float64(54992.99166338443), np.float64(54994.96873656511), np.float64(54994.48150264024), np.float64(54994.10290100574)]"
1,"[np.float64(54994.6542403698), np.float64(54994.867062568665), np.float64(54992.97660624981), np.float64(54993.032929134366), np.float64(54994.23703505992), np.float64(54994.2812384367), np.float64(54994.68750551939), np.float64(54993.38320878744), np.float64(54999.522199535364)]","[np.float64(55002.04044875694), np.float64(54994.867062568665), np.float64(54993.89801083563), np.float64(54994.23703505992), np.float64(55006.08443338696), np.float64(55001.47596400826), np.float64(54994.68750551939), np.float64(55001.88958308453), np.float64(55007.80648077199)]","[np.float64(54994.6542403698), np.float64(54987.79501827994), np.float64(54988.33684720127), np.float64(54993.032929134366), np.float64(54991.10399807345), np.float64(54994.2812384367), np.float64(54990.16057682506), np.float64(54986.181570027904), np.float64(54996.566988149585)]","[np.float64(54994.867062568665), np.float64(54992.97660624981), np.float64(54993.032929134366), np.float64(54994.23703505992), np.float64(54994.2812384367), np.float64(54994.68750551939), np.float64(54993.38320878744), np.float64(54999.522199535364), np.float64(54996.58741927147)]"
2,"[np.float64(54994.50140230655), np.float64(54994.18913449049), np.float64(54995.755613219735), np.float64(54996.140657985205), np.float64(54994.18053965568), np.float64(54992.786707603926), np.float64(54995.939013624185), np.float64(54996.61698004007), np.float64(54993.71293942928)]","[np.float64(54997.78787946053), np.float64(54998.89719335272), np.float64(54999.0891875266), np.float64(54999.20717422913), np.float64(54996.72964813506), np.float64(54999.88073097093), np.float64(54999.970110563554), np.float64(54996.61698004007), np.float64(54993.71293942928)]","[np.float64(54994.073684916555), np.float64(54980.82795334564), np.float64(54993.452013150076), np.float64(54988.68444138477), np.float64(54992.1368779794), np.float64(54989.74038447377), np.float64(54995.765590027375), np.float64(54993.65075189332), np.float64(54988.57720887682)]","[np.float64(54994.18913449049), np.float64(54995.755613219735), np.float64(54996.140657985205), np.float64(54994.18053965568), np.float64(54992.786707603926), np.float64(54995.939013624185), np.float64(54996.61698004007), np.float64(54993.71293942928), np.float64(54992.04868756532)]"
3,"[np.float64(54994.271543788906), np.float64(54993.62086663246), np.float64(54994.58295619488), np.float64(54991.76900919675), np.float64(54996.4545024395), np.float64(54996.052495634554), np.float64(54993.866561019415), np.float64(54993.49553587436), np.float64(54998.35277725458)]","[np.float64(54994.271543788906), np.float64(55002.94145837293), np.float64(54994.60339368524), np.float64(54996.4545024395), np.float64(54999.30215560397), np.float64(54996.052495634554), np.float64(54993.88700679913), np.float64(55016.124541899), np.float64(54998.35277725458)]","[np.float64(54993.59956367589), np.float64(54990.07453927133), np.float64(54991.76900919675), np.float64(54986.312054355825), np.float64(54996.052495634554), np.float64(54988.671390964846), np.float64(54993.49553587436), np.float64(54990.30539752083), np.float64(54981.14518256407)]","[np.float64(54993.62086663246), np.float64(54994.58295619488), np.float64(54991.76900919675), np.float64(54996.4545024395), np.float64(54996.052495634554), np.float64(54993.866561019415), np.float64(54993.49553587436), np.float64(54998.35277725458), np.float64(54995.68955495357)]"
4,"[np.float64(54995.225108003615), np.float64(54995.68277397155), np.float64(54995.62817867994), np.float64(54994.72965303659), np.float64(54996.6922968626), np.float64(54994.1297014594), np.float64(54995.92523121834), np.float64(54996.083678567404), np.float64(54990.36799840927)]","[np.float64(54995.68277397155), np.float64(54998.92249790507), np.float64(55003.7698478596), np.float64(55004.79723712552), np.float64(55002.536034233985), np.float64(55002.09743471746), np.float64(55001.66754381796), np.float64(55000.1727905069), np.float64(54992.00129218614)]","[np.float64(54990.72250927666), np.float64(54989.45048107725), np.float64(54991.74048169329), np.float64(54990.308977459455), np.float64(54993.36551491364), np.float64(54992.400468894186), np.float64(54994.09872890494), np.float64(54985.55585797712), np.float64(54988.51945286171)]","[np.float64(54995.68277397155), np.float64(54995.62817867994), np.float64(54994.72965303659), np.float64(54996.6922968626), np.float64(54994.1297014594), np.float64(54995.92523121834), np.float64(54996.083678567404), np.float64(54990.36799840927), np.float64(54991.982550227636)]"
5,"[np.float64(54993.50694134235), np.float64(54997.31877573728), np.float64(54993.770187211034), np.float64(54997.42246485948), np.float64(54989.96268737316), np.float64(55002.612640476225), np.float64(54994.036317992206), np.float64(54991.65110636949), np.float64(54991.79787509441)]","[np.float64(55010.409922277104), np.float64(54997.31877573728), np.float64(54999.18060338681), np.float64(55011.301965198196), np.float64(55009.143606999765), np.float64(55003.434661254694), np.float64(54994.036317992206), np.float64(54991.818320408565), np.float64(55000.54721075276)]","[np.float64(54987.13855863222), np.float64(54993.770187211034), np.float64(54984.218833108935), np.float64(54989.96268737316), np.float64(54988.20502493488), np.float64(54994.036317992206), np.float64(54983.78557343835), np.float64(54986.049331254755), np.float64(54990.33235783623)]","[np.float64(54997.31877573728), np.float64(54993.770187211034), np.float64(54997.42246485948), np.float64(54989.96268737316), np.float64(55002.612640476225), np.float64(54994.036317992206), np.float64(54991.65110636949), np.float64(54991.79787509441), np.float64(54990.3510723114)]"
6,"[np.float64(54994.83458573818), np.float64(54995.13441296815), np.float64(54992.343439841265), np.float64(54997.86440997123), np.float64(54996.777564716336), np.float64(54993.22355619669), np.float64(54998.167471945286), np.float64(54992.05699247122), np.float64(54999.56956577301)]","[np.float64(54995.67109968086), np.float64(54995.13441296815), np.float64(55006.09901532879), np.float64(54997.86440997123), np.float64(55004.671174959214), np.float64(55000.2485933506), np.float64(55003.162788277456), np.float64(55005.18831508066), np.float64(55005.61387721651)]","[np.float64(54994.83458573818), np.float64(54981.16714027936), np.float64(54992.343439841265), np.float64(54992.36047855516), np.float64(54993.22355619669), np.float64(54988.10767994257), np.float64(54991.98250385522), np.float64(54992.05699247122), np.float64(54986.17088326283)]","[np.float64(54995.13441296815), np.float64(54992.343439841265), np.float64(54997.86440997123), np.float64(54996.777564716336), np.float64(54993.22355619669), np.float64(54998.167471945286), np.float64(54992.05699247122), np.float64(54999.56956577301), np.float64(54991.88584815263)]"
7,"[np.float64(54996.54518549442), np.float64(54996.74423247576), np.float64(54996.00610221624), np.float64(54996.60399074554), np.float64(54995.79165785312), np.float64(54995.094704687595), np.float64(54999.51323570013), np.float64(55001.4748707652), np.float64(54994.08934623003)]","[np.float64(54996.74423247576), np.float64(55011.834961351924), np.float64(55002.389932449056), np.float64(54996.60399074554), np.float64(55001.73359937002), np.float64(55003.23729422941), np.float64(55011.099835926), np.float64(55009.139233240276), np.float64(55000.70039266448)]","[np.float64(54991.38755298397), np.float64(54994.759326253494), np.float64(54990.62443113696), np.float64(54984.62821150288), np.float64(54994.07107229298), np.float64(54993.37563004963), np.float64(54990.85576811639), np.float64(54989.415443732694), np.float64(54994.08934623003)]","[np.float64(54996.74423247576), np.float64(54996.00610221624), np.float64(54996.60399074554), np.float64(54995.79165785312), np.float64(54995.094704687595), np.float64(54999.51323570013), np.float64(55001.4748707652), np.float64(54994.08934623003), np.float64(54998.716935157776)]"
8,"[np.float64(54994.7767580986), np.float64(54996.01032655239), np.float64(54995.66000137329), np.float64(54998.719690680504), np.float64(54996.3878954649), np.float64(54995.69359239339), np.float64(55000.31949446201), np.float64(55001.34375580549), np.float64(54995.255562520026)]","[np.float64(54996.070423371195), np.float64(54999.25849004293), np.float64(55007.77609231266), np.float64(55002.01002024171), np.float64(55004.3188910939), np.float64(55007.63150146801), np.float64(55001.34375580549), np.float64(55001.34375580549), np.float64(55000.05984754562)]","[np.float64(54987.59881084738), np.float64(54993.11845707457), np.float64(54991.841024628295), np.float64(54979.62894561671), np.float64(54990.472261053204), np.float64(54995.400308376215), np.float64(54987.97013257799), np.float64(54989.321901450734), np.float64(54985.66736729174)]","[np.float64(54996.01032655239), np.float64(54995.66000137329), np.float64(54998.719690680504), np.float64(54996.3878954649), np.float64(54995.69359239339), np.float64(55000.31949446201), np.float64(55001.34375580549), np.float64(54995.255562520026), np.float64(55000.05984754562)]"
9,"[np.float64(54994.7883456707), np.float64(54994.67575501203), np.float64(54992.339936733246), np.float64(54993.73464815616), np.float64(54995.7743915081), np.float64(54993.26165908575), np.float64(54993.65980576276), np.float64(54991.68511431217), np.float64(54995.08357477188)]","[np.float64(54994.7883456707), np.float64(55010.03468068261), np.float64(54993.73464815616), np.float64(55004.59873826595), np.float64(54995.7930811677), np.float64(55004.29144577883), np.float64(54993.65980576276), np.float64(55006.310612764784), np.float64(54997.54499730595)]","[np.float64(54988.156837896866), np.float64(54992.31922442367), np.float64(54986.92658564404), np.float64(54991.47964951505), np.float64(54988.56902663873), np.float64(54990.10600229314), np.float64(54986.703373463446), np.float64(54989.05070458043), np.float64(54993.722583311166)]","[np.float64(54994.67575501203), np.float64(54992.339936733246), np.float64(54993.73464815616), np.float64(54995.7743915081), np.float64(54993.26165908575), np.float64(54993.65980576276), np.float64(54991.68511431217), np.float64(54995.08357477188), np.float64(54997.09079816341)]"
