,o_chunk,h_chunk,l_chunk,c_chunk
0,"[np.float64(54993.81621341228), np.float64(54991.66884101748), np.float64(54991.754071415664), np.float64(54983.36095180034), np.float64(54974.021063472035), np.float64(54975.75396717906), np.float64(54966.3373340559), np.float64(54971.001810933354), np.float64(54968.963987053634), np.float64(54971.16876205921), np.float64(54970.55017093539), np.float64(54958.14250302434), np.float64(54953.65666057586), np.float64(54955.152528936866), np.float64(54950.09682518959), np.float64(54948.08575279832), np.float64(54948.878080410956), np.float64(54936.37961342454), np.float64(54934.63028445959)]","[np.float64(54994.9892869752), np.float64(54991.76230692346), np.float64(54993.26198585904), np.float64(54983.36095180034), np.float64(54987.11312299695), np.float64(54975.75396717906), np.float64(54978.51008171389), np.float64(54975.06108446046), np.float64(54971.18925527989), np.float64(54971.176771783066), np.float64(54972.90189455055), np.float64(54958.14250302434), np.float64(54955.152528936866), np.float64(54960.93282539848), np.float64(54950.11747165471), np.float64(54948.878080410956), np.float64(54954.68127570232), np.float64(54936.37961342454), np.float64(54938.85156234054)]","[np.float64(54991.659943206854), np.float64(54985.916529249145), np.float64(54969.40698502552), np.float64(54974.021063472035), np.float64(54964.601711220595), np.float64(54947.21994509615), np.float64(54960.669217919996), np.float64(54968.948088470555), np.float64(54956.327089509075), np.float64(54970.55017093539), np.float64(54955.125023378), np.float64(54947.25612932481), np.float64(54953.65666057586), np.float64(54943.653214745515), np.float64(54948.06714499318), np.float64(54943.69147514121), np.float64(54930.01025075091), np.float64(54929.354688975945), np.float64(54930.28735579371)]","[np.float64(54991.66884101748), np.float64(54991.754071415664), np.float64(54983.36095180034), np.float64(54974.021063472035), np.float64(54975.75396717906), np.float64(54966.3373340559), np.float64(54971.001810933354), np.float64(54968.963987053634), np.float64(54971.16876205921), np.float64(54970.55017093539), np.float64(54958.14250302434), np.float64(54953.65666057586), np.float64(54955.152528936866), np.float64(54950.09682518959), np.float64(54948.08575279832), np.float64(54948.878080410956), np.float64(54936.37961342454), np.float64(54934.63028445959), np.float64(54930.28735579371)]"
1,"[np.float64(55003.194489736554), np.float64(55005.106449033025), np.float64(54997.53014673114), np.float64(54990.725987536905), np.float64(54987.620319111345), np.float64(54988.8672972393), np.float64(54989.38952061057), np.float64(54986.95037760854), np.float64(54980.8998148632), np.float64(54969.963276035785), np.float64(54965.462115825416), np.float64(54970.765836287734), np.float64(54963.08725438833), np.float64(54963.02581175685), np.float64(54960.32453536511), np.float64(54961.12062222481), np.float64(54950.476649529934), np.float64(54940.341766239406), np.float64(54946.80204011917)]","[np.float64(55005.12407385018), np.float64(55005.106449033025), np.float64(55004.95171681952), np.float64(55001.77841418641), np.float64(54990.75822622341), np.float64(54996.60470996632), np.float64(54989.38952061057), np.float64(54986.95037760854), np.float64(54987.382314084345), np.float64(54969.963276035785), np.float64(54976.552042888965), np.float64(54983.587842881854), np.float64(54988.05947433825), np.float64(54977.2135472459), np.float64(54961.12062222481), np.float64(54963.89643717835), np.float64(54973.44884332114), np.float64(54949.55107081197), np.float64(54947.51279917488)]","[np.float64(54984.334262458724), np.float64(54997.53014673114), np.float64(54970.23599601371), np.float64(54987.620319111345), np.float64(54987.620319111345), np.float64(54982.94676344774), np.float64(54986.93016686496), np.float64(54975.22917998978), np.float64(54969.95515937393), np.float64(54958.27002789357), np.float64(54961.617357573705), np.float64(54960.09010691696), np.float64(54963.02581175685), np.float64(54960.32453536511), np.float64(54960.30524747873), np.float64(54944.31271199259), np.float64(54934.484595456386), np.float64(54934.648098479236), np.float64(54930.34641308097)]","[np.float64(55005.106449033025), np.float64(54997.53014673114), np.float64(54990.725987536905), np.float64(54987.620319111345), np.float64(54988.8672972393), np.float64(54989.38952061057), np.float64(54986.95037760854), np.float64(54980.8998148632), np.float64(54969.963276035785), np.float64(54965.462115825416), np.float64(54970.765836287734), np.float64(54963.08725438833), np.float64(54963.02581175685), np.float64(54960.32453536511), np.float64(54961.12062222481), np.float64(54950.476649529934), np.float64(54940.341766239406), np.float64(54946.80204011917), np.float64(54941.07609849692)]"
2,"[np.float64(54997.0156602335), np.float64(54993.08103883386), np.float64(54997.23375895739), np.float64(54989.889843637946), np.float64(54976.963290442225), np.float64(54979.65037216663), np.float64(54972.76960856438), np.float64(54970.783821399215), np.float64(54964.37734686852), np.float64(54963.68252570152), np.float64(54956.908034921886), np.float64(54947.36616115689), np.float64(54950.69701004148), np.float64(54941.72594908595), np.float64(54936.24861692309), np.float64(54937.146811796425), np.float64(54936.46100658298), np.float64(54922.28404358149), np.float64(54911.497617260815)]","[np.float64(55001.9060722167), np.float64(54999.02351290755), np.float64(54997.249700610795), np.float64(54989.910856537244), np.float64(54981.822151969056), np.float64(54979.67082415244), np.float64(54972.9000383251), np.float64(54970.79979151673), np.float64(54972.37986852406), np.float64(54975.74783929383), np.float64(54958.70632452792), np.float64(54969.06859178422), np.float64(54950.69701004148), np.float64(54941.72594908595), np.float64(54960.83713054908), np.float64(54937.146811796425), np.float64(54936.46100658298), np.float64(54922.28404358149), np.float64(54923.769849357974)]","[np.float64(54986.817773702685), np.float64(54977.41453862392), np.float64(54977.77565704013), np.float64(54976.95391123349), np.float64(54949.00615248383), np.float64(54951.086804870545), np.float64(54970.783821399215), np.float64(54964.3473670857), np.float64(54961.249243256716), np.float64(54954.534433076115), np.float64(54929.74954121445), np.float64(54945.299539276224), np.float64(54941.20974312219), np.float64(54928.98902151369), np.float64(54936.24861692309), np.float64(54906.506270605685), np.float64(54909.62635711461), np.float64(54898.5891796534), np.float64(54901.61912335357)]","[np.float64(54993.08103883386), np.float64(54997.23375895739), np.float64(54989.889843637946), np.float64(54976.963290442225), np.float64(54979.65037216663), np.float64(54972.76960856438), np.float64(54970.783821399215), np.float64(54964.37734686852), np.float64(54963.68252570152), np.float64(54956.908034921886), np.float64(54947.36616115689), np.float64(54950.69701004148), np.float64(54941.72594908595), np.float64(54936.24861692309), np.float64(54937.146811796425), np.float64(54936.46100658298), np.float64(54922.28404358149), np.float64(54911.497617260815), np.float64(54906.39164723277)]"
3,"[np.float64(55000.13496177912), np.float64(54999.717654157874), np.float64(54996.39683513164), np.float64(54997.05119369745), np.float64(54990.527371383905), np.float64(54983.49697103023), np.float64(54985.76877294302), np.float64(54991.30600348234), np.float64(54983.54950689793), np.float64(54982.93286559105), np.float64(54978.758978254795), np.float64(54976.13678643823), np.float64(54974.44660712004), np.float64(54972.12021033287), np.float64(54965.81119545221), np.float64(54961.93137170791), np.float64(54956.09009451389), np.float64(54957.27369579196), np.float64(54952.73740767956)]","[np.float64(55015.76719051043), np.float64(55005.03814127321), np.float64(55010.69495219141), np.float64(55001.8505345157), np.float64(55000.79573829085), np.float64(54989.09922736212), np.float64(54998.39768256065), np.float64(54992.46751117144), np.float64(54984.26248061021), np.float64(54993.69425559453), np.float64(54978.758978254795), np.float64(54980.330643385474), np.float64(54977.89218085406), np.float64(54972.13283573345), np.float64(54970.46029526732), np.float64(54963.06418217265), np.float64(54967.851896398366), np.float64(54965.959987746275), np.float64(54960.22690770131)]","[np.float64(54993.20050032399), np.float64(54996.35270567518), np.float64(54991.43666406874), np.float64(54988.686203845224), np.float64(54976.91166713482), np.float64(54979.90682352867), np.float64(54985.71268886065), np.float64(54977.84667336039), np.float64(54979.15378854615), np.float64(54976.623502255294), np.float64(54973.33934045013), np.float64(54968.514369673736), np.float64(54965.35489757788), np.float64(54960.559349245836), np.float64(54954.1037844626), np.float64(54948.49112715216), np.float64(54948.037443802634), np.float64(54944.48712836209), np.float64(54939.737671351766)]","[np.float64(54999.717654157874), np.float64(54996.39683513164), np.float64(54997.05119369745), np.float64(54990.527371383905), np.float64(54983.49697103023), np.float64(54985.76877294302), np.float64(54991.30600348234), np.float64(54983.54950689793), np.float64(54982.93286559105), np.float64(54978.758978254795), np.float64(54976.13678643823), np.float64(54974.44660712004), np.float64(54972.12021033287), np.float64(54965.81119545221), np.float64(54961.93137170791), np.float64(54956.09009451389), np.float64(54957.27369579196), np.float64(54952.73740767956), np.float64(54954.30925650716)]"
4,"[np.float64(54985.411192114356), np.float64(54986.20336374164), np.float64(54982.562665547135), np.float64(54966.61032402635), np.float64(54956.328206158876), np.float64(54963.532405395505), np.float64(54952.13446188688), np.float64(54959.56214134216), np.float64(54950.26683362842), np.float64(54939.1071889472), np.float64(54926.42790373683), np.float64(54937.1076906693), np.float64(54924.783599711656), np.float64(54915.273804335), np.float64(54913.793838680984), np.float64(54919.06438105821), np.float64(54905.59928062379), np.float64(54904.4433433485), np.float64(54881.22840167403)]","[np.float64(54986.70454426618), np.float64(54989.49641424318), np.float64(54982.562665547135), np.float64(54966.61032402635), np.float64(54975.23627798721), np.float64(54965.210325822925), np.float64(54966.18487095386), np.float64(54963.404885674), np.float64(54969.767803744035), np.float64(54942.52177077334), np.float64(54948.63961647928), np.float64(54946.19332166748), np.float64(54924.783599711656), np.float64(54924.42041102105), np.float64(54937.31833408807), np.float64(54930.58381777709), np.float64(54905.62027520435), np.float64(54913.94732727779), np.float64(54890.82176541605)]","[np.float64(54980.66963521466), np.float64(54982.52841055369), np.float64(54963.649199899286), np.float64(54946.48513404399), np.float64(54956.328206158876), np.float64(54949.40761450304), np.float64(54952.13446188688), np.float64(54940.31286779739), np.float64(54936.35519635707), np.float64(54926.40814326341), np.float64(54902.88395347924), np.float64(54923.51838614736), np.float64(54890.923459956386), np.float64(54905.91617724343), np.float64(54913.74940820042), np.float64(54905.58989653478), np.float64(54887.25015196858), np.float64(54865.125836604595), np.float64(54871.014309769285)]","[np.float64(54986.20336374164), np.float64(54982.562665547135), np.float64(54966.61032402635), np.float64(54956.328206158876), np.float64(54963.532405395505), np.float64(54952.13446188688), np.float64(54959.56214134216), np.float64(54950.26683362842), np.float64(54939.1071889472), np.float64(54926.42790373683), np.float64(54937.1076906693), np.float64(54924.783599711656), np.float64(54915.273804335), np.float64(54913.793838680984), np.float64(54919.06438105821), np.float64(54905.59928062379), np.float64(54904.4433433485), np.float64(54881.22840167403), np.float64(54881.36724423885)]"
5,"[np.float64(55005.825338740346), np.float64(54990.34936089635), np.float64(54999.10436653614), np.float64(54989.6911650908), np.float64(54984.01782173038), np.float64(54987.965405513045), np.float64(54971.49759478688), np.float64(54984.03042534709), np.float64(54983.80017536402), np.float64(54989.71542081356), np.float64(54980.73854160428), np.float64(54969.06139990807), np.float64(54953.434521831274), np.float64(54971.725286610126), np.float64(54930.645981724265), np.float64(54963.230027784106), np.float64(54946.46667160511), np.float64(54952.64741972804), np.float64(54914.26896227419)]","[np.float64(55005.825338740346), np.float64(55017.527799514966), np.float64(54999.10436653614), np.float64(54989.6911650908), np.float64(54987.965405513045), np.float64(55006.58496581883), np.float64(54984.03042534709), np.float64(54987.179995048835), np.float64(54989.71542081356), np.float64(54989.71542081356), np.float64(54980.73854160428), np.float64(54969.08250032195), np.float64(54971.725286610126), np.float64(54998.14910278139), np.float64(54963.230027784106), np.float64(54963.230027784106), np.float64(54952.64741972804), np.float64(54952.64741972804), np.float64(54935.12156113742)]","[np.float64(54990.34936089635), np.float64(54957.07279927324), np.float64(54989.6911650908), np.float64(54981.901418378395), np.float64(54984.01782173038), np.float64(54950.58853945891), np.float64(54971.486967035824), np.float64(54983.80017536402), np.float64(54983.07385581561), np.float64(54978.62587918839), np.float64(54969.06139990807), np.float64(54947.50627242964), np.float64(54944.87970457032), np.float64(54923.3384843057), np.float64(54918.193594573495), np.float64(54946.46667160511), np.float64(54936.59117558778), np.float64(54914.25621150571), np.float64(54914.26896227419)]","[np.float64(54990.34936089635), np.float64(54999.10436653614), np.float64(54989.6911650908), np.float64(54984.01782173038), np.float64(54987.965405513045), np.float64(54971.49759478688), np.float64(54984.03042534709), np.float64(54983.80017536402), np.float64(54989.71542081356), np.float64(54980.73854160428), np.float64(54969.06139990807), np.float64(54953.434521831274), np.float64(54971.725286610126), np.float64(54930.645981724265), np.float64(54963.230027784106), np.float64(54946.46667160511), np.float64(54952.64741972804), np.float64(54914.26896227419), np.float64(54932.69726714015)]"
6,"[np.float64(54997.58294777393), np.float64(54997.52138035416), np.float64(54992.608808768986), np.float64(54994.006546742916), np.float64(54987.61914922118), np.float64(54987.44258939743), np.float64(54980.97769835115), np.float64(54979.79593770027), np.float64(54974.132437015774), np.float64(54985.889256031514), np.float64(54965.64187334895), np.float64(54962.608613325356), np.float64(54954.16517283439), np.float64(54961.2639727664), np.float64(54955.21528184533), np.float64(54960.78622081995), np.float64(54944.7553250742), np.float64(54943.53146397591), np.float64(54920.95324672281)]","[np.float64(54997.58294777393), np.float64(55020.190916523265), np.float64(54994.019379228375), np.float64(55000.577486778), np.float64(54987.64030224018), np.float64(54991.43436985768), np.float64(54983.185324637445), np.float64(54984.146539174784), np.float64(54985.90212191191), np.float64(54995.13411459176), np.float64(54965.64187334895), np.float64(54962.608613325356), np.float64(54961.2639727664), np.float64(54968.486174983016), np.float64(54960.834285615856), np.float64(54965.06187260027), np.float64(54944.7735791391), np.float64(54946.35615339078), np.float64(54928.06882156367)]","[np.float64(54988.50160686958), np.float64(54992.608808768986), np.float64(54965.484946609344), np.float64(54987.61914922118), np.float64(54987.42328558162), np.float64(54980.97769835115), np.float64(54971.45856425541), np.float64(54974.083707068974), np.float64(54974.132437015774), np.float64(54965.59544665432), np.float64(54962.608613325356), np.float64(54950.37188450793), np.float64(54954.16517283439), np.float64(54955.21528184533), np.float64(54933.37116923567), np.float64(54930.05761003295), np.float64(54943.53146397591), np.float64(54914.84366298634), np.float64(54918.88052933477)]","[np.float64(54997.52138035416), np.float64(54992.608808768986), np.float64(54994.006546742916), np.float64(54987.61914922118), np.float64(54987.44258939743), np.float64(54980.97769835115), np.float64(54979.79593770027), np.float64(54974.132437015774), np.float64(54985.889256031514), np.float64(54965.64187334895), np.float64(54962.608613325356), np.float64(54954.16517283439), np.float64(54961.2639727664), np.float64(54955.21528184533), np.float64(54960.78622081995), np.float64(54944.7553250742), np.float64(54943.53146397591), np.float64(54920.95324672281), np.float64(54928.04774925828)]"
7,"[np.float64(54997.02785828829), np.float64(54998.86600531459), np.float64(54984.77152736902), np.float64(54996.645787758825), np.float64(54986.69410926819), np.float64(54979.25853695392), np.float64(54989.92107190609), np.float64(54966.84105756402), np.float64(54989.66062315822), np.float64(54961.35344596624), np.float64(54976.45232921362), np.float64(54953.10965113163), np.float64(54972.541152412894), np.float64(54946.51426273704), np.float64(54961.45246546984), np.float64(54935.19607454062), np.float64(54961.116114248034), np.float64(54928.15592510223), np.float64(54956.48576696634)]","[np.float64(54998.8775109793), np.float64(54998.86600531459), np.float64(54996.645787758825), np.float64(54996.645787758825), np.float64(54986.69410926819), np.float64(54989.930356212135), np.float64(54993.84543203048), np.float64(55085.16141869883), np.float64(54989.66062315822), np.float64(54976.45232921362), np.float64(54976.45232921362), np.float64(54975.559122139355), np.float64(54972.541152412894), np.float64(54966.593168556785), np.float64(54961.45246546984), np.float64(54994.16882695872), np.float64(54961.116114248034), np.float64(54987.418561386534), np.float64(54956.48576696634)]","[np.float64(54997.02785828829), np.float64(54981.03563921271), np.float64(54973.64470169874), np.float64(54986.69410926819), np.float64(54979.25853695392), np.float64(54979.25853695392), np.float64(54966.84105756402), np.float64(54966.84105756402), np.float64(54938.84671181067), np.float64(54961.35344596624), np.float64(54932.91741812221), np.float64(54953.10965113163), np.float64(54946.49306275925), np.float64(54946.51426273704), np.float64(54935.18246787647), np.float64(54935.18668118728), np.float64(54928.15592510223), np.float64(54928.13586099149), np.float64(54932.7730916214)]","[np.float64(54998.86600531459), np.float64(54984.77152736902), np.float64(54996.645787758825), np.float64(54986.69410926819), np.float64(54979.25853695392), np.float64(54989.92107190609), np.float64(54966.84105756402), np.float64(54989.66062315822), np.float64(54961.35344596624), np.float64(54976.45232921362), np.float64(54953.10965113163), np.float64(54972.541152412894), np.float64(54946.51426273704), np.float64(54961.45246546984), np.float64(54935.19607454062), np.float64(54961.116114248034), np.float64(54928.15592510223), np.float64(54956.48576696634), np.float64(54932.7730916214)]"
8,"[np.float64(55000.49687900066), np.float64(54994.94525101304), np.float64(54996.143951673504), np.float64(54991.82989589691), np.float64(54996.401514692305), np.float64(54987.49286347747), np.float64(54976.889337785244), np.float64(54975.05902122378), np.float64(54978.63975864768), np.float64(54963.93236744523), np.float64(54957.85672225475), np.float64(54970.34459783554), np.float64(54958.23345808506), np.float64(54965.802226294276), np.float64(54946.10824845552), np.float64(54952.27859235525), np.float64(54942.778117103575), np.float64(54936.796546680926), np.float64(54930.04684197426)]","[np.float64(55000.49687900066), np.float64(54996.143951673504), np.float64(55020.65420302376), np.float64(54996.401514692305), np.float64(55001.31075775236), np.float64(54987.49286347747), np.float64(54979.54367726792), np.float64(54979.60884835356), np.float64(54978.63975864768), np.float64(54969.02083792084), np.float64(54970.34459783554), np.float64(54970.34459783554), np.float64(54965.802226294276), np.float64(54965.802226294276), np.float64(54962.52616262343), np.float64(54958.362827863246), np.float64(54942.778117103575), np.float64(54936.815390324664), np.float64(54943.390110046865)]","[np.float64(54994.94525101304), np.float64(54994.94525101304), np.float64(54985.570348301844), np.float64(54991.82989589691), np.float64(54987.49286347747), np.float64(54976.889337785244), np.float64(54975.05902122378), np.float64(54975.05902122378), np.float64(54963.93236744523), np.float64(54947.92773146461), np.float64(54957.85672225475), np.float64(54958.23345808506), np.float64(54958.23345808506), np.float64(54946.10824845552), np.float64(54943.31924235363), np.float64(54942.778117103575), np.float64(54931.1930089718), np.float64(54930.04684197426), np.float64(54930.04684197426)]","[np.float64(54994.94525101304), np.float64(54996.143951673504), np.float64(54991.82989589691), np.float64(54996.401514692305), np.float64(54987.49286347747), np.float64(54976.889337785244), np.float64(54975.05902122378), np.float64(54978.63975864768), np.float64(54963.93236744523), np.float64(54957.85672225475), np.float64(54970.34459783554), np.float64(54958.23345808506), np.float64(54965.802226294276), np.float64(54946.10824845552), np.float64(54952.27859235525), np.float64(54942.778117103575), np.float64(54936.796546680926), np.float64(54930.04684197426), np.float64(54943.390110046865)]"
9,"[np.float64(55002.07039687157), np.float64(54994.48375274062), np.float64(54993.99342837453), np.float64(54997.614940370324), np.float64(54997.55649265766), np.float64(54983.739855827094), np.float64(54994.91926385283), np.float64(54980.97128735304), np.float64(54980.18953554749), np.float64(54975.18777153611), np.float64(54971.61316433668), np.float64(54961.704303826096), np.float64(54965.41313642383), np.float64(54954.60508273363), np.float64(54950.59226587534), np.float64(54948.622935165164), np.float64(54947.81385472536), np.float64(54945.403475422856), np.float64(54942.51791793227)]","[np.float64(55002.07039687157), np.float64(54994.48375274062), np.float64(54997.627978743774), np.float64(54997.614940370324), np.float64(54997.55649265766), np.float64(54994.91926385283), np.float64(54994.93413957773), np.float64(54980.97128735304), np.float64(54980.20773164726), np.float64(54975.18777153611), np.float64(54971.62135763638), np.float64(54967.86315464477), np.float64(54965.41313642383), np.float64(54954.62308615086), np.float64(54950.59226587534), np.float64(54953.12102081411), np.float64(54947.81385472536), np.float64(54948.81562723071), np.float64(54942.51791793227)]","[np.float64(54994.48375274062), np.float64(54993.99342837453), np.float64(54977.13653074236), np.float64(54997.55649265766), np.float64(54983.739855827094), np.float64(54983.739855827094), np.float64(54980.97128735304), np.float64(54980.07749701872), np.float64(54975.18777153611), np.float64(54968.326399129306), np.float64(54961.704303826096), np.float64(54961.704303826096), np.float64(54903.47065801739), np.float64(54950.59226587534), np.float64(54948.22140587659), np.float64(54947.81385472536), np.float64(54945.38385008108), np.float64(54942.51791793227), np.float64(54921.544997854864)]","[np.float64(54994.48375274062), np.float64(54993.99342837453), np.float64(54997.614940370324), np.float64(54997.55649265766), np.float64(54983.739855827094), np.float64(54994.91926385283), np.float64(54980.97128735304), np.float64(54980.18953554749), np.float64(54975.18777153611), np.float64(54971.61316433668), np.float64(54961.704303826096), np.float64(54965.41313642383), np.float64(54954.60508273363), np.float64(54950.59226587534), np.float64(54948.622935165164), np.float64(54947.81385472536), np.float64(54945.403475422856), np.float64(54942.51791793227), np.float64(54936.644694937466)]"
