,o_chunk,h_chunk,l_chunk,c_chunk
0,"[np.float64(55018.6354227978), np.float64(55133.27959997773), np.float64(54947.84240196884), np.float64(54970.260930582284), np.float64(54954.25585296631), np.float64(54946.342765049936), np.float64(54859.54628416181), np.float64(54793.7089721328), np.float64(54914.009260211584), np.float64(54879.43349812269), np.float64(54999.462036657336), np.float64(54885.33191903174), np.float64(54967.14147227347), np.float64(54979.05332238078), np.float64(54715.60944719136), np.float64(54835.87479604304), np.float64(54888.09454430819), np.float64(54797.183645917175), np.float64(54515.86350339353)]","[np.float64(55133.27959997773), np.float64(55316.00505010581), np.float64(54970.260930582284), np.float64(55006.038284513335), np.float64(54954.25585296631), np.float64(54946.35099643489), np.float64(54859.54628416181), np.float64(54914.009260211584), np.float64(54937.415530679464), np.float64(54999.469695798194), np.float64(55019.833850284456), np.float64(54967.14147227347), np.float64(54979.05332238078), np.float64(54979.05332238078), np.float64(54835.87479604304), np.float64(54888.09454430819), np.float64(54929.758119633174), np.float64(54810.761480927795), np.float64(54675.15341952104)]","[np.float64(54989.8648401756), np.float64(54946.935226653375), np.float64(54947.70380441408), np.float64(54954.25585296631), np.float64(54939.050973827376), np.float64(54859.54628416181), np.float64(54793.7089721328), np.float64(54793.7089721328), np.float64(54779.912711052166), np.float64(54879.43349812269), np.float64(54857.58548812195), np.float64(54885.33191903174), np.float64(54884.81029362422), np.float64(54715.60944719136), np.float64(54701.38758088313), np.float64(54824.94127911479), np.float64(54792.585464147494), np.float64(54497.34343409348), np.float64(54508.624342468844)]","[np.float64(55133.27959997773), np.float64(54947.84240196884), np.float64(54970.260930582284), np.float64(54954.25585296631), np.float64(54946.342765049936), np.float64(54859.54628416181), np.float64(54793.7089721328), np.float64(54914.009260211584), np.float64(54879.43349812269), np.float64(54999.462036657336), np.float64(54885.33191903174), np.float64(54967.14147227347), np.float64(54979.05332238078), np.float64(54715.60944719136), np.float64(54835.87479604304), np.float64(54888.09454430819), np.float64(54797.183645917175), np.float64(54515.86350339353), np.float64(54660.91645456314)]"
1,"[np.float64(54951.90877803445), np.float64(55043.203199145195), np.float64(55050.35231498003), np.float64(55043.11229245245), np.float64(54951.4681555593), np.float64(54906.371965731385), np.float64(54959.91697829127), np.float64(54905.435723849536), np.float64(54944.03807010651), np.float64(54954.071289734246), np.float64(54985.63030837178), np.float64(54927.8387239176), np.float64(54902.11633551896), np.float64(54895.925783849954), np.float64(54894.26989094317), np.float64(54830.9624377656), np.float64(54804.02202908874), np.float64(54698.97109608412), np.float64(54668.76451669574)]","[np.float64(55047.08683976026), np.float64(55050.36480642113), np.float64(55050.360361250445), np.float64(55043.11229245245), np.float64(54965.843326580485), np.float64(54978.49324771629), np.float64(54959.929507752335), np.float64(54953.88816306919), np.float64(54961.87649113511), np.float64(54997.61969747611), np.float64(54985.63030837178), np.float64(54927.8387239176), np.float64(54934.747879431045), np.float64(54915.901686727724), np.float64(54894.278021852515), np.float64(54836.33979089466), np.float64(54814.9098055226), np.float64(54698.97109608412), np.float64(54760.26234131403)]","[np.float64(54881.341891736825), np.float64(55043.203199145195), np.float64(55021.74342897315), np.float64(54951.45926983516), np.float64(54902.6950782), np.float64(54904.71655908056), np.float64(54899.68800168382), np.float64(54854.480768468195), np.float64(54944.03807010651), np.float64(54954.071289734246), np.float64(54921.47013050644), np.float64(54866.29023163495), np.float64(54895.925783849954), np.float64(54891.8906397122), np.float64(54830.9624377656), np.float64(54764.554695193416), np.float64(54694.79269806827), np.float64(54658.84889395298), np.float64(54652.71219952265)]","[np.float64(55043.203199145195), np.float64(55050.35231498003), np.float64(55043.11229245245), np.float64(54951.4681555593), np.float64(54906.371965731385), np.float64(54959.91697829127), np.float64(54905.435723849536), np.float64(54944.03807010651), np.float64(54954.071289734246), np.float64(54985.63030837178), np.float64(54927.8387239176), np.float64(54902.11633551896), np.float64(54895.925783849954), np.float64(54894.26989094317), np.float64(54830.9624377656), np.float64(54804.02202908874), np.float64(54698.97109608412), np.float64(54668.76451669574), np.float64(54747.27198946476)]"
2,"[np.float64(55006.211615960005), np.float64(54981.468172942994), np.float64(54988.581055505274), np.float64(54960.0250310862), np.float64(54974.95702151418), np.float64(54952.03365342021), np.float64(54920.630081992145), np.float64(54884.59140152395), np.float64(54864.06460560024), np.float64(54842.402284795644), np.float64(54803.7476914537), np.float64(54839.65082066118), np.float64(54784.76841213048), np.float64(54833.97125518858), np.float64(54780.2905296123), np.float64(54771.61702823937), np.float64(54756.83029441297), np.float64(54802.01075895071), np.float64(54770.02211722433)]","[np.float64(55006.21979175296), np.float64(54988.60088129447), np.float64(55012.57236980339), np.float64(54975.17860629187), np.float64(54974.95702151418), np.float64(54957.028856405144), np.float64(54920.630081992145), np.float64(54891.15225978982), np.float64(54866.467433598526), np.float64(54845.47402997275), np.float64(54842.22814173267), np.float64(54839.65082066118), np.float64(54892.56211334995), np.float64(54833.97125518858), np.float64(54788.35577307103), np.float64(54776.831137238514), np.float64(54802.01075895071), np.float64(54819.692586615405), np.float64(54805.640320709936)]","[np.float64(54947.76547531337), np.float64(54946.117425664874), np.float64(54959.3842895588), np.float64(54910.40107890878), np.float64(54946.59827487699), np.float64(54920.27087215091), np.float64(54877.31908629595), np.float64(54854.475419759074), np.float64(54839.83476054482), np.float64(54787.18286351308), np.float64(54786.077155712264), np.float64(54777.89587918209), np.float64(54781.12753387345), np.float64(54780.2905296123), np.float64(54764.31303779112), np.float64(54754.32660195953), np.float64(54753.83282862738), np.float64(54770.013032083334), np.float64(54758.36631198604)]","[np.float64(54981.468172942994), np.float64(54988.581055505274), np.float64(54960.0250310862), np.float64(54974.95702151418), np.float64(54952.03365342021), np.float64(54920.630081992145), np.float64(54884.59140152395), np.float64(54864.06460560024), np.float64(54842.402284795644), np.float64(54803.7476914537), np.float64(54839.65082066118), np.float64(54784.76841213048), np.float64(54833.97125518858), np.float64(54780.2905296123), np.float64(54771.61702823937), np.float64(54756.83029441297), np.float64(54802.01075895071), np.float64(54770.02211722433), np.float64(54772.32535636664)]"
3,"[np.float64(55048.400894443985), np.float64(55103.88406357408), np.float64(54997.274129315614), np.float64(54920.28004269838), np.float64(54881.031967762705), np.float64(54938.02852304459), np.float64(54843.25198738813), np.float64(54837.22480895698), np.float64(54834.98999246776), np.float64(54778.048110606076), np.float64(54774.087846267226), np.float64(54920.024953989385), np.float64(54848.2033287847), np.float64(54806.26946252108), np.float64(54740.47048658848), np.float64(54807.088916801215), np.float64(54828.93369801402), np.float64(54825.55720992803), np.float64(54806.14458713531)]","[np.float64(55103.88406357408), np.float64(55137.74301268779), np.float64(54997.274129315614), np.float64(54920.289329417836), np.float64(54938.02852304459), np.float64(54994.97054274466), np.float64(54843.27116218131), np.float64(54839.83171342914), np.float64(54845.61113427116), np.float64(54778.048110606076), np.float64(54920.024953989385), np.float64(54922.85473725021), np.float64(54854.0469109242), np.float64(54830.12675194876), np.float64(54807.11177975973), np.float64(54828.94217592601), np.float64(54828.93369801402), np.float64(54830.87900166246), np.float64(54860.38836053768)]","[np.float64(55048.400894443985), np.float64(54967.065129611685), np.float64(54902.915641170395), np.float64(54881.031967762705), np.float64(54831.25317001437), np.float64(54843.25198738813), np.float64(54819.31833839988), np.float64(54819.74600661217), np.float64(54774.064166551594), np.float64(54749.345670834715), np.float64(54774.087846267226), np.float64(54738.701197006776), np.float64(54806.26946252108), np.float64(54722.74923157064), np.float64(54740.47048658848), np.float64(54793.6411920793), np.float64(54825.55720992803), np.float64(54800.620148534865), np.float64(54806.14458713531)]","[np.float64(55103.88406357408), np.float64(54997.274129315614), np.float64(54920.28004269838), np.float64(54881.031967762705), np.float64(54938.02852304459), np.float64(54843.25198738813), np.float64(54837.22480895698), np.float64(54834.98999246776), np.float64(54778.048110606076), np.float64(54774.087846267226), np.float64(54920.024953989385), np.float64(54848.2033287847), np.float64(54806.26946252108), np.float64(54740.47048658848), np.float64(54807.088916801215), np.float64(54828.93369801402), np.float64(54825.55720992803), np.float64(54806.14458713531), np.float64(54823.49158988118)]"
4,"[np.float64(55022.57287958563), np.float64(55022.51319173932), np.float64(55039.26137495398), np.float64(55015.09345865011), np.float64(54916.887379044296), np.float64(54942.43215970516), np.float64(54872.91345013142), np.float64(55009.254725587365), np.float64(54992.763572149874), np.float64(54937.97643771529), np.float64(54898.48508223533), np.float64(54857.423240848184), np.float64(54834.414142243266), np.float64(54911.81827951193), np.float64(54834.59773494124), np.float64(54777.22833281457), np.float64(54697.645993545055), np.float64(54703.010458950994), np.float64(54704.21845037699)]","[np.float64(55068.21086969636), np.float64(55039.26137495398), np.float64(55041.09143471224), np.float64(55021.53272123503), np.float64(54942.43215970516), np.float64(54942.43215970516), np.float64(55019.40643464321), np.float64(55009.254725587365), np.float64(54993.85306641525), np.float64(54937.97643771529), np.float64(54903.1795248226), np.float64(54868.614354930316), np.float64(54961.68451905074), np.float64(54914.722522737895), np.float64(54843.92313439438), np.float64(54804.912882878416), np.float64(54705.41324172965), np.float64(54704.21845037699), np.float64(54710.80046365145)]","[np.float64(55022.50725106699), np.float64(55021.632911506626), np.float64(55015.09345865011), np.float64(54848.55045574824), np.float64(54916.887379044296), np.float64(54857.92040773175), np.float64(54872.91345013142), np.float64(54982.27634474072), np.float64(54937.97643771529), np.float64(54898.48508223533), np.float64(54849.08370321157), np.float64(54834.414142243266), np.float64(54833.72299136086), np.float64(54756.6965671858), np.float64(54777.19336666527), np.float64(54657.73679898952), np.float64(54674.072119264034), np.float64(54691.209196581956), np.float64(54629.26764758404)]","[np.float64(55022.51319173932), np.float64(55039.26137495398), np.float64(55015.09345865011), np.float64(54916.887379044296), np.float64(54942.43215970516), np.float64(54872.91345013142), np.float64(55009.254725587365), np.float64(54992.763572149874), np.float64(54937.97643771529), np.float64(54898.48508223533), np.float64(54857.423240848184), np.float64(54834.414142243266), np.float64(54911.81827951193), np.float64(54834.59773494124), np.float64(54777.22833281457), np.float64(54697.645993545055), np.float64(54703.010458950994), np.float64(54704.21845037699), np.float64(54632.353312894105)]"
5,"[np.float64(54974.977079218625), np.float64(54969.950359674694), np.float64(54947.16998360276), np.float64(54922.64296968698), np.float64(54933.26999441981), np.float64(54919.5257759577), np.float64(54903.55806390405), np.float64(54903.169526758196), np.float64(54905.17287086785), np.float64(54873.22499157309), np.float64(54862.65134621501), np.float64(54860.741335133316), np.float64(54839.18868468046), np.float64(54828.47900279462), np.float64(54788.40791495383), np.float64(54758.73092366516), np.float64(54754.97997117758), np.float64(54743.86897344708), np.float64(54710.85981512904)]","[np.float64(55006.75740370894), np.float64(54981.1625404118), np.float64(54949.6655253017), np.float64(54947.55229817644), np.float64(54938.85079455549), np.float64(54927.68643030121), np.float64(54928.949577566265), np.float64(54914.742084058555), np.float64(54913.17971682453), np.float64(54878.14041114643), np.float64(54899.02887178854), np.float64(54862.18947591203), np.float64(54844.17303595294), np.float64(54835.6493741155), np.float64(54793.84885220481), np.float64(54774.975086256076), np.float64(54773.586737432146), np.float64(54752.77778502254), np.float64(54742.071154028556)]","[np.float64(54951.52268691102), np.float64(54937.769409017346), np.float64(54901.60757218353), np.float64(54922.62980126254), np.float64(54912.249610798855), np.float64(54875.20782606024), np.float64(54903.168872199574), np.float64(54900.26164775554), np.float64(54860.79245043973), np.float64(54848.640188173296), np.float64(54847.40573269679), np.float64(54832.83359192609), np.float64(54819.757309953595), np.float64(54735.11273761427), np.float64(54746.87511337831), np.float64(54745.625196430905), np.float64(54725.398781240474), np.float64(54698.858049548035), np.float64(54685.41761583253)]","[np.float64(54969.950359674694), np.float64(54947.16998360276), np.float64(54922.64296968698), np.float64(54933.26999441981), np.float64(54919.5257759577), np.float64(54903.55806390405), np.float64(54903.169526758196), np.float64(54905.17287086785), np.float64(54873.22499157309), np.float64(54862.65134621501), np.float64(54860.741335133316), np.float64(54839.18868468046), np.float64(54828.47900279462), np.float64(54788.40791495383), np.float64(54758.73092366516), np.float64(54754.97997117758), np.float64(54743.86897344708), np.float64(54710.85981512904), np.float64(54729.09809167743)]"
6,"[np.float64(54969.08367273569), np.float64(55011.83003778517), np.float64(55037.51198726356), np.float64(55029.42695305824), np.float64(55032.59801142931), np.float64(54953.07422771632), np.float64(54981.315799091455), np.float64(54883.57622286976), np.float64(54901.90314153135), np.float64(54807.55768476486), np.float64(54913.664882366655), np.float64(54851.57156733095), np.float64(54749.17811841011), np.float64(54809.46284317612), np.float64(54792.367694025634), np.float64(54937.4167630589), np.float64(54750.37721327364), np.float64(54736.72131341338), np.float64(54715.746130741834)]","[np.float64(55026.47073630018), np.float64(55037.52368379), np.float64(55043.17156847615), np.float64(55034.50455175178), np.float64(55085.21684407799), np.float64(54981.315799091455), np.float64(54986.15170679588), np.float64(54905.636640036915), np.float64(55006.049395136935), np.float64(54913.664882366655), np.float64(54926.25213903651), np.float64(54851.581553496646), np.float64(54820.78535913428), np.float64(54809.46284317612), np.float64(54961.57248225296), np.float64(54938.616760616635), np.float64(54772.408685755785), np.float64(54792.61286058281), np.float64(54773.36094838286)]","[np.float64(54969.08367273569), np.float64(54903.52574802742), np.float64(55029.42695305824), np.float64(55022.307464384336), np.float64(54953.07422771632), np.float64(54906.97886707781), np.float64(54883.57622286976), np.float64(54860.254267383534), np.float64(54807.55768476486), np.float64(54796.93164907032), np.float64(54830.25439652271), np.float64(54749.17811841011), np.float64(54520.48708669543), np.float64(54792.367694025634), np.float64(54623.19033013603), np.float64(54745.56157801551), np.float64(54736.72131341338), np.float64(54619.677931829574), np.float64(54706.64765091058)]","[np.float64(55011.83003778517), np.float64(55037.51198726356), np.float64(55029.42695305824), np.float64(55032.59801142931), np.float64(54953.07422771632), np.float64(54981.315799091455), np.float64(54883.57622286976), np.float64(54901.90314153135), np.float64(54807.55768476486), np.float64(54913.664882366655), np.float64(54851.57156733095), np.float64(54749.17811841011), np.float64(54809.46284317612), np.float64(54792.367694025634), np.float64(54937.4167630589), np.float64(54750.37721327364), np.float64(54736.72131341338), np.float64(54715.746130741834), np.float64(54772.88406048894)]"
7,"[np.float64(55022.99295908928), np.float64(54977.43511854768), np.float64(54992.360153481364), np.float64(54990.63502914309), np.float64(54928.864093179705), np.float64(54914.95229583204), np.float64(54914.25432006836), np.float64(54857.82180684626), np.float64(54891.4511364454), np.float64(54883.78601998806), np.float64(54857.738017403484), np.float64(54813.37134569704), np.float64(54785.61940876841), np.float64(54851.75467476189), np.float64(54826.15198556721), np.float64(54805.67986306369), np.float64(54773.304463503955), np.float64(54755.046938029525), np.float64(54726.19829758346)]","[np.float64(55023.004477928094), np.float64(54994.7598776041), np.float64(54992.379494952205), np.float64(54990.63502914309), np.float64(54957.595833874286), np.float64(54928.12386664915), np.float64(54922.68091249676), np.float64(54907.88331764681), np.float64(54910.98370882821), np.float64(54890.77708454611), np.float64(54857.746335528755), np.float64(54813.45932013307), np.float64(54873.9168617066), np.float64(54873.830658144594), np.float64(54826.15198556721), np.float64(54819.142366705906), np.float64(54776.572554763814), np.float64(54758.75962910041), np.float64(54736.13683040219)]","[np.float64(54977.42585606979), np.float64(54969.90891445743), np.float64(54990.63502914309), np.float64(54879.819170473376), np.float64(54911.5718358034), np.float64(54906.539305063954), np.float64(54857.82180684626), np.float64(54852.92665276034), np.float64(54883.78601998806), np.float64(54792.48439718264), np.float64(54813.3590648188), np.float64(54784.01871761129), np.float64(54767.13596525812), np.float64(54826.14402887534), np.float64(54805.65044767039), np.float64(54733.88215339317), np.float64(54755.04690766242), np.float64(54712.80449127004), np.float64(54683.23434421625)]","[np.float64(54977.43511854768), np.float64(54992.360153481364), np.float64(54990.63502914309), np.float64(54928.864093179705), np.float64(54914.95229583204), np.float64(54914.25432006836), np.float64(54857.82180684626), np.float64(54891.4511364454), np.float64(54883.78601998806), np.float64(54857.738017403484), np.float64(54813.37134569704), np.float64(54785.61940876841), np.float64(54851.75467476189), np.float64(54826.15198556721), np.float64(54805.67986306369), np.float64(54773.304463503955), np.float64(54755.046938029525), np.float64(54726.19829758346), np.float64(54699.86786957979)]"
8,"[np.float64(55080.16647508621), np.float64(55074.14431108117), np.float64(55014.10496968329), np.float64(54944.162945492266), np.float64(54930.71748977304), np.float64(55017.27069011688), np.float64(54925.869672012326), np.float64(54946.33128039658), np.float64(54936.57628054023), np.float64(54875.10378380835), np.float64(54899.32621177673), np.float64(54902.114070939424), np.float64(54843.35745209217), np.float64(54802.55458155036), np.float64(54751.78917861342), np.float64(54754.50990916848), np.float64(54784.356905677916), np.float64(54789.519661749604), np.float64(54794.99040063798)]","[np.float64(55103.30391688346), np.float64(55109.536203274496), np.float64(55014.10496968329), np.float64(54964.33294922772), np.float64(55017.27069011688), np.float64(55017.27069011688), np.float64(54953.548054943894), np.float64(54946.33128039658), np.float64(54936.57628054023), np.float64(54939.80090209048), np.float64(54902.114070939424), np.float64(54927.75304305759), np.float64(54843.35745209217), np.float64(54829.22299908978), np.float64(54754.529267712824), np.float64(54801.57757481721), np.float64(54791.3743166459), np.float64(54813.9634149102), np.float64(54794.99040063798)]","[np.float64(55074.14431108117), np.float64(55007.24475485771), np.float64(54944.154616803244), np.float64(54875.58460620273), np.float64(54924.13713638278), np.float64(54917.15127361619), np.float64(54853.73746530437), np.float64(54883.896584333066), np.float64(54841.37425896703), np.float64(54875.10378380835), np.float64(54892.31038756697), np.float64(54828.92959182173), np.float64(54801.566774547246), np.float64(54746.18158167018), np.float64(54669.43827664661), np.float64(54754.50990916848), np.float64(54744.115535485565), np.float64(54789.519661749604), np.float64(54757.171315972184)]","[np.float64(55074.14431108117), np.float64(55014.10496968329), np.float64(54944.162945492266), np.float64(54930.71748977304), np.float64(55017.27069011688), np.float64(54925.869672012326), np.float64(54946.33128039658), np.float64(54936.57628054023), np.float64(54875.10378380835), np.float64(54899.32621177673), np.float64(54902.114070939424), np.float64(54843.35745209217), np.float64(54802.55458155036), np.float64(54751.78917861342), np.float64(54754.50990916848), np.float64(54784.356905677916), np.float64(54789.519661749604), np.float64(54794.99040063798), np.float64(54767.704967093465)]"
9,"[np.float64(55009.61204388678), np.float64(54983.90340472102), np.float64(55013.83888158798), np.float64(54945.40280278742), np.float64(54891.634082120654), np.float64(54933.77515741169), np.float64(54921.51229747653), np.float64(54909.86912355542), np.float64(54900.126578886506), np.float64(54880.66413534403), np.float64(54819.904657654166), np.float64(54846.6004917413), np.float64(54827.36450615227), np.float64(54836.10998880327), np.float64(54786.95243733585), np.float64(54725.46408854723), np.float64(54774.02945246637), np.float64(54812.63616612673), np.float64(54702.98878368974)]","[np.float64(55020.61497496885), np.float64(55033.66986650373), np.float64(55020.493566852005), np.float64(54955.60347323531), np.float64(54943.527508534215), np.float64(54933.77515741169), np.float64(54929.85894433809), np.float64(54909.880859603174), np.float64(54900.126578886506), np.float64(54883.46754648335), np.float64(54846.608685520536), np.float64(54846.60954559684), np.float64(54916.3755626712), np.float64(54836.12926714237), np.float64(54802.38047808665), np.float64(54779.83238531505), np.float64(54833.19048281615), np.float64(54837.953171335226), np.float64(54702.998582546075)]","[np.float64(54951.97804123128), np.float64(54980.25727620906), np.float64(54903.723483809285), np.float64(54875.32166351249), np.float64(54891.57172630161), np.float64(54766.62961585128), np.float64(54892.05719501078), np.float64(54900.11725749244), np.float64(54879.95419624939), np.float64(54800.81754879526), np.float64(54809.89670801903), np.float64(54779.16286762662), np.float64(54827.35456496021), np.float64(54770.02670566426), np.float64(54723.2849464457), np.float64(54689.62875931649), np.float64(54774.013854728764), np.float64(54501.07436442791), np.float64(54641.68574697043)]","[np.float64(54983.90340472102), np.float64(55013.83888158798), np.float64(54945.40280278742), np.float64(54891.634082120654), np.float64(54933.77515741169), np.float64(54921.51229747653), np.float64(54909.86912355542), np.float64(54900.126578886506), np.float64(54880.66413534403), np.float64(54819.904657654166), np.float64(54846.6004917413), np.float64(54827.36450615227), np.float64(54836.10998880327), np.float64(54786.95243733585), np.float64(54725.46408854723), np.float64(54774.02945246637), np.float64(54812.63616612673), np.float64(54702.98878368974), np.float64(54641.69373293996)]"
