,o_chunk,h_chunk,l_chunk,c_chunk
0,"[np.float64(55438.84305366814), np.float64(55411.57785477281), np.float64(55474.54597597957), np.float64(55503.70569826603), np.float64(55523.56143206298), np.float64(55569.26544329167), np.float64(55566.798481216436), np.float64(55631.51448070943), np.float64(55617.81529446483), np.float64(55654.76691190839), np.float64(55687.197396426796), np.float64(55774.42114075661), np.float64(55772.79772314668), np.float64(55790.131469442844), np.float64(55796.48439275265), np.float64(55756.24452021957), np.float64(55737.76944874466), np.float64(55881.6225997293), np.float64(55928.72985984325)]","[np.float64(55449.85372679512), np.float64(55502.59344235346), np.float64(55507.505430456695), np.float64(55523.56143206298), np.float64(55573.631026096955), np.float64(55572.90777555517), np.float64(55637.453566119606), np.float64(55640.04563175812), np.float64(55656.642281087785), np.float64(55703.734573473346), np.float64(55774.74879421231), np.float64(55781.71298271131), np.float64(55793.30661911237), np.float64(55796.48439275265), np.float64(55796.5056724708), np.float64(55770.563050954515), np.float64(55905.28711806018), np.float64(55937.404601788716), np.float64(55933.77592769439)]","[np.float64(55384.65812145202), np.float64(55411.57785477281), np.float64(55473.442823928366), np.float64(55496.52490119093), np.float64(55521.403271224546), np.float64(55566.798481216436), np.float64(55564.27067821924), np.float64(55606.915141269266), np.float64(55611.2824937894), np.float64(55654.752112056834), np.float64(55652.18267339882), np.float64(55772.79772314668), np.float64(55749.040960313505), np.float64(55790.113040251104), np.float64(55752.81667166966), np.float64(55727.14340467901), np.float64(55737.76944874466), np.float64(55867.36655577642), np.float64(55889.51584248637)]","[np.float64(55411.57785477281), np.float64(55474.54597597957), np.float64(55503.70569826603), np.float64(55523.56143206298), np.float64(55569.26544329167), np.float64(55566.798481216436), np.float64(55631.51448070943), np.float64(55617.81529446483), np.float64(55654.76691190839), np.float64(55687.197396426796), np.float64(55774.42114075661), np.float64(55772.79772314668), np.float64(55790.131469442844), np.float64(55796.48439275265), np.float64(55756.24452021957), np.float64(55737.76944874466), np.float64(55881.6225997293), np.float64(55928.72985984325), np.float64(55892.628221019506)]"
1,"[np.float64(55473.32717285693), np.float64(55477.10656840742), np.float64(55518.98078320861), np.float64(55560.53396050871), np.float64(55642.117163073424), np.float64(55630.01579186559), np.float64(55688.504535129076), np.float64(55755.54527507365), np.float64(55652.748329975606), np.float64(55666.778003885745), np.float64(55696.37183053434), np.float64(55819.78394072891), np.float64(55778.15462593377), np.float64(55906.03659688473), np.float64(55809.3307184124), np.float64(55849.619919463395), np.float64(55817.95047478318), np.float64(55943.27426611424), np.float64(55981.27411456347)]","[np.float64(55477.10656840742), np.float64(55547.84973005366), np.float64(55560.53396050871), np.float64(55670.22540164145), np.float64(55654.43959727583), np.float64(55688.504535129076), np.float64(55762.20374540673), np.float64(55762.65246802332), np.float64(55668.606744503), np.float64(55701.985285221555), np.float64(55841.16005222226), np.float64(55836.82721739679), np.float64(55912.04124601153), np.float64(55906.33894883002), np.float64(55855.231150339125), np.float64(55865.498337066936), np.float64(55979.61364858493), np.float64(55983.670986666635), np.float64(56031.55278179829)]","[np.float64(55445.699333377954), np.float64(55477.10656840742), np.float64(55511.95166398854), np.float64(55541.38835649503), np.float64(55630.01579186559), np.float64(55578.13189123869), np.float64(55688.504535129076), np.float64(55646.387510961), np.float64(55652.748329975606), np.float64(55666.778003885745), np.float64(55696.37183053434), np.float64(55744.82267844707), np.float64(55778.13582913113), np.float64(55780.63228502322), np.float64(55803.02887136433), np.float64(55799.57094796353), np.float64(55817.95047478318), np.float64(55887.96777851118), np.float64(55978.384401821386)]","[np.float64(55477.10656840742), np.float64(55518.98078320861), np.float64(55560.53396050871), np.float64(55642.117163073424), np.float64(55630.01579186559), np.float64(55688.504535129076), np.float64(55755.54527507365), np.float64(55652.748329975606), np.float64(55666.778003885745), np.float64(55696.37183053434), np.float64(55819.78394072891), np.float64(55778.15462593377), np.float64(55906.03659688473), np.float64(55809.3307184124), np.float64(55849.619919463395), np.float64(55817.95047478318), np.float64(55943.27426611424), np.float64(55981.27411456347), np.float64(56026.61881847621)]"
2,"[np.float64(55438.28763868452), np.float64(55468.401425444485), np.float64(55469.59945160985), np.float64(55544.96069271803), np.float64(55583.55335467398), np.float64(55607.13111281038), np.float64(55661.942870816), np.float64(55648.84286521018), np.float64(55673.277237188224), np.float64(55712.348506408336), np.float64(55743.7146745348), np.float64(55782.756856014734), np.float64(55822.967104628086), np.float64(55833.13387302399), np.float64(55884.82077665567), np.float64(55900.863134523635), np.float64(55963.2106279099), np.float64(56006.9646211648), np.float64(56014.576762130266)]","[np.float64(55481.842401707596), np.float64(55473.74070056412), np.float64(55556.67992244982), np.float64(55586.69727285101), np.float64(55608.61374522935), np.float64(55671.264619012916), np.float64(55672.36579726341), np.float64(55682.45659885235), np.float64(55712.38493109963), np.float64(55751.881511024745), np.float64(55791.52557853522), np.float64(55823.045125251796), np.float64(55839.44305365784), np.float64(55896.60320994062), np.float64(55900.88099863197), np.float64(55968.581145734934), np.float64(56010.24241729866), np.float64(56022.625911605646), np.float64(56075.76149920042)]","[np.float64(55434.789519023274), np.float64(55463.10512115416), np.float64(55469.58068229443), np.float64(55531.43094336878), np.float64(55580.93133854488), np.float64(55607.11231676854), np.float64(55645.86684173663), np.float64(55646.221014071554), np.float64(55652.85708324601), np.float64(55706.64967810624), np.float64(55736.30964532488), np.float64(55776.20383822604), np.float64(55805.93869179863), np.float64(55829.14950436404), np.float64(55882.39181693585), np.float64(55898.04205426046), np.float64(55951.2655285265), np.float64(56006.383062865694), np.float64(56009.15643568132)]","[np.float64(55468.401425444485), np.float64(55469.59945160985), np.float64(55544.96069271803), np.float64(55583.55335467398), np.float64(55607.13111281038), np.float64(55661.942870816), np.float64(55648.84286521018), np.float64(55673.277237188224), np.float64(55712.348506408336), np.float64(55743.7146745348), np.float64(55782.756856014734), np.float64(55822.967104628086), np.float64(55833.13387302399), np.float64(55884.82077665567), np.float64(55900.863134523635), np.float64(55963.2106279099), np.float64(56006.9646211648), np.float64(56014.576762130266), np.float64(56075.14521179438)]"
3,"[np.float64(55434.95782968045), np.float64(55455.38271806181), np.float64(55433.46825588882), np.float64(55520.14295236707), np.float64(55521.9571828717), np.float64(55542.05768262983), np.float64(55553.62354451955), np.float64(55607.85783715785), np.float64(55642.24249504149), np.float64(55632.09509613157), np.float64(55689.84773190558), np.float64(55658.16334122062), np.float64(55673.728499295714), np.float64(55707.109563120604), np.float64(55784.18805325866), np.float64(55763.30084406674), np.float64(55774.493592017294), np.float64(55741.9631100142), np.float64(55776.6706150049)]","[np.float64(55459.90520064399), np.float64(55455.40151101763), np.float64(55542.050743018175), np.float64(55526.6581973312), np.float64(55542.7028746509), np.float64(55567.2786356278), np.float64(55613.09731439261), np.float64(55648.89916853948), np.float64(55651.53837616598), np.float64(55694.68180840925), np.float64(55695.92757782146), np.float64(55675.82422465768), np.float64(55720.7668178079), np.float64(55789.28477450739), np.float64(55790.71298681524), np.float64(55781.203703998595), np.float64(55774.53922572333), np.float64(55785.90743141235), np.float64(55846.77955382339)]","[np.float64(55426.59649718919), np.float64(55424.76098321552), np.float64(55427.93504779432), np.float64(55520.14295236707), np.float64(55521.938568157035), np.float64(55526.64376765352), np.float64(55551.84648980955), np.float64(55603.09594217768), np.float64(55614.2823796067), np.float64(55632.07376437721), np.float64(55640.83391403348), np.float64(55646.70321503821), np.float64(55673.714355626405), np.float64(55707.088063844654), np.float64(55758.98683021461), np.float64(55754.171379250256), np.float64(55740.08906190356), np.float64(55741.92330871359), np.float64(55761.92549609043)]","[np.float64(55455.38271806181), np.float64(55433.46825588882), np.float64(55520.14295236707), np.float64(55521.9571828717), np.float64(55542.05768262983), np.float64(55553.62354451955), np.float64(55607.85783715785), np.float64(55642.24249504149), np.float64(55632.09509613157), np.float64(55689.84773190558), np.float64(55658.16334122062), np.float64(55673.728499295714), np.float64(55707.109563120604), np.float64(55784.18805325866), np.float64(55763.30084406674), np.float64(55774.493592017294), np.float64(55741.9631100142), np.float64(55776.6706150049), np.float64(55835.95632213593)]"
4,"[np.float64(55439.15155797244), np.float64(55456.12874487281), np.float64(55451.49896856785), np.float64(55530.18988463521), np.float64(55579.24314137638), np.float64(55561.350360884666), np.float64(55612.30444112659), np.float64(55655.21073452473), np.float64(55692.740286492706), np.float64(55676.88297758937), np.float64(55779.622551476365), np.float64(55783.85227082014), np.float64(55850.78758446217), np.float64(55876.29511979461), np.float64(55913.60785416007), np.float64(55935.2531542027), np.float64(56019.582936474086), np.float64(56077.25306762099), np.float64(56135.827063431745)]","[np.float64(55458.94326342395), np.float64(55456.15005165688), np.float64(55549.359877017465), np.float64(55584.03019042527), np.float64(55590.77360363006), np.float64(55612.30444112659), np.float64(55655.21073452473), np.float64(55703.33126148605), np.float64(55692.760373100704), np.float64(55789.83219585298), np.float64(55786.90961104025), np.float64(55850.83233691293), np.float64(55876.30783252334), np.float64(55931.41767909008), np.float64(55938.49663988268), np.float64(56019.60424152222), np.float64(56082.79426378176), np.float64(56141.280381699624), np.float64(56187.13248667269)]","[np.float64(55438.87015041545), np.float64(55451.48526773263), np.float64(55451.483991168265), np.float64(55524.095045412476), np.float64(55557.845187073406), np.float64(55555.83748592086), np.float64(55601.27336928632), np.float64(55655.19196602502), np.float64(55676.53757929535), np.float64(55667.004250708844), np.float64(55779.622551476365), np.float64(55783.83211347714), np.float64(55829.65910436291), np.float64(55872.33294616446), np.float64(55909.303874771555), np.float64(55935.2531542027), np.float64(56015.43923314688), np.float64(56064.377768309816), np.float64(56129.4304473463)]","[np.float64(55456.12874487281), np.float64(55451.49896856785), np.float64(55530.18988463521), np.float64(55579.24314137638), np.float64(55561.350360884666), np.float64(55612.30444112659), np.float64(55655.21073452473), np.float64(55692.740286492706), np.float64(55676.88297758937), np.float64(55779.622551476365), np.float64(55783.85227082014), np.float64(55850.78758446217), np.float64(55876.29511979461), np.float64(55913.60785416007), np.float64(55935.2531542027), np.float64(56019.582936474086), np.float64(56077.25306762099), np.float64(56135.827063431745), np.float64(56184.648757632975)]"
5,"[np.float64(55434.38706655741), np.float64(55434.56688777149), np.float64(55529.59418916345), np.float64(55534.9607431823), np.float64(55509.9745084101), np.float64(55606.252716674804), np.float64(55539.10025031805), np.float64(55631.55033771634), np.float64(55689.966093539595), np.float64(55695.11174158692), np.float64(55712.09817758441), np.float64(55760.348773550395), np.float64(55913.61267977596), np.float64(55876.052096416955), np.float64(55885.496228834396), np.float64(55876.920573230986), np.float64(55914.556087681056), np.float64(55889.66395241857), np.float64(56085.36868117691)]","[np.float64(55437.187481345834), np.float64(55529.59418916345), np.float64(55534.979240358356), np.float64(55534.971899662865), np.float64(55606.252716674804), np.float64(55612.763007400805), np.float64(55631.55033771634), np.float64(55690.068113546404), np.float64(55695.13048100209), np.float64(55720.02871935179), np.float64(55760.348773550395), np.float64(55917.88891654422), np.float64(55913.61267977596), np.float64(55886.910979895554), np.float64(55899.116347362746), np.float64(55914.57598893369), np.float64(55914.57097673466), np.float64(56097.17455068974), np.float64(56085.36868117691)]","[np.float64(55418.81359759155), np.float64(55434.547290631155), np.float64(55529.59418916345), np.float64(55501.73279728121), np.float64(55509.9745084101), np.float64(55539.10025031805), np.float64(55539.10025031805), np.float64(55631.52995107887), np.float64(55689.95009552926), np.float64(55695.11174158692), np.float64(55712.09817758441), np.float64(55741.65204275985), np.float64(55876.052096416955), np.float64(55876.052096416955), np.float64(55861.18777087656), np.float64(55876.893043032665), np.float64(55889.66395241857), np.float64(55888.99065238652), np.float64(56043.782640609956)]","[np.float64(55434.56688777149), np.float64(55529.59418916345), np.float64(55534.9607431823), np.float64(55509.9745084101), np.float64(55606.252716674804), np.float64(55539.10025031805), np.float64(55631.55033771634), np.float64(55689.966093539595), np.float64(55695.11174158692), np.float64(55712.09817758441), np.float64(55760.348773550395), np.float64(55913.61267977596), np.float64(55876.052096416955), np.float64(55885.496228834396), np.float64(55876.920573230986), np.float64(55914.556087681056), np.float64(55889.66395241857), np.float64(56085.36868117691), np.float64(56050.16071960569)]"
6,"[np.float64(55419.49675745905), np.float64(55453.605819057826), np.float64(55474.166494908335), np.float64(55497.304652842286), np.float64(55470.26049396336), np.float64(55546.2077122891), np.float64(55569.41624378801), np.float64(55597.696765669585), np.float64(55646.54252092779), np.float64(55689.59968184472), np.float64(55700.111414753796), np.float64(55682.93121687412), np.float64(55723.09796792209), np.float64(55745.99692275763), np.float64(55811.62757752776), np.float64(55756.64176223815), np.float64(55766.428513383275), np.float64(55840.25045004726), np.float64(55880.25199077368)]","[np.float64(55457.39336981019), np.float64(55474.18599641645), np.float64(55502.18427231067), np.float64(55502.119362134385), np.float64(55556.16020014536), np.float64(55576.815824254365), np.float64(55597.706811207696), np.float64(55647.34240928598), np.float64(55692.89131315589), np.float64(55705.6996902829), np.float64(55704.24598367959), np.float64(55728.779033540995), np.float64(55767.00472070763), np.float64(55811.65354960397), np.float64(55814.206630207555), np.float64(55771.8379882822), np.float64(55842.23100185013), np.float64(55880.273418054334), np.float64(55885.62532763729)]","[np.float64(55408.169401373976), np.float64(55449.8640959163), np.float64(55467.97312258607), np.float64(55470.23936627975), np.float64(55470.25236553721), np.float64(55539.34000772433), np.float64(55566.25379101393), np.float64(55597.67796026442), np.float64(55641.823660326634), np.float64(55684.50871807938), np.float64(55674.28086381761), np.float64(55682.91280647612), np.float64(55723.09796792209), np.float64(55745.44661626589), np.float64(55747.2943550642), np.float64(55755.41022241968), np.float64(55761.33744810203), np.float64(55840.231678325996), np.float64(55846.26291095614)]","[np.float64(55453.605819057826), np.float64(55474.166494908335), np.float64(55497.304652842286), np.float64(55470.26049396336), np.float64(55546.2077122891), np.float64(55569.41624378801), np.float64(55597.696765669585), np.float64(55646.54252092779), np.float64(55689.59968184472), np.float64(55700.111414753796), np.float64(55682.93121687412), np.float64(55723.09796792209), np.float64(55745.99692275763), np.float64(55811.62757752776), np.float64(55756.64176223815), np.float64(55766.428513383275), np.float64(55840.25045004726), np.float64(55880.25199077368), np.float64(55853.88375323058)]"
7,"[np.float64(55448.99970167518), np.float64(55503.33131090045), np.float64(55481.68245866835), np.float64(55573.295502778295), np.float64(55578.174602570536), np.float64(55684.02421887159), np.float64(55653.19717927516), np.float64(55695.445982509256), np.float64(55689.69411646664), np.float64(55740.13929530025), np.float64(55800.28925683141), np.float64(55755.364917680025), np.float64(55853.39784052015), np.float64(55819.1811408782), np.float64(55804.21100805044), np.float64(55936.78649364949), np.float64(55999.60193773151), np.float64(55944.001861753466), np.float64(56017.79249893666)]","[np.float64(55503.33131090045), np.float64(55503.383209510284), np.float64(55581.95347135464), np.float64(55583.57488166163), np.float64(55684.02421887159), np.float64(55684.02421887159), np.float64(55695.445982509256), np.float64(55702.0232852229), np.float64(55740.13929530025), np.float64(55800.31064934112), np.float64(55853.38501847194), np.float64(55854.50804147822), np.float64(55853.39784052015), np.float64(55825.93090917486), np.float64(55939.48793456938), np.float64(55999.60193773151), np.float64(56009.888789134806), np.float64(56034.39842809022), np.float64(56106.51160191852)]","[np.float64(55444.52796417718), np.float64(55481.674362322316), np.float64(55481.67432748142), np.float64(55569.85664577081), np.float64(55578.174602570536), np.float64(55642.912542555176), np.float64(55653.19717927516), np.float64(55685.38057752611), np.float64(55689.69411646664), np.float64(55740.120339528155), np.float64(55745.38414197825), np.float64(55755.364917680025), np.float64(55819.1811408782), np.float64(55792.10435211878), np.float64(55804.21100805044), np.float64(55918.39074843594), np.float64(55944.001861753466), np.float64(55933.02851780271), np.float64(56017.77085701814)]","[np.float64(55503.33131090045), np.float64(55481.68245866835), np.float64(55573.295502778295), np.float64(55578.174602570536), np.float64(55684.02421887159), np.float64(55653.19717927516), np.float64(55695.445982509256), np.float64(55689.69411646664), np.float64(55740.13929530025), np.float64(55800.28925683141), np.float64(55755.364917680025), np.float64(55853.39784052015), np.float64(55819.1811408782), np.float64(55804.21100805044), np.float64(55936.78649364949), np.float64(55999.60193773151), np.float64(55944.001861753466), np.float64(56017.79249893666), np.float64(56106.492412569525)]"
8,"[np.float64(55447.87734384775), np.float64(55459.275314518214), np.float64(55541.125266405346), np.float64(55539.923017826084), np.float64(55574.835209357145), np.float64(55657.35411224604), np.float64(55586.191559090614), np.float64(55674.160928096775), np.float64(55733.754938464765), np.float64(55832.21754218578), np.float64(55771.40077437103), np.float64(55822.66282273769), np.float64(55776.05193083525), np.float64(55924.86212871313), np.float64(55821.47652549982), np.float64(56006.919850173), np.float64(55880.13000992775), np.float64(55968.971743049624), np.float64(55997.36459454537)]","[np.float64(55466.93362871834), np.float64(55573.20435999145), np.float64(55576.77375905149), np.float64(55578.36757745181), np.float64(55657.37080276491), np.float64(55661.36800507239), np.float64(55678.426722809905), np.float64(55733.763767829834), np.float64(55840.34297843541), np.float64(55870.37836729156), np.float64(55822.66282273769), np.float64(55837.47288474838), np.float64(55924.86212871313), np.float64(55932.53727325562), np.float64(56011.611680989714), np.float64(56006.93973551687), np.float64(55971.30051240041), np.float64(55999.107393799255), np.float64(56089.4587927723)]","[np.float64(55390.05093141648), np.float64(55456.26331311987), np.float64(55529.66209088089), np.float64(55539.923017826084), np.float64(55574.835209357145), np.float64(55542.19091370306), np.float64(55586.191559090614), np.float64(55659.709160207865), np.float64(55733.754938464765), np.float64(55767.24589874729), np.float64(55771.40077437103), np.float64(55776.05193083525), np.float64(55759.14402989709), np.float64(55814.162753781566), np.float64(55809.463788514935), np.float64(55871.91114596235), np.float64(55850.20316603943), np.float64(55968.971743049624), np.float64(55997.345331062774)]","[np.float64(55459.275314518214), np.float64(55541.125266405346), np.float64(55539.923017826084), np.float64(55574.835209357145), np.float64(55657.35411224604), np.float64(55586.191559090614), np.float64(55674.160928096775), np.float64(55733.754938464765), np.float64(55832.21754218578), np.float64(55771.40077437103), np.float64(55822.66282273769), np.float64(55776.05193083525), np.float64(55924.86212871313), np.float64(55821.47652549982), np.float64(56006.919850173), np.float64(55880.13000992775), np.float64(55968.971743049624), np.float64(55997.36459454537), np.float64(56089.4587927723)]"
9,"[np.float64(55401.43655490518), np.float64(55410.84523245037), np.float64(55316.382729184035), np.float64(55477.06260168493), np.float64(55436.99886413157), np.float64(55625.51590505481), np.float64(55428.80141617298), np.float64(55530.87532315791), np.float64(55606.113779150844), np.float64(55667.935615518094), np.float64(55564.693775444626), np.float64(55523.294749763016), np.float64(55695.74222170651), np.float64(55810.477070274355), np.float64(55714.530422034266), np.float64(55803.743727579116), np.float64(55673.327772110104), np.float64(55832.37035335541), np.float64(55804.15336874962)]","[np.float64(55424.0166078738), np.float64(55410.86989012156), np.float64(55477.06260168493), np.float64(55477.06260168493), np.float64(55625.51590505481), np.float64(55625.51590505481), np.float64(55547.19061433763), np.float64(55606.113779150844), np.float64(55667.935615518094), np.float64(55667.944987155955), np.float64(55564.693775444626), np.float64(55695.74222170651), np.float64(55810.477070274355), np.float64(55810.54363902827), np.float64(55803.76222328619), np.float64(55803.743727579116), np.float64(55861.10845132369), np.float64(55832.37035335541), np.float64(55819.88800796515)]","[np.float64(55401.423958496656), np.float64(55316.374296812384), np.float64(55316.382729184035), np.float64(55406.81419150361), np.float64(55436.99886413157), np.float64(55428.80141617298), np.float64(55428.80141617298), np.float64(55530.86090056845), np.float64(55606.08409195839), np.float64(55564.693775444626), np.float64(55523.294749763016), np.float64(55523.294749763016), np.float64(55695.74222170651), np.float64(55714.530422034266), np.float64(55714.530422034266), np.float64(55673.327772110104), np.float64(55673.327772110104), np.float64(55804.15336874962), np.float64(55800.422143797914)]","[np.float64(55410.84523245037), np.float64(55316.382729184035), np.float64(55477.06260168493), np.float64(55436.99886413157), np.float64(55625.51590505481), np.float64(55428.80141617298), np.float64(55530.87532315791), np.float64(55606.113779150844), np.float64(55667.935615518094), np.float64(55564.693775444626), np.float64(55523.294749763016), np.float64(55695.74222170651), np.float64(55810.477070274355), np.float64(55714.530422034266), np.float64(55803.743727579116), np.float64(55673.327772110104), np.float64(55832.37035335541), np.float64(55804.15336874962), np.float64(55817.48667947888)]"
