,o_chunk,h_chunk,l_chunk,c_chunk
0,"[np.float64(54990.427389323115), np.float64(55007.51037114948), np.float64(55020.651428001525), np.float64(55069.78450847209), np.float64(55030.43784403444), np.float64(55060.73822127521), np.float64(55066.60958833337), np.float64(55085.20791408062), np.float64(55107.71582647353), np.float64(55140.69679982603), np.float64(55135.61797315419), np.float64(55121.305330490475), np.float64(55233.94049996972), np.float64(55229.30113945544), np.float64(55184.19335987807), np.float64(55193.99780494809), np.float64(55186.14391403139), np.float64(55213.696002493205), np.float64(55221.74697290301)]","[np.float64(55014.43919912757), np.float64(55041.58319326854), np.float64(55071.46185617576), np.float64(55069.78450847209), np.float64(55066.5032138502), np.float64(55113.35750050155), np.float64(55085.2214278142), np.float64(55121.934444788225), np.float64(55140.69679982603), np.float64(55140.69679982603), np.float64(55165.819834208145), np.float64(55233.94049996972), np.float64(55233.94049996972), np.float64(55233.15095757133), np.float64(55193.99780494809), np.float64(55207.71655636039), np.float64(55213.71092311303), np.float64(55221.755873898604), np.float64(55221.75518894033)]","[np.float64(54981.780418090246), np.float64(54991.48704581832), np.float64(55013.980866798716), np.float64(55025.19542999132), np.float64(55030.43784403444), np.float64(55058.28548788547), np.float64(55066.60958833337), np.float64(55079.41056611868), np.float64(55107.71582647353), np.float64(55123.5871534962), np.float64(55121.305330490475), np.float64(55116.14679848564), np.float64(55229.30113945544), np.float64(55184.19335987807), np.float64(55174.63247208206), np.float64(55168.64788440109), np.float64(55186.14391403139), np.float64(55211.49075700157), np.float64(55206.900433786235)]","[np.float64(55007.51037114948), np.float64(55020.651428001525), np.float64(55069.78450847209), np.float64(55030.43784403444), np.float64(55060.73822127521), np.float64(55066.60958833337), np.float64(55085.20791408062), np.float64(55107.71582647353), np.float64(55140.69679982603), np.float64(55135.61797315419), np.float64(55121.305330490475), np.float64(55233.94049996972), np.float64(55229.30113945544), np.float64(55184.19335987807), np.float64(55193.99780494809), np.float64(55186.14391403139), np.float64(55213.696002493205), np.float64(55221.74697290301), np.float64(55210.38479221702)]"
1,"[np.float64(54978.951069417), np.float64(55000.1502010578), np.float64(55006.93669255018), np.float64(55015.09768029988), np.float64(55064.20187409759), np.float64(55088.03689788074), np.float64(55063.728360539084), np.float64(55106.86011743486), np.float64(55092.565403274595), np.float64(55092.23722788334), np.float64(55104.865998693705), np.float64(55122.487338292005), np.float64(55142.64876145065), np.float64(55179.012927182914), np.float64(55159.243585314754), np.float64(55172.939353414775), np.float64(55203.574976914526), np.float64(55210.87130812943), np.float64(55200.572840633395)]","[np.float64(55000.155917390475), np.float64(55021.203248065896), np.float64(55025.66949189685), np.float64(55074.19951630512), np.float64(55091.830454600604), np.float64(55118.09362189151), np.float64(55139.79022061282), np.float64(55122.97746870132), np.float64(55102.48662182733), np.float64(55120.25309377163), np.float64(55136.146485588804), np.float64(55192.48516272474), np.float64(55183.55008782427), np.float64(55240.080037688625), np.float64(55180.68806906304), np.float64(55210.89895097227), np.float64(55219.58988194739), np.float64(55277.79244724364), np.float64(55246.28398773635)]","[np.float64(54967.24920439282), np.float64(54960.46826997662), np.float64(55002.28209234497), np.float64(54988.36694309218), np.float64(55064.193146182086), np.float64(55063.721019064986), np.float64(55048.30301771628), np.float64(55083.84670287308), np.float64(55089.87242134539), np.float64(55092.23722788334), np.float64(55093.428541212634), np.float64(55108.17081501269), np.float64(55138.4734905979), np.float64(55138.88088117354), np.float64(55159.2263587895), np.float64(55137.746351838425), np.float64(55188.18216409314), np.float64(55196.817065856696), np.float64(55164.81137082488)]","[np.float64(55000.1502010578), np.float64(55006.93669255018), np.float64(55015.09768029988), np.float64(55064.20187409759), np.float64(55088.03689788074), np.float64(55063.728360539084), np.float64(55106.86011743486), np.float64(55092.565403274595), np.float64(55092.23722788334), np.float64(55104.865998693705), np.float64(55122.487338292005), np.float64(55142.64876145065), np.float64(55179.012927182914), np.float64(55159.243585314754), np.float64(55172.939353414775), np.float64(55203.574976914526), np.float64(55210.87130812943), np.float64(55200.572840633395), np.float64(55238.120555683374)]"
2,"[np.float64(54981.941744860414), np.float64(54991.655240475535), np.float64(55018.57138648868), np.float64(55042.182990958696), np.float64(55048.72170047999), np.float64(55084.483971164525), np.float64(55080.93060880244), np.float64(55121.735681595805), np.float64(55154.01653851062), np.float64(55134.57976200372), np.float64(55147.71019579858), np.float64(55153.39812243074), np.float64(55162.93692404866), np.float64(55211.185308274034), np.float64(55212.314569413065), np.float64(55221.067130754294), np.float64(55225.870260607604), np.float64(55209.5817628184), np.float64(55250.00792423129)]","[np.float64(55002.590565103645), np.float64(55020.12100741139), np.float64(55056.38953033485), np.float64(55057.724445025284), np.float64(55091.40192899161), np.float64(55090.240760863715), np.float64(55121.735681595805), np.float64(55168.78738651719), np.float64(55164.454804419765), np.float64(55147.71578869143), np.float64(55155.30089954896), np.float64(55188.97837454239), np.float64(55214.274807405156), np.float64(55219.93160659852), np.float64(55226.77307729766), np.float64(55238.64956679029), np.float64(55237.613734326886), np.float64(55268.98224890228), np.float64(55285.367132803236)]","[np.float64(54955.36138610289), np.float64(54991.655240475535), np.float64(55018.56332007778), np.float64(55042.163396967255), np.float64(55046.87606583792), np.float64(55045.60679519258), np.float64(55080.93060880244), np.float64(55092.40547334144), np.float64(55134.57976200372), np.float64(55101.48872388766), np.float64(55147.71019579858), np.float64(55109.262820314805), np.float64(55158.416025851555), np.float64(55195.85271356114), np.float64(55207.226800732475), np.float64(55221.043318212396), np.float64(55175.653356267474), np.float64(55186.20628535557), np.float64(55237.68006190716)]","[np.float64(54991.655240475535), np.float64(55018.57138648868), np.float64(55042.182990958696), np.float64(55048.72170047999), np.float64(55084.483971164525), np.float64(55080.93060880244), np.float64(55121.735681595805), np.float64(55154.01653851062), np.float64(55134.57976200372), np.float64(55147.71019579858), np.float64(55153.39812243074), np.float64(55162.93692404866), np.float64(55211.185308274034), np.float64(55212.314569413065), np.float64(55221.067130754294), np.float64(55225.870260607604), np.float64(55209.5817628184), np.float64(55250.00792423129), np.float64(55256.60186024547)]"
3,"[np.float64(54990.176222718655), np.float64(55005.717085158234), np.float64(55033.408412745004), np.float64(55045.13104012847), np.float64(55077.44741893798), np.float64(55045.696005810205), np.float64(55084.9904597649), np.float64(55128.61814922631), np.float64(55104.80577902884), np.float64(55105.8514966929), np.float64(55122.29997705311), np.float64(55125.37365979195), np.float64(55198.74855676234), np.float64(55189.010732000475), np.float64(55195.249985247254), np.float64(55172.145640135706), np.float64(55238.74594209731), np.float64(55263.3679098928), np.float64(55279.18627875686)]","[np.float64(55007.79826415746), np.float64(55060.58128227692), np.float64(55045.139798112665), np.float64(55199.71026838823), np.float64(55077.44741893798), np.float64(55097.590693531165), np.float64(55128.62753742616), np.float64(55145.12693614602), np.float64(55112.808137272514), np.float64(55122.29997705311), np.float64(55128.21980387121), np.float64(55219.54014554543), np.float64(55209.63919042461), np.float64(55199.99229471722), np.float64(55213.5508339412), np.float64(55250.91643260743), np.float64(55266.765154900575), np.float64(55281.06362224124), np.float64(55287.411426799605)]","[np.float64(54985.33794909835), np.float64(55005.717085158234), np.float64(55030.20416833648), np.float64(55043.787401386355), np.float64(55045.696005810205), np.float64(55042.89359430265), np.float64(55076.13004944511), np.float64(55090.907205976975), np.float64(55104.80577902884), np.float64(55065.02670900083), np.float64(55116.51389116485), np.float64(55125.37365979195), np.float64(55182.445020611114), np.float64(55142.27197482419), np.float64(55167.95481859882), np.float64(55172.145640135706), np.float64(55238.74594209731), np.float64(55255.3314501823), np.float64(55279.18627875686)]","[np.float64(55005.717085158234), np.float64(55033.408412745004), np.float64(55045.13104012847), np.float64(55077.44741893798), np.float64(55045.696005810205), np.float64(55084.9904597649), np.float64(55128.61814922631), np.float64(55104.80577902884), np.float64(55105.8514966929), np.float64(55122.29997705311), np.float64(55125.37365979195), np.float64(55198.74855676234), np.float64(55189.010732000475), np.float64(55195.249985247254), np.float64(55172.145640135706), np.float64(55238.74594209731), np.float64(55263.3679098928), np.float64(55279.18627875686), np.float64(55280.51506570816)]"
4,"[np.float64(55017.806325303914), np.float64(55047.95630418301), np.float64(55037.79734390169), np.float64(55071.20122886837), np.float64(55059.350387551785), np.float64(55099.25685694307), np.float64(55137.5887010628), np.float64(55070.86792626024), np.float64(55113.35449161023), np.float64(55114.90807183475), np.float64(55135.283899787966), np.float64(55165.67207642883), np.float64(55177.26987451255), np.float64(55162.03232213795), np.float64(55188.48882823825), np.float64(55212.756180288794), np.float64(55278.09964389146), np.float64(55327.08453774095), np.float64(55303.3379500711)]","[np.float64(55080.45535432002), np.float64(55047.95630418301), np.float64(55111.47009545103), np.float64(55071.209667537754), np.float64(55103.074542153336), np.float64(55151.654117781385), np.float64(55137.5887010628), np.float64(55141.21773033398), np.float64(55114.90807183475), np.float64(55191.44433417303), np.float64(55171.104887843445), np.float64(55181.348257555415), np.float64(55209.8681467764), np.float64(55202.519299385334), np.float64(55231.24722730642), np.float64(55278.112003635186), np.float64(55327.08453774095), np.float64(55343.74076205561), np.float64(55303.34707300191)]","[np.float64(55007.40485077041), np.float64(55028.58439203761), np.float64(55024.78201259402), np.float64(55049.438532957705), np.float64(55053.91757637789), np.float64(55099.25685694307), np.float64(55062.155473534694), np.float64(55050.181562084996), np.float64(55113.34627670934), np.float64(55111.11176788573), np.float64(55130.146710244524), np.float64(55144.89758791788), np.float64(55110.787983980306), np.float64(55158.908240942474), np.float64(55188.48066806482), np.float64(55207.6020866868), np.float64(55269.693175910885), np.float64(55303.3379500711), np.float64(55259.037821187)]","[np.float64(55047.95630418301), np.float64(55037.79734390169), np.float64(55071.20122886837), np.float64(55059.350387551785), np.float64(55099.25685694307), np.float64(55137.5887010628), np.float64(55070.86792626024), np.float64(55113.35449161023), np.float64(55114.90807183475), np.float64(55135.283899787966), np.float64(55165.67207642883), np.float64(55177.26987451255), np.float64(55162.03232213795), np.float64(55188.48882823825), np.float64(55212.756180288794), np.float64(55278.09964389146), np.float64(55327.08453774095), np.float64(55303.3379500711), np.float64(55273.24956481696)]"
5,"[np.float64(54973.319542170466), np.float64(54927.35307105571), np.float64(55016.37707171083), np.float64(55016.1024807626), np.float64(55017.11673138976), np.float64(55021.60190677435), np.float64(55008.19410059989), np.float64(55048.91888050675), np.float64(55085.71091751397), np.float64(55158.00306692064), np.float64(55051.25022266895), np.float64(55095.692703967696), np.float64(55154.8589435944), np.float64(55173.50683243811), np.float64(55140.881245588665), np.float64(55166.85639650464), np.float64(55189.929207556845), np.float64(55255.560867663626), np.float64(55209.759539847975)]","[np.float64(54973.319542170466), np.float64(55022.46820939281), np.float64(55016.37707171083), np.float64(55017.11673138976), np.float64(55038.04355509127), np.float64(55021.60190677435), np.float64(55052.236013847636), np.float64(55085.71091751397), np.float64(55158.00306692064), np.float64(55158.00306692064), np.float64(55095.692703967696), np.float64(55154.86751358472), np.float64(55232.788421910445), np.float64(55173.50683243811), np.float64(55176.47625556329), np.float64(55211.32446459514), np.float64(55255.560867663626), np.float64(55304.06801428176), np.float64(55209.759539847975)]","[np.float64(54927.35307105571), np.float64(54877.674256805774), np.float64(55004.82721085861), np.float64(54999.46003385947), np.float64(54988.80493194089), np.float64(55004.14962172343), np.float64(55008.19410059989), np.float64(55048.91888050675), np.float64(55081.16287799575), np.float64(55051.23689830173), np.float64(55051.25022266895), np.float64(55095.692703967696), np.float64(55152.23869677922), np.float64(55125.9815973349), np.float64(55140.881245588665), np.float64(55165.69957419332), np.float64(55189.92377883473), np.float64(55209.759539847975), np.float64(55135.08476670865)]","[np.float64(54927.35307105571), np.float64(55016.37707171083), np.float64(55016.1024807626), np.float64(55017.11673138976), np.float64(55021.60190677435), np.float64(55008.19410059989), np.float64(55048.91888050675), np.float64(55085.71091751397), np.float64(55158.00306692064), np.float64(55051.25022266895), np.float64(55095.692703967696), np.float64(55154.8589435944), np.float64(55173.50683243811), np.float64(55140.881245588665), np.float64(55166.85639650464), np.float64(55189.929207556845), np.float64(55255.560867663626), np.float64(55209.759539847975), np.float64(55207.920175927284)]"
6,"[np.float64(55000.96623281032), np.float64(55026.63716885835), np.float64(55046.99108047277), np.float64(55043.70992976219), np.float64(55032.76375737876), np.float64(55060.865597427786), np.float64(55070.84513862968), np.float64(55106.93705919922), np.float64(55062.60533248723), np.float64(55090.784784525036), np.float64(55107.87812131882), np.float64(55144.63014592767), np.float64(55157.38401412756), np.float64(55227.05401099265), np.float64(55145.70143265367), np.float64(55199.176562082175), np.float64(55212.030427766746), np.float64(55263.23306073785), np.float64(55249.026581623555)]","[np.float64(55041.34925672043), np.float64(55061.860169789594), np.float64(55047.0068675155), np.float64(55047.205355768376), np.float64(55060.865597427786), np.float64(55070.84513862968), np.float64(55106.93705919922), np.float64(55106.93705919922), np.float64(55094.016392019126), np.float64(55107.87812131882), np.float64(55144.63014592767), np.float64(55162.88522554272), np.float64(55227.05401099265), np.float64(55238.10929061848), np.float64(55232.69085889955), np.float64(55212.030427766746), np.float64(55282.55464490592), np.float64(55271.34841692284), np.float64(55260.59989315552)]","[np.float64(54981.89440543805), np.float64(55026.63716885835), np.float64(55037.17279189097), np.float64(55032.76375737876), np.float64(54990.44649764999), np.float64(55060.865597427786), np.float64(55066.838972069694), np.float64(55062.60533248723), np.float64(55007.11792030946), np.float64(55090.784784525036), np.float64(55062.92638095372), np.float64(55144.63014592767), np.float64(55112.38462572278), np.float64(55145.70143265367), np.float64(55129.49851035503), np.float64(55198.0016503043), np.float64(55152.65965066709), np.float64(55221.271923796594), np.float64(55249.026581623555)]","[np.float64(55026.63716885835), np.float64(55046.99108047277), np.float64(55043.70992976219), np.float64(55032.76375737876), np.float64(55060.865597427786), np.float64(55070.84513862968), np.float64(55106.93705919922), np.float64(55062.60533248723), np.float64(55090.784784525036), np.float64(55107.87812131882), np.float64(55144.63014592767), np.float64(55157.38401412756), np.float64(55227.05401099265), np.float64(55145.70143265367), np.float64(55199.176562082175), np.float64(55212.030427766746), np.float64(55263.23306073785), np.float64(55249.026581623555), np.float64(55250.19840201378)]"
7,"[np.float64(55001.6194000268), np.float64(54991.32793637604), np.float64(54988.99796817392), np.float64(55017.49922847092), np.float64(55061.78993744791), np.float64(55100.84089886785), np.float64(55024.268629240396), np.float64(55071.62514581919), np.float64(55054.255810605886), np.float64(55118.09133626759), np.float64(55138.31770417333), np.float64(55144.568954437374), np.float64(55203.407286762595), np.float64(55258.195855003), np.float64(55209.62629923165), np.float64(55254.47094869852), np.float64(55245.81365975976), np.float64(55254.94908680559), np.float64(55273.73614775181)]","[np.float64(55006.92435234512), np.float64(55007.3345285832), np.float64(55033.29694851673), np.float64(55074.015891236886), np.float64(55108.35778798906), np.float64(55108.53093432095), np.float64(55071.62514581919), np.float64(55098.82142382687), np.float64(55122.94224598476), np.float64(55166.76668638508), np.float64(55185.99105241895), np.float64(55212.83872717263), np.float64(55297.71887042259), np.float64(55276.787268163884), np.float64(55300.15084620455), np.float64(55274.9557615466), np.float64(55281.791761298075), np.float64(55333.0032804515), np.float64(55288.063820001975)]","[np.float64(54991.32793637604), np.float64(54934.70717029878), np.float64(54986.12757538885), np.float64(55017.49717925147), np.float64(55056.29868263945), np.float64(55017.568770392136), np.float64(55005.18449395178), np.float64(55037.8159617967), np.float64(55036.77756030586), np.float64(55117.04392972137), np.float64(55134.26050367023), np.float64(55144.56078983258), np.float64(55177.13211201944), np.float64(55170.46285187796), np.float64(55198.40799881076), np.float64(55234.047582649044), np.float64(55237.04350099161), np.float64(55253.321640805305), np.float64(55197.55734433061)]","[np.float64(54991.32793637604), np.float64(54988.99796817392), np.float64(55017.49922847092), np.float64(55061.78993744791), np.float64(55100.84089886785), np.float64(55024.268629240396), np.float64(55071.62514581919), np.float64(55054.255810605886), np.float64(55118.09133626759), np.float64(55138.31770417333), np.float64(55144.568954437374), np.float64(55203.407286762595), np.float64(55258.195855003), np.float64(55209.62629923165), np.float64(55254.47094869852), np.float64(55245.81365975976), np.float64(55254.94908680559), np.float64(55273.73614775181), np.float64(55277.461657258274)]"
8,"[np.float64(55025.352114050984), np.float64(55027.86063004077), np.float64(55046.78036191255), np.float64(55073.743892792765), np.float64(55070.65127621383), np.float64(55071.06296156884), np.float64(55122.629090758564), np.float64(55207.14217941106), np.float64(55188.29399399698), np.float64(55129.03348730445), np.float64(55172.91405244261), np.float64(55177.54758200437), np.float64(55181.16729658485), np.float64(55271.08494098127), np.float64(55231.485132777096), np.float64(55276.58245685339), np.float64(55308.29580123365), np.float64(55277.174265023474), np.float64(55316.51409317196)]","[np.float64(55051.53209525636), np.float64(55048.63555404307), np.float64(55101.83076106493), np.float64(55101.245883924465), np.float64(55116.33457809773), np.float64(55122.670994418426), np.float64(55269.82524900619), np.float64(55244.175683804235), np.float64(55188.29399399698), np.float64(55203.24794307565), np.float64(55210.63935623618), np.float64(55196.01614429074), np.float64(55285.75667776125), np.float64(55271.08494098127), np.float64(55319.80942107722), np.float64(55316.19947017995), np.float64(55373.91436438689), np.float64(55316.51409317196), np.float64(55372.06813513266)]","[np.float64(55022.59355600802), np.float64(55019.82677745339), np.float64(55027.87403587051), np.float64(55070.65127621383), np.float64(55042.80307876401), np.float64(55053.30592474706), np.float64(55122.629090758564), np.float64(55179.16058169932), np.float64(55100.409841848654), np.float64(55109.785758663675), np.float64(55172.91405244261), np.float64(55177.53955644222), np.float64(55156.98100175437), np.float64(55187.11056818146), np.float64(55224.95642987629), np.float64(55223.6641790379), np.float64(55260.508987264475), np.float64(55230.45912231146), np.float64(55292.50663200719)]","[np.float64(55027.86063004077), np.float64(55046.78036191255), np.float64(55073.743892792765), np.float64(55070.65127621383), np.float64(55071.06296156884), np.float64(55122.629090758564), np.float64(55207.14217941106), np.float64(55188.29399399698), np.float64(55129.03348730445), np.float64(55172.91405244261), np.float64(55177.54758200437), np.float64(55181.16729658485), np.float64(55271.08494098127), np.float64(55231.485132777096), np.float64(55276.58245685339), np.float64(55308.29580123365), np.float64(55277.174265023474), np.float64(55316.51409317196), np.float64(55343.51870880961)]"
9,"[np.float64(54981.926396721006), np.float64(55039.106124653816), np.float64(55049.37768263907), np.float64(55085.09605362356), np.float64(55009.31320783884), np.float64(55134.830526473525), np.float64(55046.18952556789), np.float64(55114.66360747457), np.float64(55011.89568309426), np.float64(55127.388555490375), np.float64(55049.76916072756), np.float64(55236.94122877956), np.float64(55172.42777110875), np.float64(55208.67163155616), np.float64(55182.13148144722), np.float64(55198.51374363393), np.float64(55168.04694966764), np.float64(55323.831402411466), np.float64(55293.881887658834)]","[np.float64(55039.13980691738), np.float64(55049.39737904962), np.float64(55103.017322671585), np.float64(55085.09605362356), np.float64(55153.8877860035), np.float64(55161.57456656213), np.float64(55114.66360747457), np.float64(55131.184648946415), np.float64(55127.388555490375), np.float64(55150.754689618), np.float64(55236.94999866743), np.float64(55240.26558411398), np.float64(55208.67163155616), np.float64(55247.08516178244), np.float64(55198.51374363393), np.float64(55205.286740351716), np.float64(55323.831402411466), np.float64(55333.887821726436), np.float64(55347.918618100186)]","[np.float64(54945.21970028321), np.float64(55022.40514826857), np.float64(55049.365865815154), np.float64(54994.82258442894), np.float64(55009.31320783884), np.float64(55046.18952556789), np.float64(55041.24115633603), np.float64(55008.17861301889), np.float64(54940.37344792227), np.float64(55049.76916072756), np.float64(55039.08506391618), np.float64(55151.59864332093), np.float64(55172.42777110875), np.float64(55160.17324729746), np.float64(55182.13148144722), np.float64(55168.04694966764), np.float64(55168.04694966764), np.float64(55293.49112267306), np.float64(55293.881887658834)]","[np.float64(55039.106124653816), np.float64(55049.37768263907), np.float64(55085.09605362356), np.float64(55009.31320783884), np.float64(55134.830526473525), np.float64(55046.18952556789), np.float64(55114.66360747457), np.float64(55011.89568309426), np.float64(55127.388555490375), np.float64(55049.76916072756), np.float64(55236.94122877956), np.float64(55172.42777110875), np.float64(55208.67163155616), np.float64(55182.13148144722), np.float64(55198.51374363393), np.float64(55168.04694966764), np.float64(55323.831402411466), np.float64(55293.881887658834), np.float64(55327.10732537151)]"
