,o_chunk,h_chunk,l_chunk,c_chunk
0,"[np.float64(54999.711948946715), np.float64(54999.88375717282), np.float64(54999.93397210419), np.float64(54997.86124605894), np.float64(54996.54906893492), np.float64(54994.29064075738), np.float64(54995.451026901006), np.float64(54992.12439743906), np.float64(54994.69302530676), np.float64(54993.108743113575), np.float64(54991.64440698802), np.float64(54989.31306850374), np.float64(54988.856635839045), np.float64(54986.88984445453), np.float64(54987.37895340502), np.float64(54987.120265588164), np.float64(54983.12917397499), np.float64(54984.20577766955), np.float64(54980.28226116523)]","[np.float64(55005.54566486002), np.float64(55004.91591220501), np.float64(55000.62305772858), np.float64(55000.95222247351), np.float64(55000.30750493521), np.float64(54995.49229738422), np.float64(55006.907233409445), np.float64(54997.4126165233), np.float64(55003.15436489428), np.float64(54997.82611344803), np.float64(54991.98025881221), np.float64(54990.011856355326), np.float64(54994.579157112035), np.float64(54987.434744803206), np.float64(54990.02328068534), np.float64(54993.74887492909), np.float64(54986.11563613593), np.float64(54988.59515576753), np.float64(54983.716078815996)]","[np.float64(54997.725748488796), np.float64(54999.88375717282), np.float64(54995.27585276137), np.float64(54996.54906893492), np.float64(54993.22432795691), np.float64(54991.670328048465), np.float64(54989.13991954828), np.float64(54984.717903483666), np.float64(54992.632344600126), np.float64(54991.27824387217), np.float64(54987.46694198809), np.float64(54986.64086154188), np.float64(54986.82954906706), np.float64(54975.83225512018), np.float64(54980.71938680481), np.float64(54983.069729428236), np.float64(54976.689290807146), np.float64(54979.66436707987), np.float64(54974.02458755538)]","[np.float64(54999.88375717282), np.float64(54999.93397210419), np.float64(54997.86124605894), np.float64(54996.54906893492), np.float64(54994.29064075738), np.float64(54995.451026901006), np.float64(54992.12439743906), np.float64(54994.69302530676), np.float64(54993.108743113575), np.float64(54991.64440698802), np.float64(54989.31306850374), np.float64(54988.856635839045), np.float64(54986.88984445453), np.float64(54987.37895340502), np.float64(54987.120265588164), np.float64(54983.12917397499), np.float64(54984.20577766955), np.float64(54980.28226116523), np.float64(54979.73507138595)]"
1,"[np.float64(54998.65368644983), np.float64(55001.084880595205), np.float64(54996.91244324446), np.float64(54999.91300376773), np.float64(54997.522229870854), np.float64(55002.85323099553), np.float64(55002.18505094409), np.float64(55002.502174308895), np.float64(55004.18426587701), np.float64(55002.3840749979), np.float64(55006.04703808427), np.float64(55006.649754714366), np.float64(55007.98377367079), np.float64(55009.78467842221), np.float64(55006.24318891287), np.float64(55012.95948143184), np.float64(55009.985099182726), np.float64(55015.835633077026), np.float64(55013.91932931423)]","[np.float64(55009.87928385677), np.float64(55002.423582776675), np.float64(55001.23657971346), np.float64(55002.05459042539), np.float64(55006.61474400237), np.float64(55014.141163841974), np.float64(55004.19496169017), np.float64(55009.83951196725), np.float64(55004.18426587701), np.float64(55010.34807495016), np.float64(55006.66797177567), np.float64(55010.07948294287), np.float64(55011.41806293458), np.float64(55013.28144279967), np.float64(55013.835581083425), np.float64(55021.64164797521), np.float64(55017.30048482399), np.float64(55026.07230682942), np.float64(55021.33389054288)]","[np.float64(54998.65368644983), np.float64(54994.009061449084), np.float64(54995.832409960094), np.float64(54991.94004303231), np.float64(54995.55162046188), np.float64(55002.18505094409), np.float64(54995.32426475638), np.float64(54995.14328262442), np.float64(54987.18512776004), np.float64(54999.440212047266), np.float64(55003.611559415134), np.float64(55004.364188292646), np.float64(55006.15659423426), np.float64(55006.24318891287), np.float64(54993.00504347127), np.float64(55007.05259629474), np.float64(55003.34307190074), np.float64(55013.90125340635), np.float64(55009.75036923231)]","[np.float64(55001.084880595205), np.float64(54996.91244324446), np.float64(54999.91300376773), np.float64(54997.522229870854), np.float64(55002.85323099553), np.float64(55002.18505094409), np.float64(55002.502174308895), np.float64(55004.18426587701), np.float64(55002.3840749979), np.float64(55006.04703808427), np.float64(55006.649754714366), np.float64(55007.98377367079), np.float64(55009.78467842221), np.float64(55006.24318891287), np.float64(55012.95948143184), np.float64(55009.985099182726), np.float64(55015.835633077026), np.float64(55013.91932931423), np.float64(55017.99194425881)]"
2,"[np.float64(54999.226854973735), np.float64(55000.69194931149), np.float64(54998.95239989013), np.float64(54997.80109012306), np.float64(54995.99096267342), np.float64(54996.9441307506), np.float64(54994.519547683594), np.float64(54997.44384580404), np.float64(54992.79472797543), np.float64(54991.98365817755), np.float64(54987.725431997475), np.float64(54989.53183267891), np.float64(54990.53533097118), np.float64(54991.18328094542), np.float64(54984.56325255603), np.float64(54987.203597987296), np.float64(54987.22479689121), np.float64(54986.31064570486), np.float64(54979.3561681366)]","[np.float64(55002.16399493104), np.float64(55005.16349300327), np.float64(55003.71403026408), np.float64(55000.21865490471), np.float64(54997.20881068156), np.float64(54999.61542790381), np.float64(55003.712741013835), np.float64(55003.55430016074), np.float64(54992.8512914295), np.float64(54996.17440741396), np.float64(54991.84273593256), np.float64(54991.86425796974), np.float64(54995.37175240699), np.float64(54991.204172770624), np.float64(55000.533652767466), np.float64(54996.324814629916), np.float64(54988.19854336569), np.float64(54992.95798764461), np.float64(54981.17334305585)]","[np.float64(54987.78220156309), np.float64(54996.167320719185), np.float64(54991.48282805139), np.float64(54995.99096267342), np.float64(54987.84800633506), np.float64(54991.69315607322), np.float64(54992.08248121546), np.float64(54992.4924864505), np.float64(54983.73946942676), np.float64(54987.60909003999), np.float64(54982.197211378574), np.float64(54988.41331422582), np.float64(54987.90904909519), np.float64(54976.375324218076), np.float64(54976.082775480194), np.float64(54984.49422080055), np.float64(54978.192245954226), np.float64(54979.3561681366), np.float64(54977.14457503899)]","[np.float64(55000.69194931149), np.float64(54998.95239989013), np.float64(54997.80109012306), np.float64(54995.99096267342), np.float64(54996.9441307506), np.float64(54994.519547683594), np.float64(54997.44384580404), np.float64(54992.79472797543), np.float64(54991.98365817755), np.float64(54987.725431997475), np.float64(54989.53183267891), np.float64(54990.53533097118), np.float64(54991.18328094542), np.float64(54984.56325255603), np.float64(54987.203597987296), np.float64(54987.22479689121), np.float64(54986.31064570486), np.float64(54979.3561681366), np.float64(54981.152217669485)]"
3,"[np.float64(54999.55091531515), np.float64(55000.61885499418), np.float64(54999.33527710259), np.float64(54996.88959711343), np.float64(54993.80697896302), np.float64(54994.82985378951), np.float64(54994.34742907822), np.float64(54999.11420946985), np.float64(54993.700461232664), np.float64(54989.66786526054), np.float64(54987.806248107554), np.float64(54993.499645847085), np.float64(54988.535969716606), np.float64(54987.7519184339), np.float64(54983.63261801362), np.float64(54987.42272796661), np.float64(54988.472151305374), np.float64(54986.31275406689), np.float64(54980.72856992334)]","[np.float64(55004.28467090175), np.float64(55012.942349369296), np.float64(55002.81329673999), np.float64(54996.91073958697), np.float64(55030.53046732973), np.float64(54994.8511792204), np.float64(55013.939827854796), np.float64(54999.21492511755), np.float64(54993.719193014644), np.float64(54999.372968062125), np.float64(55002.11192199539), np.float64(54995.67848049316), np.float64(54990.34144723948), np.float64(54987.80028590534), np.float64(54993.28638451476), np.float64(54999.43571065115), np.float64(54990.92586434904), np.float64(54988.71237421015), np.float64(54983.13213454598)]","[np.float64(54989.98660737827), np.float64(54995.779218381685), np.float64(54996.88959711343), np.float64(54992.75118272328), np.float64(54993.80697896302), np.float64(54990.57794716119), np.float64(54994.328674416145), np.float64(54993.68111151186), np.float64(54976.672333639406), np.float64(54984.61437954193), np.float64(54987.5086669816), np.float64(54963.279774701296), np.float64(54987.7519184339), np.float64(54979.85939312623), np.float64(54970.70958528057), np.float64(54987.369646535284), np.float64(54986.31275406689), np.float64(54979.592785996676), np.float64(54978.85219518356)]","[np.float64(55000.61885499418), np.float64(54999.33527710259), np.float64(54996.88959711343), np.float64(54993.80697896302), np.float64(54994.82985378951), np.float64(54994.34742907822), np.float64(54999.11420946985), np.float64(54993.700461232664), np.float64(54989.66786526054), np.float64(54987.806248107554), np.float64(54993.499645847085), np.float64(54988.535969716606), np.float64(54987.7519184339), np.float64(54983.63261801362), np.float64(54987.42272796661), np.float64(54988.472151305374), np.float64(54986.31275406689), np.float64(54980.72856992334), np.float64(54978.90345337212)]"
4,"[np.float64(54999.38659609735), np.float64(55001.57168387115), np.float64(54997.48433477938), np.float64(54998.51433946103), np.float64(54997.04028846443), np.float64(54998.84266308337), np.float64(54999.21839270472), np.float64(54994.80346711785), np.float64(54997.58209538042), np.float64(54996.0857879734), np.float64(54991.46064694315), np.float64(54991.568876193465), np.float64(54996.47055849939), np.float64(54994.47326791793), np.float64(54992.269036394355), np.float64(54991.09903292745), np.float64(54995.06781048834), np.float64(54988.95949331105), np.float64(54987.10726291388)]","[np.float64(55006.081679842406), np.float64(55001.57168387115), np.float64(55023.978183031744), np.float64(54998.53544500151), np.float64(54998.84266308337), np.float64(54999.23886597875), np.float64(54999.2749668235), np.float64(54997.600928998756), np.float64(54997.60256769825), np.float64(54997.97893901665), np.float64(54991.568876193465), np.float64(54998.33444955144), np.float64(54996.47055849939), np.float64(54994.47326791793), np.float64(54998.533925496566), np.float64(54995.12880786518), np.float64(54995.12469929704), np.float64(54991.51464365718), np.float64(54990.312008449146)]","[np.float64(54993.523587571275), np.float64(54997.48433477938), np.float64(54997.48433477938), np.float64(54993.83314222093), np.float64(54993.93450475867), np.float64(54993.433605481376), np.float64(54994.80346711785), np.float64(54990.89609966821), np.float64(54996.06704598603), np.float64(54991.46064694315), np.float64(54987.20133236655), np.float64(54988.82481838293), np.float64(54994.47326791793), np.float64(54970.22165895381), np.float64(54991.09903292745), np.float64(54989.64646228873), np.float64(54988.940765163585), np.float64(54982.666407584096), np.float64(54976.80866041556)]","[np.float64(55001.57168387115), np.float64(54997.48433477938), np.float64(54998.51433946103), np.float64(54997.04028846443), np.float64(54998.84266308337), np.float64(54999.21839270472), np.float64(54994.80346711785), np.float64(54997.58209538042), np.float64(54996.0857879734), np.float64(54991.46064694315), np.float64(54991.568876193465), np.float64(54996.47055849939), np.float64(54994.47326791793), np.float64(54992.269036394355), np.float64(54991.09903292745), np.float64(54995.06781048834), np.float64(54988.95949331105), np.float64(54987.10726291388), np.float64(54981.28409560293)]"
5,"[np.float64(54999.804991782905), np.float64(54999.85005885243), np.float64(55002.23924316406), np.float64(55002.21165488124), np.float64(55003.44352358699), np.float64(55004.63311420262), np.float64(55006.08835843265), np.float64(55004.85491566062), np.float64(55007.89464161336), np.float64(55006.2217594415), np.float64(55009.33668585658), np.float64(55009.533275650145), np.float64(55012.68201566934), np.float64(55016.12335909128), np.float64(55014.32654691219), np.float64(55017.16485889077), np.float64(55017.81772837639), np.float64(55017.31474990666), np.float64(55020.64139045357)]","[np.float64(55002.43019558023), np.float64(55006.12436201176), np.float64(55002.25793057085), np.float64(55006.03720879876), np.float64(55007.09230680044), np.float64(55007.73255323093), np.float64(55006.08835843265), np.float64(55011.05468587936), np.float64(55018.86683235596), np.float64(55010.98409638536), np.float64(55015.68231730216), np.float64(55014.62070616292), np.float64(55017.267858926534), np.float64(55017.84784007125), np.float64(55020.163263462244), np.float64(55019.06588830126), np.float64(55019.36241715912), np.float64(55027.14386068981), np.float64(55022.53840998258)]","[np.float64(54999.34199872111), np.float64(54994.27848826301), np.float64(54992.797291719486), np.float64(55002.21165488124), np.float64(54999.078993336), np.float64(55002.253608085215), np.float64(54999.48914862512), np.float64(55000.090825222345), np.float64(55003.699887005554), np.float64(55004.52610430239), np.float64(55009.33668585658), np.float64(55007.604614640484), np.float64(55006.91916314536), np.float64(55014.32654691219), np.float64(55007.94645536715), np.float64(54998.8739556815), np.float64(55010.60129402998), np.float64(55017.31474990666), np.float64(55014.24221357251)]","[np.float64(54999.85005885243), np.float64(55002.23924316406), np.float64(55002.21165488124), np.float64(55003.44352358699), np.float64(55004.63311420262), np.float64(55006.08835843265), np.float64(55004.85491566062), np.float64(55007.89464161336), np.float64(55006.2217594415), np.float64(55009.33668585658), np.float64(55009.533275650145), np.float64(55012.68201566934), np.float64(55016.12335909128), np.float64(55014.32654691219), np.float64(55017.16485889077), np.float64(55017.81772837639), np.float64(55017.31474990666), np.float64(55020.64139045357), np.float64(55020.549598002435)]"
6,"[np.float64(55000.29256213903), np.float64(54998.87006513864), np.float64(55003.2731031996), np.float64(54999.682454048394), np.float64(55000.65858797431), np.float64(54999.701839450594), np.float64(55000.054146522285), np.float64(55002.78890267551), np.float64(55005.10350284934), np.float64(55003.61768626153), np.float64(55000.46666273773), np.float64(55004.069226018786), np.float64(55000.61348543286), np.float64(55004.2119073677), np.float64(55000.81967037976), np.float64(55005.407789814475), np.float64(55002.48897875607), np.float64(55005.450294038055), np.float64(55001.40588370085)]","[np.float64(55004.37700846891), np.float64(55003.294458392236), np.float64(55010.61025514393), np.float64(55009.10485510766), np.float64(55001.35595435207), np.float64(55008.47786449307), np.float64(55002.80760333056), np.float64(55006.41801843637), np.float64(55005.121985027145), np.float64(55006.011319074736), np.float64(55004.8142614597), np.float64(55010.032932685994), np.float64(55012.91005632905), np.float64(55007.52798265708), np.float64(55007.68647563787), np.float64(55010.43511822043), np.float64(55010.63488481771), np.float64(55005.46953854521), np.float64(55013.299391043794)]","[np.float64(54954.49970408861), np.float64(54997.11120077057), np.float64(54999.682454048394), np.float64(54999.66119200773), np.float64(54989.9342576111), np.float64(54998.866695607634), np.float64(55000.054146522285), np.float64(54993.54708588216), np.float64(54996.49792061663), np.float64(54997.943248628624), np.float64(54996.46155422169), np.float64(54979.89784839062), np.float64(54998.82458151704), np.float64(54995.52425341498), np.float64(54979.107075744236), np.float64(55001.68475643263), np.float64(55001.24837082877), np.float64(55001.40588370085), np.float64(55000.32927715437)]","[np.float64(54998.87006513864), np.float64(55003.2731031996), np.float64(54999.682454048394), np.float64(55000.65858797431), np.float64(54999.701839450594), np.float64(55000.054146522285), np.float64(55002.78890267551), np.float64(55005.10350284934), np.float64(55003.61768626153), np.float64(55000.46666273773), np.float64(55004.069226018786), np.float64(55000.61348543286), np.float64(55004.2119073677), np.float64(55000.81967037976), np.float64(55005.407789814475), np.float64(55002.48897875607), np.float64(55005.450294038055), np.float64(55001.40588370085), np.float64(55008.79287034333)]"
7,"[np.float64(54999.411344409884), np.float64(54999.329637067916), np.float64(54999.19763719976), np.float64(54999.41781581759), np.float64(54999.740149120094), np.float64(54996.62012805104), np.float64(54997.4360308975), np.float64(54994.76098063022), np.float64(54995.253435025814), np.float64(54996.10556578368), np.float64(54996.394899119136), np.float64(54991.9897748661), np.float64(54992.77653531641), np.float64(54991.90428533107), np.float64(54992.09239290267), np.float64(54991.348043562175), np.float64(54993.81780233145), np.float64(54993.791974342465), np.float64(54991.44025059134)]","[np.float64(55003.37211128152), np.float64(55004.263352350004), np.float64(55004.28023598259), np.float64(54999.740149120094), np.float64(55009.34481893613), np.float64(55002.51517733705), np.float64(54998.447792550905), np.float64(55000.2845015843), np.float64(55005.785511166236), np.float64(54999.01366270392), np.float64(55000.238763135596), np.float64(55002.81014434537), np.float64(54993.41360904762), np.float64(54996.12139905088), np.float64(54992.15254178636), np.float64(54999.2912338224), np.float64(54995.95671215609), np.float64(54994.47817695891), np.float64(54997.69179728398)]","[np.float64(54991.56105769309), np.float64(54999.19763719976), np.float64(54994.23792315118), np.float64(54997.073358167974), np.float64(54994.109884576304), np.float64(54996.53783990533), np.float64(54990.782659676435), np.float64(54994.713231562135), np.float64(54987.108081411265), np.float64(54988.517034850694), np.float64(54985.58681983337), np.float64(54990.854864640285), np.float64(54986.84837494226), np.float64(54991.841405776795), np.float64(54986.50919552117), np.float64(54989.73424612117), np.float64(54989.59670925228), np.float64(54985.248730642525), np.float64(54988.595070198084)]","[np.float64(54999.329637067916), np.float64(54999.19763719976), np.float64(54999.41781581759), np.float64(54999.740149120094), np.float64(54996.62012805104), np.float64(54997.4360308975), np.float64(54994.76098063022), np.float64(54995.253435025814), np.float64(54996.10556578368), np.float64(54996.394899119136), np.float64(54991.9897748661), np.float64(54992.77653531641), np.float64(54991.90428533107), np.float64(54992.09239290267), np.float64(54991.348043562175), np.float64(54993.81780233145), np.float64(54993.791974342465), np.float64(54991.44025059134), np.float64(54988.64582402408)]"
8,"[np.float64(54999.0169587776), np.float64(54999.98613799095), np.float64(54999.587340539096), np.float64(54997.696385894415), np.float64(54998.065027783516), np.float64(54992.52707463175), np.float64(54995.23913984358), np.float64(54990.836363388), np.float64(54991.64896069527), np.float64(54988.93955809414), np.float64(54992.06628113836), np.float64(54988.85280708909), np.float64(54989.30217419147), np.float64(54986.69142564028), np.float64(54985.93330211133), np.float64(54986.906239130796), np.float64(54985.28459392488), np.float64(54986.19726415873), np.float64(54979.45836383566)]","[np.float64(55007.172327823995), np.float64(55002.81881600068), np.float64(54999.606978995136), np.float64(55002.08976690668), np.float64(54998.065027783516), np.float64(55004.2210079156), np.float64(54996.50164710347), np.float64(54997.50065787683), np.float64(54997.068805321775), np.float64(54993.415103485284), np.float64(54993.30540474521), np.float64(54989.362201777534), np.float64(54995.588904626005), np.float64(54987.95733115108), np.float64(54995.52749251758), np.float64(54988.08305094787), np.float64(54990.129977686614), np.float64(54998.10285384321), np.float64(54980.11382005267)]","[np.float64(54990.02987402991), np.float64(54995.18032164846), np.float64(54993.7433324469), np.float64(54991.063564107135), np.float64(54992.36824074205), np.float64(54991.45334353198), np.float64(54987.73250562603), np.float64(54980.842293212), np.float64(54988.91873983926), np.float64(54988.886307941626), np.float64(54986.72809577069), np.float64(54984.42679957378), np.float64(54982.380816934216), np.float64(54984.773242400624), np.float64(54985.93330211133), np.float64(54980.185084764984), np.float64(54974.76247379568), np.float64(54975.39358905054), np.float64(54978.96481793464)]","[np.float64(54999.98613799095), np.float64(54999.587340539096), np.float64(54997.696385894415), np.float64(54998.065027783516), np.float64(54992.52707463175), np.float64(54995.23913984358), np.float64(54990.836363388), np.float64(54991.64896069527), np.float64(54988.93955809414), np.float64(54992.06628113836), np.float64(54988.85280708909), np.float64(54989.30217419147), np.float64(54986.69142564028), np.float64(54985.93330211133), np.float64(54986.906239130796), np.float64(54985.28459392488), np.float64(54986.19726415873), np.float64(54979.45836383566), np.float64(54979.037820990685)]"
9,"[np.float64(54997.58654710591), np.float64(54997.51680710167), np.float64(55000.07058332145), np.float64(55000.04234324217), np.float64(54996.86677758634), np.float64(54998.70111461878), np.float64(54998.34905141652), np.float64(54997.10894214123), np.float64(54996.14212181031), np.float64(54998.75300338119), np.float64(55003.00395116746), np.float64(55005.230620895025), np.float64(55004.565744165775), np.float64(55004.533194248674), np.float64(55006.06572291612), np.float64(55006.099709445836), np.float64(55005.70977553904), np.float64(55006.276612325906), np.float64(55010.51829972505)]","[np.float64(55000.86139593393), np.float64(55000.07058332145), np.float64(55000.07058332145), np.float64(55003.952589135), np.float64(54998.70111461878), np.float64(55003.82229414872), np.float64(54998.34905141652), np.float64(54998.38729356053), np.float64(54998.75300338119), np.float64(55003.00395116746), np.float64(55005.230620895025), np.float64(55010.242147361816), np.float64(55004.565744165775), np.float64(55017.54807402048), np.float64(55006.099709445836), np.float64(55006.550010286745), np.float64(55006.29755599119), np.float64(55010.51829972505), np.float64(55015.028249764284)]","[np.float64(54997.51680710167), np.float64(54993.78043833389), np.float64(55000.04234324217), np.float64(54996.86677758634), np.float64(54996.86677758634), np.float64(54995.998689387015), np.float64(54997.10894214123), np.float64(54993.881756368355), np.float64(54996.14212181031), np.float64(54998.75300338119), np.float64(55003.00395116746), np.float64(54980.40537119357), np.float64(55004.533194248674), np.float64(54989.29524959222), np.float64(55006.06572291612), np.float64(55005.567482591265), np.float64(55005.70977553904), np.float64(55006.276612325906), np.float64(55010.51829972505)]","[np.float64(54997.51680710167), np.float64(55000.07058332145), np.float64(55000.04234324217), np.float64(54996.86677758634), np.float64(54998.70111461878), np.float64(54998.34905141652), np.float64(54997.10894214123), np.float64(54996.14212181031), np.float64(54998.75300338119), np.float64(55003.00395116746), np.float64(55005.230620895025), np.float64(55004.565744165775), np.float64(55004.533194248674), np.float64(55006.06572291612), np.float64(55006.099709445836), np.float64(55005.70977553904), np.float64(55006.276612325906), np.float64(55010.51829972505), np.float64(55014.96856642544)]"
