,o_chunk,h_chunk,l_chunk,c_chunk
0,"[np.float64(54997.683658127484), np.float64(54997.166517495214), np.float64(55002.361164574024), np.float64(54998.68650462329), np.float64(55001.64904368639), np.float64(55002.36065466523), np.float64(54997.65908052355), np.float64(54997.19273567527), np.float64(54999.90982016325), np.float64(54997.6754397279), np.float64(54999.08872954905), np.float64(54997.08543091178), np.float64(54993.43293647468), np.float64(54995.338281632365), np.float64(54998.165400004385), np.float64(55000.06757707655), np.float64(55001.929316164256), np.float64(55000.89927379369), np.float64(54996.61385173887)]","[np.float64(54997.683658127484), np.float64(55008.58693561588), np.float64(55002.361164574024), np.float64(55004.10371779442), np.float64(55002.374408837524), np.float64(55002.36065466523), np.float64(54998.532475055894), np.float64(55003.68242367157), np.float64(54999.90982016325), np.float64(55000.49601046808), np.float64(54999.08872954905), np.float64(54997.08543091178), np.float64(55002.41631664778), np.float64(54998.165400004385), np.float64(55000.06757707655), np.float64(55003.045585671454), np.float64(55001.929316164256), np.float64(55000.89927379369), np.float64(55002.75432236084)]","[np.float64(54997.166517495214), np.float64(54997.166517495214), np.float64(54998.444763865526), np.float64(54998.68650462329), np.float64(54964.04193966674), np.float64(54997.65908052355), np.float64(54996.69515854996), np.float64(54997.19273567527), np.float64(54991.320280863576), np.float64(54997.6754397279), np.float64(54997.08543091178), np.float64(54993.414155840816), np.float64(54993.43293647468), np.float64(54992.06675199052), np.float64(54998.165400004385), np.float64(55000.06757707655), np.float64(55000.84164571532), np.float64(54996.59418145645), np.float64(54996.61385173887)]","[np.float64(54997.166517495214), np.float64(55002.361164574024), np.float64(54998.68650462329), np.float64(55001.64904368639), np.float64(55002.36065466523), np.float64(54997.65908052355), np.float64(54997.19273567527), np.float64(54999.90982016325), np.float64(54997.6754397279), np.float64(54999.08872954905), np.float64(54997.08543091178), np.float64(54993.43293647468), np.float64(54995.338281632365), np.float64(54998.165400004385), np.float64(55000.06757707655), np.float64(55001.929316164256), np.float64(55000.89927379369), np.float64(54996.61385173887), np.float64(54998.3713233459)]"
1,"[np.float64(55000.47440004945), np.float64(54999.97059242368), np.float64(55001.790629839896), np.float64(55001.229792240854), np.float64(55000.8467842257), np.float64(54998.5878328374), np.float64(55000.565044097304), np.float64(54998.152982616724), np.float64(54998.929378616514), np.float64(54998.25985063225), np.float64(54997.38390935063), np.float64(54998.56182305485), np.float64(54998.56752516538), np.float64(54997.55053202599), np.float64(54997.781361086665), np.float64(54993.15948125571), np.float64(54996.301310902236), np.float64(54995.88080020368), np.float64(54994.98361567825)]","[np.float64(55004.94318775447), np.float64(55002.99402154777), np.float64(55003.35536215996), np.float64(55004.4899771717), np.float64(55000.8467842257), np.float64(55002.57780422739), np.float64(55000.565044097304), np.float64(55002.16040867907), np.float64(55001.23095308207), np.float64(55000.43922735007), np.float64(55003.87431400564), np.float64(54998.58800576533), np.float64(55007.86472501363), np.float64(55001.77022522327), np.float64(55001.61304157238), np.float64(55000.8219195256), np.float64(54998.8768782046), np.float64(54995.88080020368), np.float64(55000.91916834099)]","[np.float64(54997.15413946564), np.float64(54999.97059242368), np.float64(54997.626618699935), np.float64(54993.48593333263), np.float64(54998.5878328374), np.float64(54990.436761539255), np.float64(54986.69654474179), np.float64(54998.091538363864), np.float64(54994.62053661263), np.float64(54997.33251077744), np.float64(54995.5286135693), np.float64(54991.69324384919), np.float64(54995.20938903809), np.float64(54990.811583772396), np.float64(54984.48014033702), np.float64(54990.80920866792), np.float64(54995.862761489145), np.float64(54991.2500326779), np.float64(54991.831117852926)]","[np.float64(54999.97059242368), np.float64(55001.790629839896), np.float64(55001.229792240854), np.float64(55000.8467842257), np.float64(54998.5878328374), np.float64(55000.565044097304), np.float64(54998.152982616724), np.float64(54998.929378616514), np.float64(54998.25985063225), np.float64(54997.38390935063), np.float64(54998.56182305485), np.float64(54998.56752516538), np.float64(54997.55053202599), np.float64(54997.781361086665), np.float64(54993.15948125571), np.float64(54996.301310902236), np.float64(54995.88080020368), np.float64(54994.98361567825), np.float64(54991.831117852926)]"
2,"[np.float64(55000.39632636189), np.float64(54999.75692290247), np.float64(54998.740100471674), np.float64(54997.38089645475), np.float64(54998.53201112628), np.float64(55001.33603949785), np.float64(54995.8473923096), np.float64(54999.75032512605), np.float64(54997.81833834231), np.float64(54996.847265815435), np.float64(54997.09957977235), np.float64(54998.69083884805), np.float64(54990.32602449566), np.float64(54998.270625226796), np.float64(54992.234653022584), np.float64(54996.81353202313), np.float64(54991.62500163287), np.float64(54998.522274085284), np.float64(54990.000108529624)]","[np.float64(55001.36645076727), np.float64(55000.8419376506), np.float64(55009.410489123926), np.float64(54998.53201112628), np.float64(55039.22890004692), np.float64(55001.38789908305), np.float64(54999.75032512605), np.float64(55005.06914443019), np.float64(54998.83677794111), np.float64(54999.29906922055), np.float64(55012.25779625937), np.float64(54998.69083884805), np.float64(55008.10409249794), np.float64(54999.25309765988), np.float64(54996.83487393071), np.float64(54996.83464678488), np.float64(55012.22843255707), np.float64(54998.54336211345), np.float64(54994.85308170513)]","[np.float64(54999.75692290247), np.float64(54982.56874909529), np.float64(54997.38089645475), np.float64(54991.51649036839), np.float64(54998.30973144145), np.float64(54991.566082193465), np.float64(54995.55460855954), np.float64(54997.77445996851), np.float64(54993.49277660399), np.float64(54996.847265815435), np.float64(54997.0391190919), np.float64(54964.02846369086), np.float64(54990.32602449566), np.float64(54987.17788413584), np.float64(54992.234653022584), np.float64(54986.56808806138), np.float64(54991.62500163287), np.float64(54990.000108529624), np.float64(54990.000108529624)]","[np.float64(54999.75692290247), np.float64(54998.740100471674), np.float64(54997.38089645475), np.float64(54998.53201112628), np.float64(55001.33603949785), np.float64(54995.8473923096), np.float64(54999.75032512605), np.float64(54997.81833834231), np.float64(54996.847265815435), np.float64(54997.09957977235), np.float64(54998.69083884805), np.float64(54990.32602449566), np.float64(54998.270625226796), np.float64(54992.234653022584), np.float64(54996.81353202313), np.float64(54991.62500163287), np.float64(54998.522274085284), np.float64(54990.000108529624), np.float64(54990.963563462494)]"
3,"[np.float64(54999.928735562564), np.float64(54998.822614799734), np.float64(55001.25786382854), np.float64(55000.3868420583), np.float64(54997.06636032283), np.float64(54998.94441870898), np.float64(55001.8342691648), np.float64(54998.80192802161), np.float64(55002.72225094497), np.float64(55000.85895996094), np.float64(55005.026023316386), np.float64(55005.486156145336), np.float64(55006.123661857244), np.float64(55001.7648949647), np.float64(55004.67344133735), np.float64(55000.405748589634), np.float64(55005.85259877562), np.float64(55006.93776893795), np.float64(55008.646109724046)]","[np.float64(55000.45042334944), np.float64(55009.64089402076), np.float64(55001.25786382854), np.float64(55006.65494249761), np.float64(54998.94441870898), np.float64(55005.32623625664), np.float64(55001.8342691648), np.float64(55007.53817884955), np.float64(55002.72225094497), np.float64(55005.08642952861), np.float64(55005.486156145336), np.float64(55006.776438814835), np.float64(55006.123661857244), np.float64(55005.062666584316), np.float64(55010.29724831013), np.float64(55005.85259877562), np.float64(55014.635810293905), np.float64(55008.646109724046), np.float64(55009.859129540324)]","[np.float64(54989.06503372156), np.float64(54998.822614799734), np.float64(54988.39791236847), np.float64(54997.06636032283), np.float64(54997.06636032283), np.float64(54997.0248059933), np.float64(54998.80192802161), np.float64(54989.05852995338), np.float64(55000.85895996094), np.float64(55000.85895996094), np.float64(55002.34526321994), np.float64(55005.486156145336), np.float64(54997.63308771856), np.float64(55001.7648949647), np.float64(54998.293519210885), np.float64(55000.35391996906), np.float64(55005.85259877562), np.float64(55006.93776893795), np.float64(55008.6359049409)]","[np.float64(54998.822614799734), np.float64(55001.25786382854), np.float64(55000.3868420583), np.float64(54997.06636032283), np.float64(54998.94441870898), np.float64(55001.8342691648), np.float64(54998.80192802161), np.float64(55002.72225094497), np.float64(55000.85895996094), np.float64(55005.026023316386), np.float64(55005.486156145336), np.float64(55006.123661857244), np.float64(55001.7648949647), np.float64(55004.67344133735), np.float64(55000.405748589634), np.float64(55005.85259877562), np.float64(55006.93776893795), np.float64(55008.646109724046), np.float64(55009.859129540324)]"
4,"[np.float64(55000.76442730427), np.float64(55004.09941705346), np.float64(54999.2224675411), np.float64(55000.94147650599), np.float64(55000.38806583941), np.float64(55001.61154987097), np.float64(55002.47271488249), np.float64(55000.19797627449), np.float64(55007.45078595996), np.float64(55002.725399077535), np.float64(55008.99600470543), np.float64(55001.200195360776), np.float64(55003.50470820844), np.float64(54999.01608528167), np.float64(55009.19258119702), np.float64(55004.731770469545), np.float64(55014.894678424), np.float64(55004.73506492376), np.float64(55012.314943412544)]","[np.float64(55009.75321912074), np.float64(55004.09941705346), np.float64(55000.94147650599), np.float64(55013.77565632832), np.float64(55001.61154987097), np.float64(55002.47271488249), np.float64(55003.073126421856), np.float64(55009.51534434567), np.float64(55007.45078595996), np.float64(55010.234892660126), np.float64(55008.99600470543), np.float64(55014.2681546028), np.float64(55003.50470820844), np.float64(55022.179429218195), np.float64(55009.19258119702), np.float64(55020.75048107382), np.float64(55014.894678424), np.float64(55012.314943412544), np.float64(55020.142780407514)]","[np.float64(55000.745680312975), np.float64(54999.2224675411), np.float64(54996.246597588004), np.float64(55000.36672322634), np.float64(55000.38806583941), np.float64(54991.32990853753), np.float64(55000.19797627449), np.float64(55000.17745644909), np.float64(55001.587131778164), np.float64(55000.70094708623), np.float64(55001.200195360776), np.float64(55001.200195360776), np.float64(54999.01608528167), np.float64(54999.01608528167), np.float64(55004.731770469545), np.float64(55004.731770469545), np.float64(55004.73506492376), np.float64(55004.714054927), np.float64(55012.314943412544)]","[np.float64(55004.09941705346), np.float64(54999.2224675411), np.float64(55000.94147650599), np.float64(55000.38806583941), np.float64(55001.61154987097), np.float64(55002.47271488249), np.float64(55000.19797627449), np.float64(55007.45078595996), np.float64(55002.725399077535), np.float64(55008.99600470543), np.float64(55001.200195360776), np.float64(55003.50470820844), np.float64(54999.01608528167), np.float64(55009.19258119702), np.float64(55004.731770469545), np.float64(55014.894678424), np.float64(55004.73506492376), np.float64(55012.314943412544), np.float64(55013.014622525574)]"
5,"[np.float64(54998.788426523504), np.float64(54998.091013179124), np.float64(54997.873918401005), np.float64(55001.15454300463), np.float64(55000.273677777644), np.float64(54999.498212915656), np.float64(55002.58787002444), np.float64(55001.14804277599), np.float64(55001.66721860945), np.float64(54995.73487760842), np.float64(55003.83630854905), np.float64(55002.05392457187), np.float64(55008.3797111994), np.float64(55008.09544369698), np.float64(55003.144677127006), np.float64(55010.079525423644), np.float64(55008.8305104804), np.float64(55015.00128483414), np.float64(55009.75671768427)]","[np.float64(54998.788426523504), np.float64(55003.0450643098), np.float64(55001.15454300463), np.float64(55005.41649684892), np.float64(55002.03959712836), np.float64(55004.719491968666), np.float64(55002.58787002444), np.float64(55002.204251965544), np.float64(55001.723699823524), np.float64(55008.77339636523), np.float64(55008.08457683475), np.float64(55008.3797111994), np.float64(55009.84825315507), np.float64(55010.4839588392), np.float64(55013.0608102617), np.float64(55010.079525423644), np.float64(55019.63511112213), np.float64(55028.58501947795), np.float64(55016.02715038657)]","[np.float64(54998.091013179124), np.float64(54992.86867730864), np.float64(54991.92708629968), np.float64(54996.0035717135), np.float64(54999.498212915656), np.float64(54999.498212915656), np.float64(54980.72603789705), np.float64(55001.14804277599), np.float64(54993.99399951741), np.float64(54994.614773647896), np.float64(55002.00078964996), np.float64(54993.15680631535), np.float64(55008.03670245897), np.float64(54998.89075735534), np.float64(54995.76216194658), np.float64(55008.8305104804), np.float64(55008.80942681135), np.float64(54997.96399581585), np.float64(55004.05533997208)]","[np.float64(54998.091013179124), np.float64(54997.873918401005), np.float64(55001.15454300463), np.float64(55000.273677777644), np.float64(54999.498212915656), np.float64(55002.58787002444), np.float64(55001.14804277599), np.float64(55001.66721860945), np.float64(54995.73487760842), np.float64(55003.83630854905), np.float64(55002.05392457187), np.float64(55008.3797111994), np.float64(55008.09544369698), np.float64(55003.144677127006), np.float64(55010.079525423644), np.float64(55008.8305104804), np.float64(55015.00128483414), np.float64(55009.75671768427), np.float64(55016.02715038657)]"
6,"[np.float64(54999.60319205165), np.float64(55000.67306051612), np.float64(54998.78412111968), np.float64(54999.50642909825), np.float64(54998.591945362685), np.float64(54998.78260912925), np.float64(54999.6870210576), np.float64(54996.735868479605), np.float64(54991.89611570537), np.float64(54992.71788250297), np.float64(54989.89370386601), np.float64(54990.51123002112), np.float64(54990.963997993465), np.float64(54986.97648239285), np.float64(54990.03420369208), np.float64(54987.0909591344), np.float64(54983.94003980934), np.float64(54980.32177687988), np.float64(54978.99261979297)]","[np.float64(55001.94881291619), np.float64(55000.67306051612), np.float64(55000.728117506034), np.float64(55004.40279481762), np.float64(55000.68845840484), np.float64(55005.94699452073), np.float64(55004.55282650612), np.float64(55000.21718703446), np.float64(54992.71788250297), np.float64(54997.545105441175), np.float64(54998.56903131203), np.float64(54991.02090847431), np.float64(54992.43098258347), np.float64(54991.65588760465), np.float64(54997.5187569113), np.float64(54987.542515970745), np.float64(54986.69374470371), np.float64(54983.734416146275), np.float64(54979.491338552245)]","[np.float64(54998.55158371129), np.float64(54984.250458164), np.float64(54992.23051929494), np.float64(54997.1684171313), np.float64(54989.132716999324), np.float64(54995.34767289768), np.float64(54996.71784465793), np.float64(54991.84630821904), np.float64(54990.49160799322), np.float64(54988.687934361085), np.float64(54989.33211152096), np.float64(54985.7644187851), np.float64(54986.75513669612), np.float64(54984.22268640719), np.float64(54979.89566757411), np.float64(54979.11434761926), np.float64(54975.19124470428), np.float64(54977.47183230913), np.float64(54964.89190704202)]","[np.float64(55000.67306051612), np.float64(54998.78412111968), np.float64(54999.50642909825), np.float64(54998.591945362685), np.float64(54998.78260912925), np.float64(54999.6870210576), np.float64(54996.735868479605), np.float64(54991.89611570537), np.float64(54992.71788250297), np.float64(54989.89370386601), np.float64(54990.51123002112), np.float64(54990.963997993465), np.float64(54986.97648239285), np.float64(54990.03420369208), np.float64(54987.0909591344), np.float64(54983.94003980934), np.float64(54980.32177687988), np.float64(54978.99261979297), np.float64(54976.75364020198)]"
7,"[np.float64(54999.5894555521), np.float64(55001.04546242833), np.float64(55001.37365303099), np.float64(55001.02607259214), np.float64(54996.82255740881), np.float64(55002.48153408766), np.float64(54998.76202876687), np.float64(55002.032991707325), np.float64(54995.89287839115), np.float64(55003.255704224706), np.float64(55000.31376547694), np.float64(54999.92814140797), np.float64(54998.42749977618), np.float64(54995.9003031066), np.float64(55002.97434098542), np.float64(55001.84003335118), np.float64(55000.988046697974), np.float64(55000.781600145696), np.float64(54999.12994348168)]","[np.float64(55001.06652911616), np.float64(55001.37365303099), np.float64(55001.37365303099), np.float64(55001.02607259214), np.float64(55002.53878462709), np.float64(55002.50031467366), np.float64(55003.101942248075), np.float64(55002.032991707325), np.float64(55003.255704224706), np.float64(55007.03573869811), np.float64(55000.314712842744), np.float64(55004.84122532499), np.float64(54998.42749977618), np.float64(55003.814615964315), np.float64(55002.97434098542), np.float64(55001.84003335118), np.float64(55000.988046697974), np.float64(55005.28960584287), np.float64(55000.056186808026)]","[np.float64(54999.5894555521), np.float64(54988.73886755), np.float64(55001.02607259214), np.float64(54987.808256930664), np.float64(54996.82255740881), np.float64(54995.598963245815), np.float64(54998.76202876687), np.float64(54995.89287839115), np.float64(54994.83386872072), np.float64(55000.31376547694), np.float64(54996.29300407186), np.float64(54998.42749977618), np.float64(54991.100469255995), np.float64(54995.9003031066), np.float64(55001.84003335118), np.float64(54998.12127055194), np.float64(55000.781600145696), np.float64(54995.596908577114), np.float64(54993.50761841075)]","[np.float64(55001.04546242833), np.float64(55001.37365303099), np.float64(55001.02607259214), np.float64(54996.82255740881), np.float64(55002.48153408766), np.float64(54998.76202876687), np.float64(55002.032991707325), np.float64(54995.89287839115), np.float64(55003.255704224706), np.float64(55000.31376547694), np.float64(54999.92814140797), np.float64(54998.42749977618), np.float64(54995.9003031066), np.float64(55002.97434098542), np.float64(55001.84003335118), np.float64(55000.988046697974), np.float64(55000.781600145696), np.float64(54999.12994348168), np.float64(54993.52574430942)]"
8,"[np.float64(54999.789517159465), np.float64(54998.92271211326), np.float64(55001.318866656424), np.float64(54998.76999221206), np.float64(54997.35546309083), np.float64(54996.79485384226), np.float64(54995.11332539081), np.float64(54995.23884054929), np.float64(54995.97022047043), np.float64(54997.27904328138), np.float64(54994.12336185157), np.float64(54991.09743890822), np.float64(54990.4086341545), np.float64(54990.83554753393), np.float64(54990.548650675715), np.float64(54988.88578932017), np.float64(54990.63841457665), np.float64(54990.15760605454), np.float64(54990.12743718982)]","[np.float64(54999.789517159465), np.float64(55005.88232840899), np.float64(55007.55423360053), np.float64(54998.7887643696), np.float64(55000.02269745325), np.float64(54997.504268256955), np.float64(54999.05390938986), np.float64(54996.94476551056), np.float64(55006.18868748504), np.float64(54998.796791364366), np.float64(54999.161625592744), np.float64(55003.03953281402), np.float64(54990.85602575082), np.float64(54996.528619716424), np.float64(54991.167602673966), np.float64(54992.045227357456), np.float64(54993.006499135394), np.float64(54990.96923056555), np.float64(54993.70564344507)]","[np.float64(54995.95372348019), np.float64(54995.60216647937), np.float64(54998.76999221206), np.float64(54982.61261311413), np.float64(54995.622020800554), np.float64(54992.85756886511), np.float64(54988.6324861708), np.float64(54987.27117002992), np.float64(54995.91830183626), np.float64(54992.74059757682), np.float64(54982.539428206816), np.float64(54990.34828991288), np.float64(54984.76309089412), np.float64(54990.48804646722), np.float64(54982.57581273456), np.float64(54986.37504294926), np.float64(54986.966988179905), np.float64(54987.586230976005), np.float64(54981.95518962073)]","[np.float64(54998.92271211326), np.float64(55001.318866656424), np.float64(54998.76999221206), np.float64(54997.35546309083), np.float64(54996.79485384226), np.float64(54995.11332539081), np.float64(54995.23884054929), np.float64(54995.97022047043), np.float64(54997.27904328138), np.float64(54994.12336185157), np.float64(54991.09743890822), np.float64(54990.4086341545), np.float64(54990.83554753393), np.float64(54990.548650675715), np.float64(54988.88578932017), np.float64(54990.63841457665), np.float64(54990.15760605454), np.float64(54990.12743718982), np.float64(54985.684080862105)]"
9,"[np.float64(55000.10336380601), np.float64(54998.47157363206), np.float64(55000.12014202237), np.float64(55000.097023200986), np.float64(55000.7100621587), np.float64(54999.31192549675), np.float64(55004.12967903197), np.float64(55001.01369732738), np.float64(55004.730542254445), np.float64(55003.88934793174), np.float64(55005.52808838427), np.float64(55008.94948772132), np.float64(55008.92526483655), np.float64(55010.555651652816), np.float64(55011.565466163156), np.float64(55008.92056924164), np.float64(55009.30966512441), np.float64(55016.73318784058), np.float64(55012.28744380951)]","[np.float64(55011.65433705438), np.float64(55000.82077048211), np.float64(55000.17901995856), np.float64(55004.676524708084), np.float64(55005.51878609825), np.float64(55004.15567793137), np.float64(55004.12967903197), np.float64(55009.750160002004), np.float64(55009.32618821466), np.float64(55007.672974347515), np.float64(55012.126002658966), np.float64(55011.02068181452), np.float64(55017.90666358508), np.float64(55013.693792653525), np.float64(55015.20253799403), np.float64(55009.30966512441), np.float64(55022.27077699846), np.float64(55019.2616535841), np.float64(55015.85361657513)]","[np.float64(54998.47157363206), np.float64(54988.84758847557), np.float64(55000.04515027919), np.float64(54996.310444816925), np.float64(54998.59046882371), np.float64(54999.31192549675), np.float64(54997.4589133914), np.float64(55001.01369732738), np.float64(54997.024926030615), np.float64(55003.88934793174), np.float64(55004.848470659985), np.float64(55008.84358823769), np.float64(55008.90416622578), np.float64(54998.21367989377), np.float64(55003.247148080394), np.float64(55008.869166927645), np.float64(55009.30966512441), np.float64(55001.11297490446), np.float64(55010.40497743579)]","[np.float64(54998.47157363206), np.float64(55000.12014202237), np.float64(55000.097023200986), np.float64(55000.7100621587), np.float64(54999.31192549675), np.float64(55004.12967903197), np.float64(55001.01369732738), np.float64(55004.730542254445), np.float64(55003.88934793174), np.float64(55005.52808838427), np.float64(55008.94948772132), np.float64(55008.92526483655), np.float64(55010.555651652816), np.float64(55011.565466163156), np.float64(55008.92056924164), np.float64(55009.30966512441), np.float64(55016.73318784058), np.float64(55012.28744380951), np.float64(55013.23210971177)]"
