,o_chunk,h_chunk,l_chunk,c_chunk
0,"[np.float64(54999.018176090714), np.float64(55001.86226611137), np.float64(54998.67758868932), np.float64(55001.44664462804), np.float64(55001.461052417755), np.float64(54997.21937804222), np.float64(54999.34698902368), np.float64(54997.128182220455), np.float64(54998.16998785734), np.float64(54992.832022774215), np.float64(54993.27420510053), np.float64(54988.009690272804), np.float64(54991.33011912107), np.float64(54987.92366764545), np.float64(54993.03200902938)]","[np.float64(55001.86226611137), np.float64(55009.80104369444), np.float64(55001.44664462804), np.float64(55036.50795037484), np.float64(55003.99393530729), np.float64(55000.24978256324), np.float64(54999.34698902368), np.float64(55012.08899798725), np.float64(54998.16998785734), np.float64(55020.095040902546), np.float64(54993.27420510053), np.float64(54993.34671188091), np.float64(54991.94199962141), np.float64(54993.92192926405), np.float64(55000.94811849279)]","[np.float64(54998.41306727473), np.float64(54998.659998582145), np.float64(54984.808706579606), np.float64(55001.44559517147), np.float64(54993.915034935984), np.float64(54997.16112899249), np.float64(54990.81133385913), np.float64(54988.70833924457), np.float64(54985.714243572125), np.float64(54986.71796900892), np.float64(54963.21881207681), np.float64(54986.71976860737), np.float64(54981.90676324337), np.float64(54987.90255302833), np.float64(54975.14355489777)]","[np.float64(55001.86226611137), np.float64(54998.67758868932), np.float64(55001.44664462804), np.float64(55001.461052417755), np.float64(54997.21937804222), np.float64(54999.34698902368), np.float64(54997.128182220455), np.float64(54998.16998785734), np.float64(54992.832022774215), np.float64(54993.27420510053), np.float64(54988.009690272804), np.float64(54991.33011912107), np.float64(54987.92366764545), np.float64(54993.03200902938), np.float64(54986.32723278999)]"
1,"[np.float64(55000.40636291503), np.float64(55002.92682757378), np.float64(55000.00249193906), np.float64(55001.460266494745), np.float64(55002.464546704294), np.float64(54995.77512950897), np.float64(55004.435675144196), np.float64(54995.71268457174), np.float64(55002.025268459314), np.float64(54999.028790843484), np.float64(54999.450457704064), np.float64(54989.747205495834), np.float64(54994.64549697637), np.float64(54988.20540187359), np.float64(54991.125827062126)]","[np.float64(55003.08601461253), np.float64(55007.12332706049), np.float64(55007.51313468996), np.float64(55002.464546704294), np.float64(55007.846409198166), np.float64(55004.435675144196), np.float64(55004.45637168303), np.float64(55002.025268459314), np.float64(55009.32409770504), np.float64(54999.450457704064), np.float64(55003.29190131224), np.float64(54997.35197819711), np.float64(54994.64549697637), np.float64(54991.125827062126), np.float64(55000.919005261974)]","[np.float64(55000.40636291503), np.float64(54998.07599991943), np.float64(55000.00249193906), np.float64(54992.93138123861), np.float64(54995.77512950897), np.float64(54959.05553488342), np.float64(54995.4817533015), np.float64(54991.798033535044), np.float64(54999.008619874905), np.float64(54999.028790843484), np.float64(54989.747205495834), np.float64(54965.045597436336), np.float64(54988.20540187359), np.float64(54980.5369640388), np.float64(54991.10699304759)]","[np.float64(55002.92682757378), np.float64(55000.00249193906), np.float64(55001.460266494745), np.float64(55002.464546704294), np.float64(54995.77512950897), np.float64(55004.435675144196), np.float64(54995.71268457174), np.float64(55002.025268459314), np.float64(54999.028790843484), np.float64(54999.450457704064), np.float64(54989.747205495834), np.float64(54994.64549697637), np.float64(54988.20540187359), np.float64(54991.125827062126), np.float64(54994.20602943897)]"
2,"[np.float64(55000.504792582986), np.float64(55001.46997791529), np.float64(55001.01732220649), np.float64(54997.23818747997), np.float64(54998.1133175373), np.float64(54997.560578846926), np.float64(54996.22260962724), np.float64(54995.680107104774), np.float64(54994.32864301204), np.float64(54993.45762946605), np.float64(54993.9282392025), np.float64(54995.27116117477), np.float64(54994.219021129604), np.float64(54987.79202793836), np.float64(54993.15980298519)]","[np.float64(55003.87346985557), np.float64(55001.46997791529), np.float64(55005.508004701514), np.float64(54998.1133175373), np.float64(55006.240273850846), np.float64(54997.579086580394), np.float64(54997.51086032601), np.float64(54997.74183164431), np.float64(55003.09241350005), np.float64(54993.9282392025), np.float64(54999.11114967144), np.float64(54995.48254115993), np.float64(55010.034910971655), np.float64(54993.18051200638), np.float64(54994.6505464482)]","[np.float64(54997.98098206319), np.float64(54999.625724602905), np.float64(54996.15172214713), np.float64(54991.65358170192), np.float64(54996.79955819562), np.float64(54958.71162183443), np.float64(54995.39061539724), np.float64(54989.11282797576), np.float64(54990.35843105805), np.float64(54993.437059573625), np.float64(54993.90938636704), np.float64(54968.95982966896), np.float64(54984.369191417274), np.float64(54987.77172734662), np.float64(54981.97964795074)]","[np.float64(55001.46997791529), np.float64(55001.01732220649), np.float64(54997.23818747997), np.float64(54998.1133175373), np.float64(54997.560578846926), np.float64(54996.22260962724), np.float64(54995.680107104774), np.float64(54994.32864301204), np.float64(54993.45762946605), np.float64(54993.9282392025), np.float64(54995.27116117477), np.float64(54994.219021129604), np.float64(54987.79202793836), np.float64(54993.15980298519), np.float64(54988.38375128507)]"
3,"[np.float64(54999.22775156498), np.float64(55000.23185925483), np.float64(55000.06961407661), np.float64(54998.67871246338), np.float64(54997.92979972362), np.float64(54996.97286179065), np.float64(54999.81215720176), np.float64(54995.73735488653), np.float64(54997.57384848595), np.float64(54996.60078475475), np.float64(54992.39802075624), np.float64(54991.13828681707), np.float64(54992.91378033161), np.float64(54990.99769046306), np.float64(54985.43467824459)]","[np.float64(55001.5874369577), np.float64(55000.23185925483), np.float64(55007.89209566385), np.float64(54998.67871246338), np.float64(55003.08585831892), np.float64(55011.49337069415), np.float64(54999.81215720176), np.float64(55001.32915383277), np.float64(55000.56851959157), np.float64(54996.60078475475), np.float64(54993.732979044005), np.float64(54996.44940255777), np.float64(54993.570499461675), np.float64(54996.28122697246), np.float64(54991.12698399137)]","[np.float64(54999.22775156498), np.float64(54992.04164115579), np.float64(54998.618698046215), np.float64(54987.66648061165), np.float64(54996.680305659575), np.float64(54988.72054238707), np.float64(54993.80301844335), np.float64(54985.19600947936), np.float64(54994.78974601259), np.float64(54987.695019817314), np.float64(54989.27869023946), np.float64(54974.99996158477), np.float64(54990.99769046306), np.float64(54979.97363029448), np.float64(54985.43467824459)]","[np.float64(55000.23185925483), np.float64(55000.06961407661), np.float64(54998.67871246338), np.float64(54997.92979972362), np.float64(54996.97286179065), np.float64(54999.81215720176), np.float64(54995.73735488653), np.float64(54997.57384848595), np.float64(54996.60078475475), np.float64(54992.39802075624), np.float64(54991.13828681707), np.float64(54992.91378033161), np.float64(54990.99769046306), np.float64(54985.43467824459), np.float64(54991.05349099636)]"
4,"[np.float64(55000.35466930866), np.float64(55000.910213840005), np.float64(55001.80994951725), np.float64(54999.432575559615), np.float64(54999.99251694679), np.float64(55001.4852435112), np.float64(55001.600424361226), np.float64(55003.79002501965), np.float64(55006.95943684578), np.float64(55003.06930007935), np.float64(55006.7971724987), np.float64(55002.81908903122), np.float64(55007.27656636238), np.float64(55007.238022589685), np.float64(55014.45547940731)]","[np.float64(55002.238401227296), np.float64(55004.115656857706), np.float64(55001.80994951725), np.float64(54999.99251694679), np.float64(55001.4852435112), np.float64(55003.08599798292), np.float64(55003.99321443248), np.float64(55009.95514802222), np.float64(55018.83188150331), np.float64(55006.7971724987), np.float64(55010.60413592697), np.float64(55011.89316404593), np.float64(55008.563530426916), np.float64(55015.588635017855), np.float64(55022.23919040715)]","[np.float64(55000.35466930866), np.float64(55000.910213840005), np.float64(54996.02080831664), np.float64(54990.63456069972), np.float64(54999.670431012724), np.float64(54999.86408753042), np.float64(54996.36873668154), np.float64(55003.79002501965), np.float64(54994.60152758581), np.float64(55001.30926097093), np.float64(55002.81908903122), np.float64(55002.81908903122), np.float64(55004.0723155978), np.float64(55007.21516107409), np.float64(55010.63813489855)]","[np.float64(55000.910213840005), np.float64(55001.80994951725), np.float64(54999.432575559615), np.float64(54999.99251694679), np.float64(55001.4852435112), np.float64(55001.600424361226), np.float64(55003.79002501965), np.float64(55006.95943684578), np.float64(55003.06930007935), np.float64(55006.7971724987), np.float64(55002.81908903122), np.float64(55007.27656636238), np.float64(55007.238022589685), np.float64(55014.45547940731), np.float64(55012.56329789162)]"
5,"[np.float64(54999.48709657192), np.float64(54999.84293758869), np.float64(54998.6363253355), np.float64(54997.865469050404), np.float64(54997.2516775608), np.float64(54998.136224317546), np.float64(54994.307583630085), np.float64(54995.014574086665), np.float64(54993.75775141716), np.float64(54993.37720174789), np.float64(54989.579573869705), np.float64(54993.24037446975), np.float64(54992.37555485964), np.float64(54989.89763786792), np.float64(54984.74227528572)]","[np.float64(55000.203173041715), np.float64(55002.06903047361), np.float64(54998.657597259546), np.float64(54997.865469050404), np.float64(55005.370479857156), np.float64(54998.605231303234), np.float64(55006.33516389797), np.float64(54995.014574086665), np.float64(54998.1964397941), np.float64(55000.303051724564), np.float64(54993.45774074561), np.float64(55014.72113237091), np.float64(54996.2826704418), np.float64(54989.89763786792), np.float64(54992.85061481426)]","[np.float64(54992.593347389484), np.float64(54996.626004536876), np.float64(54992.920961498756), np.float64(54997.23275872562), np.float64(54992.55315919879), np.float64(54991.910837755735), np.float64(54987.34379344424), np.float64(54991.64027882855), np.float64(54993.37720174789), np.float64(54985.25299264745), np.float64(54989.579573869705), np.float64(54987.46378509773), np.float64(54986.245542258315), np.float64(54984.74227528572), np.float64(54984.0348983288)]","[np.float64(54999.84293758869), np.float64(54998.6363253355), np.float64(54997.865469050404), np.float64(54997.2516775608), np.float64(54998.136224317546), np.float64(54994.307583630085), np.float64(54995.014574086665), np.float64(54993.75775141716), np.float64(54993.37720174789), np.float64(54989.579573869705), np.float64(54993.24037446975), np.float64(54992.37555485964), np.float64(54989.89763786792), np.float64(54984.74227528572), np.float64(54987.90910410881)]"
6,"[np.float64(55000.13401423692), np.float64(54999.99796329736), np.float64(55002.826090455055), np.float64(55001.797276508805), np.float64(55001.01872153282), np.float64(55003.717988467215), np.float64(55003.134934234615), np.float64(55006.80628249645), np.float64(55007.26459541321), np.float64(55005.25118527412), np.float64(55007.349072551726), np.float64(55008.121304202075), np.float64(55011.18556528091), np.float64(55012.19351153373), np.float64(55014.12685337067)]","[np.float64(55000.13401423692), np.float64(55036.78911630735), np.float64(55004.46062250464), np.float64(55001.857448503935), np.float64(55003.76777178555), np.float64(55004.346413801824), np.float64(55007.70273845965), np.float64(55016.60282190997), np.float64(55016.104148629944), np.float64(55014.02891767633), np.float64(55015.833104341385), np.float64(55019.10784694525), np.float64(55018.07077772802), np.float64(55014.87258974907), np.float64(55014.14796675283)]","[np.float64(54990.91731733816), np.float64(54997.99445721389), np.float64(54995.512306722885), np.float64(54984.511523210895), np.float64(54988.23150557184), np.float64(54999.79158213093), np.float64(55000.84446564051), np.float64(54995.89353992045), np.float64(54989.58091335879), np.float64(54996.080064482216), np.float64(54998.08104416292), np.float64(55008.121304202075), np.float64(55001.614253973916), np.float64(55012.19351153373), np.float64(54996.03014448428)]","[np.float64(54999.99796329736), np.float64(55002.826090455055), np.float64(55001.797276508805), np.float64(55001.01872153282), np.float64(55003.717988467215), np.float64(55003.134934234615), np.float64(55006.80628249645), np.float64(55007.26459541321), np.float64(55005.25118527412), np.float64(55007.349072551726), np.float64(55008.121304202075), np.float64(55011.18556528091), np.float64(55012.19351153373), np.float64(55014.12685337067), np.float64(55013.15388069153)]"
7,"[np.float64(54999.46944684982), np.float64(54999.59888453483), np.float64(55000.77037705183), np.float64(55001.968624496454), np.float64(55000.46883420944), np.float64(55005.20264494419), np.float64(55005.59870221615), np.float64(55008.69091627598), np.float64(55009.12119474411), np.float64(55008.70313642025), np.float64(55010.72857980728), np.float64(55011.35619204044), np.float64(55014.35439724922), np.float64(55014.602499723434), np.float64(55019.04019958973)]","[np.float64(55000.28887386828), np.float64(55005.44330326243), np.float64(55005.7714023997), np.float64(55003.523421626174), np.float64(55009.0187499919), np.float64(55008.395160651264), np.float64(55008.69091627598), np.float64(55012.367581976934), np.float64(55012.45066636751), np.float64(55014.140793017), np.float64(55018.11208535349), np.float64(55017.49238977554), np.float64(55021.88138685655), np.float64(55021.33617984365), np.float64(55025.81331495751)]","[np.float64(54991.124785046144), np.float64(54997.60812281815), np.float64(55000.260624103816), np.float64(54984.846920377946), np.float64(54998.72855307425), np.float64(55003.84581357942), np.float64(55001.961922741786), np.float64(55003.21572713525), np.float64(55003.62583242536), np.float64(55008.623028267), np.float64(55005.53196047054), np.float64(55009.865561641906), np.float64(55012.474875777996), np.float64(55005.2518647984), np.float64(55019.01993085863)]","[np.float64(54999.59888453483), np.float64(55000.77037705183), np.float64(55001.968624496454), np.float64(55000.46883420944), np.float64(55005.20264494419), np.float64(55005.59870221615), np.float64(55008.69091627598), np.float64(55009.12119474411), np.float64(55008.70313642025), np.float64(55010.72857980728), np.float64(55011.35619204044), np.float64(55014.35439724922), np.float64(55014.602499723434), np.float64(55019.04019958973), np.float64(55019.34442367554)]"
8,"[np.float64(54999.40717682838), np.float64(54999.20940217972), np.float64(54998.557483839984), np.float64(54999.006090128416), np.float64(55000.15497537851), np.float64(55000.94610033035), np.float64(54998.01398453712), np.float64(54999.30122578144), np.float64(55000.76982594728), np.float64(55000.901403355594), np.float64(54999.52590631246), np.float64(54998.60364962816), np.float64(55001.372173631185), np.float64(54997.07135615349), np.float64(54998.50195646286)]","[np.float64(54999.40717682838), np.float64(54999.20940217972), np.float64(55001.85626703143), np.float64(55000.27536965491), np.float64(55005.760258961614), np.float64(55002.39336300612), np.float64(54999.60076448008), np.float64(55006.29867727711), np.float64(55011.87835368705), np.float64(55008.04311963143), np.float64(54999.75997661392), np.float64(55008.97734574352), np.float64(55002.79511238353), np.float64(55005.67341139979), np.float64(54999.07014010206)]","[np.float64(54999.16785144413), np.float64(54988.93195217499), np.float64(54998.557483839984), np.float64(54996.980773266616), np.float64(54992.13661918026), np.float64(54996.330508841034), np.float64(54994.752874356), np.float64(54995.245225965875), np.float64(54998.12096812974), np.float64(54996.82445256097), np.float64(54992.39639164712), np.float64(54997.32644644817), np.float64(54988.99044837766), np.float64(54986.3367656233), np.float64(54990.999255437564)]","[np.float64(54999.20940217972), np.float64(54998.557483839984), np.float64(54999.006090128416), np.float64(55000.15497537851), np.float64(55000.94610033035), np.float64(54998.01398453712), np.float64(54999.30122578144), np.float64(55000.76982594728), np.float64(55000.901403355594), np.float64(54999.52590631246), np.float64(54998.60364962816), np.float64(55001.372173631185), np.float64(54997.07135615349), np.float64(54998.50195646286), np.float64(54995.939368247986)]"
9,"[np.float64(54999.738170218465), np.float64(54999.10729448795), np.float64(55001.49700839519), np.float64(55000.9653722167), np.float64(55000.04451006651), np.float64(55004.31234753132), np.float64(54999.85824391842), np.float64(55004.331468462944), np.float64(55001.32145524025), np.float64(55004.25132827758), np.float64(55003.50070471763), np.float64(55009.986050295825), np.float64(55006.33703374863), np.float64(55012.93856654167), np.float64(55007.91088769436)]","[np.float64(54999.79768108562), np.float64(55001.55547140529), np.float64(55012.67153042421), np.float64(55001.03183006816), np.float64(55008.84749912886), np.float64(55005.10055672586), np.float64(55021.64181155408), np.float64(55011.56044885486), np.float64(55012.68418300427), np.float64(55008.25589402852), np.float64(55009.986050295825), np.float64(55022.32196041417), np.float64(55016.59270425031), np.float64(55012.9574255424), np.float64(55023.336725329376)]","[np.float64(54991.002104660845), np.float64(54999.10729448795), np.float64(54994.84946817534), np.float64(55000.04451006651), np.float64(54995.29054536994), np.float64(54995.63037792305), np.float64(54995.73409801065), np.float64(55001.32145524025), np.float64(55001.32145524025), np.float64(54995.35230239534), np.float64(55003.50070471763), np.float64(54995.123222050366), np.float64(55006.33703374863), np.float64(55007.91088769436), np.float64(55006.57610385057)]","[np.float64(54999.10729448795), np.float64(55001.49700839519), np.float64(55000.9653722167), np.float64(55000.04451006651), np.float64(55004.31234753132), np.float64(54999.85824391842), np.float64(55004.331468462944), np.float64(55001.32145524025), np.float64(55004.25132827758), np.float64(55003.50070471763), np.float64(55009.986050295825), np.float64(55006.33703374863), np.float64(55012.93856654167), np.float64(55007.91088769436), np.float64(55018.86305541992)]"
